"fid","parent","gender"
"21RG-C86","LD97-YRL","Male"
"21RG-C86","LBJR-L1Q","Female"
"21RT-MK1","GX16-85G","Male"
"21RT-MK1","GX16-CPZ","Female"
"21RY-PYS","GGCT-KX8","Male"
"21RY-PYS","G2PN-29G","Female"
"21TM-TL3","G3DB-LFM","Male"
"21TM-TL3","LVS6-7D7","Female"
"245X-JXD","L8R8-H7J","Male"
"245X-JXD","KDMK-Z6Z","Female"
"24B3-SP3","24B3-SRN","Male"
"24B3-SP3","24B3-SRT","Female"
"24MT-NPT","L8TD-8JQ","Male"
"24MT-NPT","9QNL-3KM","Female"
"24RD-KQ2","G6GL-NKD","Male"
"24RD-KQ2","G6FX-7G4","Female"
"26K6-RXR","GC4Y-261","Male"
"26K6-RXR","GLN9-1WL","Female"
"26L7-HVC","L1YB-CV5","Male"
"26L7-HVC","L196-MQD","Female"
"26LH-MV6","LVSC-Y2H","Male"
"26LH-MV6","9KPJ-6JL","Female"
"2733-2HD","LY98-C82","Male"
"2733-2HD","KCP3-YMW","Female"
"2734-4MJ","M195-LPS","Male"
"2734-4MJ","L2P1-3TF","Female"
"2736-LNS","LTHP-RT2","Male"
"2736-LNS","GX4R-JBC","Female"
"2738-31F","GZB1-331","Male"
"2738-31X","GZY5-M3W","Male"
"2738-31X","L414-YN9","Female"
"2738-3B4","2738-3BY","Male"
"2738-3B4","L1DY-WH4","Female"
"2738-3BY","2738-31X","Male"
"2738-3BY","2738-31F","Female"
"273F-T8V","277F-XWR","Male"
"273F-T8V","273F-171","Female"
"273J-WD7","LJP3-VN5","Male"
"273J-WD7","LJP3-KM1","Female"
"273M-1Q9","G7NK-QXY","Male"
"273M-1Q9","GNGW-M7L","Female"
"273W-G2X","GQTC-72X","Male"
"273W-G2X","G69F-GX2","Female"
"273X-69Z","273X-6NF","Male"
"273X-69Z","273X-6VD","Female"
"2777-RBT","2777-RBY","Male"
"2777-RBT","K23P-22K","Female"
"2777-RBY","KZ8C-ZZ5","Male"
"2777-RBY","MHZH-GCW","Female"
"277D-1FT","GWQC-PSC","Male"
"277D-1FT","LZJH-LX9","Female"
"277J-ZH7","GMLQ-84J","Male"
"277J-ZH7","LHLJ-NPB","Female"
"2781-S9V","K8K4-NVJ","Male"
"2781-S9V","L4WN-V55","Female"
"278B-DDL","L8R6-G7T","Male"
"278B-DDL","94NJ-BX3","Female"
"278B-MTH","M4RR-H7P","Male"
"278B-MTH","LRKM-KF9","Female"
"278G-6RV","L446-7ZX","Male"
"278G-6RV","L1ZK-LLG","Female"
"27C2-YFT","LD91-Q66","Male"
"27C2-YFT","LD91-Q6J","Female"
"27GX-TXW","L4BS-7R9","Male"
"27GX-TXW","GWG5-1HR","Female"
"27H1-FWD","2MR5-HWK","Male"
"27H1-FWD","27H1-F86","Female"
"27H1-Q8G","LZNN-BX5","Male"
"27H1-Q8G","GMFR-JR7","Female"
"27HB-N5B","GXMZ-KN4","Male"
"27HB-N5B","KGYQ-JV5","Female"
"27HR-NFT","9CX4-B6Z","Male"
"27HR-NFT","GZYL-SNQ","Female"
"27HS-FRR","L2FK-4LM","Male"
"27HS-FRR","KJ58-HVJ","Female"
"27HV-VKQ","MSB2-TVX","Male"
"27HV-VKQ","L27W-ZCW","Female"
"27MG-Q4P","GFJV-R8X","Male"
"27MG-Q4P","GFJK-ZKN","Female"
"27MV-FJB","GNFS-MBV","Male"
"27PS-ZN1","GC4Z-YXB","Male"
"27PS-ZN1","GWVB-T7R","Female"
"27S3-RQL","LHZR-8R2","Male"
"27S3-RQL","LHZR-8TR","Female"
"27S5-XYV","G7S3-2DH","Male"
"27S5-XYV","GQBQ-Y1C","Female"
"27S7-2H5","9QQ9-CDT","Male"
"27S7-2Z4","27S7-GVF","Male"
"27S7-2Z4","27S7-GKN","Female"
"27S7-GVF","GKM7-HJK","Male"
"27S7-LXB","27S7-T1Q","Male"
"27S7-LXB","9QQG-X2Q","Female"
"27S7-T1Q","LHDN-7N4","Male"
"27S7-T1Q","9QQG-X2L","Female"
"27S8-53T","LK6T-3NK","Male"
"27S8-53T","LDHT-TG7","Female"
"27SB-RLV","27SB-RLY","Male"
"27SB-RMR","936G-FHT","Male"
"27SB-RMR","LHPS-3WN","Female"
"27SL-H8V","GGZD-828","Male"
"27SL-H8V","LBS2-LQM","Female"
"27XJ-XM9","KV27-TLC","Male"
"27YM-N3C","L7YV-RT3","Male"
"27YM-N3C","937J-FLN","Female"
"287F-2J1","287D-L2L","Male"
"287F-2J1","GN31-L64","Female"
"28RT-PB7","LTRP-MNL","Male"
"293T-978","293T-94T","Male"
"297H-22G","93Q3-KGJ","Male"
"297H-22G","L2W7-TVW","Female"
"299M-F53","L6FM-QJD","Male"
"299M-F53","GKYY-MXW","Female"
"299N-3QL","LW1S-PHN","Male"
"299N-3QL","LW1S-PKM","Female"
"299Z-QHM","LZ8C-ZJF","Female"
"29CT-BP4","GCGP-ZM9","Male"
"29CT-BP4","GMQG-ZWN","Female"
"29HC-KCJ","G7D1-FC6","Male"
"29HC-KCJ","G7D1-NB6","Female"
"29M1-1WR","2Z3B-4S8","Male"
"29M1-1WR","GD1V-QRH","Female"
