"fid","parent","gender"
"9687-7K6","LZKW-93N","Male"
"9687-7K6","275W-5DV","Female"
"G94M-6WK","LCVF-TC7","Male"
"G94M-6WK","KLX1-TT9","Female"
"K2VH-2FN","LHSQ-X2Y","Male"
"K2VH-2FN","LHQM-9CQ","Female"
"K8FB-QKZ","LV7Y-7QL","Male"
"K8FB-QKZ","LV7Y-7ZR","Female"
"KC4P-BDG","K8R2-H3H","Male"
"KC4P-BDG","K86G-1WX","Female"
"KH6L-9FC","LVS7-7KG","Male"
"KH6L-9FC","KH11-RNX","Female"
"KN1H-HLB","KF3N-R3R","Male"
"KN1H-HLB","GMNS-73X","Female"
"L2C8-Q7T","9N9J-FLS","Male"
"L2C8-Q7T","L5N7-J8L","Female"
"L7F5-765","KHD1-RBZ","Male"
"L7F5-765","2WN4-1MS","Female"
"L8Q2-8WR","GMGN-855","Male"
"L8Q2-8WR","L22M-VJB","Female"
"L8QF-2Z8","KN4F-TVZ","Male"
"L8QF-2Z8","KN4F-TVQ","Female"
"LCPJ-CQ6","LHZQ-PTC","Male"
"LCPJ-CQ6","LHZQ-59P","Female"
"LVNN-V32","KCZ5-DBZ","Male"
"LVNN-V32","KHDS-NZZ","Female"
"MWKV-8ST","L6LQ-3HW","Male"
"MWKV-8ST","L6LQ-3CG","Female"
