"fid","parent","gender"
"24LC-9QS","KGSZ-GQB","Male"
"24LC-9QS","GDL4-39H","Female"
"24NS-LGZ","GG23-5GX","Male"
"273N-T7T","GZGX-YKX","Male"
"273N-T7T","LHNR-ZS7","Female"
"278L-154","GFG4-SD1","Male"
"278L-154","LK7Q-TYP","Female"
"27DV-K39","G6FK-9MP","Male"
"27DV-K39","L8BF-2GK","Female"
"27FR-4SR","GQHN-79S","Male"
"27FR-4SR","MJTJ-36F","Female"
"293R-LG1","LBS1-MMR","Male"
"293R-LG1","L2NC-ZDR","Female"
"29B8-CVS","KJV5-TK2","Male"
"29B8-CVS","LTKH-7HR","Female"
"29MH-HTV","KLGM-3H3","Male"
"2DX5-6P9","L5Y6-FPT","Male"
"2DX5-6P9","LZJ3-F4W","Female"
"2RBN-8LF","G2NQ-R13","Male"
"2RBN-8LF","GQRM-K3J","Female"
"2T1P-DW5","27SD-TSK","Male"
"2T1P-DW5","GQSX-Z3Z","Female"
"2WNK-Q13","GM9X-9ZZ","Male"
"2WNK-Q13","GKNY-RNG","Female"
"2WSW-PMS","GXTS-7FH","Male"
"2WSW-PMS","GQPT-2X1","Female"
"2Z3J-1PB","LCVX-7LH","Male"
"2Z3J-1PB","LCVX-7RV","Female"
"2Z4Z-WFW","L8MJ-Z22","Male"
"2Z4Z-WFW","LC2W-WPJ","Female"
"4269-53C","LY2F-591","Male"
"4B4L-N6H","LVFZ-6NP","Male"
"4B4L-N6H","LD2L-DR1","Female"
"4R34-732","GJCB-39D","Male"
"4R34-732","LBGK-B7N","Female"
"4X7F-Q6L","GDNL-LJB","Male"
"9374-5WF","LZJ6-PRB","Male"
"9374-5WF","933T-X6H","Female"
"93DJ-SD7","G83C-834","Male"
"93DJ-SD7","LZLV-1BJ","Female"
"93F2-DZH","9982-4NZ","Male"
"93F2-DZH","41XD-MQS","Female"
"93J3-X2T","M3BF-JL3","Male"
"93J3-X2T","4MYW-32D","Female"
"93QJ-RW9","93QZ-Y9X","Male"
"93QJ-RW9","GZ59-84Y","Female"
"93QT-BLP","KZPS-M6M","Male"
"93QT-BLP","GSKQ-Q7D","Female"
"93QW-JMS","9372-ZX8","Male"
"93QW-JMS","93Q8-ZB4","Female"
"93Y5-JNZ","L8TM-T2D","Male"
"93Y5-JNZ","LYB1-HV7","Female"
"941F-85K","LX79-5WP","Male"
"941F-85K","LX79-5ZY","Female"
"94RT-7TM","LBJC-1X4","Male"
"94RT-7TM","LX7H-H92","Female"
"94XP-P9B","G3BY-B14","Male"
"94XP-P9B","GMDJ-ZBY","Female"
"97JW-CSH","M9BL-2MM","Male"
"97JW-CSH","M9BL-2QH","Female"
"991K-CTM","LN7W-4K7","Male"
"991K-CTM","LZQ5-58J","Female"
"9977-JFB","L3SM-54Y","Male"
"9977-JFB","L17H-5VK","Female"
"99FT-8K5","99FT-8K4","Male"
"99FT-8K5","G61Z-TLD","Female"
"99HJ-J2X","L7S8-CJK","Male"
"99HJ-J2X","M4QF-8SH","Female"
"99K6-QWW","G792-TR6","Male"
"99K6-QWW","LV5V-6G2","Female"
"99XN-95K","LWG6-954","Male"
"99XN-95K","LC6L-X51","Female"
"99XN-9PJ","LZ6B-Q5J","Male"
"99XN-9PJ","LVVW-BN5","Female"
"9C87-HZ1","LZPN-7M8","Male"
"9C87-HZ1","LTY9-Q6T","Female"
"9CCH-HF4","L1CP-BFQ","Male"
"9CCH-HF4","LYNV-2S3","Female"
"9CJS-5ZS","LYH9-6HM","Male"
"9CJS-5ZS","LYX1-DB3","Female"
"9DST-6CM","GKZQ-P19","Male"
"9DST-6CM","GSQR-6CZ","Female"
"9FK9-LXL","LF47-1XP","Male"
"9FK9-LXL","L8QD-WK4","Female"
"9FM4-6ZQ","G7RG-V2R","Male"
"9FM4-6ZQ","LCDH-ZQB","Female"
"9FQS-GB7","L1YV-48Q","Male"
"9FQS-GB7","M55X-1KX","Female"
"9H86-NF9","L1Q3-HB5","Male"
"9H86-NF9","L1W2-YBG","Female"
"9H8F-583","G2N5-LH4","Male"
"9H8F-583","G2NR-3BZ","Female"
"9H8J-ND8","LCX8-1GQ","Male"
"9H8J-ND8","LHGY-189","Female"
"9HLC-FYL","M7KD-16C","Male"
"9HLC-FYL","LYDT-WLY","Female"
"9HQC-BLZ","G2HZ-4SW","Male"
"9HQC-BLZ","LRCG-5YV","Female"
"9HYF-9L7","LRC4-521","Male"
"9HYF-9L7","LC3D-9KN","Female"
"9HYX-2CY","9HYX-HTG","Male"
"9HYX-2CY","L17J-XQY","Female"
"9HYX-HRB","9HYX-HRN","Male"
"9HZH-917","L8SR-HN2","Male"
"9HZH-917","LHJF-M2G","Female"
"9J7K-9KS","9MWT-Y9M","Male"
"9J7K-9KS","LHDX-HHS","Female"
"9JFL-1Q8","GXBM-BKF","Male"
"9JFL-1Q8","L1QT-29D","Female"
"9JWT-KVH","L5BY-M41","Male"
"9JWT-KVH","4XNL-64P","Female"
"9K4Z-8WS","GK3S-MV6","Male"
"9K4Z-8WS","GK3S-W2D","Female"
"9K64-JQM","L5KM-YGL","Male"
"9K64-JQM","L5KM-YQD","Female"
"9KBQ-1RF","GHLC-YDD","Male"
"9KBQ-1RF","GHPQ-YF2","Female"
"9KK8-4BZ","LTJZ-SHX","Male"
"9KK8-4BZ","G9F4-2DQ","Female"
"9KM6-292","MNCM-LTH","Male"
"9KM6-292","9K8J-6GC","Female"
"9KM8-7PQ","LKKM-N4Q","Male"
"9KM8-7PQ","93S9-PLZ","Female"
"9KX5-5GZ","G3RG-BD6","Male"
"9KX5-5GZ","KC9G-38D","Female"
"9MGJ-YDQ","LVXB-HVX","Male"
"9MGJ-YDQ","MPV9-5SN","Female"
"9MN5-Z3B","9ZCD-9LS","Male"
"9MN5-Z3B","LZK1-WGG","Female"
"9MWT-Y9M","L58D-GXT","Male"
"9MWT-Y9M","G8K9-KN8","Female"
"9MZH-F43","L7FN-WPQ","Male"
"9MZH-F43","G4HQ-2FV","Female"
"9N51-WC4","GWPZ-J2M","Male"
"9N51-WC4","G2W7-VBD","Female"
"9NFH-5YJ","GJG6-8Y3","Male"
"9NFH-5YJ","G96C-R6J","Female"
"9NLC-49B","L581-HGB","Male"
"9NLC-49B","LBC7-TW1","Female"
"9QG6-4DJ","L657-WM8","Male"
"9QG6-4DJ","KNHW-N48","Female"
"9QQ3-RPP","G2C3-LBV","Male"
"9QQ3-RPP","G2FK-934","Female"
"9SB4-M35","GZF8-NR5","Male"
"9SDL-H5C","GMDT-S86","Male"
"9SDL-H5C","G694-PML","Female"
"9SKR-Q99","MZWW-QC9","Male"
"9SKR-Q99","LCM8-G1W","Female"
"9SVT-V2X","G7F2-F9D","Male"
"9SVT-V2X","GDC5-TH1","Female"
"9SWZ-QL8","G2ZF-RMP","Male"
"9SWZ-QL8","G2Z5-WN8","Female"
"9SYH-G1B","LRBC-JJH","Male"
"9SYH-G1B","L853-WSH","Female"
"9V3Y-K58","GXRT-QNR","Male"
"9V3Y-K58","GXRR-VWH","Female"
"9V3Y-K5K","G7FR-MPQ","Male"
"9V3Y-K5K","LC1B-84Y","Female"
"9V47-T93","GJM1-5DH","Male"
"9V47-T93","GGRT-8ZH","Female"
"9VBP-C5V","GHNR-XV7","Male"
"9VBP-C5V","GHNR-V8H","Female"
"9VBP-CTC","G61C-7K6","Male"
"9VGJ-CRV","GXNN-2WD","Male"
"9VGJ-CRV","KLYH-S2X","Female"
"9VGQ-52M","9VQK-J73","Male"
"9VGQ-52M","9VQK-J7Q","Female"
"9VQW-Z4K","M44Z-2SF","Male"
"9VQW-Z4K","G21L-4SP","Female"
"9VSZ-4ZF","LL9G-LK1","Male"
"9VSZ-4ZF","LL9G-LT1","Female"
"9W4C-ZN3","LZXP-7BM","Male"
"9W4C-ZN3","L2Q1-Y6T","Female"
"9W8Y-WGG","G7MV-S82","Male"
"9WF2-Y3V","LBMC-YHB","Male"
"9WF2-Y3V","LJYF-D2G","Female"
"9WTC-BWZ","GCY8-RPV","Male"
"9WTC-BWZ","LWLQ-WR1","Female"
"9X16-LMF","9X16-LM2","Male"
"9X16-LMF","9X16-LM5","Female"
"9XBL-CXN","MN3R-3C4","Male"
"9XBL-CXN","MMRC-2HL","Female"
"9XY8-QBN","LV69-79H","Male"
"9XY8-QBN","LV69-QR2","Female"
"C8QT-LJD","L52Z-D59","Male"
"C8QT-LJD","KJZ2-GQS","Female"
"G219-BN9","G21S-MPC","Male"
"G21D-3DN","GQSQ-ZSC","Male"
"G21D-3DN","M7J9-5M1","Female"
"G265-SMG","G21R-ZLG","Male"
"G265-SMG","GKKP-9CG","Female"
"G27G-JY8","GN47-PCV","Male"
"G27G-JY8","GGKY-4D4","Female"
"G27R-4C4","GWXK-CFC","Male"
"G27R-4C4","HD41-74T","Female"
"G27X-MMY","LK77-854","Male"
"G27X-MMY","LK77-81D","Female"
"G288-BW8","L4Z4-7VK","Male"
"G288-BW8","L4Z4-7VG","Female"
"G288-Y3Y","G28D-32J","Male"
"G2FQ-LCC","G2R2-R1N","Male"
"G2FQ-LCC","MRYY-QY6","Female"
"G2JX-Z4J","GVRP-NZS","Male"
"G2JX-Z4J","LZBT-9XB","Female"
"G2L5-M9M","LY89-83Q","Male"
"G2L5-M9M","L8W5-19P","Female"
"G2LP-PQ7","G7Z9-FRY","Male"
"G2LP-PQ7","GKFF-BDR","Female"
"G2LT-T6N","G2LT-YX9","Male"
"G2R2-R1N","MNVN-FY6","Male"
"G2R2-R1N","MNVN-FB9","Female"
"G2RS-14B","GLGP-T86","Male"
"G2RS-14B","GLG5-CFS","Female"
"G2VH-Q96","G3M1-N1M","Male"
"G2VH-Q96","G3M1-KS6","Female"
"G2VY-2BX","GHH1-VR1","Male"
"G2VY-2BX","G2VY-132","Female"
"G2VY-J2W","G2VY-XYJ","Male"
"G2VY-J2W","G8QB-BXZ","Female"
"G2ZR-CG6","G8PP-N9Y","Male"
"G2ZR-CG6","G8PP-VPP","Female"
"G2ZR-JR9","GGS2-61P","Male"
"G2ZR-JR9","GGS2-CML","Female"
"G33C-WLQ","M9KY-K8J","Male"
"G33C-WLQ","MVGR-YR9","Female"
"G38Y-TP1","GLKK-KKT","Male"
"G38Y-TP1","G7MW-FQ5","Female"
"G395-8Q6","GXVF-G71","Male"
"G395-8Q6","GN9D-WHD","Female"
"G3BX-RY5","LZDZ-NV2","Male"
"G3BX-RY5","GQDW-C51","Female"
"G3JC-3BN","LWFW-Y3P","Male"
"G3JC-3BN","LWFW-YQD","Female"
"G3JD-PTQ","L193-TX7","Male"
"G3JD-PTQ","G84C-3XG","Female"
"G3JD-TDK","LDHP-3MQ","Male"
"G3JD-TDK","LC52-LN9","Female"
"G3JL-N84","G3JY-YHJ","Female"
"G3JL-Y5H","L1Q5-R78","Male"
"G3JL-Y5H","L1Q5-BVT","Female"
"G3LP-HNF","G3LG-YG1","Male"
"G3MN-Z3P","G96W-1WK","Male"
"G3RZ-B3Q","G2PZ-YK3","Male"
"G3RZ-B3Q","G2GL-13Y","Female"
"G3WC-C91","G641-4DH","Male"
"G3WC-C91","GG6P-JK2","Female"
"G3YY-2Q1","MT3R-QQ2","Male"
"G3YY-2Q1","MT3R-Q73","Female"
"G41L-CRM","LBXF-J6B","Male"
"G41L-CRM","LZBK-LFP","Female"
"G46L-6XK","GVX1-QN6","Male"
"G46L-6XK","G46L-6XL","Female"
"G485-954","G485-M1Z","Male"
"G485-954","G485-7GV","Female"
"G48J-7YL","GD6P-C4M","Male"
"G48J-7YL","GG8J-8DY","Female"
"G48J-CK5","G48J-6YP","Male"
"G48J-CK5","G48J-291","Female"
"G4HB-7DT","L6HW-9XS","Male"
"G4HB-7DT","LH5H-5RJ","Female"
"G4HZ-3P2","LZJY-PP3","Male"
"G4HZ-3P2","MP51-KL6","Female"
"G4MT-DYH","GZ5D-FTJ","Male"
"G4MT-DYH","GZR3-XG4","Female"
"G4MV-V1Q","G49F-6C4","Male"
"G4MV-V1Q","G4MV-VD6","Female"
"G4N7-45L","LXQF-J65","Male"
"G4N7-45L","G2S2-S7K","Female"
"G4S6-SCJ","K2X3-FTX","Male"
"G4S6-SCJ","G22L-TXX","Female"
"G4TL-M79","G83R-2ST","Male"
"G4TL-QFP","G4TL-M79","Male"
"G4TL-QFP","G4TL-CXG","Female"
"G4V1-347","GHXQ-VQS","Male"
"G4V1-347","GHXQ-NFQ","Female"
"G4W2-B8J","G46Z-CNP","Male"
"G4W2-B8J","LRX6-HH7","Female"
