"fid","parent","gender"
"L6B5-W31","M9YQ-FY6","Male"
"L6B5-W31","LKN9-TH4","Female"
"L6QQ-R5B","LWX5-LLN","Male"
"L6QQ-R5B","L2J4-VN4","Female"
"L7N5-C9Z","KZWW-9TW","Male"
"L7N5-C9Z","GLJB-W7S","Female"
"L7NT-VP4","LHXD-XP1","Male"
"L7NT-VP4","KNDX-F29","Female"
"L7XP-TB5","L2XJ-FCY","Male"
"L7XP-TB5","MF9F-3TD","Female"
"L7Y2-MMY","LH2K-CD5","Male"
"L7Y2-MMY","GD31-9K6","Female"
"L8HV-1V4","K244-VCB","Male"
"L8HV-1V4","LLCM-V5L","Female"
"L8QD-87T","LZ2Y-G4M","Male"
"L8QD-87T","9V4V-BZ2","Female"
"L8SK-J7R","2RBD-PSM","Male"
"L8SK-J7R","LBBQ-GFK","Female"
"LB4K-Z2W","LVJZ-YSD","Male"
"LB4K-Z2W","LD98-Z79","Female"
"LB6K-6VK","LZ19-R19","Male"
"LB6K-6VK","LZPL-X5Y","Female"
"LB79-2BV","LTYS-JQZ","Male"
"LB79-2BV","93FD-XVJ","Female"
"LB88-PJ4","G9TQ-2YP","Male"
"LB88-PJ4","LY26-P7P","Female"
"LB96-FPZ","LZKV-7BP","Male"
"LB96-FPZ","FLSD-5Z4","Female"
"LB96-Z8Q","LCC7-LQY","Male"
"LB96-Z8Q","LKKM-D3W","Female"
"LBHW-WLL","LDL9-RNQ","Male"
"LBHW-WLL","MFDQ-RHW","Female"
"LBQ3-96B","LKPM-9TJ","Male"
"LBQ3-96B","LR4M-VF8","Female"
"LBSJ-7PY","LR4M-VDN","Male"
"LBSJ-7PY","GLSN-NFG","Female"
"LBY2-XS3","LZTD-TKN","Male"
"LBY2-XS3","MH99-JTW","Female"
"LC66-SRY","2W9V-H9Z","Male"
"LC66-SRY","2P4M-8ZS","Female"
"LC8Q-Y4K","LHTM-W9G","Male"
"LC8Q-Y4K","9MC5-XJB","Female"
"LC8T-966","GKV2-DZB","Male"
"LC8T-966","LTBT-WT8","Female"
"LCDQ-TXD","KCCX-WK8","Male"
"LCDQ-TXD","LV95-Z4C","Female"
"LCFM-NFX","L4WB-25P","Male"
"LCFM-NFX","KN1G-XHX","Female"
"LCLY-R44","LCLY-R45","Male"
"LCLY-R44","K6MS-9WW","Female"
"LCLY-SW8","MVSB-QZ8","Male"
"LCLY-SW8","LCC4-7F4","Female"
"LCTP-BCG","G2XS-YKX","Male"
"LCTP-BCG","LRXH-QQT","Female"
"LCVV-VJB","LTMW-K1B","Male"
"LCVV-VJB","9CWM-WLB","Female"
"LCXW-72B","LC2W-BQ8","Male"
"LCXW-72B","GQR6-9Z5","Female"
"LCZ3-41V","LZCP-LLD","Male"
"LCZ3-41V","LZLD-3L6","Female"
"LCZS-VPZ","LYYR-DKX","Male"
"LCZS-VPZ","L691-VS5","Female"
"LDBG-3QK","LVWW-M3G","Male"
"LDBG-3QK","LTHR-BF4","Female"
"LDF6-ZR9","M1NQ-6H6","Male"
"LDF6-ZR9","L611-BBK","Female"
"LDLF-8GN","LKMD-WD8","Male"
"LDLF-8GN","LKMD-W61","Female"
"LDQR-ZKG","LD1B-6X8","Male"
"LDQR-ZKG","LTTP-7BN","Female"
"LDQV-BFV","LZF3-XZR","Male"
"LDQV-BFV","97FH-CGG","Female"
"LDZG-Z7V","GSV3-LDS","Male"
"LDZG-Z7V","GWSD-6JM","Female"
"LH11-TX4","LJPN-G4F","Male"
"LH11-TX4","LKFG-K4Q","Female"
"LH2J-K3M","LZL3-28X","Male"
"LH2J-K3M","K2Y1-YHS","Female"
"LH3P-61W","LY41-WWS","Male"
"LH3P-61W","LC35-711","Female"
"LH5L-JHP","LCT4-RKR","Male"
"LH5L-JHP","MG1W-N1H","Female"
"LH6B-T45","LHYH-P65","Male"
"LH6B-T45","LH38-X9B","Female"
"LH8V-NNV","G75H-SGB","Male"
"LH8V-NNV","G6FT-3K6","Female"
"LHFR-W3F","LHLH-MXK","Male"
"LHFR-W3F","L6W5-C7D","Female"
"LHGS-1KZ","KP7J-B8B","Male"
"LHGS-1KZ","KFL4-ZYS","Female"
"LHSQ-5YH","MZLW-B6H","Male"
"LHSQ-5YH","LYM9-4DT","Female"
"LHV9-JKY","L2SF-C53","Male"
"LHV9-JKY","LY4H-TSJ","Female"
"LHX5-X9B","LZJF-LKW","Male"
"LHX5-X9B","M8FK-PFF","Female"
"LHZN-5LF","LW7N-TGB","Male"
"LHZN-5LF","MKGN-36F","Female"
"LHZZ-Y1F","MPY7-TFV","Male"
"LHZZ-Y1F","LZTX-TXS","Female"
"LK3T-39D","G9RF-Z93","Male"
"LK3T-39D","LK38-KF5","Female"
"LK3T-7QY","L8YT-5DH","Male"
"LK3T-7QY","L8YT-58F","Female"
"LK3T-Q5W","LTVD-9KZ","Male"
"LK3T-Q5W","LC8L-517","Female"
"LK3T-SH8","LZWQ-4FR","Male"
"LK3T-SH8","L4L5-1LV","Female"
"LK53-1BF","2SH6-PM4","Male"
"LK53-1BF","LVNN-6RY","Female"
"LK5Q-MXT","KGYZ-N8J","Male"
"LK5Q-MXT","KGYZ-NDY","Female"
"LKKM-HKP","LKKM-HV9","Male"
"LKKM-HKP","G481-DZK","Female"
"LLCC-G2V","LTQC-LHQ","Male"
"LLCC-G2V","LTQC-V2H","Female"
"LLCP-ZWB","MM37-JYJ","Male"
"LLCP-ZWB","LC8R-19D","Female"
"LR1L-ZR4","LH77-1T1","Male"
"LR1L-ZR4","MRFR-PJW","Female"
"LR1M-6CR","LCMQ-16C","Male"
"LR1M-6CR","KHHB-HB4","Female"
"LR4P-4QK","LVX9-THW","Male"
"LR4P-4QK","MG35-3MM","Female"
"LRBT-195","KHG4-B2G","Male"
"LRBT-195","KP7K-SQ6","Female"
"LRGQ-GZB","LHVN-SMK","Male"
"LRGQ-GZB","LZ21-81H","Female"
"LRNX-2Z8","K1D1-KPN","Male"
"LRNX-2Z8","LRF8-BJW","Female"
"LRP5-SNN","GQRD-GKW","Male"
"LRP5-SNN","GQSP-FPY","Female"
"LRQH-PFV","LVH6-D64","Male"
"LRQH-PFV","LHPM-DPT","Female"
"LRT4-NCT","LV12-SYM","Male"
"LRT4-NCT","LKN9-H4D","Female"
"LRVF-TCN","K8R2-YMP","Male"
"LRVF-TCN","G3BL-8ZK","Female"
"LT2W-Y4Y","LZFD-JW4","Male"
"LT2W-Y4Y","KLFQ-Z4W","Female"
"LT3J-JQ7","LT45-9RY","Male"
"LT3J-JQ7","LT45-QNY","Female"
"LT3J-N9K","G7CB-PWB","Female"
"LT3L-N8F","L2ZW-HF1","Male"
"LT3L-N8F","GFDQ-FK8","Female"
"LT3L-TDX","M38T-XFK","Male"
"LT3L-TDX","M5FC-HF4","Female"
"LTQF-F8P","KNQJ-749","Male"
"LTQF-F8P","KN77-YKF","Female"
"LTTF-QR5","LCBW-SWD","Male"
"LTTF-QR5","KNCK-1CY","Female"
"LTZ3-X5Z","KN6H-9WZ","Male"
"LTZ3-X5Z","2JYT-CQF","Female"
"LV14-PSP","MVB8-TK8","Male"
"LV14-PSP","LR8R-S2P","Female"
"LV3K-VTS","GKZT-Y3V","Male"
"LV3K-VTS","GKZT-B7J","Female"
"LV5S-6Q4","9WYW-R62","Male"
"LV5S-6Q4","LV52-SXP","Female"
"LV5Z-YQZ","LV5Z-5JJ","Male"
"LV5Z-YQZ","MCQW-52D","Female"
"LVDL-6ZL","LVP9-HZX","Male"
"LVDL-6ZL","LDJL-DSG","Female"
"LVGM-FHR","L2TF-JPF","Male"
"LVGM-FHR","L68Y-W73","Female"
"LVKH-WTY","LYQH-XCW","Male"
"LVKH-WTY","LCRJ-QLG","Female"
"LVN4-W6L","LTSB-VDS","Male"
"LVN4-W6L","M6B9-NKJ","Female"
"LX3R-GPG","LX3R-GDZ","Male"
"LX3R-GPG","LHR6-R2G","Female"
"LXQ5-F2V","GGMY-KG4","Male"
"LXQ5-F2V","M4QW-XF8","Female"
"LXS3-FP7","LVP9-BT7","Male"
"LXS3-FP7","LZKD-8Q1","Female"
"LYBS-GZY","LDZN-KJN","Male"
"LYBS-GZY","LRQS-TPB","Female"
"LYGX-8SK","KZ4G-TZG","Male"
"LYGX-8SK","LTCX-J3D","Female"
"LYGY-XPR","LHW9-JQK","Male"
"LYGY-XPR","2MJ4-ZXD","Female"
"LZ23-6ZM","GQ58-LX8","Male"
