"fid","parent","gender"
"2W49-S24","KCGJ-3RV","Male"
"2W49-S24","K63J-KZ5","Female"
"2W49-SNY","29WT-FSD","Male"
"2W49-SNY","29WT-X1G","Female"
"2XM9-V33","LH3F-15C","Male"
"2XM9-V33","LH3F-1GB","Female"
"93R2-HZ8","93R2-H8R","Male"
"93R2-HZ8","93R2-HDV","Female"
"94D4-LHW","LT2P-892","Male"
"94D4-LHW","GN2S-FWH","Female"
"9CSY-9C2","LHTV-TZV","Male"
"9CSY-9C2","LHTV-TC7","Female"
"9V8P-8PJ","LZLK-QR5","Male"
"9V8P-8PJ","LHNS-XK3","Female"
"G97G-1G9","G97P-9D2","Male"
"G9VX-9JF","L6C1-MB7","Male"
"G9VX-9JF","L6C1-QMY","Female"
"GZNF-C3R","LF7P-WWJ","Male"
"GZNF-C3R","KNWT-TPD","Female"
"K2JM-WDM","L6RT-7RF","Male"
"K2JM-WDM","LVL6-1Y5","Female"
"KCMJ-FMF","LCTG-JQ2","Male"
"KCMJ-FMF","LCMF-R4D","Female"
"KJ8F-X6P","KFB8-FTV","Male"
"KJ8F-X6P","LC65-WB3","Female"
"KJJF-2MQ","L7BY-S6Y","Male"
"KJJF-2MQ","LZ6L-T97","Female"
"KJJF-K61","MF7Y-X2S","Male"
"KJJF-K61","KLXL-ZTM","Female"
"KJZH-Y1L","MCD7-4W7","Male"
"KJZH-Y1L","LZDX-C2B","Female"
"KJZH-YBY","LK3B-L1B","Male"
"KJZH-YBY","LK3B-G4Y","Female"
"KLLB-DFV","9J88-2PP","Male"
"KLLB-DFV","MBCS-6T1","Female"
"KN45-QTP","LCZM-2BH","Male"
"KN45-QTP","MR1L-1CV","Female"
"KN49-QXH","LK34-3DJ","Male"
"KN49-QXH","2WMN-81N","Female"
"KN4F-TTS","L623-3HW","Male"
"KN4F-TTS","H97F-YDS","Female"
"KPWD-SBW","GHYT-BYQ","Male"
"KPWD-SBW","MR43-7MB","Female"
"L15W-ZPG","KZCQ-TNT","Male"
"L15W-ZPG","MY7K-ZJW","Female"
"L2MH-916","9F4S-LRC","Male"
"L2MH-916","L62D-87C","Female"
"L2SP-PKG","LZLC-1N1","Male"
"L2SP-PKG","LBG4-QCJ","Female"
"L2W7-Z69","LDKP-XSK","Male"
"L2W7-Z69","L4TY-77X","Female"
"L4QP-K67","9CJQ-HB2","Male"
"L4QP-K67","L1DD-7FW","Female"
"L68Z-527","LBYV-BRF","Male"
"L68Z-527","LJGB-5PH","Female"
"L83G-6GC","LBYV-BRF","Male"
"L83G-6GC","LJGB-5PH","Female"
"L8DZ-3Q8","LYTC-KG6","Male"
"L8DZ-3Q8","LKRN-CPF","Female"
"LBGW-TKC","L2GX-YL4","Male"
"LBGW-TKC","LVGT-VR4","Female"
"LC38-G4K","MYJQ-NKS","Male"
"LC38-G4K","GHVC-X3D","Female"
"LC7P-GNN","L4BK-YP3","Male"
"LC7P-GNN","LC7P-L18","Female"
"LCJ2-9NP","LH5Y-DPG","Male"
"LCJ2-9NP","GM7D-VJR","Female"
"LCJN-NNL","LVVH-QKS","Male"
"LCJN-NNL","LZYR-HQ1","Female"
"LCP2-JHD","LHY9-6FP","Male"
"LCP2-JHD","L6M4-Z1K","Female"
"LCVG-84Z","KJ8F-83C","Male"
"LCVG-84Z","L7XB-2CB","Female"
"LCX4-VXL","LZPL-844","Male"
"LCX4-VXL","L65X-NZV","Female"
"LH3F-1RB","LH3F-15C","Male"
"LH3F-1RB","LH3F-1GB","Female"
"LHQ7-ZWF","LHW2-XDM","Male"
"LHQ7-ZWF","LYG8-BMH","Female"
"LHT2-Q2L","KD1R-2KC","Male"
"LHT2-Q2L","KZYZ-WSY","Female"
"LK5G-Q35","L29Z-B1X","Male"
"LK5G-Q35","L29Z-1SM","Female"
"LKMD-9J7","GW6J-918","Male"
"LKMD-9J7","LH57-NXR","Female"
"LRHV-YWK","LRQQ-RXN","Male"
"LRHV-YWK","9CKZ-WZV","Female"
"LSSS-PQ8","L8MB-C2W","Male"
"LSSS-PQ8","L8MB-C2K","Female"
"LVGW-PJR","9HZB-X72","Male"
"LVGW-PJR","L6ZX-D4Y","Female"
"LWHV-QBT","GNH1-STG","Male"
"LWHV-QBT","KN78-1BK","Female"
"LX3L-72S","L24Y-BMB","Male"
"LZPT-WQM","L7NL-98X","Male"
"LZPT-WQM","LKR2-GT7","Female"
"M73H-88T","M73H-C5N","Male"
"M73H-88T","L4MT-9SK","Female"
"M7VJ-FJB","LX3V-GQV","Male"
"M7VJ-FJB","LHG8-43J","Female"
"M9SL-9K3","LXMW-YN3","Male"
"M9SL-9K3","LZ8S-37Y","Female"
"MB11-MC7","LZTK-CY2","Male"
"MB11-MC7","M1QX-XHD","Female"
"MB15-SBW","9KQV-4VG","Male"
"MB15-SBW","9KQV-ZQW","Female"
"MC3F-D8B","2759-854","Male"
"MC3F-D8B","2759-XPY","Female"
"MNN8-YG3","KGCB-6W3","Male"
"MNN8-YG3","9HCD-B98","Female"
