"fid","parent","gender"
"21JJ-XXJ","LZLZ-WXG","Male"
"21JJ-XXJ","LHW6-X8T","Female"
"243B-HR9","G3J9-M8W","Male"
"2537-NT1","LKRV-2NB","Male"
"2537-NT1","LB2F-KM3","Female"
"274Q-VGX","LZX3-34Y","Male"
"274Q-VGX","GFXY-KV1","Female"
"27HS-K2B","MGRC-FLR","Male"
"27HS-K2B","G3TX-KCP","Female"
"27SY-82J","GV95-85P","Male"
"27SY-82J","GFMJ-JHJ","Female"
"27SY-QC2","LCCH-YG9","Male"
"27SY-QC2","GMV2-FN6","Female"
"2993-Y8D","LWJB-HM5","Male"
"2993-Y8D","M636-BFC","Female"
"29TT-QSS","GKZF-PR7","Male"
"29TT-QSS","GJJN-8TW","Female"
"29WH-CQQ","GNYF-S3H","Male"
"29WH-CQQ","GSNV-VYV","Female"
"29WW-33D","LCV4-S33","Male"
"29WW-33D","G938-MRV","Female"
"2DX2-FP6","GWZ4-M1B","Male"
"2DX2-FP6","GM52-QYR","Female"
"2DXT-7VS","GD5S-JZN","Male"
"2DXT-7VS","GD9M-D3G","Female"
"2HKB-8QG","LZJC-F43","Male"
"2HKB-8QG","9QQJ-1CV","Female"
"2HS8-YQ6","2SH9-5PS","Male"
"2HS8-YQ6","LC5R-NZM","Female"
"2MGY-GL8","LZ6M-MKQ","Male"
"2MGY-GL8","LZGV-NH1","Female"
"2Q1M-GXC","9C39-L4Z","Male"
"2Q1M-GXC","LHKM-46V","Female"
"2QB5-QK8","GQ4N-6DB","Male"
"2QB5-QK8","KPSK-ZZX","Female"
"2QBB-MPK","GC3R-MJS","Male"
"2QBB-MPK","GVKS-MVG","Female"
"2S4K-92J","G67T-C55","Male"
"2S4K-92J","GKV6-HBM","Female"
"2SHS-9QT","LZXZ-1PW","Male"
"2SHS-9QT","G37B-3GH","Female"
"2SQ7-68J","LDYH-791","Male"
"2SQ7-68J","LDYH-7SP","Female"
"2SQ7-DJ8","LTXQ-2H1","Male"
"2SQ7-DJ8","LZLB-PDC","Female"
"2T15-QQQ","GWMP-MBS","Male"
"2T15-QQQ","GWMP-QRW","Female"
"2WF8-KCX","G8NP-G9X","Male"
"2WF8-KCX","GJR5-JFD","Female"
"2ZSH-SHD","GQ17-CPJ","Male"
"2ZSH-SHD","GG2T-2L9","Female"
"4B4L-N6H","LVFZ-6NP","Male"
"4B4L-N6H","LD2L-DR1","Female"
"4K4B-N19","GLK2-Z1N","Male"
"4K4B-N19","G747-SST","Female"
"4TDX-PMT","LRTM-636","Male"
"4TDX-PMT","LVSL-RZN","Female"
"4V8C-W72","LJJ3-GFV","Male"
"4V8C-W72","LB84-3RV","Female"
"4VDG-R57","G6BJ-WTS","Male"
"4VDG-R57","L1JT-B4P","Female"
"4XNL-64P","9MPS-YP9","Male"
"4XNL-64P","GGQG-QJT","Female"
"932H-2MZ","LYW2-GQR","Male"
"932H-2MZ","LYCV-76C","Female"
"933P-9ZJ","9335-6MW","Male"
"933P-9ZJ","93QM-WJM","Female"
"933P-WTC","93QT-RN8","Male"
"933P-WTC","93Q4-33T","Female"
"933T-X7T","93QK-BG2","Male"
"933T-X7T","93QK-BHX","Female"
"933Y-KD8","G324-BL8","Male"
"933Y-KD8","G324-P4Y","Female"
"9365-HGT","GLMJ-RWX","Male"
"9365-HGT","GCMW-6T4","Female"
"9372-TB7","9SYS-WGC","Male"
"9372-TB7","93QN-L88","Female"
"937C-6ZZ","LB9H-K9C","Male"
"937C-6ZZ","GGQ6-TZ8","Female"
"937Q-N8Y","93QJ-BSV","Male"
"937S-Q4P","9HYX-L3B","Male"
"937V-M6J","937V-WC5","Male"
"937V-M6J","G6PR-F3S","Female"
"937V-PGK","GXLB-TS4","Male"
"93FN-MJP","GDD4-Y7M","Male"
"93FN-MJP","GDD4-1CR","Female"
"93HT-2YY","93HT-2B5","Male"
"93HT-827","LCRZ-J7Z","Male"
"93HT-827","LCRZ-V3J","Female"
"93KC-VQ8","LZ6Z-4PJ","Male"
"93KC-VQ8","94PD-3LX","Female"
"93LT-BFQ","LCFF-69W","Male"
"93LT-BFQ","L63N-YRQ","Female"
"93QP-CTN","9378-VH3","Male"
"93QP-CTN","93Q9-XQD","Female"
"93QS-9H8","93QH-B67","Female"
"93QT-SHQ","L4W1-C16","Male"
"93QT-SHQ","937K-W1J","Female"
"93QT-ZJZ","LWLB-1G4","Male"
"93QT-ZJZ","GZB3-5DN","Female"
"93QV-G58","937J-XVB","Male"
"93QV-G58","937J-XG9","Female"
"93QW-68Q","933R-4G7","Male"
"93QW-68Q","GX29-KWV","Female"
"93QZ-YMZ","93Q8-H6L","Male"
"93QZ-YMZ","93QN-CDM","Female"
"93RT-RKG","GDCP-5FC","Male"
"93RT-RKG","LDYP-HCW","Female"
"93S9-PLZ","LRLK-XBN","Male"
"93S9-PLZ","GHTS-8Z9","Female"
"93TP-VJ4","LH73-V7C","Male"
"93TP-VJ4","GF9K-DCS","Female"
"942W-82M","GSY3-8B4","Male"
"9488-9SH","L5PJ-PB6","Male"
"9488-9SH","LZPS-YTQ","Female"
"94JV-DDC","G228-2ZZ","Male"
"94JV-DDC","LJR3-SVY","Female"
"94KB-63W","LH73-J1W","Male"
"94KB-63W","LBNN-SGV","Female"
"94KY-PT6","996D-3F1","Male"
"94KY-PT6","LZLN-QC6","Female"
"94NW-5VM","G6HH-Q8K","Male"
"94NW-5VM","GF61-FJN","Female"
"94PD-3LX","LX91-6FG","Male"
"94PD-3LX","LRSQ-RRP","Female"
"94R3-CRS","KZ6G-222","Male"
"94R3-CRS","GQHZ-6BH","Female"
"94T6-PT3","94TD-JQM","Male"
"94T6-PT3","94TD-K7X","Female"
"94T6-PTH","GZY1-DXD","Male"
"94T6-PTH","G3HB-CFK","Female"
"94ZB-HPW","LH73-GM8","Male"
"94ZB-HPW","LD39-F3J","Female"
"973X-7DK","LT83-N68","Male"
"973X-7DK","LT83-PZW","Female"
"97GX-797","L25C-6GD","Male"
"97GX-797","G8VK-KQ5","Female"
"97Z2-2CB","L1JW-ZY6","Male"
"97Z2-2CB","LJGJ-4KX","Female"
"999W-5WM","LBWS-7LJ","Male"
"999W-5WM","LBWS-9GB","Female"
"99C5-CG2","G99Y-G4K","Male"
"99C5-CG2","MK37-9V6","Female"
"99LT-LNP","GK2D-YBJ","Male"
"99LT-LNP","LVZX-SZW","Female"
"99PV-HYP","LR92-872","Male"
"99PV-HYP","LRMH-JRL","Female"
"99QF-SZF","LBKS-TNX","Male"
"99QF-SZF","GC95-1S9","Female"
"99QR-ZCM","GF64-4DS","Male"
"99QR-ZCM","LZQ5-118","Female"
"9C7M-B1Y","LZJP-WX1","Male"
"9C7M-B1Y","LD79-GMG","Female"
"9C7S-GMV","LVLQ-SKY","Male"
"9C7S-GMV","LVLQ-SLH","Female"
"9CCH-HF4","L1CP-BFQ","Male"
"9CCH-HF4","LYNV-2S3","Female"
"9CFG-SYW","GV5P-N8Y","Male"
"9CFG-SYW","GV5P-VM3","Female"
"9CM3-HFJ","G2Q2-MH9","Male"
"9CM3-HFJ","KP3L-BB4","Female"
"9CX4-GF9","G4B5-Y3K","Male"
"9CX4-GF9","GLJY-5VZ","Female"
"9CX4-JH4","GXMD-MJ3","Male"
"9CX4-JH4","L23N-T1B","Female"
"9CX4-WDK","LZFM-TYW","Male"
"9CX4-WDK","LBD3-DFJ","Female"
"9CXG-8LS","KNDH-Y7K","Male"
"9CXG-8LS","GGXR-PLR","Female"
"9D8N-GGD","LDPV-QC2","Male"
"9D8N-GGD","LVDB-1J9","Female"
"9F3J-G8V","KHRH-MB7","Male"
"9F3J-G8V","G7QB-XWZ","Female"
"9HBX-4L6","LCZB-44B","Male"
"9HBX-4L6","G7F8-KRH","Female"
"9HLY-FQJ","GF9M-ZRZ","Male"
"9HLY-FQJ","MMXP-1WV","Female"
"9HR4-RTV","LZ6T-WZ8","Male"
"9HR4-RTV","M72D-PDF","Female"
"9HVK-MKP","9HVK-M2Z","Male"
"9HY8-967","LR3J-CXC","Male"
"9HY8-967","LRC7-CWG","Female"
"9HYX-3LH","9HYX-QH7","Male"
"9HYX-KL5","LZXD-HJD","Male"
"9JJ1-XWN","LTYF-DNQ","Male"
"9JJ1-XWN","L1C8-286","Female"
"9JQ7-D1D","L5TH-FYD","Male"
"9JQ7-D1D","L5TH-FDC","Female"
"9KM4-37X","LB86-9CD","Male"
"9KM4-37X","LB8D-5PN","Female"
"9KMK-JCR","G3XX-JRB","Male"
"9KMK-JCR","G7SH-4DR","Female"
"9KPN-4P1","L13Z-4X4","Male"
"9KPN-4P1","LZNH-X5P","Female"
"9MPS-YP9","LBLD-PN5","Male"
"9MPS-YP9","MXT2-3S3","Female"
"9MRT-8H4","GDNC-G84","Male"
"9MRT-8H4","G4B1-VQB","Female"
"9NLM-4KM","KHPQ-XN7","Male"
"9NLM-4KM","9NLM-4KX","Female"
"9Q62-KX2","L1SK-48D","Male"
"9Q62-KX2","GWBH-4Q7","Female"
"9QPS-JCS","G8PM-N7S","Male"
"9QPS-JCS","G8PM-FS4","Female"
"9QPS-JHF","9QPS-JZQ","Male"
"9QPS-JHF","9QPS-JZV","Female"
"9SFC-T5Z","LC7K-WS2","Male"
"9SFC-T5Z","MVJ4-F8B","Female"
"9SFH-7DN","KCKC-2L4","Male"
"9SFH-7DN","G8X6-DKX","Female"
"9SFJ-YW1","LBQJ-4NM","Male"
"9SFJ-YW1","LBQN-YKQ","Female"
"9SJC-5PZ","GVQR-YC8","Male"
"9SJC-5PZ","GFJX-2XJ","Female"
"9SYS-WGC","GX1Q-8SB","Male"
"9SYS-WGC","93QD-9CM","Female"
"9V1W-Q7P","LV6P-NW5","Male"
"9V1W-Q7P","LRLB-GQ3","Female"
"9V5Z-V4B","9HYX-ZCM","Male"
"9V5Z-V4B","GNWC-S26","Female"
"9VG8-VVL","9SDZ-4KZ","Male"
"9VG8-VVL","LC77-KPG","Female"
"9VPQ-9JG","MKF5-MYJ","Male"
"9VQG-1CD","LC24-RPX","Male"
"9VQG-1CD","L1QZ-Z43","Female"
"9VTW-SJG","9488-9SH","Male"
"9VTW-SJG","LB5N-FSF","Female"
"9W1B-J6S","LHC8-1SP","Male"
"9W1B-J6S","GMWH-5SK","Female"
"9WHQ-PB6","9WHQ-5SN","Male"
"9WJH-RHY","LBJP-PQF","Male"
"9WJH-RHY","LBNP-WBR","Female"
"9WV3-TRS","L21W-CDB","Male"
"9WV3-TRS","LTXH-44K","Female"
"9WZ2-N22","LTX8-4M4","Male"
"9WZ2-N22","GFTC-MYY","Female"
"9XV7-G5K","LDKP-1VL","Male"
"9XV7-G5K","LWVX-Y4D","Female"
"9Z4R-W7B","LV7B-X3C","Male"
"9Z4R-W7B","LRJY-7RJ","Female"
"9Z7T-J22","LB97-LD1","Male"
"9Z7T-J22","LH23-2N7","Female"
"9Z8R-Y92","GDHY-9CB","Male"
"9Z8R-Y92","GZKB-YWX","Female"
"9Z8T-7L5","GN75-ZMJ","Male"
"9Z8T-7L5","KFG8-DYN","Female"
"9ZC6-39N","GKYF-Y9S","Male"
"9ZC6-39N","G3QJ-FCW","Female"
"9ZC6-8FG","G33N-752","Male"
"9ZC6-8FG","G33F-TSM","Female"
