"fid","parent","gender"
"27P4-G81","M95G-5ZY","Male"
"27P4-G81","WB7C-DK6","Female"
"2D65-99H","LZ2S-DJL","Male"
"2D65-99H","LCZ3-41V","Female"
"2MJ7-996","LHX5-X9B","Male"
"2MJ7-996","K2J1-YBP","Female"
"2WM7-P6G","L134-LK5","Male"
"2WM7-P6G","L2W3-WQJ","Female"
"2Z35-X55","L5JC-QFG","Male"
"93R2-H66","93R2-HXH","Male"
"93R2-H66","93R2-HF9","Female"
"9CKZ-WZ2","LRNX-2Z8","Male"
"9CKZ-WZ2","278F-RNV","Female"
"9JDW-SG6","G42S-HZ6","Male"
"9JDW-SG6","GNPB-2R8","Female"
"9Q1F-B91","LDQR-ZKG","Male"
"9Q1F-B91","LZ6Z-6QL","Female"
"9X1R-QJL","LK53-1BF","Male"
"9X1R-QJL","LK5Q-MXT","Female"
"G3JS-LB5","L16T-5BV","Male"
"G3JS-LB5","KJWC-9JR","Female"
"G8B4-44T","LCFM-NFX","Male"
"G8B4-44T","K631-GKK","Female"
"G8WM-RCT","M2XF-2S7","Male"
"G8WM-RCT","L5YT-5B9","Female"
"GCZN-D6H","LZK7-R6Z","Male"
"GCZN-D6H","LDZG-Z7V","Female"
"GDW4-NCQ","G6CW-VFD","Male"
"GKYJ-4LD","LZK8-W6R","Male"
"GKYJ-4LD","K2QZ-3YB","Female"
"GMW2-92X","L8QD-87T","Male"
"GMW2-92X","273X-SBR","Female"
"GN29-QLP","LRP5-HJS","Male"
"GN29-QLP","LRP5-SNN","Female"
"GS4K-LHH","G67D-TCY","Male"
"GS4K-LHH","G67D-P9V","Female"
"GX9D-MPX","MYX1-TTH","Male"
"GX9D-MPX","GX98-R19","Female"
"K2QL-87C","LT3L-N8F","Male"
"K2QL-87C","LT3L-TDX","Female"
"K2T4-MQC","LC66-SRY","Male"
"K2T4-MQC","27CW-6PJ","Female"
"K2VZ-9VX","K872-QWC","Male"
"K2VZ-9VX","KZJS-8G1","Female"
"K4RB-CV5","K8V7-GRH","Male"
"K4RB-CV5","K8QL-79Y","Female"
"K4XB-ZGN","K8PJ-8HT","Male"
"K8QW-GD2","L5YG-XYT","Male"
"K8QW-GD2","K8D9-Y5J","Female"
"KGB3-3SZ","LZ8M-XGY","Male"
"KGB3-3SZ","26KX-2QL","Female"
"KHXT-DWP","G6HS-Q8X","Male"
"KHXT-DWP","96XL-MYQ","Female"
"KLB8-1QB","GQF1-7LZ","Male"
"KLB8-1QB","KPDR-TZ3","Female"
"KLJJ-YVB","LV5Z-YQZ","Male"
"KLJJ-YVB","LHZZ-Y1F","Female"
"KVBG-CVS","LDLF-8R9","Male"
"KVBG-CVS","LDLF-8TN","Female"
"KVLP-XVS","LZG8-341","Male"
"KVLP-XVS","LZG8-3CX","Female"
"L14M-9P3","9C6H-5QW","Male"
"L14M-9P3","MD98-XCP","Female"
"L1R4-RH6","MBW6-L4N","Male"
"L1R4-RH6","G8N8-136","Female"
"L27H-ZMR","GLJB-MQQ","Male"
"L27H-ZMR","L7N5-C9Z","Female"
"L4CZ-3QD","LB96-FPZ","Male"
"L4CZ-3QD","LB96-Z8Q","Female"
"L4FK-Y7D","KN35-4D6","Male"
"L4FK-Y7D","KNZR-S8R","Female"
"L4HK-L9K","L7XP-TB5","Male"
"L4HK-L9K","LH11-TX4","Female"
"L4T6-WXC","LZ4F-G53","Male"
"L4T6-WXC","LHGS-1KZ","Female"
"L5BQ-TGL","G666-CGR","Male"
"L5BQ-TGL","9VYQ-PLB","Female"
"L5RT-PMJ","GHF1-7P7","Male"
"L5RT-PMJ","G3DP-QFK","Female"
"L62C-Z8Z","L62C-C9V","Male"
"L62C-Z8Z","L2ZG-CST","Female"
"L691-VC5","LCZS-VPZ","Male"
"L691-VC5","LHSQ-5YH","Female"
"L6B5-4MJ","KL43-Z4G","Male"
"L6B5-4MJ","L6B5-W31","Female"
"L6JV-CNK","LV3K-VTS","Male"
"L6JV-CNK","LH8V-NNV","Female"
"L8MB-C2K","LDF6-ZR9","Male"
"L8MB-C2K","L1R4-RH6","Female"
"L8MB-C2W","LZ23-6ZM","Male"
"L8MB-C2W","M2Z7-CJ3","Female"
"L8WL-YH1","LRBT-195","Male"
"L8WL-YH1","LVDL-6ZL","Female"
"LB7J-9BY","L7Y2-MMY","Male"
"LB7J-9BY","LZZW-WDR","Female"
"LBF9-CYZ","99VR-N9X","Male"
"LBF9-CYZ","LV5S-6Q4","Female"
"LC1B-1GV","LB6K-6VK","Male"
"LC1B-1GV","LRVF-TCN","Female"
"LC52-JSL","LH6B-T45","Male"
"LC52-JSL","LYGX-8SK","Female"
"LC8H-F4S","G6WC-DLQ","Male"
"LC8H-F4S","LX3R-GPG","Female"
"LCJX-S96","L2C5-HJX","Male"
"LCJX-S96","LCLY-R44","Female"
"LCP5-MQM","LCLY-SW8","Male"
"LCP5-MQM","MXJ2-QJ1","Female"
"LCPL-WPW","MW4Y-WNW","Male"
"LCPL-WPW","LBSJ-7PY","Female"
"LCPX-XTG","MC3Z-1ZY","Male"
"LCPX-XTG","KH29-DBZ","Female"
"LCXS-2CJ","LV3K-VTS","Male"
"LCXS-2CJ","LH8V-NNV","Female"
"LCY5-PZ1","M936-S4F","Male"
"LCY5-PZ1","2YR3-9WH","Female"
"LDF6-ZR9","M1NQ-6H6","Male"
"LDF6-ZR9","L611-BBK","Female"
"LDH1-W8D","LVGM-FHR","Male"
"LDH1-W8D","LTZ3-X5Z","Female"
"LDMW-9JN","LB4K-Z2W","Male"
"LDMW-9JN","49D5-G9D","Female"
"LDST-SFN","KH2X-8DZ","Male"
"LDST-SFN","KH38-KWH","Female"
"LH6B-TLS","LH6B-TJG","Male"
"LH6B-TLS","LZXG-2LB","Female"
"LH8B-9PS","LH3P-61W","Male"
"LH8B-9PS","K1WK-2H4","Female"
"LHF2-FSZ","LZJP-C6Q","Male"
"LHF2-FSZ","LZJP-CV9","Female"
"LHF8-Y64","M15R-GKM","Male"
"LHF8-Y64","LCDQ-TXD","Female"
"LHGD-KNS","LR1M-6CR","Male"
"LHGD-KNS","L7NT-VP4","Female"
"LHKK-GKQ","9K9R-YXL","Male"
"LHKK-GKQ","G3MX-HN7","Female"
"LHKK-RWT","LZ4K-BWF","Male"
"LHKK-RWT","L2C7-NB2","Female"
"LHKT-LPM","LZBG-MN5","Male"
"LHKT-LPM","M2HX-2ZQ","Female"
"LHW8-LSS","LH2J-K3M","Male"
"LHW8-LSS","L8HV-1V4","Female"
"LJYJ-2GM","LXQ2-YQN","Male"
"LJYJ-2GM","LXQ2-YZV","Female"
"LK3T-3RK","LK3T-SH8","Male"
"LK3T-3RK","LK3T-39D","Female"
"LK3T-NC5","LK3T-Q5W","Male"
"LK3T-NC5","LK3T-7QY","Female"
"LK3T-ND9","LKKM-HKP","Male"
"LK3T-ND9","MQKV-94Y","Female"
"LK6K-D15","L2YW-H7C","Male"
"LK6K-D15","LYBS-GZY","Female"
"LKMD-4XZ","G9DN-BSQ","Male"
"LKMD-4XZ","LDLF-8GN","Female"
"LLCC-G2L","LLCC-G2V","Male"
"LLCC-G2L","LZ66-K4N","Female"
"LLSC-98W","LVKH-WTY","Male"
"LLSC-98W","LBY2-XS3","Female"
"LM1Z-DNF","LZBG-MN5","Male"
"LM1Z-DNF","M2HX-2ZQ","Female"
"LRDF-9WJ","GLRP-LL2","Female"
"LRM2-PL9","LRQH-PFV","Male"
"LRM2-PL9","GQJK-Y24","Female"
"LRVV-YSJ","LHZN-5LF","Male"
"LRVV-YSJ","L8SK-J7R","Female"
"LT3F-935","LT3J-JQ7","Male"
"LT3F-935","LT3J-N9K","Female"
"LT3X-BSC","93R2-71L","Male"
"LT3X-BSC","93R2-WM7","Female"
"LTNR-6ZK","KNMT-233","Male"
"LTNR-6ZK","LTQF-F8P","Female"
"LTT3-L3X","LZDB-H9Y","Male"
"LTT3-L3X","GJ1F-TMC","Female"
"LV2Y-844","GLNV-WF9","Male"
"LV2Y-844","KNJD-KXV","Female"
"LV67-FMJ","LDSG-K2K","Male"
"LV67-FMJ","M77S-R8C","Female"
"LV76-5CW","GGQY-VFY","Male"
"LV76-5CW","GGQY-L4B","Female"
"LV7M-1JL","LLCP-ZWB","Male"
"LV7M-1JL","L41Y-NZW","Female"
"LV92-71L","MH47-CZR","Male"
"LV92-71L","G22S-WBN","Female"
"LVKG-XM9","KNSQ-S2Y","Male"
"LVKG-XM9","LXS3-FP7","Female"
"LWJV-TFQ","GZ7X-D1L","Male"
"LWJV-TFQ","M4P8-FPF","Female"
"LX7M-129","L6QQ-R5B","Male"
"LX7M-129","LDQV-BFV","Female"
"LYYR-MVK","GHH5-ZC4","Male"
"LYYR-MVK","MYLX-GCL","Female"
"LZ23-6ZM","GQ58-LX8","Male"
"LZ23-6ZM","GQ58-2YH","Female"
"LZ4N-XH1","LTTF-QR5","Male"
"LZ4N-XH1","LHFR-W3F","Female"
"LZ4V-6P4","9CGX-RJ1","Male"
"LZ4V-6P4","9CGX-YKZ","Female"
"LZBP-SWM","MDS6-T4R","Male"
"LZBP-SWM","LZVZ-SXC","Female"
"LZC5-LTD","KL4K-QDG","Male"
"LZC5-LTD","LDBG-3QK","Female"
"LZF3-9LY","LBHW-WLL","Male"
"LZF3-9LY","MVTH-QBV","Female"
"LZFW-4Y5","LB88-PJ4","Male"
"LZFW-4Y5","LZBL-49J","Female"
"LZG9-8P2","LYGY-XPR","Male"
"LZG9-8P2","LH5L-JHP","Female"
"LZKF-2YT","LCTP-BCG","Male"
"LZKF-2YT","9K8F-NLV","Female"
"LZKN-N5H","KLWS-WF4","Male"
"LZKN-N5H","LCVV-VJB","Female"
"LZL7-22L","LT2W-Y4Y","Male"
"LZL7-22L","M1FH-MGC","Female"
"LZLK-338","LZN6-9LT","Male"
"LZLK-338","LZLV-FC3","Female"
"LZLK-8QR","LZPX-VW5","Male"
"LZLK-8QR","K4D9-R3L","Female"
"LZLK-Q24","LRT4-NCT","Male"
"LZLK-Q24","LC8Q-Y4K","Female"
"LZLK-S2W","LVN4-W6L","Male"
"LZLK-S2W","LZLV-FC3","Female"
"LZPF-PVT","LV14-PSP","Male"
"LZPF-PVT","L5GR-532","Female"
"LZV6-5K2","LZKX-HGR","Male"
"LZV6-5K2","MSJZ-8M9","Female"
"LZXB-GRQ","LZPD-TZ6","Male"
"LZXB-GRQ","LHV9-JKY","Female"
"LZXR-ZQN","LCXW-72B","Male"
"LZXR-ZQN","LZXR-ZPD","Female"
"LZZW-8BK","LRGQ-GZB","Male"
"LZZW-8BK","LR4P-4QK","Female"
"M1ST-3Z8","LB79-2BV","Male"
"M1ST-3Z8","LC8T-966","Female"
"M2WP-LQ5","G8JB-4JR","Male"
"M9B1-JKC","LBQ3-96B","Male"
"M9B1-JKC","L5BF-QWZ","Female"
"M9VB-ZZP","LXQ5-F2V","Male"
"M9VB-ZZP","GCS7-DSP","Female"
"MDFX-RBD","975Y-VNS","Male"
"MDFX-RBD","LR1L-ZR4","Female"
"MGKW-ZP3","LZVW-576","Male"
"MGKW-ZP3","G8GT-P55","Female"
"MLHB-YRP","GCWG-92Z","Male"
"MLHB-YRP","GZY5-R5X","Female"
"MT29-M8X","2ZVG-C1Y","Male"
"MT29-M8X","947Z-SP2","Female"
"MVMR-8PM","GH2D-CFB","Male"
"MVMR-8PM","GH1X-GCC","Female"
