"fid","parent","gender"
"224H-FPN","L1GM-CXW","Male"
"24NS-LGZ","GG23-5GX","Male"
"278V-KQL","9SDL-H5C","Male"
"278V-KQL","MPLG-VL1","Female"
"27VJ-LSP","L8WJ-RZB","Male"
"27VJ-LSP","L8WJ-RW6","Female"
"29HB-DM2","L23H-RXW","Male"
"29HB-DM2","M952-2MJ","Female"
"29HB-DWP","LC84-XY1","Male"
"29HB-DWP","GGVY-C3P","Female"
"29MW-S9R","29MH-HTV","Male"
"29WW-Z3D","LCD9-SY1","Male"
"29WW-Z3D","LCD9-3MH","Female"
"2HM3-HZS","L8RB-Q8V","Male"
"2HM3-HZS","K2JQ-25W","Female"
"2KR4-9Z7","KJ5X-4TC","Male"
"2KR4-9Z7","L63J-L4C","Female"
"2S22-1KV","G47C-C81","Male"
"2S2L-2ZB","GKPN-XNL","Male"
"2S2L-2ZB","LBD3-ZZR","Female"
"2WH1-BT3","GNFY-DF5","Male"
"2WH1-BT3","MYVQ-1DW","Female"
"2Z4Z-WFW","L8MJ-Z22","Male"
"2Z4Z-WFW","LC2W-WPJ","Female"
"2ZCK-8L3","93F2-DZH","Male"
"2ZCK-8L3","L83K-S2B","Female"
"2ZSW-XCW","LJ1F-2MV","Male"
"2ZSW-XCW","GD5Y-HWZ","Female"
"4R34-732","GJCB-39D","Male"
"4R34-732","LBGK-B7N","Female"
"4XM6-ZRX","273N-T7T","Male"
"4XM6-ZRX","273N-T41","Female"
"4ZJZ-QJH","LV7Y-JZ6","Female"
"932V-TKM","M3FP-BN1","Male"
"93HY-M7Q","K8LB-DCX","Male"
"93HY-M7Q","KHRD-VJ4","Female"
"93HY-MW3","93HY-M4X","Male"
"93J3-X2T","M3BF-JL3","Male"
"93J3-X2T","4MYW-32D","Female"
"93KB-CNR","LRLP-2S7","Male"
"93KB-CNR","GVRM-WR9","Female"
"93KF-J1Y","G9VJ-9HD","Male"
"93KF-J1Y","MWVL-LLN","Female"
"93QJ-C5S","L4JQ-T4H","Male"
"93QJ-C5S","93QJ-RW9","Female"
"93QY-H15","LHK8-F9H","Male"
"93QY-H15","93QT-BLP","Female"
"941F-85K","LX79-5WP","Male"
"941F-85K","LX79-5ZY","Female"
"94NM-C3W","LC6P-BGW","Male"
"94NM-C3W","24LC-9QS","Female"
"94PP-RGV","LTXP-5TV","Male"
"94RB-PL1","LH29-ZP5","Male"
"94RB-PL1","M4WT-FT8","Female"
