"fid","parent","gender"
"21JJ-XXJ","LZLZ-WXG","Male"
"21JJ-XXJ","LHW6-X8T","Female"
"23JZ-7BB","GG9T-WBD","Male"
"23JZ-7BB","GFDB-V6Y","Female"
"26G1-K7G","9HBX-4RF","Male"
"26G1-KQS","277F-SR2","Male"
"26G1-KQS","G3WH-GCD","Female"
"26P9-RY5","LYCC-57J","Male"
"26P9-RY5","GGCC-N1M","Female"
"2736-LNS","LTHP-RT2","Male"
"2736-LNS","GX4R-JBC","Female"
"277W-22G","LYKY-4M1","Male"
"277W-22G","LHKS-K6B","Female"
"277W-2FK","G61Z-KNQ","Male"
"277W-2FK","LS33-ZWP","Female"
"278Y-SFL","KFP1-TJ3","Male"
"278Y-SFL","KFG8-DYN","Female"
"27DJ-1JF","GS8D-GV8","Male"
"27DJ-1JF","MDXN-ZFX","Female"
"27DZ-NGM","LVGF-65G","Male"
"27DZ-NGM","LVGN-DQN","Female"
"27S3-5LP","9CSK-2MK","Male"
"27S3-5LP","LR3D-2HH","Female"
"27S3-5PY","29T6-NNW","Male"
"27S3-5PY","L81F-567","Female"
"27SZ-NSM","KDBY-95K","Male"
"27SZ-NSM","KNZS-YRX","Female"
"297C-FKX","K8HM-JF8","Male"
"297C-FKX","GXSB-VVH","Female"
"297C-FRM","GMNW-4H9","Male"
"297C-FRM","G9CT-DCR","Female"
"2993-Y8D","LWJB-HM5","Male"
"2993-Y8D","M636-BFC","Female"
"29TC-RSV","LVSC-1DJ","Male"
"29TC-RSV","G2WY-WL4","Female"
"29TN-NN6","G3LQ-S9J","Male"
"29TN-NN6","L8YQ-WR6","Female"
"29Y4-1CJ","LTN4-LXW","Male"
"29Y4-1CJ","27SZ-5ZZ","Female"
"2CTB-Z8D","M29F-25K","Male"
"2CTB-Z8D","218J-3ZW","Female"
"2FY5-RQY","LCDS-YWV","Male"
"2FY5-RQY","L87N-3Z6","Female"
"2HKB-8QG","LZJC-F43","Male"
"2HKB-8QG","9QQJ-1CV","Female"
"2MGY-GL8","LZ6M-MKQ","Male"
"2MGY-GL8","LZGV-NH1","Female"
"2MQP-R6L","GQ6K-ZX6","Male"
"2MQP-R6L","L1S5-L2G","Female"
"2MRP-VGY","LC8T-YTQ","Male"
"2MRP-VGY","LH1W-PHS","Female"
"2MRR-CWH","2MRR-HPG","Male"
"2MRR-CWH","9H8F-54J","Female"
"2Q1M-GXC","9C39-L4Z","Male"
"2Q1M-GXC","LHKM-46V","Female"
"2Q1V-W6G","LVJR-DFK","Male"
"2Q1V-W6G","GJCK-BYC","Female"
"2QBB-MPK","GC3R-MJS","Male"
"2QBB-MPK","GVKS-MVG","Female"
"2S35-DFC","LCTZ-7H5","Male"
"2S35-DFC","LZBH-QNV","Female"
"2S4K-92J","G67T-C55","Male"
"2S4K-92J","GKV6-HBM","Female"
"2V4Q-SYX","GLSF-5DB","Male"
"2V4Q-SYX","LVP9-CP8","Female"
"2WD8-B3F","LNZB-6C6","Male"
"2WD8-B3F","LC28-7RP","Female"
"2WFL-Z7C","LTLK-VWQ","Male"
"2WFL-Z7C","M4YM-P76","Female"
"2WHV-XWQ","GQQ2-58N","Male"
"2WHV-XWQ","G8WB-GVJ","Female"
"2WJ8-NC2","KZL3-8L7","Male"
"2WJ8-NC2","2WJ8-NDF","Female"
"2WJ8-V9W","GZQ5-4K7","Male"
"2WJ8-V9W","L8JP-1GV","Female"
"2Z32-W8W","LQ5Y-7L1","Male"
"2Z32-W8W","2L39-R5D","Female"
"2Z3X-YDQ","KZRY-16M","Male"
"2Z3X-YDQ","K4LB-4J4","Female"
"2ZSH-SHD","GQ17-CPJ","Male"
"2ZSH-SHD","GG2T-2L9","Female"
"2ZSS-3MT","2ZSS-C7V","Male"
"2ZSS-3MT","2ZSS-CCW","Female"
"4P7Z-PYK","LCCV-C8Q","Male"
"4P7Z-PYK","L1LY-S6F","Female"
"932H-2MZ","LYW2-GQR","Male"
"932H-2MZ","LYCV-76C","Female"
"9335-6MW","93Q9-2GW","Male"
"9336-WF9","G61C-PGF","Male"
"9336-WF9","GNLY-HXN","Female"
"933G-5LN","937J-3QQ","Male"
"933G-5LN","937D-ZRJ","Female"
"9341-XB9","GC45-W8X","Male"
"9341-XB9","GC45-XJR","Female"
"9345-ZKL","G6NF-9H2","Male"
"9345-ZKL","GFZC-QNX","Female"
"9362-KQZ","LB23-CHV","Male"
"9362-KQZ","MMRJ-5SN","Female"
"9365-HGT","GLMJ-RWX","Male"
"9365-HGT","GCMW-6T4","Female"
"9376-KW3","LCF2-5PF","Male"
"9376-KW3","GW3J-DF6","Female"
"9378-VH3","L4WB-GC9","Male"
"9378-VH3","93QC-GK1","Female"
"9379-XGJ","LZ9S-LZJ","Male"
"9379-XGJ","MZN2-BXF","Female"
"937D-KVY","LTXQ-2H1","Male"
"937D-KVY","LZLB-PDC","Female"
"937J-XG9","9372-T44","Male"
"937J-XG9","9335-YTF","Female"
"937K-W1J","937K-WBL","Male"
"937K-W1J","GXY9-YJ2","Female"
"937V-DD8","LCZ2-P63","Male"
"937V-DD8","KZ3W-RH2","Female"
"937V-JTY","KL7Q-G62","Male"
"937V-JTY","937V-KXC","Female"
"937V-N6L","937V-NQP","Male"
"937V-WC5","93Q7-Z8P","Male"
"937V-WC5","G6PR-DZP","Female"
"937Z-4HW","LCRF-9SR","Male"
"937Z-4HW","GX84-9FM","Female"
"9399-T5R","MKJ2-9JS","Male"
"93DJ-SD7","G83C-834","Male"
"93DJ-SD7","LZLV-1BJ","Female"
"93JG-NYF","K4YF-63P","Male"
"93JG-NYF","9XNJ-LFM","Female"
"93KC-VQ8","LZ6Z-4PJ","Male"
"93KC-VQ8","94PD-3LX","Female"
"93LT-BFQ","LCFF-69W","Male"
"93LT-BFQ","L63N-YRQ","Female"
"93Q4-33T","933B-P6K","Male"
"93Q4-33T","933B-P63","Female"
"93Q4-GDX","GH3K-GXC","Male"
"93Q4-GDX","G3LW-B7H","Female"
"93Q4-MS9","L5T2-1JL","Male"
"93Q4-MS9","937F-L7N","Female"
"93Q9-XQD","G35V-87P","Male"
"93Q9-XQD","G7F7-ZWB","Female"
"93QC-3S2","GF67-K5G","Male"
"93QC-3S2","GGKY-7P4","Female"
"93QD-9CM","93QD-9HQ","Male"
"93QD-9CM","M7HB-HP1","Female"
"93QH-B67","93QH-BD4","Male"
"93QJ-BSV","93QJ-BMR","Male"
"93QK-BG2","L55X-ZGJ","Male"
"93QK-BG2","93QH-Y8C","Female"
"93QK-BHX","937V-D2Z","Male"
"93QK-BHX","9374-G8P","Female"
"93QM-94P","GN31-Z6D","Female"
"93QM-M3H","K4XX-N2X","Male"
"93QM-M3H","LWV3-YB5","Female"
"93QM-WJM","93QM-7QP","Male"
"93QM-WJM","93QM-7T9","Female"
"93QN-CDM","937J-Q2G","Male"
"93QN-CDM","937J-Q29","Female"
"93QN-L88","93QS-WKS","Male"
"93QN-L88","KLXS-GDZ","Female"
"93QS-TR9","93QS-PJ5","Male"
"93QS-TR9","GXX2-2JS","Female"
"93QT-RN8","GQ92-W52","Male"
"93QT-RN8","GQHV-93P","Female"
"93QW-PMZ","946T-24Y","Male"
"93QW-PMZ","946T-2HQ","Female"
"93RT-RKG","GDCP-5FC","Male"
"93RT-RKG","LDYP-HCW","Female"
"93YV-5WT","GZ4V-G4Q","Male"
"93YV-5WT","L17Q-8LG","Female"
"943F-TN4","LT6B-WVG","Male"
"943F-TN4","93QW-F7H","Female"
"9474-Z9S","LKVN-41T","Male"
"9474-Z9S","LRZM-MWF","Female"
"9488-9SH","L5PJ-PB6","Male"
"9488-9SH","LZPS-YTQ","Female"
"94JV-DDC","G228-2ZZ","Male"
"94JV-DDC","LJR3-SVY","Female"
"94PD-3LX","LX91-6FG","Male"
"94PD-3LX","LRSQ-RRP","Female"
"94R3-TX7","LYKD-NJ8","Male"
"94R3-TX7","999G-TNZ","Female"
"94R3-ZMK","93C9-SVB","Male"
"94TD-K7X","94TD-K7N","Male"
"94TD-K7X","94TD-KW4","Female"
"94WF-V7K","G6WG-DYJ","Male"
"94WF-V7K","GJM2-2Q3","Female"
"94Y9-23R","LD91-3SZ","Male"
"94Y9-23R","MMWD-3QP","Female"
"973N-LD4","L8WB-9SV","Male"
"973N-LD4","94K9-WZ4","Female"
"973R-JSX","LZK6-WTC","Male"
"973R-JSX","L6JL-PV4","Female"
"979W-K8X","LB9B-Q2Y","Male"
"979W-K8X","9CXW-RHM","Female"
"97H6-N3B","GL7N-4SQ","Male"
"97H6-N3B","G6PW-N7Y","Female"
"97KW-SYD","G43L-WVW","Male"
"97KW-SYD","L7G5-RQV","Female"
"97LS-QRX","LBMY-H9N","Male"
"97LS-QRX","GQ4Y-21Q","Female"
"9814-7H1","G84P-BX8","Male"
"9814-7H1","GLQX-J6M","Female"
"994L-SSD","LYF7-XB8","Male"
"994L-SSD","GX15-Y2H","Female"
"996D-3F1","M9JK-7JF","Male"
"996D-3F1","GJNK-7WW","Female"
"999S-GC9","GH56-WV1","Male"
"999S-GC9","GH55-F3B","Female"
"99D8-9YK","2MR4-75B","Male"
"99L8-P4X","LVXG-VSV","Male"
"99L8-P4X","GLKL-94K","Female"
"99N4-Y32","LY6K-XQC","Male"
"99N4-Y32","LYC2-DZ9","Female"
"99NX-KQY","G7LF-LJG","Male"
"99PV-HYP","LR92-872","Male"
"99PV-HYP","LRMH-JRL","Female"
"99QF-SZF","LBKS-TNX","Male"
"99QF-SZF","GC95-1S9","Female"
"99QR-ZCM","GF64-4DS","Male"
"99QR-ZCM","LZQ5-118","Female"
"99T5-MWS","GGXF-4FN","Male"
"99T5-MWS","GGXF-SS3","Female"
"99ZL-7JF","L2Q3-D6M","Male"
"99ZL-7JF","LR7L-ZBL","Female"
"9C39-L4Z","LYD3-3C6","Male"
"9C39-L4Z","KN4F-HR7","Female"
"9C6Q-23B","GL2Z-MZT","Male"
"9C6Q-23B","GG2W-5MM","Female"
"9C7M-B1Y","LZJP-WX1","Male"
"9C7M-B1Y","LD79-GMG","Female"
"9CDV-5JX","LD29-322","Male"
"9CDV-5JX","GQXR-R61","Female"
"9CDV-5TD","9CDV-5RV","Male"
"9CDV-5TD","9CDV-5R6","Female"
"9CDV-5VJ","9CDV-5JX","Male"
"9CDV-5VJ","GH72-GDR","Female"
"9CFX-P14","9CFX-P1F","Male"
"9CFX-P14","LVRL-Y9H","Female"
"9CHC-61L","LT9F-NSJ","Male"
"9CHC-61L","9CHH-52P","Female"
"9CHR-F7X","9CHT-HFL","Male"
"9CHR-F7X","9CHT-HFG","Female"
"9CHV-FLT","LK9C-3ML","Male"
"9CHV-FLT","LZR1-59L","Female"
"9CJS-5ZS","LYH9-6HM","Male"
"9CJS-5ZS","LYX1-DB3","Female"
"9CNP-X5S","LK1R-KS9","Male"
"9CNP-X5S","GSC6-1NQ","Female"
"9CQ1-KHL","GDBM-JPJ","Male"
"9CQ1-KHL","G783-ZZ4","Female"
"9CX4-GF3","9CX4-GFW","Male"
"9CX4-GF3","L293-KYL","Female"
"9CX4-GFQ","M1T1-FX4","Male"
"9CX4-GFQ","LVN5-WXM","Female"
"9CXH-25P","9C39-L4Z","Male"
"9CXH-25P","LHKM-46V","Female"
"9CXH-SN9","G7LK-CJP","Male"
