"fid","parent","gender"
"2HMS-7W4","LCT2-DP6","Male"
"2HMS-7W4","L2MH-916","Female"
"2WCM-3JJ","2W49-SNY","Male"
"2WCM-3JJ","2W49-S24","Female"
"2WN4-BY9","KLLB-DFV","Male"
"2WN4-BY9","LRHV-YWK","Female"
"2Z3B-HWV","LX3L-72S","Male"
"2Z3B-HWV","GGH7-626","Female"
"935N-8ZG","G8N8-NCK","Male"
"935N-8ZG","G8N8-DVH","Female"
"935N-8ZS","MB11-MC7","Male"
"935N-8ZS","MB15-SBW","Female"
"94L2-7QN","G9VX-9JF","Male"
"94L2-7QN","L6CV-QTZ","Female"
"9NT9-KKG","G97G-1G9","Male"
"9NT9-KKG","G97P-9BL","Female"
"9NT9-KKL","M7VJ-FJB","Male"
"9NT9-KKL","LWHV-QBT","Female"
"9WT6-2JF","LDJT-L6F","Male"
"9WT6-2JF","LDMN-RD8","Female"
"G9XV-F55","KJJF-2MQ","Male"
"G9XV-F55","KJJF-K61","Female"
"KC78-K8K","2XM9-V33","Male"
"KC78-K8K","LHT2-Q2L","Female"
"KFLD-LDY","93R2-HZ8","Male"
"KFLD-LDY","93R2-H8S","Female"
"KH3D-4X3","LC7P-GNN","Male"
"KH3D-4X3","9V8P-8PJ","Female"
"KN4X-49B","KN45-QTP","Male"
"KN4X-49B","KN4F-TTS","Female"
"KNFL-YY8","LKMD-9J7","Male"
"KNFL-YY8","L7KM-LKT","Female"
"KNXW-KQB","KCMJ-FMF","Male"
"KNXW-KQB","LVGW-PJR","Female"
"KP3C-7Y9","LHQ7-ZWF","Male"
"KP3C-7Y9","LHQ7-Z9G","Female"
"KPSM-9FX","9CSY-9C2","Male"
"KPSM-9FX","LZPT-WQM","Female"
"KPSM-9XH","KJZH-Y1L","Male"
"KPSM-9XH","KJZH-YBY","Female"
"KZBV-4WN","KN49-QXH","Male"
"KZBV-4WN","LH3F-1RB","Female"
"L5X6-32R","M9SL-9K3","Male"
"L5X6-32R","L83G-6GC","Female"
"L8BM-R6T","LCX4-VXL","Male"
"L8BM-R6T","L8DZ-3Q8","Female"
"L9PW-8GL","L25V-72W","Male"
"L9PW-DY7","KJ8F-X6P","Male"
"L9PW-DY7","MNN8-YG3","Female"
"LC4M-GRX","L2SP-PKG","Male"
"LC4M-GRX","LBGW-TKC","Female"
"LC4M-LVK","LCJ2-9NP","Male"
"LC4M-LVK","L15W-ZPG","Female"
"LCZ5-PJ7","LCZ5-PNJ","Male"
"LCZ5-PJ7","KC83-QHM","Female"
"LDQ1-3D9","LVJK-Y44","Male"
"LDQ1-3D9","LC38-G4K","Female"
"LH36-X2L","LSSS-PQ8","Male"
"LH36-X2L","LCVG-84Z","Female"
"LH36-XL7","MC3F-D8B","Male"
"LH36-XL7","L4QP-K67","Female"
"LH3X-GLB","K2JM-WDM","Male"
"LH3X-GLB","LH3X-P3L","Female"
"LH8V-RD8","KPWD-SBW","Male"
"LH8V-RD8","M73H-88T","Female"
"LHWX-NKH","L5F2-NHQ","Female"
"LJK1-SS6","L68Z-527","Male"
"LJK1-SS6","L2W7-Z69","Female"
"LJYC-2GH","LVG7-5VC","Male"
"LJYC-2GH","GF3F-HSP","Female"
"LQ5V-L4F","LCP2-JHD","Male"
"LQ5V-L4F","LCJN-NNL","Female"
"LZ99-FTJ","94D4-LHW","Male"
"LZ99-FTJ","GZNF-C3R","Female"
"MKG3-58R","LK5G-Q35","Male"
"MKG3-58R","GFG4-JBF","Female"
"MXSD-538","KZVR-5R6","Male"
"MXSD-538","K8GB-96Q","Female"
