"fid","type","year","place"
"LT84-S5R","Birth","1020","Besalú,  Girona, Cataluña, España"
"LH6C-PH1","Birth","1051","Forcalquier, Alpes-de-Haute-Provence, France"
"LT7M-NFY","Birth","1036","Nîmes, Gard, Languedoc-Roussillon, France"
"GJT8-19S","Birth","1036","Carcassonne, Languedoc-Roussillon, France"
"G9YH-WSJ","Birth","1040","Arles, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur, France"
"G2Z1-N7B","Birth","1052","Eure-et-Loir, Centre, France"
"GX3B-JJT","Birth","0945","Béziers, , Languedoc-Roussillon, France"
"GGBP-XNR","Birth","0958","Béziers, Hérault, Languedoc-Roussillon, Française"
"GSSN-KNJ","Birth","1085","Gers, Midi-Pyrénées, France"
"G2N9-NLG","Birth","1025","Rodez, Aveyron, Midi-Pyrénées, France"
"G2N9-XJF","Birth","1027","Carlat, Cantal, Auvergne, France"
"G2N9-TXR","Birth","1035","Rodez, Aveyron, France"
"KL62-481","Birth","1080","La Barthe-de-Neste, Bagnères-de-Bigorre, Hautes-Pyrénées, Occitanie, France"
"L2L8-GMG","Birth","1080","Hautes-Pyrénées, Midi-Pyrénées, France"
"LL4R-B2S","Birth","1120","France"
"GSM3-PQP","Birth","1045","France"
"GSM3-2BF","Birth","1045",NA
"LT63-NBW","Birth","1060","Montlezun ,province d'Astarac ,France"
"LT6W-3G7","Birth","1070","France"
"GX77-RND","Birth","1071","Monlezun-d'Armagnac, Condom, Gers, Occitanie, France"
"GXQT-R83","Birth","1075","Turenne, Correze, Limousin, France"
"M1YP-BGS","Birth","1079","Beaumont-de-Lomagne, Castelsarrasin, Tarn-et-Garonne, Occitanie, France"
"GZ6W-PM7","Birth","1080","Bordeaux, Gironde, Nouvelle-Aquitaine, France"
"L5VV-TFX","Birth","1095","France"
"L2TY-9Y9","Birth","1100","Paris, Île-de-France, France"
"2148-XL5","Birth","1080",NA
"GJRK-C3H","Birth","1105","France"
"KZJK-NGD","Birth","1120",NA
"G4BL-H1P","Birth","1080","France"
"G6ZS-MQM","Birth","1095","France"
"LKV6-JSK","Birth","1105","Mont-Saint-Jean, Côte-d'Or, Bourgogne, France"
"LKV6-NRR","Birth","1105","Sault, Vaucluse, Provence-Alpes-Côte d'Azur, France"
"GHLS-5X7","Birth","1101","Châtel-Censoir, Yonne, Bourgogne, France"
"G2KN-H87","MilitaryService","1096",NA
"GJYF-982","Death of Parent","1127","Mareuil-sur-Ay, Marne, Champagne-Ardenne, França"
"KNR4-WR9","Birth","1065","Bâgé-le-Châtel, Ain, Auvergne-Rhône-Alpes, France"
"G8NJ-JXT","Birth","1066","Saint-Chamond, Loire, Auvergne-Rhône-Alpes, France"
"9HVQ-XDQ","Birth","1047","Chapteuil, Haute-Loire, Auvergne, France"
"9HVZ-91L","Birth","1075","Saint-Julien-Chapteuil, Haute-Loire, Auvergne, France"
"G21F-ZYZ","Birth","1041","Toulouse, Frankrijk"
"KL62-WJW","Birth","1100","Clérieux, Drôme, Rhône-Alpes, France"
"G21F-Z5F","Birth","1105","Crest, Drôme, Rhône-Alpes, France"
"G21F-X3C","Birth","1110","Europa"
"G8XV-MD9","Birth","0993","Limoges, Haute-Vienne, Limousin, France"
"L121-RCV","Birth","1000","Champagnac-la-Noaille, Corrèze, Limousin, France"
"K2YN-3WB","Birth","0980","France"
"L6QR-Q7S","Birth","0980","France"
"9HL1-X87","Birth","1054","Forcalquier, Alpes-de-Haute-Provence, Provence-Alpes-Côte-d'Azur, France"
"LHZB-46D","Birth of Child","1100","Coustouges, Pyrénées-Orientales, Occitanie, França"
"9499-B7K","Birth","1060","Prades, Pyrénées-Orientales, Occitanie, Francia"
"9HVQ-WYL","Birth","1030",", , , France"
"9HV7-WVY","Birth","1045",", , , France"
"9H5D-VNX","Birth","1085","Europe"
"G8W1-YSS","Birth","1078","Barcelona, Catalonia, Spain"
"G3Z7-534","Birth","1066","Cabrera, Gomezserracín, Segovia, Castilla y León, Spain"
"G8TD-5RW","Birth","1071",NA
"LXS6-R1R","Birth",NA,"Besalú, Girona, Catalonia, España"
"KCP7-C29","Birth","1095","Europa"
"GLFM-FNW","Birth","1055","France"
"GLFM-RCK","Birth of Child","1081","Rohan, Morbihan, Bretagne, France"
"L2TR-B57","Birth","0977","Brittany, France"
"LVNQ-8VQ","Birth","1030","Rostrenen, Côtes-d'Armor, Bretagne, France"
"GMXR-GJ3","Birth","1036","Parthenay, Deux-Sèvres, Poitou-Charentes, Kingdom of France"
"LDTF-TTV","Birth","1055","Lusignan, Vienne, Poitou-Charentes, France"
"G677-5LW","Birth","1080","Lanvaudan, Morbihan, Bretagne, Frankreich"
