"fid","type","year","place"
"GHZ1-PFH","Birth","1355","Yorkshire, England"
"GDCP-5FC","Birth","1380","Markingfield Hall, Yorkshire, England"
"LDYP-HCW","Birth","1375","Ripon Liberty, Yorkshire, England"
"L25L-MB9","Birth","1375","Fife, Scotland"
"G6QM-9DG","Birth","1356","England"
"GHHC-2H5","Birth","1355","England"
"GV1V-GDK","Birth","1355","Edinburgh, Midlothian, Scotland"
"GJJB-7H4","Birth","1380",NA
"GJJT-RPY","Birth","1375","Kent, England"
"9MP5-L2C","Birth",NA,"Sutterton, Lincolnshire, England, United Kingdom"
"GKY7-PYQ","Birth","1360",NA
"GDP6-PWV","Birth","1314","Hingham, Norfolk, England"
"LVHK-LZX","Birth","1309","Hingham, Norfolk, England"
"L8S6-N51","Birth","1321","Banbury, Oxfordshire, England"
"L6NG-CS8","Birth","1327","Yorkshire, England"
"GDQT-S4N","Birth","1340","Bingham, Nottinghamshire, England"
"GDQT-4PD","Birth","1359","Marten, Great Bedwyn, Wiltshire, England"
"K1TD-GVV","Birth","1349","Hatfield, Yorkshire, England"
"LZNR-TYX","Birth","1349","Staunton Harold, Leicestershire, England"
"K1TD-GV3","Birth","1349","Lincoln, England"
"K1T6-4GQ","Birth","1351","England"
"GC3M-2X6","Birth","1349","Newark-on-Trent, Nottinghamshire, England"
"GK9N-76S","Birth","1348","Nottinghamshire, England"
"GLK5-CFG","Birth","1349","England, , , United Kingdom"
"LT5Z-98Z","Birth","1373","Eardisley, Herefordshire Unitary Authority, Herefordshire, England"
"L2J7-F52","Birth","1363","Laxton, Herefordshire, England"
"KHS2-HJ5","Birth","1368","Ross, Herefordshire, of Argincourt, England"
"GNPM-Z75","Birth","1365","Bridge Sollers, Herefordshire, England"
"GD1R-XJ4","Birth","1345","York Castle, York, Yorkshire, England"
"LB5M-MMV","Birth","1353","York Castle, York, Yorkshire, England"
"LH1W-R4Z","Birth","1354","Somerset, England, United Kingdom"
"GNF2-HD1","Birth","1355","Gloucestershire, England, United Kingdom"
"GGGK-LRK","Death",NA,NA
"GGGK-2P2","Death",NA,NA
"GHNT-71G","Birth","1362","Beverley, Yorkshire, England"
"GLJY-DV9","Birth","1365","Beverley, Yorkshire, England"
"GGJX-CB3","Birth","1375","Doncaster, Yorkshire, England"
"G8S6-WW6","Birth","1346","England"
"G8S6-7L5","Birth","1364","England"
"GG7D-1CM","Birth",NA,"Watford, Hertfordshire, England"
"GG7D-Y3H","Birth",NA,"Watford, Hertfordshire, England"
"K2MC-NZF","Birth","1327","Toruń, Kuyavia-Pomerania, Poland"
"K2MC-N8D","Birth","1334","Stebak, Prussia, Europe"
"GV7V-CFV","Birth","1348","Felsham, Suffolk, England, United Kingdom"
"GV7V-DWR","Birth","1382","England, United Kingdom"
"GLBB-SDN","Birth","1395","Errol, Perthshire, Scotland"
"GJJ1-5VZ","Birth","1395","Edinburgh, Midlothian, Scotland"
"GF48-PLR","Birth","1371","Douglas Castle, Lanarkshire, Scotland"
"K6HS-Q5N","Birth","1398","Lanarkshire, Scotland"
"GFRX-W2F","Birth","1380","Leslie, Fife, Scotland"
"GNVS-NLD","Birth","1395","Perth, Perthshire, Scotland"
"G2GF-QJY","Birth","1389","Dirleton Castle, Haddingtonshire, Scotland"
"MQD4-XMH","Birth","1375","Douglas, Lanarkshire, Scotland"
"9WHQ-5SN","Birth","1360","Ledbury, Herefordshire, England"
"LD5T-WBS","Birth","1350","Stisted, Essex, England, United Kingdom"
"LVF3-QVG","Birth","1355","Wittersham, Kent, England, United Kingdom"
"G7C6-SCF","Birth","1342","Philleigh, Cornwall, England"
"GJZJ-617","Birth","1345","Philleigh, Cornwall, England"
"LV46-RG4","Birth","1429","Scotland"
"G2S7-JYJ","Birth","1410","Tillicoultry, Clackmannanshire, Scotland"
"G2S7-CD6","Birth","1413","Tillicoultry, Clackmannanshire, Scotland"
"LF42-3CJ","Birth","1420","Edinburgh, Scotland"
"9C8Q-B7G","Birth","1423","St Monans, Fife, Scotland"
"947T-WNS","Birth","1422",NA
"LD5M-BXW","Birth","1375","Wigmore, Herefordshire, England"
"GXSX-19W","Birth","1380","England"
"G2LC-KP8","Birth","1385",NA
"GS8F-W3V","Birth","1367","Ashington, Somerset, England"
"GMNF-66M","Birth","1370","Somersetshire, England, United Kingdom"
"GVNK-HS2","Birth","1384","England, UnIted Kingdom"
"GVNK-SGQ","Birth","1389","England, UnIted Kingdom"
"GVNK-68N","Birth","1394","England, United Kingdom"
"GVNK-FJN","Birth","1399","England"
"L6KR-71P","Birth","1394",NA
"G614-N6Q","Birth","1385","Kedleston, Derbyshire, England"
"G9Q6-BH2","Birth","1329","Vittel, Vosges, Lorraine, France"
"GF1L-Z9K","Birth of Child","1380","Maxey, Sur, Meuse, Lorraine, France"
"G2TS-75J","Birth","1301","Easebourne, Sussex, England"
"G9L4-TXX","Birth","1324","Woodland, Durham, England, United Kingdom"
"L71S-XK9","Birth","1357","West Grinstead, Sussex, England, United Kingdom"
"GGK9-Y3X","Birth",NA,"Yorkshire, England"
"LDCW-L76","Birth","1311","Sussex, England"
"G8KN-LZ8","Birth","1316","Radinden, Sussex, England"
"L1XS-4JR","Birth","1348","Colton, Yorkshire, England"
"GZH9-8LQ","Birth","1356","Colton, Yorkshire, England"
"GX4Q-296","Birth","1360","Thurleigh, Bedfordshire, England"
"LK6S-3PF","Birth","1368","Thurleigh, Bedfordshire, England"
"MS25-7QQ","Birth","1355","Paston, Norfolk, England"
"G22V-R6F","Birth","1354","Paston, Norfolk, England"
"K2S7-CRH","Birth","1394","London, England, United Kingdom"
"MQJ9-W14","Birth","1395","London, Middlesex, England"
"9HC8-YHJ","Birth","1395",NA
"9HC8-YC9","Birth","1399","of Fressingfield, Suffolk, England"
"GLKT-L9R","Birth","1345","St Clears, Carmarthenshire, Wales"
"LHJZ-P69","Birth","1330","Llansteffan, Carmarthenshire, Wales"
"L89S-XL3","Birth","1355","Bodeon, Anglesey, Wales"
"GH3J-D6M","Birth","1344","Gilfachwen Isle, Llandysul, Cardigan, Wales"
"GH3K-GXC","Birth","1330","Iscerdin, Llandysul, Cardigan, Wales"
"G3LW-B7H","Birth","1329","Cedweli, Carmarthenshire, Wales"
"LZJG-3RY","Birth","1450","Slaugham, Sussex, England"
"LZJG-WP1","Birth","1453","Alfold, Surrey, England"
"LTHN-LR9","Birth","1440","Raby Castle, Durham, England, United Kingdom"
"LTHN-THM","Birth","1444","Sculton, Burdeleys, Norfolk, Braintree, Essex, England"
"MX8Y-57M","Birth","1450","Wickham, Berkshire, England"
"MQZB-4MN","Birth","1455","Bishopwearmouth, Durham, England"
"LVFX-CYH","Birth","1426","Cranbrook, Tunbridge Wells, Kent, England"
"9HY9-JJP","Birth","1426","Etchingham, Sussex, England"
"LVFS-CXW","Birth","1438","Glassenbury, Kent, England"
"G8P1-SDS","Birth","1440","Kent, England"
"LCXX-Y9C","Birth","1395","Moterham, Cheshire, England"
"26LW-M45","Birth","1396","Dorset, England"
"L6RF-3KG","Birth","1405","Dorset, England"
"LJ2D-8G2","Birth","1409","Dorset, England"
"GXGW-R5J","Birth","1430","Newbury, Berkshire, England"
"L4WG-FTF","Birth","1434","Selby, Yorkshire, England"
"G3CP-MZL","Birth","1434","Devon, England"
"G3CP-9T1","Birth",NA,"England"
"GW7J-MMF","Birth","1430","Oakhanger, Hampshire, England"
"GW7N-1X2","Birth","1440","Oakhanger, Hampshire, England, United Kingdom"
"GCTV-VZJ","Birth","1435","Budapest, Hungary"
"G9FB-KVQ","Birth","1435","Hungary"
"GZV8-H1H","Birth","1440","Derby, Derbyshire, England, United Kingdom"
"GXNJ-288","Birth","1394","Wrotham, Kent, England"
"LDBP-5MC","Birth","1394","Forde Hall, Wrotham, Kent, England"
"L1S2-Q46","Birth","1400","Fawnes Manor, Tatesham, Wrotham, Tonbridge and Malling, Kent, England, United Kingdom"
"GD5W-T8B","Birth","1405","Wrotham, Kent, England"
"GHF7-Q69","Birth","1370","Bodmin, Cornwall, England"
"LTJQ-CF1","Birth","1386","North Mymms, Hertfordshire, England"
"G7S3-JL7","Birth","1384","Stevenstone, Devon, England"
"G2L9-BW4","Birth","1385","Truro, Cornwall, England"
"GQQN-H3D","Birth","1395","Croxhall, Derbyshire, England"
"KNHZ-KCS","Birth","1430","Of, Elland, Yorkshire, England"
"LKVK-KVH","Birth","1436","Elland, Yorkshire, England"
"G9TY-MJ9","Birth","1440","Elland, Yorkshire, England"
"MP5K-9JG","Birth","1440","Elland, Yorkshire, England"
"GDWF-YFS","Birth","1430","Whitley Beaumont, Kirkheaton, Kirklees district, West Yorkshire, England, United Kingdom"
"GKRL-D21","Birth","1430","Whitley Beaumont, Kirkheaton, Kirklees district, West Yorkshire, England, United Kingdom"
"LY17-ZLY","Birth","1430","Yorkshire, England"
"G6GS-M12","Birth","1446","Edenhall, Cumberland, England"
"KJ4B-PLN","Birth","1348","Devonshire, England"
"LBZZ-MF2","Birth","1366","Devonshire, Devon, England"
"LZDN-JBX","Birth","1378","Stafford Castle, Staffordshire, England"
"LZX9-772","Birth","1383","Essex, England"
"G8NG-7L7","Birth","1385","Worcestershire, England"
"LW6R-CH2","Birth","1400","Madresfield, Worcestershire, England"
"MPZ3-86X","Birth","1410","Of, Bradwell, Gloucestershire, England"
"MPZ3-8FQ","Birth","1414","Besford, Worcestershire, England"
"L8RZ-CK8","Birth","1410","Powick, Worcestershire, England"
"LT91-T2T","Birth","1413","Chartley Castle, Staffordshire, England"
"G8D2-S8N","Birth","1399","England"
"LZPJ-GTN","Birth","1402","Great Cokesay, Worchestershire, England"
"G6PH-J66","Birth","1377","of Rhaglan, Monmouthshire, Wales"
"85ZZ-9ZX","Birth of Child","1443","Arrell, Gloucestershire, England"
"MF14-BPP","Birth of Child","1443","Arrell, Gloucestershire, England"
"GZKN-CGJ","Birth","1390","Bottisham, Cambridgeshire, England"
"9CZM-J1L","Birth","1411","Halesworth, Suffolk, England"
"9SKQ-DMM","Birth","1398","St. Donat's Castle, St. Donat's, Glamorganshire, Wales"
"9Z4L-FSK","Birth","1402","Winchester, Middlesex, England"
"GQBP-C9V","Birth","1382","Herefordshire, England"
"GHNX-WBZ","Birth","1394","Hampshire, England"
"KPQC-HMQ","Birth","1355","Berkeley, Gloucestershire, England"
"G8KF-LGX","Birth","1358","Raglan Castle, Raglan, Usk, Monmouthshire, Wales"
"L8BX-ZHN","Birth","1366","Epworth, Lincolnshire, England"
"GX66-N2Z","Birth","1387","Mead's Place, Wraxal, Gloucestershire, England"
"GX43-XPH","Birth","1392","Wraxall, Somerset, England"
"GZQ1-GTT","Birth","1390","Bristol, Gloucestershire, England"
"GD2H-5QL","Birth","1414","Hardwicke, Gloucestershire, England, United Kingdom"
"LKBF-YKZ","Birth","1440",", , , England, United Kingdom"
"LKBF-YP9","Birth","1440","Cannock, Cannock Chase, Staffordshire, England, United Kingdom"
"G7BB-771","Birth","1440","Carrickedmond, County Longford, Ireland"
"G7BB-9XH","Birth","1440","England, United Kingdom"
"G68F-VWN","Birth","1450","Essex, England"
"G68F-Y8P","Birth","1456","St Stephens by Saltash, Cornwall, England"
"M44C-VPD","Birth","1456","Cornwall, England"
"LBRP-VS6","Birth","1460","Cornwall, England"
"G61C-NKR","Birth","1436","Calne, Wiltshire, England"
"KK73-D62","Birth","1438","Calne, Wiltshire, England, United Kingdom"
"GQ6D-BCM","Birth","1405","Kenton, Suffolk, England"
"GX2Y-6BJ","Birth","1425","Friern Barnet, Middlesex, England"
"L6W7-93J","Birth","1420","Armauer Putney, Surrey, England"
"G613-4P3","Birth","1438","England"
"L2PW-6LV","Birth","1460","Holme upon Spalding Moor, Yorkshire, England"
"9ZHM-G6N","Birth","1464","Holme upon Spalding Moor, Yorkshire, England"
"GV1S-4XB","Birth","1460","Yarmouth, Norfolk, England"
"GV7C-SFP","Birth","1450","Yarmouth, Norfolk, , England"
"G6ZK-C19","Birth","1452","Forde Hall, Wrotham, Tonbridge and Malling district, Kent, England, United Kingdom"
"LR2G-TX6","Birth","1459","Spalding Moor, Yorkshire, England"
"LZG3-JPG","Birth","1430","Camborne, Cornwall, England"
"LJG2-MJM","Birth","1429",NA
"GM52-6Q7","Death",NA,NA
"LTFN-65M","Birth","1458","Llansanffraid, Llanarth, Monmouthshire, Wales"
"LTFN-XZ8","Birth of Child","1495","Lleyn, Caernarfonshire, Wales"
"LCZ2-P63","Birth","1470","Llangurig, Montgomeryshire, Wales"
"KZ3W-RH2","Birth","1482","Cefnamwlch, Caernarfonshire, Wales"
"GQ92-W52","Birth of Child","1466","of,Gorddwr,Montgomeryshire,Wales"
"GQHV-93P","Birth of Child","1466","of,Gorddwr,Montgomeryshire,Wales"
"933B-P6K","Birth",NA,"of,Maelor Gymraeg,Denbighshire,Wales"
"933B-P63","Birth",NA,"of,Arllechwedd,Caernarvonshire,Wales"
"MMP7-XWY","Birth","1380","London, England"
"GKNT-9HJ","Birth","1392","Tilsworth, Bedfordshire, England"
"GKNT-SCM","Birth","1412","Tilsworth, Bedfordshire, England"
"M24V-DTL","Birth","1472","Cirencester, Gloucestershire, England"
"G33V-3G5","Birth","1472","Standish, Metropolitan Borough of Wigan, Greater Manchester, Lancashire, England, United Kingdom"
"LHKK-4FV","Birth","1435","Widdington, Essex, England"
"M1SQ-82G","Birth","1435","Widdington, Essex, England"
"MSW4-82D","Birth","1435","Lindsell, Essex, England"
"9CWK-SGD","Birth","1440","Lindsell, Essex, England"
"G66K-4V1","Birth","1410","Wedmore, Somerset, England"
"GLZK-715","Birth","1410","Westminster, Middlesex, England"
"LCCQ-44Y","Birth","1440","Ruthin, Denbighshire Co., Wales"
"LRCW-WWQ","Birth","1433","Hatton, Cheshire, England"
"LWXS-8H3","Birth","1453","St. Amand, Grandon Underwood, Wiltshire, England"
"G3WH-9MY","Birth","1455","England"
"LTGM-QS1","Birth","1457","Sussex, England"
"LY1Q-KD7","Birth","1459","Stratfield Mortimer, Hampshire, England"
"LB9H-Z78","Birth","1415","England"
"GKKD-FGP","Birth","1422","Moreton Corbet, Shropshire, England"
"GS83-8B2","Birth","1435","Aston Botterell, Shropshire, England"
"GS83-WS5","Birth","1435","Shropshire, England"
"KLQM-TGY","Birth","1427","Longnor, Shropshire, England"
"LRZ3-LCS","Birth","1428","Bletsoe, Bedfordshire, England"
"9SXH-QXD","Birth","1439","Bolton, Lancashire, England"
"L1QM-18P","Birth","1440",NA
"LZD9-CXC","Birth","1457","Purley on Thames, Berkshire, England, United Kingdom"
"LD7D-GZN","Birth","1414","Girsby, Lincolnshire, England"
"LYRV-6RF","Birth","1425","Clifton, Nottinghamshire, England"
"KHTQ-2T8","Birth","1450","Wakefield, Yorks, Eng."
"KZ7D-DF8","Birth","1455","of Wakefield, Yorks, Eng."
"LTP9-ST7","Birth","1443","Wiston, Sussex, England, United Kingdom"
"LCXY-22G","Birth","1452","Sussex, England, United Kingdom"
