"fid","type","year","place"
"LRFJ-QRD","Birth","1360","Lincolnshire, England, United Kingdom"
"GJ3Y-4JT","Birth","1360",NA
"GS4Z-GVN","Birth","1350","Holton St Mary, Suffolk, England, United Kingdom"
"2Z3C-RNT","Birth","1352","Holton St Mary, Suffolk, England, United Kingdom"
"G4QC-HRL","Birth","1325","Lewes, Sussex, England"
"GQKD-X35","Birth","1325","Kingsham, Sussex, England"
"LCRB-F2Q","Birth","1335","Penhurst, Sussex, England, United Kingdom"
"LZPL-LD3","Birth","1338","Penhurst, Sussex, England. United Kingdom"
"G7H9-S6C","Birth","1348","England, United Kingdom"
"G32J-NLJ","Birth","1340","England, United Kingdom"
"GNY5-DC9","Birth","1340","Molesey, Surrey, England"
"GMNV-K21","Birth","1340","Penhurst, Sussex, England, United Kingdom"
"L555-CP9","Birth","1342","Cheshire, England, United Kingdom"
"LBSY-SSM","Birth","1347","Coddington, Cheshire, England, United Kingdom"
"945G-9G3","Birth","1365","Buckinghamshire, England, United Kingdom"
"L2RW-1BT","Birth","1365","Of Burnham, Buckinghamshire, England, United Kingdom"
"L2R4-M7V","Birth","1370","Of Burnham, Buckinghamshire, England, United Kingdom"
"LCRH-2Z4","Birth","1366","Shrewsbury, Shropshire, England"
"9CSL-LBL","Birth","1362","Mitford & Felton, Northumberland, England"
"KZJT-X4J","Birth","1300","Sterborough Castle, Lingfield, Surrey, England"
"LZ2V-Y4D","Birth","1325","Gloucestershire, England"
"GLK2-Q15","Birth","1305","England"
"GLKL-F6B","Birth","1320","Warwickshire, , , England"
"GZFM-PBC","Birth","1328","Isham, Northamptonshire, England"
"GZFM-X5Z","Birth","1338","Exton, Rutland, England"
"LH7X-59G","Birth","1362","Scarisbrick, Lancashire, England, United Kingdom"
"G76N-DJG","Birth","1362","Cumberland, England, United Kingdom"
"GL8H-K31","Birth","1375","England"
"GG3K-952","Birth","1375","England"
"LJGC-PX4","Birth","1340","Haddon Hall, Shropshire, England, United Kingdom"
"MW5W-HKC","Birth","1345","Beckington, Shropshire, England, United Kingdom"
"G431-JVL","Birth","1360","Butterwick, Lincolnshire, England"
"MKV9-TBK","Birth","1360","Butterwick, Lincolnshire, England, United Kingdom"
"LVDN-MYB","Birth","1348","Radcliffe, Lancashire, England"
"M98R-569","Birth","1362","Great Marley, Lancashire, England"
"L29K-1MP","Birth","1375",NA
"LJTX-4B2","Birth","1401","Derby, Derbyshire, England"
"GCLD-NB2","Birth","1401","Devon, England"
"L67M-XXG","Birth","1400","England"
"L67M-XN9","Birth","1400","England"
"G6VV-FSJ","Birth","1415","Surrey, England"
"L67M-XNC","Birth","1422","Bletchingley, Surrey, England"
"GD7M-65G","Birth","1390","Otterden, Kent, England, United Kingdom"
"GWXV-9QR","Birth","1395","Otterden, Kent, England, United Kingdom"
"GMJ9-NZL","Birth","1390","Enfield, Middlesex, England"
"GS2P-DFD","Birth","1393","Enfield, Middlesex, England"
"GDGF-LHY","Birth","1400",NA
"GQ66-297","Birth","1405","Waltham, City of Canterbury, Kent, England, United Kingdom"
"L1XQ-B91","Birth","1390","Stonham Aspall, Suffolk, England"
"LZXT-L3C","Birth","1380","England"
"GZTR-PTX","Birth","1410","Cubley, Derbyshire, England"
"LDFX-Z1B","Birth","1396","Hathersage, Derbyshire, England"
"K88C-WJ8","Birth","1400","Derby, Derbyshire, England"
"MTNB-ZGQ","Birth","1388","Marblethorpe, Lincolnshire, England"
"27S6-L1K","Birth","1405","Scrivelsby, Lincolnshire, England"
"G6S3-1MJ","Birth","1390","Old Romney, Kent, England"
"G6QW-3NZ","Birth","1390","Old Romney, Kent, England"
"GG5M-FTD","Birth","1425","Brenzett, Shepway District, Kent, England"
"GFB1-3H9","Birth","1385","Kent, England"
"GFB1-W4V","Birth","1382","Kent, England"
"K8SY-CHM","Birth","1412","Great Hyde Hall, Sawbridgeworth, Hertfordshire, England"
"KHM9-5W5","Birth","1414","Sawbridgeworth, Hertfordshire, England"
"GNZ3-5GC","Birth","1386","Cromer, Norfolk, England"
"L21W-1FH","Birth","1395","Herstmonceux, Sussex, England"
"GKFW-WMR","Birth","1395",NA
"GCNK-YM2","Birth","1361","London, City of London, Greater London, England, United Kingdom"
"GCK3-5HQ","Birth","1384","Ashby de la Zouch, Leicestershire, England, United Kingdom"
"GSD6-KYT","Birth","1400","Barry, Vale of Glamorgan, Glamorgan, Wales, United Kingdom"
"G7KR-3WN","Birth","1400","London, City of London, Greater London, England, United Kingdom"
"LKWW-3NK","Birth","1304","Dartmouth, Devon, England"
"LKWW-322","Birth","1328","Devon, England"
"L9P7-FX9","Birth","1318","Maidstone, Kent, England"
"LKRC-ZDP","Birth","1318","Maidstone, Kent, England"
"GVSW-YKY","Birth","1388","Exeter, Devon, England, United Kingdom"
"GVS4-7WZ","Birth","1391","Exeter, Devon, England, United Kingdom"
"LVWQ-2S9","Birth","1349","Mashbury, Essex, England"
"L6DP-PPD","Birth","1358","Peckleton, Leicestershire, England"
"GJTW-TGW","Birth","1357","Downe Court, Downe, Bromley, Kent, England"
"L2KQ-GJL","Birth","1340","Great Waltham, Essex, England"
"LTLH-GZR","Birth","1345","Great Waltham, Essex, England"
"GX13-MYN","Birth","1345","Great Thurlow, Suffolk, England"
"GXF6-BV2","Birth","1355","Great Thurlow, Suffolk, England"
"GL5C-QYS","Birth","1390","Herdmanston House, East Lothian, Scotland"
"LWFF-858","Birth","1297","Newcastle upon Tyne, Northumberland, England"
"LRGY-1W3","Birth","1304","Cockington, Devon, England"
"LJY4-51C","Birth","1312","Watton at Stone, Hertfordshire, England"
"GGKG-D5L","Birth","1255","England"
"LJ28-5C1","Birth","1260","Maxfield, Cheshire, England"
"GJGY-LVY","Birth","1231","Odd Rode, Cheshire, England"
"GL24-T2C","Birth","1234","Rode, Cheshire, England (United Kingdom)"
"GNXW-Y3C","Birth","1240","Hawarden, Flintshire, Wales, United Kingdom"
"M233-RYC","Birth","1240","High Legh, Cheshire, England"
"GMNV-13K","Birth","1320","Hatfield Broad Oak, Essex, England"
"KG8T-RZ4","Birth","1309","Essex, England"
"L5ZF-TJN","Birth","1332","Essex, England"
"LCT8-BXM","Birth","1335","Essex, England"
"GNHH-BKW","Birth","1275","Ongar Park, Essex, England"
"LVFK-XCF","Birth","1281","England"
"LB49-2QR","Birth","1300","Little Laver, Essex, England"
"LB49-8NY","Birth","1300","Essex, England"
"GG46-HQ6","Birth","1276","High Laver, Essex, England"
"94N6-ZD2","Birth","1280","Essex, England"
"94N6-Z68","Birth","1280","Essex, England"
"GZDQ-KLH","Birth","1275","Deighton, Yorkshire, England, United Kingdom"
"GHCB-QTK","Birth","1275","England, United Kingdom"
"GQRT-YYL","Birth","1343","Bridgnorth, Shropshire, England"
"LHZ3-4K8","Birth","1325","Warwick Castle, Warwickshire, England"
"9F37-ZV7","Birth","1330","Tamworth Castle, , Staffordshire, England"
"9H8F-5HM","Birth","1342","London, , Middlesex, England"
"LVRV-BQ5","Birth","1342","London, Middlesex, England"
"L6DT-CQC","Birth","1347","Wootton Wawen, Warwickshire, England"
"LDRR-GZS","Birth","1353","Wootton Wawen, Warwickshire, England"
"GC4C-1VZ","Birth","1269","Swynnerton Staffordshire England"
"GC46-M4C","Birth","1273","England"
"LHN2-ZPH","Birth","1370","Great Staughton, Huntingdonshire, England"
"LH1J-TVQ","Birth","1372","Monmouthshire, Wales"
"G61H-TDB","Birth","1380","Huntingdonshire, England"
"LDM5-8GH","Birth","1330","Chartres-de-Bretagne, Ille-et-Vilaine, Bretagne, France"
"GGNZ-7QQ","Birth","1335",NA
