"fid","type","year","place"
"LVNM-WN4","Birth","1100","Roslin Castle, Midlothian, , Scotland"
"G2PF-5ZL","Birth","1105","Stoke Trister, South Somerset district, Somerset, England, United Kingdom"
"G49Q-K86","Birth","1090","Bradfelle (Bradfield), Devon, England"
"GGWT-RGL","Birth","1095","England"
"KNY2-3Z6","Birth","1210","England"
"K69H-6XP","Birth of Child","1228","Malborough, Devon, England"
"KLYB-5V3","Birth","1200","Throwleigh, Devon, England"
"GFZ7-M5B","Birth","1101","Montgomeryshire, Wales, United Kingdom"
"G2X7-5FB","Birth","1101","Montgomeryshire, Wales, United Kingdom"
"GXZQ-3NZ","Death",NA,NA
"MDXQ-N2J","Birth","1205","Saltfleet, Lincolnshire, England"
"LV9K-SPW","Birth","1205",NA
"GL6Y-3M6","Birth",NA,"Stickworth, , , England"
"L853-7P4","Birth","1145","Barney, Norfolk, England"
"GMN5-FXR","Birth","1120","Bedingfield, Suffolk, England"
"GGM4-QVH","Birth","1124","Bedingfield, Suffolk, England"
"LB58-PVR","Birth","1121","Diocese of Ossory, Leinster, Ireland"
"M8NQ-L24","Birth","1180","Heveningham, Suffolk, England"
"K8SS-C6K","Birth","1180","Heveningham, , Suffolk, England"
"LJYC-S6Y","Birth","1134","Clayhidon, Devon, England, United Kingdom"
"GMN5-LHB","Birth","1154","Stapleton, Shropshire, England"
"L1JV-M8J","Birth","1154","England"
"GCM9-D8T","Birth","1150","Malton, Yorkshire, England, United Kingdom"
"GKKW-B3H","Birth","1149","Malton, Yorkshire, England, United Kingdom"
"L6MQ-B6V","Birth","1102","Conwy, Caernarfonshire, Wales"
"G62V-FGB","Birth","1125","Hatfield, Yorkshire, England, United Kingdom"
"MDFN-MQG","Birth","1120","Hatfield, Yorkshire, England"
"LHGP-4FJ","Birth","1188","Newton St Loe, Somerset, England, United Kingdom"
"GG3K-7B9","Birth","1093",NA
"GG3K-Q41","Birth of Child","1197",NA
"L7J6-BB9","Birth","1123","England"
"GXTQ-M27","Birth","1126","Great Wymondley, Hertfordshire, England"
"GC4Z-CH6","Birth",NA,"Halesworth Suffolk England"
"GXFX-C57","Marriage","1144","England"
"LHGG-1FT","Birth","1150","Cavendish, Suffolk, England"
"GKDP-MZ6","Birth","1152","Cavendish, Suffolk, England"
"G3Q9-FJZ","Birth","1160","Bradshaw, Bolton, Greater Manchester, England, United Kingdom"
"GHFZ-W8S","Birth","1172",NA
"GQ67-J2T","Birth","1150","Manor, South Yorkshire, England, United Kingdom"
"99SH-3ZP","Death",NA,NA
"LZJK-3W2","Birth","1158","Chetwynd, Shropshire, England, United Kingdom"
"GXR2-MHX","Birth","1193","England, United Kingdom"
"GZ5M-42W","Birth","1185","Europe"
"GM3R-CQS","Birth","1190","Malpas, Cheshire, England"
"LQRX-2VL","Birth","1170","Grindon,Stafford,England"
"LQRX-LW3","Birth","1180","England, United Kingdom"
"G6K1-9ZL","Birth","1140","Staffordshire, England, United Kingdom"
"L1B1-KW8","Birth","1190","Farington, Lancashire, England"
"KJ43-LQ3","Birth","1199","Leyland, Lancashire, England"
"GMT2-QF5","Birth","1200","Keighley, Yorkshire, England"
"GMTK-B4Z","Birth","1200","Keighley, West Yorkshire, England, United Kingdom"
"GZVD-63W","Birth","1205","Nunney, Somerset, England"
"G6B9-KSZ","Birth","1207","Somerset, England"
"GDLX-7Z1","Birth","1175","Clifton Campville, Staffordshire, England, United Kingdom"
"GDLX-ZCW","Birth","1196","Coughton, Warwickshire, England, United Kingdom"
"GMNX-4S9","Birth","1200","Aldermaston, Berkshire, England"
"G6P5-9L2","Birth of Child","1230","Aldermaston, Berkshire, England"
"LC5G-HK2","Birth","1146","Rycote, Oxfordshire, England"
"LC5G-H2C","Birth","1148","Rycote, Oxfordshire, England"
"94ZT-DH2","Birth","1147","Appleton, Oxfordshire, England"
"GD9Z-FX5","Birth","1280","England"
"M7HX-1X1","Birth","1220","Stansfield, Yorkshire, England"
"M1RB-Z6M","Birth","1224","Midgley, Yorkshire, England"
"GG3C-WPD","Birth",NA,"Flockton, Yorkshire, England"
"MN4H-4NS","Birth",NA,"Copley, Halifax, Yorkshire,England"
"LY2Q-SSG","Birth","1232","Yorkshire, England"
"LY2Q-J94","Birth","1247","Mirfield, Halifax, Yorkshire, England"
"KHJW-S89","Birth","1262","Islandshire, Norham and Islandshire, Durham, England, United Kingdom"
"94JL-LV7","Birth","1264","of Haggerston in Islandshire, Durham, Engl"
"MQCV-NV8","Marriage","1288",NA
"94JG-FMR","Birth","1265","Islandshire, Norham and Islandshire, Durham, England, United Kingdom"
"GXMZ-HHV","Birth","1246","Newcastle upon Tyne, Tyne and Wear, England, United Kingdom"
"GZBX-N4L","Birth","1250","Newcastle, Northumberland, England"
"GMJ9-Z1R","Birth","1208","Lancashire, England"
"LBWR-ZZJ","Birth","1220","Haigh, Lancashire, England"
"GZ2M-CP4","Birth","1185","England"
"GGH5-BHC","Birth","1195","England"
"MBBY-MF3","Birth","1192","Styford, Northumberland, England"
"G8L9-N4T","Birth","1209","Durham, England"
"LDYQ-DJ6","Birth","1154","Wilton, Wiltshire, England"
"LVLN-KVR","Birth","1155","Goosnargh, Lancashire, England, United Kingdom"
"LVLN-KNF","Birth","1135","Linton, Herefordshire, England, United Kingdom"
"KN4P-TZB","Birth","1135","Linton, Herefordshire, England, United Kingdom"
"G7KV-PP8","Birth","1142","Shropshire, England"
"L5N1-V1L","Birth","1145","Quy, Cambridgeshire, England"
"G7XV-7WF","Birth","1089",NA
"GQHQ-54J","Birth","1160","Lyonshall, Herefordshire, England"
"LJ1D-9C4","Birth","1165","Weobley, Hereford, England"
"GQGR-MYK","Birth","1166","Hereford, Herefordshire, England"
"GQGR-CVW","Birth","1167","Hereford, Herefordshire, England, United Kingdom"
"9MJJ-SJP","Birth","1174","Sutton, Lancashire, England"
"KCY6-GY3","Birth","1135",NA
"LBKF-1T4","Birth","1136",NA
"G4FC-DVD","Birth","1140","Vilademuls, Pla de l'Estany, Girona, Cataluña, España"
"G4FD-5LC","Birth","1180","Girona, Catalunya, Spain"
"KN4X-2KW","Birth","1196","Of, , Gerona, Spain"
"GGZG-1FS","Birth","1185","Spain"
"G68L-PSW","Birth","1150","Champagne, Dordogne, Aquitaine, France"
"9CHH-M6H","Birth","1155",NA
"G399-R11","Birth","1175","Nesle, Somme, Picardy, France"
"LYC1-4P9","Birth","1184","Beveren, Beveren-Waas, East Flanders, Belgium"
"LKP7-P3D","Birth","1160","Stuttgart, Baden-Wurttemberg, Germany"
"L8ZD-Q39","Birth","1178","Vöhringen, Sulz, Württemberg, Germany"
