"fid","type","year","place"
"GNC1-PKH","Birth","1064","Ireland"
"GD2L-TGY","Birth","1025","Diocese of Dublin, Leinster, Ireland"
"LJL1-FRP","Birth","1030","Meath, Ireland"
"G6R8-7WV","Birth","1035","Wexford, County Wexford, Ireland"
"L7GV-JX4","Birth","1046","Leinster, Ireland"
"GQHW-1Y8","Birth","1000","Avranches, Manche, Normandy, France"
"GG4Y-G17","Birth","1000","France"
"GLQM-3ZD","Birth","1030","Wales"
"GGL1-N2C","Birth of Child","1005","Saint-Sauveur, Basse-Normandie, France"
"LBST-K27","Birth",NA,"Dieppe, Seine-Maritime, Haute-Normandie, France"
"L1GY-G7Z","Birth","1076","Lytchett Matravers, Poole, Dorset, England"
"LW5T-23F","Birth","1074","Preston Plucknett, Somerset, England, United Kingdom"
"GHX3-5Z7","Birth",NA,"Devon, England"
"GHXR-WG8","Death",NA,NA
"G229-6BL","Birth","0999",NA
"L1MB-97V","Birth","1140","Brackley, Northamptonshire, England"
"L1MY-2YR","Birth","1140","Woodford, Northamptonshire, England"
"GMND-7Y5","Birth","1110","Flockthorpe Manor, Hardingham, Norfolk, England"
"LYL9-DFX","Birth","1115","Toppesfield, Essex, England"
"GZLH-6R3","Birth","1025","Le Puy-en-Velay-Est, Auvergne, France"
"GZPG-WDQ","Birth","1026","France"
"GK4N-VY6","Birth","1105","England, United Kingdom"
"GNHC-QMB","Birth","1110","Somerset, England, United Kingdom"
"GC1D-BZS","Birth","1110","Picardy, France"
"GNHH-KG2","Birth","1113","Picardie, France"
"MZST-6JV","Birth","1070","Woodsome, Yorkshire, England"
"MZST-6J1","Birth","1074","Of, Woodsome, Yorkshire, England"
"937V-FTV","Birth","1170","of Glyn Llifon,Llandwrog,Caernarvonshire,Wales"
"GFSJ-J4F","Birth","1174","Llandwrog, Caernarfonshire, Wales"
"933T-6TS","Birth",NA,"of,,Caernarvonshire,Wales"
"937K-JR8","Birth",NA,"of Bodegri,Llanrhyddlad,Anglesey,Wales"
"9WM7-JXX","Birth","1249","Glyn, Denbighshire, Wales"
"G665-4NQ","Birth","1253","Glyn, Denbighshire, Wales"
"KCXD-X7Q","Birth","1210","Flintshire, Wales, United Kingdom"
"KHWG-NLL","Birth","1214","Flintshire, Wales, United Kingdom"
