"fid","type","year","place"
"LVMC-LW4","Birth","1523","Leominster, Herefordshire, England"
"L7JT-T4D","Birth","1550","Bridstow, Ross on Wye, Herefordshire, England"
"GQ8N-LXH","Birth","1550","Coof, Herefordshire, England"
"GV46-F53","Birth","1573","Bishop's Stortford, Hertfordshire, England"
"L18X-S8Q","Birth","1573","Southampton, Hampshire, England"
"LBJR-5J6","Birth","1576","Southampton, Hampshire, England"
"K422-P7S","Birth","1572","Pulborough, Sussex, England"
"LRWV-M7Y","Birth","1575","Pulborough, Sussex, England"
"LB2G-CKS","Birth","1555","Shermanbury, Sussex, England"
"GGF2-Z73","Birth","1564","of Cowfold, Sussex, England"
"MRL4-4HT","Birth","1574","Lechlade, Gloucestershire, England"
"224H-FPN","Birth","1577","Lechlade, Gloucestershire, England"
"LH2V-RD6","Birth","1566","Scrooby, Nottinghamshire, England"
"LH5W-4T5","Birth","1569","Scrooby, Nottinghamshire, England"
"L5PT-FL6","Birth","1565","Shaftesbury, Dorset, England"
"LT4B-6GM","Birth","1575","Cattistock, Dorset, England"
"LK9W-JZF","Birth","1575","Lincolnshire, England"
"LY3W-K7X","Birth","1578","Brabant, Netherlands"
"9X1J-7SX","Birth","1570","England"
"KNZG-VFH","Birth","1522","Sudbury, Suffolk, England"
"LZVZ-C35","Birth","1528","Sudbury, Suffolk, England"
"KC8Z-WTN","Birth","1522","Sudbury, Suffolk, England"
"LHSC-CZZ","Birth","1530","Sudbury, Babergh, Suffolk, England"
"MHHY-CBZ","Birth","1567","Long Sutton, Somerset, England, United Kingdom"
"GGRJ-36J","Birth","1570","Probably Somerset, England, United Kingdom"
"LCY4-D79","Birth","1554","Stanton Saint Quintin, Wiltshire, England"
"LVGV-SJ5","Birth","1558","Stranton, Wiltshire, England, United Kingdom"
"LKFF-MTV","Birth","1564","Cholderton, Wiltshire, England"
"L711-Q7J","Birth","1559","Steventon, Berkshire, England"
"LV8V-5WJ","Birth","1535",NA
"MM61-R3X","Christening","1560","Yardley Hastings, Northamptonshire, England"
"LHT7-8X8","Birth","1543",NA
"L5K9-J5Z","Marriage","1568","Hardingstone, Northamptonshire, England"
"29HB-DWP","Birth","1554","Oakington, Cambridgeshire, England"
"29HB-DM2","Birth","1545","Rushton, Northamptonshire, England, United Kingdom"
"L457-4H4","Birth","1522","Gargrave, Yorkshire, England"
"LH7Z-T6J","Birth","1525","Long Stanton, Cambridgeshire, England"
"GGG7-4P6","Birth","1544","Midloe St Neots, Huntingdonshire, England"
"GGGQ-T84","Birth","1545","Waterton, Yorkshire, England"
"LRYG-SJG","Birth","1580","Kirtling, Cambridgeshire, England"
"LRYL-Y9H","Birth","1580","Cambridge, Cambridgeshire, England"
"G6DV-37V","Birth of Child","1600","Stepney, Middlesex, England"
"G6DV-6XN","Birth of Child","1600","Stepney, Middlesex, England"
