"fid","type","year","place"
"LF7J-9W5","Birth","1474",NA
"GNW2-5V5","Birth","1504","Deddington, Oxfordshire, England"
"LRPS-PWX","Birth","1504","Sandridge, Hertfordshire, England"
"GVSR-97W","Birth","1498","Andover, Hampshire, England"
"GZ2B-6B5","Birth","1510","Andover, Hampshire, England"
"GDL2-L57","Birth","1517","Essex, England"
"GGSK-NVX","Birth","1515","Colchester, Essex, England"
"GGSK-PPT","Birth","1505","Essex, England"
"GS51-SSR","Birth","1500","England"
"GGS2-3JY","Birth","1500","Cirencester, Gloucestershire, England"
"LKCW-WQM","Birth","1465","Calne, Wiltshire, England"
"LKCW-WNY","Birth","1469","Calne, Wiltshire, England"
"G4YS-Y58","Birth","1460","Sidbury, Devon, England, United Kingdom"
"GFZB-L18","Birth","1462","Devon, England"
"GGMB-LYP","Birth","1479","Monmouth, England"
"G6TJ-BZ6","Birth","1480","Devon, England"
"G85N-55Y","Birth","1499","Stewkley Grange,Wiltshire,England"
"GZR4-DP8","Birth","1440","England"
"GLRH-LPL","Birth","1445","East Bridgeford, Nottinghamshire, England"
"G22G-5NS","Birth","1405","Cambridge, Gloucestershire, England"
"GJR5-JFD","Birth","1400","Cambridge, Gloucestershire, England"
"GNHS-FHY","Birth","1440","Derby, Derbyshire, England"
"9C6G-TV3","Birth","1445","Derbyshire, England"
"9C6G-GQW","Birth","1430","England"
"9C6G-YFB","Birth","1430","Chesterfield, Derbyshire, England"
"G3X5-9LQ","Birth","1460","Welbourn, Lincolnshire, England"
"GWS1-JBP","Birth","1462","Knockin in Oswestry, Shropshire, England"
"G633-LHG","Birth","1474","Welbourn, Lincolnshire, England"
"G7C6-FPB","Birth","1472","Warwickshire, England"
"MFRN-YTR","Birth","1440","Nottinghamshire, England"
"MFRN-YY7","Birth","1445","Nottinghamshire, England"
"G4H1-6N8","Birth","1464","Homme, Hertfordshire, , England"
"GHC1-MZF","Birth","1464","Godalming, Surrey, England"
"GF1H-DLD","Birth of Child","1505",", Hertfordshire, England"
"GF1H-V57","Birth of Child","1505",", Hertfordshire, England"
"LBHN-3F6","Birth","1450","Dalry, North Ayrshire, Scotland"
"LYSP-257","Birth","1435","of St. Omer,Pas-de-Calais,France"
"G9R6-W4F","Birth","1435",NA
"L4Y3-QYG","Birth","1440","Châteaubriant, Loire-Atlantique, Pays de la Loire, France"
"L4Y3-QTQ","Birth","1452","Beyne, Normandie, France"
"G7H2-N31","Birth","1440","Of, Tartas, Landes, France"
"G3FZ-L7T","Birth","1452","France"
"LBGF-9YP","Birth","1435","Netherlands"
"GN4Y-1VP","Birth","1453","Comminges, Midi-Pyrénées, França"
"94T6-PT3","Birth","1459","Saint-Omer, Pas-de-Calais, Nord-Pas-de-Calais, France"
"94T6-PTH","Birth","1471","France"
"LYZB-ZT3","Birth","1434",NA
"G6QP-YKK","Birth","1441","Lille, Nord, France"
"LYDK-LBB","Birth","1465","France"
"27SY-82J","Birth","1465","Hénin-Beaumont, Pas-de-Calais, France"
"LDV4-CBG","Birth","1476","Ayrshire, Scotland"
"L22D-2J6","Birth","1482","Eglinton Castle, Kilwinning, Ayrshire, Scotland"
"GSRR-XGK","Birth","1473","Hawkhead, Renfrewshire, Kingdom of Scotland"
"L8B3-8SY","Birth","1471","Duntreath Castle, Stirling, Stirlingshire, Scotland"
"G29X-QNS","Birth","1475",NA
"GGPH-5K3","Birth","1486",NA
"LZ8W-WH5","Birth","1465","Lochwinnoch, Renfrewshire, Scotland"
"GG6G-1YN","Birth","1457","Ochiltree, Ayrshire, Scotland"
"LVNM-Z8Y","Birth","1460","Eglinton Castle, Kilwinning, Ayrshire, Scotland"
"LB39-554","Birth","1460","Eglinton Castle, Kilwinning, Ayrshire, Scotland"
"M4H5-L2T","Birth","1446","Torthorwald, Dumfries-Shire, Scotland"
"GG88-5XD","Birth of Child","1466","Torthorwald, Dumfriesshire, Scotland"
"LVC7-R1J","Birth","1430","Calderwood, Lanarkshire, Scotland"
"LBD8-CL4","Birth","1434","Linlithgowshire, Scotland"
"GJBZ-DTM","Birth","1461","Kilburnie, Aryshire, Scotland, United Kingdom"
"GJBW-RTD","Birth","1464","Sanquhar, Dumfriesshire, Scotland"
"LB16-YKJ","Birth","1449","Loudoun, Ayrshire, Scotland"
"GM17-FTX","Birth","1465","Cassillis House, Maybole, Aryshire, Scotland"
"G8HV-Q29","Birth","1463","Riccarton, Ayrshire, Scotland, United Kingdom"
"GG26-S8H","Birth","1466","Cathcart, Renfrewshire, Scotland"
"9QPS-JHF","Birth","1425",NA
"9QPS-JCS","Birth","1425",NA
"99LT-LNP","Birth","1375","County Kerry, Ireland"
"MTR1-K8B","Birth","1372","Ireland"
"LT84-6KD","Birth","1340","Kilbrittain Castle, County Cork, Ireland"
"99QR-ZCM","Birth","1384","Cork, Cork, Ireland"
"L1FK-F1B","Death of Parent","1374","Gill Abbey, Cork, Cork, Munster, Ireland"
"GX66-5NB","Birth","1385","Cork, Cork, Ireland"
"G2P3-W4L","Birth","1385","Castletown, County Kildare, Ireland"
"G2P3-3XP","Birth","1386","Maynooth, County Kildare, Ireland"
"GSG3-XFX","Birth","1381","Castlemartin, County Kildare, Ireland"
"GWHK-ZHL","Birth","1380","Baggotrath Castle, Dublin, Dublin, Leinster, Ireland"
"L1BP-DPV","Birth","1410","County Meath, Ireland"
"L1BP-8MW","Birth","1410","Castleknock, County Dublin, Ireland"
"G9JG-6VK","Birth","1429","Barry Roe, Cork, Ireland"
