"fid","type","year","place"
"GWXV-KH7","Birth","1236","Backford, Cheshire, England"
"G3G6-PHF","Death",NA,NA
"KGMJ-RDJ","Birth","1258","Latchford, Cheshire, England"
"KHPB-DV8","Birth","1262","Latchford, Chesh, Engl"
"94NH-9BX","Birth","1259","Lostock Gralam, Cheshire, England"
"94NH-919","Birth","1258","Woodhey, Cheshire, England"
"MFDC-1T9","Birth","1245","<,,, England>"
"G24B-NSP","Birth","1245","England"
"LH5T-TBN","Birth","1198","Stoke-Talmage Manor, Oxfordshire, England"
"LH5T-TBF","Birth","1210","Bury St Edmunds, Suffolk, England"
"LLWK-7Z4","Birth","1155","Melmerby,Coverham,Yorkshire,England."
"GHXG-BTB","Birth","1180","Yorkshire, England"
"G47T-81H","Birth","1182","Workington in Coupland, Cumberland, England"
"GM62-MQQ","Birth","1180","Yorkshire, England"
"GN1T-9C9","Birth","1182","England"
"GZ2M-DY3","Birth","1203","Ruckley & Langle, Atcham, Shropshire, Eng."
"GZ2M-61M","Birth","1200","England"
"L5Y4-JDW","Birth","1179","Erroll, Perth, Scotland"
"L5Y8-5XL","Birth","1192","Cogges, Oxfordshire, England"
"93RK-4BW","Birth","1190","Buckinghamshire, England"
"9QQG-D4B","Birth","1092","CAMBRIDGESHIRE, ENGLAND"
"G7Y1-7F9","Residence","1939","Islington, London, England, United Kingdom"
"G4B7-TMQ","Birth","1205","England"
"G4BW-7M4","Birth","1205","England"
"9ZZD-WZ8","Birth","1211","Wincanton, Somerset, England"
"LHRY-FNQ","Birth","1212","Sutton Montis, Somerset, England"
"9S8D-BXK","Birth","1100","England"
"GGTN-BN4","Birth","1100","England"
"LKRC-33N","Birth","1126","Buildwas, Shropshire, England"
"GGRZ-5ZK","Birth","1126","England"
"GZDQ-KKW","Birth","1089","Cokefeld, Bury St Edmunds, Suffolk, England"
"LK5P-CTH","Birth","1094",NA
"L52B-53B","Birth","1100","Pembroke, Pembrokeshire, Wales"
"LRGB-S14","Birth","1113","Pembroke, Pembrokeshire, Wales"
"G6TF-1MP","Death",NA,NA
"K2X4-8K3","Birth","1156","Stonor, Oxfordshire, England"
"GVTV-DNY","Birth","1168","Rippingale, Lincolnshire, England, United Kingdom"
"GKT9-53L","Birth","1170","Rippingale, Lincolnshire, England"
"L7L5-J29","Birth","1149","Waltham, Kent, England"
"G8TR-8XW","Birth","1154","Kent, England"
"G2PZ-N27","Birth","1156","Kent, England"
"G2PZ-DD5","Birth","1160","Amington,Warwickshire,England."
"LC5G-6PT","Birth","1115","Lincolnshire, England, United Kingdom"
"LRZ4-PB6","Birth","1119","Alfreton, Derbyshire, England, United Kingdom"
"LZQ5-9Q2","Birth","1100",NA
"G6ZS-9HX","Birth","1130","Halton, Cheshire, England"
"GZKZ-SY1","Birth","1032","Bec-de-Mortagne, Pays de Caux, Normandy, France"
"GZRV-7YQ","Birth","1042","Herefordshire, England"
"GNCY-NXT","Birth","1160","High Legh, Cheshire, England, United Kingdom"
"GNCY-NXP","Birth","1164","High Legh, Cheshire, England"
"GCQF-KXC","Birth","1172","Bagulet Bucklow, Cheshire, England"
"GC7V-4TX","Birth","1178","Huyton, Lancashire, England"
"G84M-124","Birth","1124","Rufford, Lancashire, England"
"G84M-RDN","Birth","1125",NA
"G69F-TMS","Birth","1125","Stafford, Staffordshire, England"
"L6H4-9FX","Birth","1128",NA
"93Z9-BYH","Birth","1133","Sudeley Castle, Winchcombe, Gloucestershire, England"
"2SH9-1H1","Birth","1130","England"
"GGGP-NDB","Birth","1138","Rycott, England"
"97NF-KQL","Birth","1250","Saint Giles' Church, Tadlow, Cambridgeshire, England"
"GNXD-LPN","Birth of Child","1270","Saint Giles' Church, Tydd Saint Giles, Cambridgeshire, England"
"GDND-F41","Birth","1190",", of Stafford, England"
"9WB9-4B7","Birth","1191",", of Stafford, England"
"LZB6-X8B","Birth","1170","Laxfield, Suffolk, England"
"GVN2-3HS","Birth","1181","Laxfield, Suffolk, England"
"93Q3-X7H","Birth",NA,"of,,Montgomeryshire,Wales"
"GGZ8-VV6","Birth","1480","Gellihir Manor, Ilston, Gower, Glamorgan (Manor), Wales, United Kingdom"
"LCCC-19Z","Birth","1501","England, United Kingdom"
"93QS-M9P","Birth","1265","of,Caeo cmt,Carmarthenshire,Wales"
"GFMR-F22","Birth","1269","Caio, Carmarthenshire, Wales"
"GXBR-5WW","Birth","1422","Loughor, Glamorgan, Wales"
"9331-4P5","Birth","1426","of,Casllwchwr,Glamorganshire,Wales"
"937V-N4M","Birth","1364","of,Ysgeifiog,Flintshire,Wales"
"933G-L7R","Birth",NA,"of Shocklach,Malpas,Cheshire,England"
"KCMZ-SNJ","Birth","1430","Miscin, Glam., Wales"
"KH7C-SFT","Birth",NA,"Glamorgan, Wales"
"93QZ-2W2","Birth","1384","Betws, Glamorgan, Wales"
"93Q4-1J8","Birth","1388","Trevor, Llangollen, Denbighshire, Wales"
"9331-6RX","Birth","1410","of,Merthyr Tudful,Glamorganshire,Wales"
"9331-6VT","Birth","1420","of,Pen-coed,Glamorganshire,Wales"
"937D-WLR","Birth",NA,"of,,Anglesey,Wales"
"GVPP-9Z8","Death",NA,NA
"93Q5-C8P","Birth","1296","of, Deuddwr, Montgomeryshire, Wales"
"93Q7-5H6","Birth","1308","of,,Carmarthenshire,Wales"
"GXHM-F6N","Birth","1312","Carmarthenshire, Wales"
"93Q7-4J5","Birth",NA,"of Gwidigada, Cantref Mawr, Carmarthenshire, Wales"
"L2CX-YNC","Birth","1325","Carmarthenshire, Wales"
"937K-2MX","Birth",NA,"of Caerfyrddin,St. Peter,Carmarthenshire,Wales"
"937K-KBQ","Birth",NA,"of,Llywel,Breconshire,Wales"
"93Q7-5VC","Birth","1384","of Is Cennen,Cantref Mawr,Carmarthenshire,Wales"
"93QW-MLZ","Birth","1388","Llanwinio, Carmarthenshire, Wales"
"L2CN-KP2","Birth","1332","Aberhonddu, Breconshire, Wales"
"LWVM-S8J","Birth","1330","Aber-pergwm, Glamorgan, Wales"
"9335-KJ5","Birth","1300","Wales, United Kingdom"
"9335-KNT","Birth","1300",NA
"KHJF-VCT","Birth","1342","Montgomery, Wales"
"9HB6-JD1","Birth","1246","Wales, United Kingdom"
"K29P-YGR","Birth","1302",NA
"K29P-YGT","Birth","1302",NA
"K29P-YT3","Birth","1302","Bodorgan, Anglesey, Wales, United Kingdom"
"K29P-YTQ","Birth","1302","Bodorgan, Anglesey, Wales, United Kingdom"
"K29P-YT7","Birth","1302","Llantrisant, Glamorgan, Wales, United Kingdom"
"K29P-YTW","Birth","1302","Glais, Glamorgan, Wales, United Kingdom"
"G7XQ-3N2","Birth","1315","of Caeo, Cantref Mawr, Carmarthenshire, Wales"
"G6CJ-942","Birth","1319","Caio, Carmarthenshire, Wales"
"GXMH-QC4","Birth",NA,"of Nannau"
"GXMH-WF6","Birth of Child","1330","of Ceinmeirch, Nannau, Llanfachreth, Merionethshire, Wales"
"G73M-ZJ6","Birth of Child","1230","Radnorshire, Wales"
"G8Y9-3J7","Birth","1222","Wales"
"GFS2-LC3","Birth","1226","Wales"
"9VNX-ZTH","Birth","1170","Whittington, Shropshire, England"
"94RJ-3NW","Birth","1195","Of Carmarthenshire, Wales"
"GHP8-89Y","Birth","1127","Grosmont, Monmouthshire, Wales"
