"fid","type","year","place"
"LY33-3RV","Birth","1285","England"
"LHK4-TS7","Birth","1256","Whitchurch, Shropshire, England, United Kingdom"
"LHK4-R1T","Birth","1258","Moreton Say, Shropshire, England, United Kingdom"
"GWMH-KD1","Birth","1199","Sanford, Whitchurch, Shropshire, England, United Kingdom"
"LZ6C-GDC","Birth","1187","Blisworth, South Northamptonshire district, Northampton, England, United Kingdom"
"LQ5X-MZT","Birth","1197","Langley near Shrewsbury, Shropshire, England"
"LH7S-KC6","Birth","1200","Langley near Shrewsbury, Shropshire, England"
"9376-SL8","Birth","1266","Kirkbride, Cumbria, England"
"MBBN-N22","Birth","1266","Wigton, Cumberland, England, United Kingdom"
"G7GF-PZ2","Birth","1255","England"
"GGHQ-BW1","Birth","1250","1315"
"G253-GMX","Birth","1215","England"
"KN1G-XDD","Birth","1215","of,Swynerton,,France"
"K23X-P72","Birth","1257","Madresfield, Worcestershire, England, United Kingdom"
"G8T3-HL4","Birth","1267","Madresfield, Worcestershire, England"
"LHJZ-DQ5","Birth","1282","Llangwm, Pembrokeshire, Wales"
"LXL8-FQ6","Birth","1279","Llangwm, Pembrokeshire, Wales"
"L2QL-WJB","Birth","1272","Meriden, Warwickshire, England"
"GFGS-BQ9","Birth","1274","England"
"GS6V-KGP","Birth","1263","Nether Whitacre, Warwickshire, England"
"MCB6-X9B","Birth","1273","Tamworth, Staffordshire, England"
"943M-FS1","Birth","1254","Inglewait, Yorkshire, England"
"GXB5-XXL","Birth","1255","Pickhill, Yorkshire, England"
"G3BR-89Q","Marriage","1220",NA
"G3BR-G6L","Birth","1200",NA
"KLYH-WHJ","Birth","1277","Beeston, Cheshire, England"
"GCGY-HCS","Birth","1285","of Wilton Castle, Herefordshire, England"
"LXS3-W59","Birth","1256","Codnor, Basford, Derbyshire, England"
"GFXB-WKZ","Birth","1261","Okehampton, Devon, England"
"GKPV-596","Birth","1240","Strättligen, Thun, Bern, Switzerland"
"LDT9-8FZ","Birth","1248","Saint Donats, The Vale of Glamorgan, Wales"
"GK43-NYF","Birth of Child","1265","Saint Donats, Glamorganshire, Wales"
"G9TM-LT9","Birth","1260","Wales"
"L7JP-7MW","Birth","1262",NA
"LR31-W6B","Birth","1201","Swallowcliffe, Wiltshire, England"
"GD63-V26","Birth","1195","Brinkworth, Wiltshire, England"
"GZPJ-1SF","Birth","1227","Dunster, Somerset, England"
"2734-4MJ","Birth","1276","Chewton, Somerset, England"
"GDD9-L61","Birth","1260","Hinton Martel, Dorset, England"
"G9BM-T4W","Birth","1260","Eresby, Lincolnshire, England"
"GMNH-FWL","Birth","1265","Eesby, Spilsby, Lincolnshire, England"
"GG32-RYQ","Birth","1264",",Herefordshire,England."
"GGQ9-PL5","Birth","1268","Dynevor Castl, Llandilo, Carmarthenshire, Wales"
"LT8C-8PM","Birth","1239","Tretower, Breconshire, Wales"
"9CHT-6YN","Birth","1242","Wales"
"93QW-474","Birth","1220","Radnorshire, Wales"
"9CHT-D6Y","Birth","1220","of Wales"
"93QW-N3R","Birth","1214","of, Radnorshire, Wales"
"MNW7-5D6","Birth","1044","Wales"
"LZBX-QMV","Birth","1045","Wales"
"GC68-F99","Birth","1055","Wales"
"GXPV-BK8","Birth","1059","Wales"
"GWM3-BR9","Birth","1248","Hales, Norfolk, England"
"GKWV-WT3","Birth","1252","Harwich, Essex, England"
"GFWN-CZ7","Birth","1250","Woodchurch, Kent, England"
"GJCR-R8L","Birth","1255","Kent, England"
"L7BQ-B8B","Birth","1230","Buttevant, County Cork, Ireland"
"GGW3-KP6","Birth","1218",NA
"GQ8X-8WC","Birth","1196","Falde,Dumfriesshire, Scotland."
"GZD7-H3V","Birth","1208","Falde, Scotland"
"GHDT-GSP","Birth","1355","Birmingham, Warwickshire, England"
"MFDB-BX9","Birth","1358","England"
"GLBH-VVX","Birth","1338","England"
"GNGF-SBS","Birth","1334","Upton Snodsbury, Worcestershire, England"
"L8TT-CFN","Birth","1335","Frankley, Worcestershire, England"
"GNQR-2X9","Birth","1353","Ricote, North Weston, Oxfordshire, England"
"G23B-7FF","Birth","1365","Rotherfield, Sussex, England"
"MY13-W1K","Birth","1280","England"
"GD14-713","Death",NA,NA
"LHRR-FC5","Birth","1300","Llansadwrn, Carmarthenshire, Wales"
"LHRR-FD4","Birth","1310","Llaneurgain, Flintshire, Wales"
"L7NR-FL3","Birth",NA,"of Ceinmeirch,Llanfachreth,Merionethshire,Wales"
"937D-D5V","Birth",NA,"of Coedan,Llanfechell,Anglesey,Wales"
"GKJ1-PRV","Birth","1220","Wales"
"KZNY-TPK","Birth","1170","Powys,Wales"
"937N-1PZ","Birth",NA,"of Trefor,Llangollen,Denbighshire,Wales"
"93Q3-3YN","Birth","1198","of,Uwch Caeach cmt,Glamorganshire,Wales"
"GFMP-X17","Birth","1204","Montgomery, Montgomeryshire, Wales"
"K2MB-PJP","Birth","1254","Abington, Northamptonshire, England"
"LYD8-V1J","Birth","1256","Yorkshire, England"
"GJHL-P48","Birth","1238","Wickenby, Lincolnshire, England"
"GJHG-4B7","Birth","1251","North Reston, Lincolnshire, England"
"2WHX-J7R","Birth","1230","Hertfordshire, England"
"GDTB-ZPD","Birth","1246","Great Gaddesden, Hertfordshire, England"
"LYCD-JHL","Birth","1237","London,Middlesex,England"
"LT7S-V56","Death",NA,NA
"L621-BBG","Birth","1285","Stansted Mountfitchet, Essex, England"
"L2WD-3CC","Birth","1293","Lindsell, Essex, England"
"G6H3-DJB","Birth","1295","Lindsell, Essex, England, United Kingdom"
"L6GG-VMP","Birth","1260","Bromham, Wiltshire, England"
"LVDM-WZ6","Birth","1260","Bromham, Chippenham, Wiltshire, England"
"L6GG-VDX","Birth","1295","East Winterslow, Berwick, Wiltshire, England"
"LVDM-4C4","Birth","1298","East Winterslow, Berwick, Wiltshire, England"
"GQCL-XJ2","Birth","1220","Orton Longueville with St Botolphbridge, Huntingdonshire, England, United Kingdom"
"K664-TN4","Birth","1225","Colmesworth, Bedfordshire, England"
"GS8D-CVQ","Birth","1310","Aston Botterell, Shropshire, England"
"GS8D-CV9","Birth","1310","Shropshire, England"
"G3TN-HTD","Birth","1298","Derbyshire, England"
"LHG6-2MR","Birth","1314","Of Leeys Manor, , Essex, England"
"GZL7-GKX","Birth","1340","Bellingham, Northumberland, England"
"GZL7-BN1","Birth","1333","Burneshead, Westmorland, England"
"GV2Y-HYW","Birth","1340","Corby Castle, Great Corby, Wetheral, Carlisle, Cumberland, England"
"LHG4-YRX","Birth","1340","Rosgill, Shap, Westmorland, England"
"GKBJ-DC7","Birth","1341","Heydon, Essex, England"
"GKYV-V73","Birth","1300","England"
"GKYV-J23","Birth","1304","England"
"LR66-R2B","Birth","1300","Takeham, Sussex, England"
"GLYX-RN9","Birth of Child","1345","Thackham, Sussex, England"
"LDJ8-SYQ","Birth","1299","Poulton Lancelyn, Birkenhead, Cheshire, England"
"LDJ8-S5X","Birth","1299","Doncaster, Yorkshire, England"
"9C3W-DM5","Birth","1350",NA
"9C3W-DM1","Birth","1343","surrey england"
"9C3W-DQQ","Birth",NA,"Harefield, Middlesex, England"
"9C3W-DQC","Birth","1351","Backworth, Northumberland, England"
"M1G3-QGL","Birth","1243","Leighton, Shropshire, England"
"L6Q4-YXX","Birth","1247","Leighton, Shropshire, England"
"9CCW-YC6","Birth","1320","Langley, Shropshire, England"
"9CC8-1N1","Birth","1320","Halesowen, Shropshire, England, Great Britain"
"LKQK-7HZ","Birth","1258","Great Dunmow, Essex, England"
"L66H-MV5","Birth","1260",NA
"L8T2-GBK","Birth","1270",NA
"L8T2-G1M","Birth","1274","Orway, Devonshire, England"
"GZYP-DCW","Birth","1280","Ulfcolme, Devon, England"
"GZYP-Z7S","Birth","1284","Devon, England"
"GGXT-W9S","Birth","1242","Hornby, Yorkshire, England"
"GGXT-VSJ","Birth","1242","Hornby, Yorkshire, England"
"GK4J-738","Birth","1264","Powys, Montgomeryshire, Wales"
