"fid","type","year","place"
"GHVL-B4K","Birth","1930","Arkansas,"
"GHK6-8WT","Birth","1931",NA
"L6L2-JJB","Birth","1929","Nevis, Hubbard, Minnesota, United States"
"LNKH-8TG","Birth","1932","Carson, Skamania, Washington, United States"
"L4MN-TBX","Birth","1901","Texas, United States"
"KN3F-FT7","Birth","1910","Pilot Point, Denton, Texas"
"K2VH-PS9","Birth","1890","Bismarck,Hot Springs,Arkansas"
"KCPD-XRB","Birth","1891","De Roche, Hot Springs, Arkansas, United States"
"L6LW-6TT","Birth","1895","Brainard Township, Fayette, Iowa"
"L6LW-FCQ","Birth","1907","Minnesota, United States"
"GMGH-5D6","Birth","1902","Stone Lake, Sawyer, Wisconsin, United States"
"GMGH-26Q","Birth","1901","Otsego, Otsego, New York, United States"
"G94M-6WK","Birth","1872","Ravenden Springs, Randolph, Arkansas, United States"
"L7F5-765","Birth","1872","Arkansas, United States"
"K2VH-2FN","Birth","1856","Hot Spring, Arkansas"
"LCPJ-CQ6","Birth","1849","Arkansas"
"L2C8-Q7T","Birth","1860","Hartwell, Hart, Georgia, United States"
"LVNN-V32","Birth","1864","Georgia, United States"
"MWKV-8ST","Birth","1864","Springfield, Sangamon, Illinois, United States"
"KN1H-HLB","Birth","1871","Prairie du Chien, Crawford, Wisconsin, United States"
"KC4P-BDG","Birth","1876","Northwood, Worth, Iowa"
"KH6L-9FC","Birth","1879","Iowa"
"L8Q2-8WR","Birth","1847","Fredericton, New Brunswick, Canada"
"L8QF-2Z8","Birth","1864","Ludlow, Aroostook, Maine, United States"
"9687-7K6","Birth","1858","Decatur, Otsego, New York, United States"
"K8FB-QKZ","Birth","1853","Worcester, Otsego, New York, United States"
"LCVF-TC7","Birth","1833","Georgia, United States"
"KLX1-TT9","Birth","1835","Alabama, United States"
"KHD1-RBZ","Birth","1844","Clark, Indiana, United States"
"2WN4-1MS","Birth","1850","Georgetown, Floyd, Indiana, United States"
"LHSQ-X2Y","Birth","1834","Hamilton, Tennessee, United States"
"LHQM-9CQ","Birth","1834","Walker, Alabama, United States"
"LHZQ-PTC","Birth","1823","Tennessee, United States"
"LHZQ-59P","Birth","1827","Kentucky, United States"
"9N9J-FLS","Birth","1823","Anderson, South Carolina, United States"
