"fid","type","year","place"
"GV5W-LTL","Birth","1328","Locherworth Castle Midlothian Scotland"
"GGJT-CPZ","Birth","1317","Dalkeith, Midlothian, Scotland"
"GK2B-HY4","Birth","1300","Strathblane, Lanarkshire, Scotland"
"GNKB-XBV","Birth","1295","Menteith, Perth, Scotland"
"GZND-Z96","Birth","1320","Scotland"
"GHS2-JK5","Birth","1320","Balloch Castle, Loch Lomond, Dunbartonshire, Scotland"
"LY3P-P2L","Birth","1310","Gillespie, Wigtownshire, Scotland"
"LB15-BCC","Birth","1318","Lamont, Lochow, Argyllshire, Scotland"
"GG6S-9K9","Birth","1310","Erskine, Renfrewshire, Scotland"
"L8T4-8RW","Birth","1280","Dunottar, Kincardineshire, Scotland"
"G4RL-VZV","Birth","1321","Mar, Aberdeen, Scotland"
"GLK5-FVG","Birth","1329","Crawford, Lanarkshire, Scotland"
"LTY2-JCJ","Birth","1338","Glenesk, Angusshire, Scotland"
"K6S2-5L7","Birth","1329","Kilmarnock, Ayrshire, Scotland"
"G2TK-FWG","Birth","1333","Scotland"
"GG3C-HG3","Birth","1334","Scotland"
"L8T1-47N","Birth","1329","Worcester, Worcestershire, England"
"MQXT-RTL","Birth","1333","Caldwell, Worcestershire, England"
"LHZ5-WWV","Birth","1346",",, Eng"
"GXXN-9YP","Birth","1364","Standish, Lancashire, England"
"GV4L-KSP","Birth","1330","Lavenham, Suffolk, England"
"G6XP-7M6","Birth","1335","Waldegrave, Northamptonshire, England"
"G6XP-S6G","Birth","1339","Bures, Northamptonshire, England"
"GLPF-VKP","Birth","1339","Westley Waterless, Cambridgeshire, England"
"G935-S9G","Birth","1330","Suffolk, England"
"G2BY-17R","Birth","1320","England"
"L6VV-TT5","Birth","1324","Stanway, Essex, England"
"LYC4-FBR","Birth","1339","Gunton, Norfolk, England"
"K8RF-P3Q","Birth","1338","Hawstead, Suffolk, England"
"KHFS-1CN","Birth","1333","Staffordshire, England"
"GQ1D-K6T","Birth","1328","Staffordshire, England"
"9SQM-R7X","Birth","1290","Wentworth Woodhouse, Yorkshire, England"
"GHH3-HLS","Birth","1329","Hemsworth, Yorkshire, England, United Kingdom"
"LB75-2XL","Birth","1320","West Bretton, Yorkshire, England"
"GD3G-2TH","Birth","1343","Silkstone, Yorkshire, England"
"G228-27Q","Birth","1346","England, United Kingdom"
"G228-9ND","Birth","1346","England, United Kingdom"
"9ZH7-DY4","Birth","1341","Nettlestead, Suffolk, England"
"K8BS-SNG","Birth","1344","London, Middlesex, England"
"LBCB-WBJ","Birth","1336","Wiggingham, Suffolk, England"
"LVMF-Q6G","Birth","1335","Hertfordshire, England"
"9W6T-3MJ","Birth","1349","Nayland, Suffolk, England"
"LCF2-CP9","Birth of Child","1365","Essex, England"
"K29X-K25","Birth","1315","South Moreton, Berkshire, England"
"2QBT-27B","Birth","1360","Pembrokeshire, Wales"
"L6PK-S16","Birth","1362","Woodstock, Pembrokeshire, Wales"
"GDQG-2LL","Birth","1365","Haverfordwest, Pembrokeshire, Wales"
"G2R8-F3T","Birth","1364","Newport, Monmouthshire, Wales"
"M7J9-XY9","Birth","1340","Elmore, Gloucestershire, England"
"M7J9-XY4","Birth","1342","Pembroke, Wales"
"GZJ8-6TH","Birth","1375","Picton, Pembrokeshire, Wales"
"MNFK-8BZ","Birth","1380","Gormanston, County Meath, Ireland"
"GWXT-8CJ","Birth","1309","Tockington, Gloucestershire, England"
"GXRQ-F5W","Birth","1315","Irchenfield Forest, Herefordshire, England"
"G827-2FC","Birth","1345","Stroud Hill, Gloucestershire, England"
"GHYY-NQ2","Birth","1340","England"
"G6CQ-B7N","Birth","1330","England, United Kingdom"
"GCGD-MKL","Birth","1330","Harescombe, Gloucestershire, England"
"LVP9-Z3V","Birth","1333","Cheshire, England"
"MR7G-P72","Birth","1308","Waye by Ashburton, Devon, England"
"LYBQ-XWW","Birth","1311","Ermington, Devon, England"
"G6H9-DS2","Birth","1280","England"
"G62Z-7QJ","Birth","1300","England"
"M92J-B4N","Birth","1364","Buckland, Surrey, England"
"9QVW-4JW","Birth","1367","Essendine, Rutland, England, United Kingdom"
"L5B7-NLY","Birth","1330","Rye, Sussex, England, United Kingdom"
"LR9R-ZF6","Birth","1331","Iden, Sussex, England, United Kingdom"
