"fid","type","year","place"
"LCRH-GYP","Birth","1210","Withington, Cheshire, England"
"G2M1-NFY","Birth","1205","Willington,Cheshire,England."
"LJLZ-5MT","Birth","1209","Macclesfield, Cheshire, England"
"KHR8-PT3","Birth","1216","Gawsworth, Cheshire, England"
"L13Z-FVM","Birth","1215","Macclesfield, Cheshire, England"
"LB5R-TM9","Birth","1205","Cheshire, England"
"GGFG-P4C","Birth","1230","England, United Kingdom"
"GGFG-RBL","Birth","1230","England, United Kingdom"
"GHND-3J4","Birth",NA,"Warburton, Cheshire, England"
"LVCN-2S8","Birth","1226","Pedham Castle, Lancashire, England"
"GW51-KPY","Birth","1190","Frampton, Gloucestershire, , England"
"GKBH-5R2","Birth","1194","Frampton on Severn, Gloucestershire, England, United Kingdom"
"GZBX-4JB","Birth","1214","England"
"L9G2-Q51","Birth","1215","England"
"L5Y8-VPL","Birth","1226","Boltby, Yorkshire, England"
"L1BP-5DM","Birth","1239",NA
"GKK9-86N","Birth","1235","Charlecombe, Devon, England"
"GKVM-WG6","Birth","1239","Warwickshire, England"
"GWKL-BTR","Birth","1250","Shipbroke, Cheshire. England"
"9WTY-WXP","Birth","1280","of Wanlip, Lcstrs. Eng."
"MS2B-QF4","Birth of Child","1307",NA
"KCCC-F6G","Birth","1295","Ryston, Norfolk, England"
"9C73-F8H","Birth","1300","Bamtingham, Norfolk, England"
"KNF4-1VH","Birth","1296","Cranworth, Norfolk, England"
"2HMS-2P3","Birth","1301","Cranworth, Norfolkshire, England, United Kingdom"
"L69V-5L2","Birth","1310","Buckenham, Norfolk, England"
"G2JF-9V4","Birth","1314","Norwich, Norfolk, England, United Kingdom"
"GQ58-8RK","Birth","1308","Lackford, Suffolk, England"
"GDLZ-TBL","Birth","1247","England"
"G6SM-SJ8","Birth","1260","England"
"LYHM-V4P","Birth","1290","England"
"LZ93-T5P","Birth","1290","England"
"LZTB-SGL","Birth","1316","England"
"G9JX-32Q","Birth","1274","Hindley, Lancashire, England"
"GVZP-PW1","Birth of Child","1436","Poyton Castle, Cheshire, England"
"GVZP-J7Z","Birth of Child","1436","Poyton Castle, Cheshire, England"
"G9TS-7QV","Birth","1285","Market Bosworth, Leicestershire, England"
"GJMF-BZ5","Birth","1286","Scotland"
"LXQK-TWT","Birth","1280","England"
"G64M-TK5","Birth","1237","Tankersley, Yorkshire, England"
"GD3G-DSM","Birth","1233","Thornhill, Yorkshire, England"
"LHWM-M7Z","Birth","1255","Sussex, England"
"KG7K-G9B","Birth","1265","Sussex, England"
"2WC9-YFT","Birth","1288","Sussex, England"
"LHT6-SGW","Birth","1280","Sussex, England"
"LLH9-JCX","Birth","1251","Stonyhurst, Lancaster, England"
"L8PN-H8C","Birth","1253","of Stoneyhurst, Lancaster, Lancashire, England"
"GNCV-ZXZ","Birth","1200","Shelton, Norfolk, England, United Kingdom"
"GKQY-MHK","Birth","1260","Witnesham, Suffolk, England"
"GV71-DXY","Birth","1263","Suffolk, England, United Kingdom"
"GCRF-8T3","Birth","1234","Ufford, Suffolk, England"
"G8GZ-Y7Z","Birth","1235","Sawbridgeworth, Hertfordshire, England"
"9W7G-6NY","Birth","1225","Ashfield, Suffolk, England"
"GK53-CD5","Birth","1259","Ousden, Suffolk, England, United Kingdom"
