"fid","type","year","place"
"GV3H-561","Birth","1170","Harting, Sussex, England, United Kingdom"
"GVC8-2CG","Birth of Child","1188","Harting, Sussex, England, United Kingdom"
"GXTQ-FV6","Birth","1153","Derbyshire, England, United Kingdom"
"L8G7-K3J","Birth","1155","Eling, Hampshire, England, United Kingdom"
"LH73-BN2","Birth","1180","Belvoir, Leicestershire, England, United Kingdom"
"GC46-DH7","Birth","1136","Little Missenden, Buckinghamshire, England"
"LWYN-24F","Birth","1135","Turvey, Bedfordshire, England"
"KG6T-1XK","Birth","1085","Lancashire, England"
"GN87-75B","Birth","1138","Notton, Yorkshire, England"
"G3N6-9HY","Birth","1135","Lancaster, Lancashire, England"
"G72L-QQ1","Birth","1130","Preston, Lancashire, England"
"LYSZ-YV5","Birth","1140","Barton, Lancashire, England"
"G2WW-QGC","Birth","1150","Barton, Preston, Lancashire, England"
"G8C2-FVR","Birth","1160","Barton, Gloucestershire, England."
"LYDQ-BDF","Birth","1145","Bury, Lancashire, England"
"29YR-96F","Birth","1160","Lancaster, Lancashire, England"
"GH1C-7M8","Birth","1160","Warrington, Lancashire, England"
"LY9H-7K2","Birth","1151","Workington, Cumberland, England"
"L6QP-71V","Birth","1176","Speke, Lancashire, England"
"LBGD-ZV8","Birth","1180","Carleton, Lancashire, England"
"G7S9-3CN","Birth","1168","Lostock Gralam, Cheshire, England"
"GQ6W-8Z4","Birth","1170","Moreton, Cheshire, England"
"G3RB-Y4R","Birth","1144","Stainesby, Derbyshire, England"
"LYP3-XJR","Birth","1160","Stainsby, Derbyshire, England"
"LYP3-MF2","Birth","1164",", Derbyshire, England."
"M3WG-ZPM","Birth","1155","Shropshire, England"
"99QS-3B1","Birth","1172","Cheswardine, Shropshire, England"
"LYG3-3DJ","Birth","1180","Yorkshire, England"
"LYGG-FDG","Birth",NA,"Tottlington,"
"GL2K-CNM","Birth","1185","Hindley, Lancashire, England"
"9ZH7-KHY","Birth","1175","Culcheth, Lancashire, England"
"GJCJ-D8S","Birth","1184","Warrington, Lancashire, England"
"L1YK-5P3","Birth","1170","England"
"GX14-1XX","Birth","1180","England"
"L5FB-RK8","Birth","1170","Manchester, Lancashire, England"
"MB59-16P","Birth","1198","Lancashire, England"
"GGZM-RHL","Birth","1207","Lancashire, GBR"
"GJGK-7FF","Birth","1194","Bruen Stapleford, Cheshire, England, United Kingdom"
"LTHF-BFK","Birth","1147","Preston, Lancashire, England"
"LVMD-6PK","Birth","1156","England"
"GNCB-Z7L","Birth","1162","Thornton, Cheshire, England"
"GNCB-3JP","Birth","1172","Kingsley, Cheshire, England"
"LHJQ-5LD","Birth",NA,"Sandbach, Cheshire, England"
"LHJQ-5PF","Birth","1172","Sandbach, Cheshire, England"
"GDR4-LKB","Birth","1150","Sandbach, Cheshire, England"
"L2T1-85T","Birth","1125","Headington, Oxfordshire, England"
"GFGQ-3WG","Birth","1155","Hertfordshire, England"
"GCSH-FLR","Birth","1180","Cumberland, England"
"GJGV-P2H","Birth","1185","Kendal, Westmorland, England"
"LT9L-9DL","Birth","1175","Fleet, Lincolnshire, England"
"GQ87-DXK","Birth","1125","Mobberley, Cheshire, England, United Kingdom"
"GDWL-38B","Birth",NA,"High Legh, Cheshire, England"
"GL5J-HPS","Birth of Child","1160","High Legh, Cheshire, England, United Kingdom"
"GWL3-3TW","Birth","1120","Macclesfield, Cheshire, England"
"GH8Y-12B","Birth","1125","Great Harwood, Yorkshire, England"
"G64P-J5N","Birth","1129","Dunham Massey, Cheshire, England"
"GFX6-DSM","Birth","1120","Glanford Bridge, Lincolnshire, England"
"GGRD-HD4","Death",NA,NA
"GZ88-2DB","Birth","1093","Richmond, Yorkshire, England"
"GD6L-CRG","Birth","1100","Easby, Yorkshire, England"
"LCXL-JLF","Birth","1238","Clitheroe, Lancashire, England"
"LCXL-JG4","Birth","1240","Clitheroe, Lancashire, England"
"GLRY-TWX","Birth","1220","Thornley with Wheatley, Clitheroe, Lancashire, England"
"LY2R-ZTW","Birth","1204","Kirkham, Lancashire, England"
"GDN4-V9Z","Birth","1211","Broughton, Lancashire, England"
"G7RB-S1X","Birth","1183","England"
"L218-HG3","Birth","1185","England"
"GFJV-R8Z","Birth","1190","England"
