"fid","type","year","place"
"GLTP-4TV","Birth","1222","Duffus, Morayshire, Scotland, United Kingdom"
"GXWH-CKR","Birth","1222","Strathnaver, Scotland, United Kingdom"
"GLVG-883","Birth","1225","Ruthven Castle, Perthshire, Scotland"
"GCSS-3MH","Birth","1225",NA
"LC36-KRK","Birth","1217","Buchan, Aberdeenshire, Scotland"
"L19F-1S1","Birth","1220","Winchester, Hampshire, England"
"GQ2D-F1L","Birth","1258","Paxton, Berwickshire, Scotland"
"GVSD-J85","Birth","1263","Scotland"
"GVSD-DV7","Birth","1264","Perth, Perthshire, Scotland"
"LR9R-CVG","Birth","1232","Haliburton, Berwickshire, Scotland"
"LZ8J-9KD","Birth","1236","Mordington Mains, Berwickshire, Scotland"
"G2JH-6TZ","Birth","1220","Yester, Haddingtonshire, Scotland"
"LHL4-486","Birth","1232","Devon, Inglaterra"
"MDWQ-WYS","Birth","1272","Dreghorn, Ayrshire, Scotland"
"LC7X-TLV","Birth","1277","Locheil, Argyll, Scotland"
"LKMF-1H7","Birth","1289","Scotland"
"G9R9-PKQ","Birth","1295","Dalkeith, Midlothian, Scotland"
"LKNT-RQ8","Birth","1240","Wilton, Roxburghshire, Scotland"
"LB12-S51","Birth","1245","Galloway, Scotland"
"LB12-SRM","Birth","1243","Inverness, Inverness-shire, Scotland"
"LY35-7MC","Birth","1258","Lochow, Argyllshire, Scotland"
"G6J1-N4D","Birth","1260","Argyll and Bute, Scotland"
"GXM7-DFX","Birth","1268","Loch Lomond, Dunbartonshire, Scotland"
"G4DM-6LJ","Birth","1269","Lochawe Castle, Lochawe, Argyll, Scotland"
"GJ81-TBR","Birth","1203","Aberlady, Haddingtonshire, Scotland"
"GJ1M-7MF","Birth","1208","Ayrshire, Scotland"
"L87D-4L4","Birth","1231","Mordington, Berwickshire, Scotland"
"GZYP-HGW","Birth","1230","Lamberton, Mordington, Berwickshire, Scotland"
"GJ3H-MDF","Birth","1175","Abernethy, Perthshire, Scotland"
"GF5F-DJV","Birth","1185","Perth, Perthshire, Scotland"
"G8N4-4ST","Birth","1212","Gylen Castle, Island of Kerrera, Lorn, Argyll, Scotland"
"G2FR-CXD","Birth","1204","Dunollie Castle, Oban, Argyll, Scotland"
"M471-D7G","Birth","1218","Dundonald Castle, Kyle, Ayrshire, Scotland"
"G6WK-YN3","Birth","1225","Menteith, Perthshire, Scotland"
"GH9M-VQF","Birth","1176","Ruthven, Perthshire, Scotland"
"G8JF-2PY","Birth","1178","Orkney Islands, Orkney, Scotland"
"GJBD-YJQ","Birth","1208","Touch-Fraser, Stirlingshire, Scotland"
"LY3D-K9R","Birth","1205","Drumelzier, Peeblesshire, Scotland"
"LZ6R-LLG","Birth","1225","Annandale District, Dumfriesshire, Scotland"
"GL79-GFH","Birth","1226","Usk, Monmouth, England"
"LTDY-PP4","Birth","1202","Carrick, Ayrshire, Scotland"
"LZLG-N3J","Birth","1206","Crawford, Lanarkshire, Scotland"
"G7RV-DB4","Birth","1252","Inverness-shire"
"GVLD-RJZ","Birth","1248","Scotland"
"G2WL-BZ7","Birth","1270","Scotland"
