"fid","type","year","place"
"L78P-8RM","Birth","1322","Of Hafodunnos, Llangernyw, Denbighshire, Wales"
"LH6H-T5F","Birth","1322","of Tyddyn Adda, Llanidan, Anglesey, Wales"
"9H86-YN2","Birth","1192","Wales"
"G6J7-ZH7","Birth","1190","Whittington, Shropshire, England"
"LH37-ZN7","Birth","1192","Wales"
"K8BR-9P5","Birth","1215","Flintshire, Wales"
"GNSJ-SMJ","Birth","1218","Wales, United Kingdom"
"KZYZ-GFF","Birth","1202","Gwynedd, Wales, United Kingdom"
"93Q8-33Z","Birth","1302","of Cadwnfa,Llanfihangel-yng,Montgomeryshire,Wales"
"GMMH-3JS","Birth","1030","France"
"KLX6-PKT","Birth","1028","Nesta, Gdau, Reas, Ap, Griffith, Wales"
"G718-QQT","Birth","1041","Wales"
"GHMJ-YH1","Birth","1075","Nannau Hall, Merionethshire, Wales"
"K2SB-Z5M","Birth","1110","Brewood, Stafford, Staffordshire, England"
"L6KV-G3W","Birth","1107","England"
"G3MH-C2D","Birth","1125","England"
"GQ2F-9Q6","Birth","1040","Normandy, France"
"G8PW-JDV","Death",NA,NA
"GKNV-YVY","Birth","1392","Northumberland, England"
"LR7B-G4Y","Birth","1400","England"
"9CWY-ZPN","Birth","1046",NA
"GDPN-6S9","Birth","1012","Tempest, Normandie, France"
"L6VV-JDT","Birth","0970","Northumbria, England"
"GGB7-56K","Birth","0902","France"
"GX3T-W7N","Birth","0936","Tingry, Pas-de-Calais, Hauts-de-France, France"
"GX7N-L1T","Birth","0936","Pas-de-Calais, Hauts-de-France, France"
"GC4C-VFY","Birth","0941","Thérouanne, Pas-de-Calais, France"
"GX9P-42K","Birth","0958","Nesles, Pas-De-Calais, Nord-Pas-De-Calais, France"
"LKKV-B1Z","Birth","0964","Colembert, Pas-de-Calais, France"
"GWZN-VJR","Birth","0972","Tingry, Pas-de-Calais, Hauts-de-France, France"
"G7KJ-VZY","Birth","0932","Neufchâtel-en-Bray, Seine-Maritime, Upper Normandy, France"
"L2YT-9CM","Birth","0947","Foucarmont, Seine-Maritime, Upper Normandy, France"
"L2TC-TXX","Birth","0949","Gisors, Eure, Upper Normandy, France"
"GC4H-YFK","Birth","0960","Gournay-en-Bray, Seine-Maritime, Haute-Normandie, France"
"LRNM-YSJ","Birth","0955","Bernieulles, Pas-de-Calais, Nord-Pas-de-Calais, France"
"G314-ZRN","Birth","0962","Nouvion-en-Ponthieu, Somme, Picardie, France"
"GXCD-TVK","Birth","0974","Somme, Hauts-de-France, France"
"GG9S-7F6","Birth","0920","Bergues, 59067, Nord, Nord-Pas-de-Calais, France"
"GW5S-2JV","Birth","0930","Éperlecques, Pas-de-Calais, Hauts-de-France, France"
"GW5S-D13","Birth","0930","France"
"GNRJ-729","Marriage","0965","France"
"LBND-5DY","Birth","0935","Bourbourg, Nord, Nord-Pas-de-Calais, France"
"GV9D-ZZR","Birth","0937","France"
"GJGK-VH9","Birth","0961","Saint-Omer, Calvados, Normandie, France"
"G6TV-878","Birth","0972","Colembert, Pas-de-Calais, Heuts-d'Franche, Française"
"L69K-RZ8","Birth","0965","Aisne, Nord-Pas-de-Calais Picardie, France"
"LRH4-NXT","Birth","0965","Boulogne-sur-Mer, Pas-de-Calais, France"
"GZKG-JLW","Birth","0955","France"
"GL5J-91S","Birth","0960",NA
"G73M-YDG","Birth","0962","Créquy, Pas-Calés, Heuts-d'Franche, Française"
"GN1K-PT3","Birth","0969","Ruisseauville, Pas-de-Calais, Nord-Pas-de-Calais, France"
"MFNZ-STR","Birth","0956","France"
"G7BL-2ZS","Birth","0935","Chaumois, Saône-et-Loire, Bourgogne-Franc"
"GXLM-GS6","Birth","0928","Chaumois, Saône-et-Loire, Bourgogne-Franc"
"LHN4-X1F","Birth","0906","Normandie, France"
"GKTM-VJM","Birth","0911","Caen, Calvados, Lower Normandy, France"
"GX95-N16","Birth","0980","England"
"LKGC-DK6","Birth","0840","Elsaß, Frankreich"
"93DX-FVV","Birth","0845","Vermandois, Picardie, France"
"GGGK-NX2","Death",NA,NA
"GGYH-9BH","Birth","1317","Touchfraser, stirlingshire,Scotland"
"GGYH-Q7N","Birth","1317","Aboyne, Aberdeenshire, Scotland, United Kingdom"
"G9NN-QMV","Birth","1430",NA
"G9NN-9S2","Birth","1432","Bourne, Lincolnshire, England"
"GVXH-T97","Birth","1420","England, United Kingdom"
"LRJM-4M4","Birth","1415","Holditch, Dorset, England"
"LH5P-ZTJ","Birth","1417","Heighley Castle, Heighley, Staffordshire, England"
"LR6S-MW7","Birth","1424","Of, Norfolk, England"
"LYXN-RQG","Birth","1416","Baconsthorpe, Norfolk, England"
"GHGS-HPT","Birth","1420","Norfolk, England"
"LHW7-5PT","Birth","1425","Blickling, Norfolk, England"
"LBNB-BHG","Birth","1415","Sutton Manor, Chiswick, Middlesex, England"
"GMNN-R8W","Birth","1420","Lancashire, England"
"G3K9-PF2","Birth","1435","Castle Hill, Devon, England"
"G9VR-HRD","Birth","1438","Holwell, Bedfordshire, England"
"GF1V-NNT","Birth","1438","Stoke D'abernon, Surrey, England"
"GS4J-WRC","Birth","1442",NA
"LB3D-KQ9","Birth","1454","Abergavenny, Monmouthshire, Wales"
"LCX2-F68","Birth","1458","Grafton Regis, Northamptonshire, England"
"LTN8-4ZC","Birth","1449","Leconfield, Yorkshire, England"
"LZ1V-3LM","Birth","1448",NA
"LZV2-MVR","Birth","1410",NA
"L1B9-MJN","Birth","1411","Haccombe, Devon, England"
"LVXP-52Y","Birth","1442","Oxfordshire, England"
"LVXP-5KY","Birth","1433","St Columb Major, Cornwall, England"
"G2NJ-MVM","Birth","1430","Stone, Staffordshire, England"
"G2NN-K96","Birth","1432","London, England"
"LYW2-THF","Birth","1420","Picardie, France"
"LT9G-FPD","Birth","1438",NA
"MC12-28W","Birth","1403","Ashbourne, Derbyshire, England"
"MC12-288","Birth","1407","Ashbourne, Derbyshire, England"
"L4BH-F3X","Birth","1416","Killington, Westmorland, England"
"MF8X-MG6","Birth","1421","of Wynyarde, Yorkshire, England"
"MRBK-B4Y","Birth","1431","Trotton, Sussex, England"
"GQTR-5C7","Birth","1432","Lancashire, England"
"L51K-K7M","Birth","1423","Chichester, Sussex, England"
"L1FK-524","Birth","1472","Bradley, Gloucestershire, England"
"L1FK-R28","Birth","1452","Hereford, Herefordshire, England"
"GS9Y-DMV","Birth","1450","Bradley, Gloucestershire, England"
"GK1T-9KG","Birth","1448","Bradley, Gloucestershire, England"
"LD83-KX5","Birth","1439","England"
"GZ5Q-TZ2","Birth","1445","Waltham Manor, Kent, England"
"LD83-FDR","Birth","1422","Burham, Kent, England"
"LR85-XPM","Birth","1420","Petham, Kent, England"
"L56W-3HL","Birth","1222","Ongar, Essex, England, United Kingdom"
"L4TB-677","Birth","1224","of Ongar, Essex, England"
