"fid","place_birth_lat","place_birth_lon","place_birth","place_death_lat","place_death_lon","place_death"
"LVNM-WN4","55.8582","-3.1694","Roslin Castle, Midlothian, , Scotland","55.8582","-3.1694","Roslin Castle, Midlothian, , Scotland"
"G2PF-5ZL","51.0567","-2.3745","Stoke Trister, South Somerset district, Somerset, England, United Kingdom",NA,NA,NA
"G49Q-K86","50.87809","-3.35914","Bradfelle (Bradfield), Devon, England","52.4379","-1.6496","England"
"GGWT-RGL","52.4379","-1.6496","England",NA,NA,NA
"KNY2-3Z6","52.4379","-1.6496","England",NA,NA,NA
"K69H-6XP",NA,NA,NA,NA,NA,NA
"KLYB-5V3","50.7","-3.88333","Throwleigh, Devon, England",NA,NA,NA
"GFZ7-M5B","52.5628","-3.1493","Montgomeryshire, Wales, United Kingdom","52.5628","-3.1493","Montgomeryshire, Wales, United Kingdom"
"G2X7-5FB","52.5628","-3.1493","Montgomeryshire, Wales, United Kingdom","52.5628","-3.1493","Montgomeryshire, Wales, United Kingdom"
"GXZQ-3NZ",NA,NA,NA,NA,NA,NA
"MDXQ-N2J","53.41667","0.18333","Saltfleet, Lincolnshire, England",NA,NA,NA
"LV9K-SPW",NA,NA,NA,NA,NA,NA
"GL6Y-3M6",NA,NA,"Stickworth, , , England",NA,NA,NA
"L853-7P4","52.8515","0.961","Barney, Norfolk, England","52.8515","0.961","Barney, Norfolk, England"
"GMN5-FXR","52.2665","1.1995","Bedingfield, Suffolk, England","52.2734","1.1934","Bedingfield, Suffolk, England, United Kingdom"
"GGM4-QVH","52.2665","1.1995","Bedingfield, Suffolk, England",NA,NA,NA
"LB58-PVR","53.33333","-6.25","Diocese of Ossory, Leinster, Ireland",NA,NA,NA
"M8NQ-L24","52.3024","1.4215","Heveningham, Suffolk, England",NA,NA,NA
"K8SS-C6K","52.3024","1.4215","Heveningham, , Suffolk, England",NA,NA,NA
"LJYC-S6Y","50.9324","-3.1935","Clayhidon, Devon, England, United Kingdom",NA,NA,NA
"GMN5-LHB","52.6356","-2.7846","Stapleton, Shropshire, England",NA,NA,NA
"L1JV-M8J","52.4379","-1.6496","England","53.95878","-1.08248","Yorkshire, England"
"GCM9-D8T","54.139","-0.792","Malton, Yorkshire, England, United Kingdom","54.139","-0.792","Malton, Yorkshire, England, United Kingdom"
"GKKW-B3H","54.139","-0.792","Malton, Yorkshire, England, United Kingdom","54.139","-0.792","Malton, Yorkshire, England, United Kingdom"
"L6MQ-B6V","53.2844","-3.84714","Conwy, Caernarfonshire, Wales","52.94711","-0.89384","Whatton, Nottinghamshire, England"
"G62V-FGB","53.58895","-0.94078","Hatfield, Yorkshire, England, United Kingdom","53.58895","-0.94078","Hatfield, Yorkshire, England, United Kingdom"
"MDFN-MQG","53.58895","-0.94078","Hatfield, Yorkshire, England",NA,NA,NA
"LHGP-4FJ","51.382","-2.4272","Newton St Loe, Somerset, England, United Kingdom","52.4379","-1.6496","England, United Kingdom"
"GG3K-7B9",NA,NA,NA,NA,NA,NA
"GG3K-Q41",NA,NA,NA,NA,NA,NA
"L7J6-BB9","52.4379","-1.6496","England","52.4379","-1.6496","England"
"GXTQ-M27","51.9428","-0.2382","Great Wymondley, Hertfordshire, England","52.13436","-2.74917","Great Wymondley, Herefordshire, England"
"GC4Z-CH6","52.342","1.506","Halesworth Suffolk England",NA,NA,NA
"GXFX-C57",NA,NA,NA,NA,NA,NA
"LHGG-1FT","52.0869","0.6337","Cavendish, Suffolk, England",NA,NA,NA
"GKDP-MZ6","52.0869","0.6337","Cavendish, Suffolk, England",NA,NA,NA
"G3Q9-FJZ","53.58","-2.427","Bradshaw, Bolton, Greater Manchester, England, United Kingdom","53.81849","-2.62573","Lancashire, Lancashire, England, United Kingdom"
"GHFZ-W8S",NA,NA,NA,NA,NA,NA
"GQ67-J2T","53.36667","-1.41667","Manor, South Yorkshire, England, United Kingdom","53.81849","-2.62573","Lancashire, England"
"99SH-3ZP",NA,NA,NA,NA,NA,NA
"LZJK-3W2","52.80387","-2.41382","Chetwynd, Shropshire, England, United Kingdom",NA,NA,NA
"GXR2-MHX","52.4379","-1.6496","England, United Kingdom","52.80387","-2.41382","Chetwynd, Shropshire, England, United Kingdom"
"GZ5M-42W","49","13","Europe",NA,NA,NA
"GM3R-CQS","53.0192","-2.7672","Malpas, Cheshire, England","53.0192","-2.7672","Malpas, Cheshire, England"
"LQRX-2VL","53.08765","-1.87454","Grindon,Stafford,England",NA,NA,NA
"LQRX-LW3","52.4379","-1.6496","England, United Kingdom",NA,NA,NA
"G6K1-9ZL","52.77951","-1.91711","Staffordshire, England, United Kingdom",NA,NA,NA
"L1B1-KW8","53.7049","-2.6826","Farington, Lancashire, England","53.7049","-2.6826","Farington, Lancashire, England"
"KJ43-LQ3","53.6556","-2.70911","Leyland, Lancashire, England","53.6556","-2.70911","Leyland, Lancashire, England"
"GMT2-QF5","53.868","-1.9124","Keighley, Yorkshire, England","53.868","-1.9124","Keighley, Yorkshire, England"
"GMTK-B4Z","53.868","-1.9131","Keighley, West Yorkshire, England, United Kingdom",NA,NA,NA
"GZVD-63W","51.208","-2.3783","Nunney, Somerset, England",NA,NA,NA
"G6B9-KSZ","51.11974","-2.9","Somerset, England",NA,NA,NA
"GDLX-7Z1","52.697","-1.6254","Clifton Campville, Staffordshire, England, United Kingdom","52.697","-1.6254","Clifton Campville, Staffordshire, England, United Kingdom"
"GDLX-ZCW","52.2422","-1.8841","Coughton, Warwickshire, England, United Kingdom","52.2422","-1.8841","Coughton, Warwickshire, England, United Kingdom"
"GMNX-4S9","51.384","-1.1534","Aldermaston, Berkshire, England","51.384","-1.1534","Aldermaston, Berkshire, England"
"G6P5-9L2",NA,NA,NA,NA,NA,NA
"LC5G-HK2","51.73819","-1.0357","Rycote, Oxfordshire, England",NA,NA,NA
"LC5G-H2C","51.73819","-1.0357","Rycote, Oxfordshire, England",NA,NA,NA
"94ZT-DH2","51.7099","-1.3611","Appleton, Oxfordshire, England",NA,NA,NA
"GD9Z-FX5","52.4379","-1.6496","England",NA,NA,NA
"M7HX-1X1","53.73333","-2.08333","Stansfield, Yorkshire, England",NA,NA,NA
"M1RB-Z6M","53.73413","-1.95575","Midgley, Yorkshire, England","53.73333","-2.08333","Stansfield, Yorkshire, England"
"GG3C-WPD","53.6314","-1.6369","Flockton, Yorkshire, England",NA,NA,NA
"MN4H-4NS","53.70089","-1.86853","Copley, Halifax, Yorkshire,England","53.95878","-1.08248","Yorkshire, England"
"LY2Q-SSG","53.95878","-1.08248","Yorkshire, England","53.70089","-1.86853","Copley, Halifax, Yorkshire,England"
"LY2Q-J94","53.725","-1.863","Mirfield, Halifax, Yorkshire, England",NA,NA,NA
"KHJW-S89",NA,NA,"Islandshire, Norham and Islandshire, Durham, England, United Kingdom",NA,NA,NA
"94JL-LV7","55.7","-2","of Haggerston in Islandshire, Durham, Engl",NA,NA,NA
"MQCV-NV8",NA,NA,NA,NA,NA,NA
"94JG-FMR",NA,NA,"Islandshire, Norham and Islandshire, Durham, England, United Kingdom",NA,NA,NA
"GXMZ-HHV","54.9714","-1.614","Newcastle upon Tyne, Tyne and Wear, England, United Kingdom",NA,NA,NA
"GZBX-N4L","54.9714","-1.614","Newcastle, Northumberland, England",NA,NA,NA
"GMJ9-Z1R","53.81849","-2.62573","Lancashire, England","53.5911","-2.5822","Blackrod, Lancashire, England"
"LBWR-ZZJ","53.57607","-2.59624","Haigh, Lancashire, England","53.5911","-2.5822","Blackrod, Lancashire, England"
"GZ2M-CP4","52.4379","-1.6496","England",NA,NA,NA
"GGH5-BHC","52.4379","-1.6496","England",NA,NA,NA
"MBBY-MF3","54.95","-1.91666","Styford, Northumberland, England","52.4379","-1.6496","England"
"G8L9-N4T","54.76426","-1.57104","Durham, England","55.33405","-1.98349","Northumberland, England"
"LDYQ-DJ6","51.08","-1.864","Wilton, Wiltshire, England","51.08","-1.864","Wilton, Wiltshire, England"
"LVLN-KVR","53.8298","-2.6687","Goosnargh, Lancashire, England, United Kingdom",NA,NA,NA
"LVLN-KNF","51.9252","-2.4991","Linton, Herefordshire, England, United Kingdom",NA,NA,NA
"KN4P-TZB","51.9252","-2.4991","Linton, Herefordshire, England, United Kingdom","51.51","-0.12","London, Middlesex, England"
"G7KV-PP8","52.64306","-2.71362","Shropshire, England",NA,NA,NA
"L5N1-V1L","52.22485","0.22551","Quy, Cambridgeshire, England","52.22485","0.22551","Quy, Cambridgeshire, England"
"G7XV-7WF",NA,NA,NA,"52.22485","0.22551","Quy, Cambridgeshire, England"
"GQHQ-54J","52.1943","-2.9704","Lyonshall, Herefordshire, England",NA,NA,NA
"LJ1D-9C4","52.1594","-2.8722","Weobley, Hereford, England",NA,NA,NA
"GQGR-MYK","52.02229","-2.81412","Hereford, Herefordshire, England",NA,NA,NA
"GQGR-CVW","52.02229","-2.81412","Hereford, Herefordshire, England, United Kingdom",NA,NA,NA
"9MJJ-SJP","53.4303","-2.7266","Sutton, Lancashire, England","53.5574","-3.0569","Formby, Lancashire, England"
"KCY6-GY3",NA,NA,NA,NA,NA,NA
"LBKF-1T4",NA,NA,NA,NA,NA,NA
"G4FC-DVD","42.1385","2.8887","Vilademuls, Pla de l'Estany, Girona, Cataluña, España",NA,NA,NA
"G4FD-5LC","41.9802","2.7837","Girona, Catalunya, Spain",NA,NA,NA
"KN4X-2KW","41.9802","2.7837","Of, , Gerona, Spain",NA,NA,NA
"GGZG-1FS","40.43","-4","Spain","40.43","-4","Spain"
"G68L-PSW","45.13921","0.77963","Champagne, Dordogne, Aquitaine, France","49.8092","4.2672","Rumigny, Ardennes, Champagne-Ardenne, France"
"9CHH-M6H",NA,NA,NA,NA,NA,NA
"G399-R11","49.7567","2.9123","Nesle, Somme, Picardy, France",NA,NA,NA
"LYC1-4P9","51.2133","4.2583","Beveren, Beveren-Waas, East Flanders, Belgium","51.0333","2.8667","Diksmuide, Diksmuide, West Flanders, Belgium"
