"fid","place_birth_lat","place_birth_lon","place_birth","place_death_lat","place_death_lon","place_death"
"GWXV-KH7","53.2333","-2.9","Backford, Cheshire, England",NA,NA,NA
"G3G6-PHF",NA,NA,NA,NA,NA,NA
"KGMJ-RDJ","53.38333","-2.56667","Latchford, Cheshire, England",NA,NA,NA
"KHPB-DV8","53.38333","-2.56667","Latchford, Chesh, Engl",NA,NA,NA
"94NH-9BX","53.26667","-2.46667","Lostock Gralam, Cheshire, England",NA,NA,NA
"94NH-919","53.18268","-2.53046","Woodhey, Cheshire, England","52.4379","-1.6496","England"
"MFDC-1T9","52.4379","-1.6496","<,,, England>",NA,NA,NA
"G24B-NSP","52.4379","-1.6496","England",NA,NA,NA
"LH5T-TBN","51.6936","-1.0158","Stoke-Talmage Manor, Oxfordshire, England",NA,NA,"Talmash Manor, Bury Saint Edmunds, Suffolk, England"
"LH5T-TBF","52.2459","0.7112","Bury St Edmunds, Suffolk, England","52.2459","0.7112","Bury St Edmunds, Suffolk, England"
"LLWK-7Z4","54.26667","-1.83333","Melmerby,Coverham,Yorkshire,England.",NA,NA,NA
"GHXG-BTB","53.95878","-1.08248","Yorkshire, England",NA,NA,NA
"G47T-81H","54.53065","-3.07617","Workington in Coupland, Cumberland, England","54.6438","-3.5436","Workington, Cumberland, England"
"GM62-MQQ","53.95878","-1.08248","Yorkshire, England","53.88","-1.883","Riddlesden, Yorkshire, England"
"GN1T-9C9","52.4379","-1.6496","England",NA,NA,NA
"GZ2M-DY3","52.597","-2.686","Ruckley & Langle, Atcham, Shropshire, Eng.","51.954","-1.2771","Somerton. Bicest, Oxfords, Eng."
"GZ2M-61M","52.4379","-1.6496","England",NA,NA,NA
"L5Y4-JDW","56.3833","-3.2","Erroll, Perth, Scotland","52.2654","0.3721","Ixning, Suffolk,England"
"L5Y8-5XL","51.7833","-1.4695","Cogges, Oxfordshire, England",NA,NA,NA
"93RK-4BW","51.76274","-0.65918","Buckinghamshire, England",NA,NA,NA
"9QQG-D4B","52.21369","0.12631","CAMBRIDGESHIRE, ENGLAND",NA,NA,NA
"G7Y1-7F9",NA,NA,NA,NA,NA,NA
"G4B7-TMQ","52.4379","-1.6496","England",NA,NA,NA
"G4BW-7M4","52.4379","-1.6496","England",NA,NA,NA
"9ZZD-WZ8","51.056","-2.414","Wincanton, Somerset, England","47","19.5","Austria-Hungary"
"LHRY-FNQ","51.01698","-2.53936","Sutton Montis, Somerset, England","51.08288","-2.44278","Shepton Montague, Somerset, England"
"9S8D-BXK","52.4379","-1.6496","England",NA,NA,NA
"GGTN-BN4","52.4379","-1.6496","England",NA,NA,NA
"LKRC-33N","52.6385","-2.531","Buildwas, Shropshire, England","52.6385","-2.531","Buildwas, Shropshire, England"
"GGRZ-5ZK","52.4379","-1.6496","England",NA,NA,NA
"GZDQ-KKW","52.2459","0.7112","Cokefeld, Bury St Edmunds, Suffolk, England","52.4379","-1.6496","England"
"LK5P-CTH",NA,NA,NA,"52.1573","0.7859","Cockfield, Suffolk, England"
"L52B-53B","51.6714","-4.908","Pembroke, Pembrokeshire, Wales","51.86109","-4.92292","Hanging Marsh, Garth Celyn, Aber Garth Celyn, Wales"
"LRGB-S14","51.67611","-4.91583","Pembroke, Pembrokeshire, Wales","51.6692","-0.8037","Bradenham, Wycombe, Buckinghamshire, England"
"G6TF-1MP",NA,NA,NA,NA,NA,NA
"K2X4-8K3","51.5926","-0.94047","Stonor, Oxfordshire, England",NA,NA,NA
"GVTV-DNY","52.81667","-0.36667","Rippingale, Lincolnshire, England, United Kingdom","52.83694","-0.34455","Rippingale, Lincolnshire, England, United Kingdom"
"GKT9-53L","52.83694","-0.34455","Rippingale, Lincolnshire, England","52.81667","-0.36667","Rippingale, Lincolnshire, England, United Kingdom"
"L7L5-J29","51.1994","1.0143","Waltham, Kent, England","51.1994","1.0143","Waltham, Kent, England"
"G8TR-8XW","51.22608","0.75054","Kent, England",NA,NA,NA
"G2PZ-N27","51.22608","0.75054","Kent, England",NA,NA,NA
"G2PZ-DD5","52.33781","-1.56089","Amington,Warwickshire,England.",NA,NA,NA
"LC5G-6PT","53.15812","-0.23925","Lincolnshire, England, United Kingdom",NA,NA,NA
"LRZ4-PB6","53.099","-1.383","Alfreton, Derbyshire, England, United Kingdom",NA,NA,NA
"LZQ5-9Q2",NA,NA,NA,"53.1857","-3.0304","Hawarden, Flint, Wales"
"G6ZS-9HX","53.331","-2.694","Halton, Cheshire, England",NA,NA,NA
"GZKZ-SY1","49.70298","0.44927","Bec-de-Mortagne, Pays de Caux, Normandy, France","52.12","-3.0712","Whitney-on-Wye, Herefordshire, England"
"GZRV-7YQ","52.13436","-2.74917","Herefordshire, England",NA,NA,NA
"GNCY-NXT","53.3546","-2.4512","High Legh, Cheshire, England, United Kingdom",NA,NA,NA
"GNCY-NXP","53.3546","-2.4512","High Legh, Cheshire, England",NA,NA,NA
"GCQF-KXC","53.34661","-2.40394","Bagulet Bucklow, Cheshire, England","53.34661","-2.40394","Bucklow, Cheshire, England"
"GC7V-4TX","53.3997","-2.8262","Huyton, Lancashire, England","53.3013","-2.3718","Knutsford, Cheshire, England"
"G84M-124","53.635","-2.8158","Rufford, Lancashire, England",NA,NA,NA
"G84M-RDN",NA,NA,NA,NA,NA,NA
"G69F-TMS","52.8061","-2.1182","Stafford, Staffordshire, England","52.9082","-2.1433","Stone, Staffordshire, England"
"L6H4-9FX",NA,NA,NA,NA,NA,NA
"93Z9-BYH","51.9573","-1.967","Sudeley Castle, Winchcombe, Gloucestershire, England","52.33781","-1.56089","Griff Manor, Griff, Warwickshire, England"
"2SH9-1H1","52.4379","-1.6496","England",NA,NA,NA
"GGGP-NDB",NA,NA,"Rycott, England","51.8052","0.4116","Pleshey, Essex, England"
"97NF-KQL","52.11202","-0.13235","Saint Giles' Church, Tadlow, Cambridgeshire, England",NA,NA,NA
"GNXD-LPN",NA,NA,NA,NA,NA,NA
"GDND-F41","52.77951","-1.91711",", of Stafford, England","52.77951","-1.91711","Staffordshire, England"
"9WB9-4B7","52.77951","-1.91711",", of Stafford, England",NA,NA,NA
"LZB6-X8B","52.29856","1.36237","Laxfield, Suffolk, England","52.29856","1.36237","Laxfield, Suffolk, England"
"GVN2-3HS","52.3","1.3667","Laxfield, Suffolk, England",NA,NA,NA
"93Q3-X7H","52.5629","-3.1492","of,,Montgomeryshire,Wales",NA,NA,NA
"GGZ8-VV6","51.60315","-4.09212","Gellihir Manor, Ilston, Gower, Glamorgan (Manor), Wales, United Kingdom","51.60315","-4.09212","Gellihir Manor, Ilston, Gower, Glamorgan (Manor), Wales, United Kingdom"
"LCCC-19Z","52.4379","-1.6496","England, United Kingdom",NA,NA,NA
"93QS-M9P","52.0333","-3.9333","of,Caeo cmt,Carmarthenshire,Wales",NA,NA,NA
"GFMR-F22","52.0333","-3.9333","Caio, Carmarthenshire, Wales",NA,NA,NA
"GXBR-5WW","51.66222","-4.06472","Loughor, Glamorgan, Wales",NA,NA,NA
"9331-4P5","51.6629","-4.05755","of,Casllwchwr,Glamorganshire,Wales",NA,NA,NA
"937V-N4M","53.23282","-3.27338","of,Ysgeifiog,Flintshire,Wales",NA,NA,NA
"933G-L7R","53.0376","-2.8379","of Shocklach,Malpas,Cheshire,England",NA,NA,NA
"KCMZ-SNJ","51.4736","-3.3653","Miscin, Glam., Wales",NA,NA,NA
"KH7C-SFT","51.4736","-3.3653","Glamorgan, Wales",NA,NA,NA
"93QZ-2W2","51.59107","-3.59741","Betws, Glamorgan, Wales",NA,NA,NA
"93Q4-1J8","52.97228","-3.10649","Trevor, Llangollen, Denbighshire, Wales",NA,NA,NA
"9331-6RX","51.75","-3.3833","of,Merthyr Tudful,Glamorganshire,Wales",NA,NA,NA
"9331-6VT","51.52579","-3.50681","of,Pen-coed,Glamorganshire,Wales",NA,NA,NA
"937D-WLR","53.29127","-4.37203","of,,Anglesey,Wales",NA,NA,NA
"GVPP-9Z8",NA,NA,NA,NA,NA,NA
"93Q5-C8P","52.5628","-3.1493","of, Deuddwr, Montgomeryshire, Wales",NA,NA,NA
"93Q7-5H6","51.8609","-4.31153","of,,Carmarthenshire,Wales",NA,NA,NA
"GXHM-F6N","51.8609","-4.31153","Carmarthenshire, Wales",NA,NA,NA
"93Q7-4J5","51.8609","-4.31153","of Gwidigada, Cantref Mawr, Carmarthenshire, Wales",NA,NA,NA
"L2CX-YNC","51.8609","-4.31153","Carmarthenshire, Wales",NA,NA,NA
"937K-2MX",NA,NA,"of Caerfyrddin,St. Peter,Carmarthenshire,Wales",NA,NA,NA
"937K-KBQ","51.94344","-3.66866","of,Llywel,Breconshire,Wales",NA,NA,NA
"93Q7-5VC","51.8609","-4.31153","of Is Cennen,Cantref Mawr,Carmarthenshire,Wales","51.90485","-4.54365","Llanwinio, Carmarthenshire, Wales, United Kingdom"
"93QW-MLZ","51.90485","-4.54365","Llanwinio, Carmarthenshire, Wales",NA,NA,NA
"L2CN-KP2","51.9489","-3.3913","Aberhonddu, Breconshire, Wales","52.33022","-3.76641","Wales"
"LWVM-S8J","51.75","-3.65","Aber-pergwm, Glamorgan, Wales","51.75","-3.65","Aber-pergwm, Glamorgan, Wales"
"9335-KJ5","52.33022","-3.76641","Wales, United Kingdom",NA,NA,NA
"9335-KNT",NA,NA,NA,NA,NA,NA
"KHJF-VCT","52.5629","-3.1492","Montgomery, Wales",NA,NA,NA
"9HB6-JD1","52.33022","-3.76641","Wales, United Kingdom","52.0458","-4.6334","Cilgerran, Pembrokeshire, Wales"
"K29P-YGR",NA,NA,NA,NA,NA,NA
"K29P-YGT",NA,NA,NA,NA,NA,NA
"K29P-YT3","53.1796","-4.4172","Bodorgan, Anglesey, Wales, United Kingdom",NA,NA,NA
"K29P-YTQ","53.1796","-4.4172","Bodorgan, Anglesey, Wales, United Kingdom",NA,NA,NA
"K29P-YT7","51.5663","-3.39595","Llantrisant, Glamorgan, Wales, United Kingdom","51.68333","-3.88333","Glais, Glamorgan, Wales, United Kingdom"
"K29P-YTW","51.68333","-3.88333","Glais, Glamorgan, Wales, United Kingdom",NA,NA,NA
"G7XQ-3N2","52.03333","-3.93333","of Caeo, Cantref Mawr, Carmarthenshire, Wales",NA,NA,NA
"G6CJ-942","52.0333","-3.9333","Caio, Carmarthenshire, Wales",NA,NA,NA
"GXMH-QC4","52.7702","-3.8645","of Nannau",NA,NA,NA
"GXMH-WF6",NA,NA,NA,NA,NA,NA
"G73M-ZJ6",NA,NA,NA,NA,NA,NA
"G8Y9-3J7","52.33022","-3.76641","Wales",NA,NA,NA
"GFS2-LC3","52.33022","-3.76641","Wales",NA,NA,NA
"9VNX-ZTH","52.8739","-3.0042","Whittington, Shropshire, England",NA,NA,NA
"94RJ-3NW","51.8609","-4.31153","Of Carmarthenshire, Wales",NA,NA,NA
"GHP8-89Y","51.87732","-2.87967","Grosmont, Monmouthshire, Wales",NA,NA,NA
"GHP8-8S7","51.87732","-2.87967","Grosmont, Monmouthshire, Wales","52.4379","-1.6496","England"
"GXJ3-YSX","51.8814","-4.4167","Pwlldyfach, Aber-nant, Carmarthenshire, Wales",NA,NA,NA
"GXJM-25M","51.8814","-4.4167","Pwlldyfach, Aber-nant, Carmarthenshire, Wales",NA,NA,NA
