"fid","place_birth_lat","place_birth_lon","place_birth","place_death_lat","place_death_lon","place_death"
"LY33-3RV","52.4379","-1.6496","England",NA,NA,NA
"LHK4-TS7","52.969","-2.6827","Whitchurch, Shropshire, England, United Kingdom",NA,NA,NA
"LHK4-R1T","52.91779","-2.54931","Moreton Say, Shropshire, England, United Kingdom",NA,NA,NA
"GWMH-KD1","52.969","-2.6827","Sanford, Whitchurch, Shropshire, England, United Kingdom","52.969","-2.6827","Sanford, Whitchurch, Shropshire, England, United Kingdom"
"LZ6C-GDC","52.1736","-0.9396","Blisworth, South Northamptonshire district, Northampton, England, United Kingdom",NA,NA,NA
"LQ5X-MZT","52.6","-2.68333","Langley near Shrewsbury, Shropshire, England",NA,NA,NA
"LH7S-KC6","52.6","-2.68333","Langley near Shrewsbury, Shropshire, England",NA,NA,NA
"9376-SL8","54.8976","-3.2032","Kirkbride, Cumbria, England","51.4842","-0.6043","Windsor Castle, Windsor, Berkshire, England"
"MBBN-N22","54.825","-3.161","Wigton, Cumberland, England, United Kingdom","54.8971","-3.2039","Kirkbride, Cumberland, England, United Kingdom"
"G7GF-PZ2","52.4379","-1.6496","England",NA,NA,NA
"GGHQ-BW1","43.17417","18.81694","1315",NA,NA,NA
"G253-GMX","52.4379","-1.6496","England",NA,NA,NA
"KN1G-XDD","46","2","of,Swynerton,,France",NA,NA,NA
"K23X-P72",NA,NA,"Madresfield, Worcestershire, England, United Kingdom","52.12604","-2.2796","Madresfield, Worcestershire, England, United Kingdom"
"G8T3-HL4","52.12604","-2.2796","Madresfield, Worcestershire, England","52.12604","-2.2796","Madresfield, Worcestershire, England"
"LHJZ-DQ5","51.7563","-4.92409","Llangwm, Pembrokeshire, Wales","51.86109","-4.92292","Pembrokeshire, Wales"
"LXL8-FQ6","51.7563","-4.92409","Llangwm, Pembrokeshire, Wales","51.86109","-4.92292","Roche, Pembrokeshire, Wales"
"L2QL-WJB","52.4389","-1.648","Meriden, Warwickshire, England","52.33781","-1.56089","Warwickshire, England"
"GFGS-BQ9","52.4379","-1.6496","England","52.44068","-1.62949","Meriden, Warwickshire, England"
