"fid","place_birth_lat","place_birth_lon","place_birth","place_death_lat","place_death_lon","place_death"
"GV3H-561","50.96785","-0.88544","Harting, Sussex, England, United Kingdom",NA,NA,NA
"GVC8-2CG",NA,NA,NA,NA,NA,NA
"GXTQ-FV6","53.11051","-1.62048","Derbyshire, England, United Kingdom","50.8611","-1.63541","New Forest, Hampshire, England, United Kingdom"
"L8G7-K3J","50.90973","-1.51856","Eling, Hampshire, England, United Kingdom","52.4379","-1.6496","England"
"LH73-BN2","52.89591","-0.78603","Belvoir, Leicestershire, England, United Kingdom","51.7262","-2.0808","Sapperton, Gloucestershire, England"
"GC46-DH7","51.6827","-0.6681","Little Missenden, Buckinghamshire, England","51.38746","-0.25183","Malden, Surrey, England"
"LWYN-24F","52.1627","-0.6244","Turvey, Bedfordshire, England","52.4379","-1.6496","England"
"KG6T-1XK","53.81849","-2.62573","Lancashire, England","53.55103","-2.323","Pilkington, Lancashire, England"
"GN87-75B","53.6","-1.48333","Notton, Yorkshire, England","53.613","-1.47405","Notton, Yorkshire, England"
"G3N6-9HY","54.0474","-2.8016","Lancaster, Lancashire, England",NA,NA,NA
"G72L-QQ1","53.76343","-2.70304","Preston, Lancashire, England",NA,NA,NA
"LYSZ-YV5","53.8359","-2.7373","Barton, Lancashire, England","49.5","2.8333","Picardy, Hauts-de-France, France"
"G2WW-QGC","53.8359","-2.7373","Barton, Preston, Lancashire, England","53.8354","-2.7378","Barton, Preston, Lancashire, England"
"G8C2-FVR","51.4563","-2.5599","Barton, Gloucestershire, England.","53.76343","-2.70304","Preston, Lancashire, England."
"LYDQ-BDF","53.5925","-2.2973","Bury, Lancashire, England","52.4379","-1.6496","England"
"29YR-96F","54.0474","-2.8016","Lancaster, Lancashire, England","53.56223","-2.32869","Radcliffe, Lancashire, England"
"GH1C-7M8","53.3949","-2.5994","Warrington, Lancashire, England","53.4","-2.61666","Bewsey Hall, Warrington, Lancashire, England"
"LY9H-7K2","54.6438","-3.5436","Workington, Cumberland, England","53.4","-2.61666","Bewsey Hall, Lancashire, England"
"L6QP-71V","53.3431","-2.8517","Speke, Lancashire, England","53.5307","-2.9537","Lydiate, Lancashire, England"
"LBGD-ZV8","53.85252","-3.0079","Carleton, Lancashire, England","53.5307","-2.9537","Lydiate, Lancashire, England"
"G7S9-3CN","53.27","-2.4635","Lostock Gralam, Cheshire, England","53.19228","-2.36734","Northwich, Cheshire, England"
"GQ6W-8Z4","53.4","-3.11667","Moreton, Cheshire, England","53.2608","-2.5118","Northwich, Cheshire, England"
"G3RB-Y4R","53.11051","-1.62048","Stainesby, Derbyshire, England","53.11051","-1.62048","Derbyshire, England"
"LYP3-XJR","53.11051","-1.62048","Stainsby, Derbyshire, England","52.4379","-1.6496","England."
"LYP3-MF2","53.11051","-1.62048",", Derbyshire, England.",NA,NA,NA
"M3WG-ZPM","52.64306","-2.71362","Shropshire, England","52.8598","-3.0538","Oswestry, Shropshire, England"
"99QS-3B1","52.86008","-2.41331","Cheswardine, Shropshire, England","52.79646","-2.99541","Knockin Castle, Knockin in Oswestry, Shropshire, England"
"LYG3-3DJ","53.95878","-1.08248","Yorkshire, England","53.95878","-1.08248","Yorkshire, England"
"LYGG-FDG",NA,NA,"Tottlington,","53.663","-2.7777","Croston, Lancashire, England"
"GL2K-CNM","53.53297","-2.57509","Hindley, Lancashire, England",NA,NA,NA
"9ZH7-KHY","53.45336","-2.52158","Culcheth, Lancashire, England","53.39017","-2.59652","Culcheth Hall, Warrington, Lancashire, England"
"GJCJ-D8S","53.3949","-2.5994","Warrington, Lancashire, England","53.45336","-2.52158","Culcheth, Lancashire, England"
"L1YK-5P3","52.4379","-1.6496","England","52.4379","-1.6496","England"
"GX14-1XX","52.4379","-1.6496","England",NA,NA,NA
"L5FB-RK8","53.4771","-2.2433","Manchester, Lancashire, England",NA,NA,NA
"MB59-16P","53.81849","-2.62573","Lancashire, England","53.81849","-2.62573","Lancashire, England"
"GGZM-RHL","53.81849","-2.62573","Lancashire, GBR","53.81849","-2.62573","Lancashire, GBR"
"GJGK-7FF","53.2","-2.76666","Bruen Stapleford, Cheshire, England, United Kingdom","52.4379","-1.6496","England, United Kingdom"
"LTHF-BFK","53.76343","-2.70304","Preston, Lancashire, England","51.5078","5.3975","Best, Noord-Brabant, Netherlands"
"LVMD-6PK","52.4379","-1.6496","England","53.81849","-2.62573","Lancashire, Lancashire, England"
"GNCB-Z7L","53.31666","-3.05","Thornton, Cheshire, England","53.31666","-3.05","Thornton, Cheshire, England"
"GNCB-3JP","53.2694","-2.6718","Kingsley, Cheshire, England","53.31666","-3.05","Thornton, Cheshire, England"
"LHJQ-5LD","53.1448","-2.3635","Sandbach, Cheshire, England","53.1448","-2.3635","Sandbach, Cheshire, England"
"LHJQ-5PF","53.1448","-2.3635","Sandbach, Cheshire, England",NA,NA,NA
"GDR4-LKB","53.1448","-2.3635","Sandbach, Cheshire, England",NA,NA,NA
"L2T1-85T","51.7628","-1.1987","Headington, Oxfordshire, England","52.4379","-1.6496","England"
