"fid","place_birth_lat","place_birth_lon","place_birth","place_death_lat","place_death_lon","place_death"
"LCRH-GYP","53.23333","-2.3","Withington, Cheshire, England","53.18268","-2.53046","Cheshire, England"
"G2M1-NFY","53.19333","-2.68167","Willington,Cheshire,England.","52.4379","-1.6496",",England."
"LJLZ-5MT","53.25","-2.11667","Macclesfield, Cheshire, England","53.25","-2.11667","Macclesfield, Cheshire, England"
"KHR8-PT3","53.21667","-2.16667","Gawsworth, Cheshire, England","53.25","-2.11667","Macclesfield, Cheshire, England"
"L13Z-FVM","53.25","-2.11667","Macclesfield, Cheshire, England","53.25","-2.11667","Macclesfield, Cheshire, England"
"LB5R-TM9","53.18268","-2.53046","Cheshire, England","53.25","-2.11667","Macclesfield, Cheshire, England"
"GGFG-P4C","52.4379","-1.6496","England, United Kingdom",NA,NA,NA
"GGFG-RBL","52.4379","-1.6496","England, United Kingdom",NA,NA,NA
"GHND-3J4","53.4","-2.45","Warburton, Cheshire, England","53.2952","-2.5027","Great Budworth, Cheshire, England"
"LVCN-2S8",NA,NA,"Pedham Castle, Lancashire, England","53.4","-2.45","Warburton, Cheshire, England"
"GW51-KPY","51.72352","-2.11558","Frampton, Gloucestershire, , England","51.7729","-2.3602","Frampton On Severn, Gloucestershire, England"
"GKBH-5R2","51.7729","-2.3602","Frampton on Severn, Gloucestershire, England, United Kingdom",NA,NA,NA
"GZBX-4JB","52.4379","-1.6496","England",NA,NA,NA
"L9G2-Q51","52.4379","-1.6496","England",NA,NA,NA
"L5Y8-VPL","54.28333","-1.25","Boltby, Yorkshire, England",NA,NA,NA
"L1BP-5DM",NA,NA,NA,NA,NA,NA
"GKK9-86N","50.73646","-3.71887","Charlecombe, Devon, England","50.73646","-3.71887","Charlecombe, Devon, England"
"GKVM-WG6","52.33781","-1.56089","Warwickshire, England","50.73646","-3.71887","Charlecombe, Devon, England"
"GWKL-BTR","53.18268","-2.53046","Shipbroke, Cheshire. England","51.8765","-0.8758","Pitchcott, Buckinghamshire, England"
"9WTY-WXP","52.6918","-1.1136","of Wanlip, Lcstrs. Eng.",NA,NA,NA
"MS2B-QF4",NA,NA,NA,NA,NA,NA
"KCCC-F6G","52.57634","0.40889","Ryston, Norfolk, England",NA,NA,NA
"9C73-F8H","52.67827","0.97259","Bamtingham, Norfolk, England",NA,NA,NA
"KNF4-1VH","52.61014","0.92155","Cranworth, Norfolk, England",NA,NA,NA
"2HMS-2P3","52.61014","0.92155","Cranworth, Norfolkshire, England, United Kingdom",NA,NA,NA
"L69V-5L2","52.59761","1.47946","Buckenham, Norfolk, England",NA,NA,NA
"G2JF-9V4","52.623","1.273","Norwich, Norfolk, England, United Kingdom",NA,NA,NA
"GQ58-8RK","52.29919","0.61893","Lackford, Suffolk, England","52.2751","1.0653","Suffolk, England"
"GDLZ-TBL","52.4379","-1.6496","England",NA,NA,NA
"G6SM-SJ8","52.4379","-1.6496","England",NA,NA,NA
"LYHM-V4P","52.4379","-1.6496","England",NA,NA,NA
"LZ93-T5P","52.4379","-1.6496","England",NA,NA,NA
"LZTB-SGL","52.4379","-1.6496","England",NA,NA,NA
"G9JX-32Q","53.53297","-2.57509","Hindley, Lancashire, England","51.29002","0.37932","Malling, Kent, England"
"GVZP-PW1",NA,NA,NA,NA,NA,NA
"GVZP-J7Z",NA,NA,NA,NA,NA,NA
"G9TS-7QV","52.6248","-1.4078","Market Bosworth, Leicestershire, England","52.6248","-1.4078","Market Bosworth, Leicestershire, England"
"GJMF-BZ5","56.81674","-4.18396","Scotland",NA,NA,NA
"LXQK-TWT","52.4379","-1.6496","England",NA,NA,NA
"G64M-TK5","53.48333","-1.46667","Tankersley, Yorkshire, England","53.48333","-1.46667","Tankersley, Yorkshire, England"
"GD3G-DSM","53.6599","-1.6327","Thornhill, Yorkshire, England","53.95878","-1.08248","Yorkshire, England"
"LHWM-M7Z","50.981","-0.3385","Sussex, England",NA,NA,NA
"KG7K-G9B","50.981","-0.3385","Sussex, England",NA,NA,NA
"2WC9-YFT","50.981","-0.3385","Sussex, England",NA,NA,NA
"LHT6-SGW","50.981","-0.3385","Sussex, England",NA,NA,NA
"LLH9-JCX","53.85","-2.46666","Stonyhurst, Lancaster, England",NA,NA,NA
"L8PN-H8C","54.0474","-2.8016","of Stoneyhurst, Lancaster, Lancashire, England",NA,NA,NA
"GNCV-ZXZ","52.46782","1.28778","Shelton, Norfolk, England, United Kingdom","52.4836","1.3662","Bedingham, Norfolk, England, United Kingdom"
"GKQY-MHK","52.1176","1.1868","Witnesham, Suffolk, England","52.1176","1.1868","Witnesham, Suffolk, England"
"GV71-DXY","52.2751","1.0653","Suffolk, England, United Kingdom","52.4379","-1.6496","England, United Kingdom"
"GCRF-8T3","52.1267","1.3502","Ufford, Suffolk, England","52.1267","1.3502","Ufford, Suffolk, England"
"G8GZ-Y7Z","51.8156","0.1468","Sawbridgeworth, Hertfordshire, England","52.2751","1.0653","Suffolk, England"
"9W7G-6NY","52.2191","1.235","Ashfield, Suffolk, England","52.2191","1.235","Ashfield, Suffolk, England"
"GK53-CD5","52.2039","0.5537","Ousden, Suffolk, England, United Kingdom","51.85229","0.61466","Tolleshunt, Essex, Engalnd"
"KGFG-DSC","52.40448","1.16958","Shimpling, Norfolk, England",NA,NA,NA
"KGFG-D39","52.67827","0.97259","Norfolk, England",NA,NA,NA
"GX9P-M9Q",NA,NA,NA,NA,NA,NA
"LYKH-B7D","50.7","-1.5","Norton by Yarmouth, Hampshire, England","50.766","-2.14508","Dorset, England"
"L7PW-RBT","51.11974","-2.9","Somerset, England","52.4379","-1.6496","England"
