"fid","place_birth_lat","place_birth_lon","place_birth","place_death_lat","place_death_lon","place_death"
"LRFJ-QRD","53.15812","-0.23925","Lincolnshire, England, United Kingdom","52.95","1.09","Salt House, Norfolk, England, United Kingdom"
"GJ3Y-4JT",NA,NA,NA,NA,NA,NA
"GS4Z-GVN","51.9916","1.0007","Holton St Mary, Suffolk, England, United Kingdom","51.9916","1.0007","Holton St Mary, Suffolk, England, United Kingdom"
"2Z3C-RNT","51.9916","1.0007","Holton St Mary, Suffolk, England, United Kingdom",NA,NA,NA
"G4QC-HRL","50.87957","0.00651","Lewes, Sussex, England","51.28114","-0.40057","Surrey, England"
"GQKD-X35","50.981","-0.3385","Kingsham, Sussex, England",NA,NA,NA
"LCRB-F2Q","50.9229","0.4092","Penhurst, Sussex, England, United Kingdom","50.9229","0.4092","Penhurst, Sussex, England. United Kingdom"
"LZPL-LD3","50.9229","0.4092","Penhurst, Sussex, England. United Kingdom","50.9229","0.4092","Penhurst, Sussex, England. United Kingdom"
"G7H9-S6C","52.4379","-1.6496","England, United Kingdom",NA,NA,NA
"G32J-NLJ","52.4379","-1.6496","England, United Kingdom",NA,NA,NA
"GNY5-DC9","51.4","-0.35","Molesey, Surrey, England","51.816","0.1475","Sawbridgeworth, Hertfordshire, England, United Kingdom"
"GMNV-K21","50.9229","0.4092","Penhurst, Sussex, England, United Kingdom","52.4379","-1.6496","England, United Kingdom"
"L555-CP9","53.18268","-2.53046","Cheshire, England, United Kingdom","53.18268","-2.53046","Cheshire, England, United Kingdom"
"LBSY-SSM","53.0918","-2.8177","Coddington, Cheshire, England, United Kingdom","52.4379","-1.6496","England, United Kingdom"
"945G-9G3","51.76274","-0.65918","Buckinghamshire, England, United Kingdom",NA,NA,NA
"L2RW-1BT","51.5396","-0.6554","Of Burnham, Buckinghamshire, England, United Kingdom",NA,NA,NA
"L2R4-M7V","51.5396","-0.6554","Of Burnham, Buckinghamshire, England, United Kingdom",NA,NA,NA
"LCRH-2Z4","52.7079","-2.7544","Shrewsbury, Shropshire, England","40.43","-4","Spain"
"9CSL-LBL","55.16843","-1.72568","Mitford & Felton, Northumberland, England","54.26667","-1.3","Upsall, Yorkshire, England"
"KZJT-X4J","51.16666","-0.01666","Sterborough Castle, Lingfield, Surrey, England","51.16666","-0.01666","Sterborough Castle, Lingfield, Surrey, England"
"LZ2V-Y4D","51.88419","-2.14462","Gloucestershire, England","51.5046","-0.0888","Southwark, London, Middlesex, England"
"GLK2-Q15","52.4379","-1.6496","England","51.148","0.3287","Pembury, , Kent, England"
"GLKL-F6B","52.33781","-1.56089","Warwickshire, , , England","52.4379","-1.6496","England"
"GZFM-PBC","52.3571","-0.7022","Isham, Northamptonshire, England","52.6914","-0.6325","Exton, Rutland, England"
"GZFM-X5Z","52.6914","-0.6325","Exton, Rutland, England","52.6914","-0.6325","Exton, Rutland, England"
"LH7X-59G","53.6126","-2.9354","Scarisbrick, Lancashire, England, United Kingdom","53.6126","-2.9354","Scarisbrick, Lancashire, England, United Kingdom"
"G76N-DJG","54.8734","-3.096","Cumberland, England, United Kingdom","53.5692","-2.88746","Ormskirk, Lancashire, England, United Kingdom"
"GL8H-K31","52.4379","-1.6496","England",NA,NA,NA
"GG3K-952","52.4379","-1.6496","England",NA,NA,NA
"LJGC-PX4","53.1833","-1.65","Haddon Hall, Shropshire, England, United Kingdom",NA,NA,NA
"MW5W-HKC","52.64306","-2.71362","Beckington, Shropshire, England, United Kingdom",NA,NA,NA
"G431-JVL","53.0169","0.06683","Butterwick, Lincolnshire, England","52.9864","0.0664","Butterwick, Lincolnshire, England, United Kingdom"
"MKV9-TBK","52.9864","0.0664","Butterwick, Lincolnshire, England, United Kingdom","53.0169","0.06683","Butterwick, Lincolnshire, England, United Kingdom"
"LVDN-MYB","53.56223","-2.32869","Radcliffe, Lancashire, England","53.4877","-2.2906","Salford, Lancashire, England"
"M98R-569","53.81849","-2.62573","Great Marley, Lancashire, England",NA,NA,NA
"L29K-1MP",NA,NA,NA,NA,NA,NA
"LJTX-4B2","52.9235","-1.477","Derby, Derbyshire, England","52.9235","-1.477","Derby, Derbyshire, England"
"GCLD-NB2","50.73646","-3.71887","Devon, England","50.73646","-3.71887","Devon, England"
"L67M-XXG","52.4379","-1.6496","England","53.13333","-0.55","Coleby, Lincolnshire, England"
"L67M-XN9","52.4379","-1.6496","England","50.981","-0.3385","Sussex, England"
"G6VV-FSJ","51.28114","-0.40057","Surrey, England","51.28114","-0.40057","Surrey, England"
"L67M-XNC","51.23386","-0.09155","Bletchingley, Surrey, England","51.23386","-0.09155","Bletchingley, Surrey, England"
"GD7M-65G","51.2543","0.7901","Otterden, Kent, England, United Kingdom","51.2543","0.7901","Otterden, Kent, England, United Kingdom"
"GWXV-9QR","51.2543","0.7901","Otterden, Kent, England, United Kingdom","51.1451","0.8733","Ashford, Kent, England, United Kingdom"
"GMJ9-NZL","51.6524","-0.0806","Enfield, Middlesex, England","51.6516","-0.0837","Enfield, Middlesex, England"
"GS2P-DFD","51.6524","-0.0806","Enfield, Middlesex, England","51.6516","-0.0837","Enfield, Middlesex, England"
"GDGF-LHY",NA,NA,NA,NA,NA,NA
"GQ66-297","51.1987","1.0158","Waltham, City of Canterbury, Kent, England, United Kingdom","51.1987","1.0158","Waltham, City of Canterbury, Kent, England, United Kingdom"
"L1XQ-B91","52.1895","1.1307","Stonham Aspall, Suffolk, England","52.1895","1.1307","Stonham Aspall, Suffolk, England"
"LZXT-L3C","52.4379","-1.6496","England","52.9381","-1.7607","Cubley, Derbyshire, England"
"GZTR-PTX","52.9381","-1.7607","Cubley, Derbyshire, England","52.4379","-1.6496","England"
"LDFX-Z1B","53.3167","-1.65","Hathersage, Derbyshire, England","53.3167","-1.65","Hathersage, Derbyshire, England"
"K88C-WJ8","52.9235","-1.477","Derby, Derbyshire, England","53.29994","-1.62858","Nether Padley, Derbyshire, England"
"MTNB-ZGQ","53.15812","-0.23925","Marblethorpe, Lincolnshire, England","53.24257","-0.491","Mablethorpe, Lincoln, Lincolnshire, England"
"27S6-L1K","53.18333","-0.1","Scrivelsby, Lincolnshire, England","53.2316","-0.5394","Lincoln, Lincolnshire, England"
"G6S3-1MJ","50.9784","0.87863","Old Romney, Kent, England","51.01","0.854","Brenzett, Kent, England"
"G6QW-3NZ","50.9914","0.895","Old Romney, Kent, England","51.01","0.854","Brenzett, Kent, England"
"GG5M-FTD","51.01","0.854","Brenzett, Shepway District, Kent, England","51.01","0.854","Brenzett, Shepway District, Kent, England"
"GFB1-3H9","51.22608","0.75054","Kent, England",NA,NA,NA
"GFB1-W4V","51.22608","0.75054","Kent, England","52.4379","-1.6496","England"
"K8SY-CHM","51.816","0.1475","Great Hyde Hall, Sawbridgeworth, Hertfordshire, England","51.51","-0.12","London, England"
"KHM9-5W5","51.816","0.1475","Sawbridgeworth, Hertfordshire, England",NA,NA,NA
"GNZ3-5GC","52.92455","1.29601","Cromer, Norfolk, England","51.51","-0.12","London, Middlesex, England"
"L21W-1FH","50.8893","0.3216","Herstmonceux, Sussex, England","51.51","-0.12","Cheapside, London, England"
"GKFW-WMR",NA,NA,NA,"51.51","-0.12","London, England"
"GCNK-YM2","51.4472","0.1242","London, City of London, Greater London, England, United Kingdom",NA,NA,NA
