"fid","place_birth_lat","place_birth_lon","place_birth","place_death_lat","place_death_lon","place_death"
"GLTP-4TV","57.7","-3.4","Duffus, Morayshire, Scotland, United Kingdom","57.7","-3.4","Duffus, Morayshire, Scotland, United Kingdom"
"GXWH-CKR","56.81674","-4.18396","Strathnaver, Scotland, United Kingdom",NA,NA,NA
"GLVG-883","56.4","-3.53333","Ruthven Castle, Perthshire, Scotland","46","2","FRANCE"
"GCSS-3MH",NA,NA,NA,NA,NA,NA
"LC36-KRK","57.53695","-1.99588","Buchan, Aberdeenshire, Scotland","57.53695","-1.99588","Buchan, Aberdeenshire, Scotland"
"L19F-1S1","51.0629","-1.3148","Winchester, Hampshire, England","57.53695","-1.99588","Buchan, Aberdeenshire, Scotland"
"GQ2D-F1L","55.7709","-2.1055","Paxton, Berwickshire, Scotland","55.77","-2.1037","Paxton, Berwickshire, Scotland"
"GVSD-J85","56.81674","-4.18396","Scotland","56.81674","-4.18396","Scotland"
"GVSD-DV7","56.4","-3.4333","Perth, Perthshire, Scotland","56.81674","-4.18396","Scotland"
"LR9R-CVG","55.75","-2.5","Haliburton, Berwickshire, Scotland",NA,NA,NA
"LZ8J-9KD","55.8","-2.08333","Mordington Mains, Berwickshire, Scotland","55.75","-2.5","Halyburton, Berwickshire, Scotland"
"G2JH-6TZ","55.9037","-2.7449","Yester, Haddingtonshire, Scotland","55.9037","-2.7449","Yester, Haddingtonshire, Scotland"
"LHL4-486","50.73646","-3.71887","Devon, Inglaterra","50.73646","-3.71887","Devon, England"
"MDWQ-WYS","55.6","-4.61667","Dreghorn, Ayrshire, Scotland","55.7703","-2.0048","Berwick-Upon-Tweed, Northumberland, England"
"LC7X-TLV","56.25","-5.25","Locheil, Argyll, Scotland","55.6","-4.61667","Dreghorn, Ayrshire, Scotland"
"LKMF-1H7","56.81674","-4.18396","Scotland","55.33405","-1.98349","Northumberland, England"
"G9R9-PKQ","55.86667","-3.06667","Dalkeith, Midlothian, Scotland","57.43333","-6.58333","Dunvegan Castle, Inverness-shire, Scotland"
"LKNT-RQ8","55.43333","-2.78333","Wilton, Roxburghshire, Scotland","56.81674","-4.18396","Scotland"
"LB12-S51","54.84049","-4.04658","Galloway, Scotland","56.81674","-4.18396","Scotland"
"LB12-SRM","57.4784","-4.2242","Inverness, Inverness-shire, Scotland","56.81674","-4.18396","Scotland"
"LY35-7MC","56.25","-5.25","Lochow, Argyllshire, Scotland","56.25","-5.25","Lochow, Argyllshire, Scotland"
"G6J1-N4D","56.25","-5.25","Argyll and Bute, Scotland","56.40387","-5.0498","Lochawe, Argyll and Bute, Scotland"
"GXM7-DFX","55.96","-4.53","Loch Lomond, Dunbartonshire, Scotland","55.96","-4.53","Dunbartonshire, Scotland"
"G4DM-6LJ","56.46666","-5.33333","Lochawe Castle, Lochawe, Argyll, Scotland","56.81674","-4.18396","Scotland"
"GJ81-TBR","56.0094","-2.85918","Aberlady, Haddingtonshire, Scotland","55.5","-4.5","Breneville, Ayrshire, Scotland"
"GJ1M-7MF","55.5","-4.5","Ayrshire, Scotland","55.8","-2.08333","Mordington, Berwickshire, Scotland"
"L87D-4L4","55.8","-2.0833","Mordington, Berwickshire, Scotland","54.38216","-2.77954","Westmoreland, England"
