"fid","place_birth_lat","place_birth_lon","place_birth","place_death_lat","place_death_lon","place_death"
"G652-7G7","50.71667","-2.61667","Long Bredy, Dorset, England",NA,NA,NA
"LB15-S8T","51.5839","-1.483","Childrey, Berkshire, England","51.5839","-1.483","Childrey, Berkshire, England"
"GMDD-Y22","52.4379","-1.6496","England, United Kingdom","52.4379","-1.6496","England, United Kingdom"
"GFCF-3VK","51.7693","-2.6244","Clearwell, Gloucestershire, England",NA,NA,NA
"GFCF-3KC","51.863","-2.4896","Mitcheldean, Gloucestershire, England",NA,NA,NA
"9CHT-HFL",NA,NA,NA,NA,NA,NA
"9CHT-HFG",NA,NA,NA,NA,NA,NA
"LHJM-B42","51.8308","-2.3948","Abenhall, Westbury-on-Severn, Gloucestershire, England",NA,NA,NA
"LHJM-YFD","51.88419","-2.14462",", GLOUCESTERSHIRE, ENGLAND",NA,NA,NA
"GMKY-FTQ","51.6818","-2.3035","Uley, Gloucestershire, England","51.88419","-2.14462","Kingsgrove, Gloucestershire, England"
"L261-NVS","52.2238","-0.7419","Castle Ashby, Northamptonshire, England","53.077","-0.81","Newark on Trent, Nottinghamshire, England"
"LHG3-H55","51.4496","-2.5163","Hanham, Gloucestershire, England","52.4804","-1.6537","Maxstoke, Warwickshire, England"
"LVQ5-S89","50.9905","-2.6307","Ashington, Somerset, England, United Kingdom","51.11974","-2.9","Somerset, England, United Kingdom"
"KFY3-2ZY","52.6831","0.1357","Leverington, Cambridgeshire, England","52.6831","0.1357","Leverington, Cambridgeshire, England"
"LK48-1DX","52.78333","0.06667","Fleet, Lincolnshire, England","52.78333","0.06667","Fleet, Lincolnshire, England"
"GWRH-22F","52.78333","0.06667","Fleet, Lincolnshire, England",NA,NA,NA
"GWFT-XCR","51.32363","-0.16546","Woodmansterne, Surrey, England","51.30892","-0.21147","Banstead, Surrey, England"
"KNHX-K29","51.3242","-0.2043","Banstead, Reigate and Banstead, Surrey, England, United Kingdom",NA,NA,NA
"LR79-M64","51.5745","4.7384","Princenhage, North Brabant, Netherlands","51.5735","4.7678","Breda, North Brabant, Netherlands"
"GMFK-HMR","51.5745","4.7384","Princenhage, North Brabant, Netherlands",NA,NA,NA
"LR7Z-KSJ",NA,NA,NA,NA,NA,NA
"LR7Z-FHF",NA,NA,NA,NA,NA,NA
"LYV4-NJJ","51.1439","4.3452","Hemiksem, Antwerpen, België",NA,NA,NA
"LYV4-VLR",NA,NA,NA,NA,NA,NA
"LYV4-JG8","51.16558","4.83402","Antwerpen, België",NA,NA,NA
"LYV4-G8X",NA,NA,NA,NA,NA,NA
"GDR3-KC2",NA,NA,NA,NA,NA,NA
"GFNR-M6K","53.1065","-4.2305","Caernarfonshire, Wales","53.1065","-4.2305","Caernarfonshire, Wales"
"KCLH-SGM","54.02","-2.2533","Long Preston, Yorkshire, England","51.76274","-0.65918","Winterwell, Buckinghamshire, England"
"G979-PHD","53.76667","-0.2","Preston, Yorkshire, England","51.76274","-0.65918","Winterwell, Buckinghamshire, England"
"G3WH-494","50.73646","-3.71887","Giddecote, Devonshire, England",NA,NA,NA
"LCY7-1T2","50.3773","-4.171","Devonport, Devonshire, England, United Kingdom","50.73646","-3.71887","Giddecote, Devonshire, England, United Kingdom"
"GMNF-C37","51.5905","-2.5328","Alveston, Gloucestershire, England, United Kingdom",NA,NA,NA
"L8T8-ZT7","51.5905","-2.5328","Alveston, Gloucestershire, England","52.4379","-1.6496",", , , England"
"K1T6-97K","50.7188","-2.5943","Kingston Russell, Dorset, England","51.4802","-2.3801","Dyrham, Gloucestershire, England"
"MWHF-6NR","51.11974","-2.9","Wraxhall, Somerset, England, United Kingdom",NA,NA,NA
"LH67-C8S","50.73646","-3.71887","Devon, England",NA,NA,NA
"LR8W-KY9","50.73646","-3.71887","Devon, England",NA,NA,NA
"G352-58M","50.73646","-3.71887","Devon, England","50.73646","-3.71887","Devon, England"
"G3Q9-L7K","50.73646","-3.71887","Berry Pomeroy, Devonshire, England","50.73646","-3.71887","Devon, England"
"94ZR-GK1","50.73646","-3.71887","Challonsleigh, Devon, England, United Kingdom",NA,NA,NA
"94ZR-GKF","50.89575","-2.60193","Ryme Intrinsica Liberty, Dorset, England","52.4379","-1.6496","England"
"G7LK-CJP","53.15812","-0.23925","Lincolnshire, England","52.4379","-1.6496","England"
"GL29-H1T","52.4379","-1.6496","England, United Kingdom","52.4379","-1.6496","England, United Kingdom"
"L1Y9-KGV","52.78333","0.06667","Fleet, Lincolnshire, England","52.69","-0.633","Exton, Rutland, England, United Kingdom"
"G6WG-CWX","61","6.41667","Flete, Sincr, England","52.69","-0.633","Exton, Rutland, England, United Kingdom"
