"fid","place_birth_lat","place_birth_lon","place_birth","place_death_lat","place_death_lon","place_death"
"LVMC-LW4","52.2261","-2.7436","Leominster, Herefordshire, England","52.2182","-2.7383","Birdstone, Leominster, Herefordshire, England"
"L7JT-T4D","51.9196","-2.6017","Bridstow, Ross on Wye, Herefordshire, England","52.4379","-1.6496","Leominster, Herefordshire,England"
"GQ8N-LXH","52.13436","-2.74917","Coof, Herefordshire, England","52.2261","-2.7436","Leominster, Herefordshire, England"
"GV46-F53","51.8725","0.15369","Bishop's Stortford, Hertfordshire, England","51.8725","0.15369","Bishop's Stortford, Hertfordshire, England"
"L18X-S8Q","50.9089","-1.4038","Southampton, Hampshire, England","50.9089","-1.4038","Southampton, Hampshire, England"
"LBJR-5J6","50.9089","-1.4038","Southampton, Hampshire, England",NA,NA,NA
"K422-P7S","50.95","-0.51667","Pulborough, Sussex, England","50.96","-0.51","Pulborough, Sussex, England"
"LRWV-M7Y","50.95","-0.51667","Pulborough, Sussex, England","51.21322","-0.18929","Reigate, Surrey, England"
"LB2G-CKS","50.96276","-0.26271","Shermanbury, Sussex, England","50.98333","-0.26667","Cowfold, Sussex, England"
"GGF2-Z73","50.9916","-0.2729","of Cowfold, Sussex, England",NA,NA,NA
"MRL4-4HT","51.7008","-1.6916","Lechlade, Gloucestershire, England","51.5094","-0.0792","London All Hallows Barking, Middlesex, England"
"224H-FPN","51.7008","-1.6916","Lechlade, Gloucestershire, England","51.4672","-1.4376","East Shefford, Berkshire, England"
"LH2V-RD6","53.406","-1.01873","Scrooby, Nottinghamshire, England","41.88333","-70.63333","Plymouth, Plymouth Colony, British Colonial America"
"LH5W-4T5","53.406","-1.01873","Scrooby, Nottinghamshire, England","41.88333","-70.63333","Plymouth, Plymouth Colony, British Colonial America"
"L5PT-FL6","51.0076","-2.1956","Shaftesbury, Dorset, England","52.1003","-1.2243","Thorpe Mandeville, Northamptonshire, England"
"LT4B-6GM","50.7975","-2.5821","Cattistock, Dorset, England","52.1003","-1.2243","Thorpe Mandeville, Northamptonshire, England"
"LK9W-JZF","53.15812","-0.23925","Lincolnshire, England",NA,NA,NA
"LY3W-K7X","51.25","4.86","Brabant, Netherlands","41.70417","-70.23056","Yarmouth, Barnstable, Massachusetts, British America"
"9X1J-7SX","52.4379","-1.6496","England","52.4379","-1.6496","England"
"KNZG-VFH","52.05272","0.72798","Sudbury, Suffolk, England",NA,NA,NA
"LZVZ-C35","52.0406","0.7262","Sudbury, Suffolk, England","52.4379","-1.6496","England"
"KC8Z-WTN","52.0406","0.7262","Sudbury, Suffolk, England","52.4379","-1.6496","England"
"LHSC-CZZ","52.05272","0.72798","Sudbury, Babergh, Suffolk, England","52.0406","0.7262","Sudbury, Suffolk, England"
"MHHY-CBZ","51.0305","-2.7609","Long Sutton, Somerset, England, United Kingdom","51.1336","-2.9448","Chedzoy, Somerset, England, United Kingdom"
"GGRJ-36J","51.11974","-2.9","Probably Somerset, England, United Kingdom","51.0305","-2.7609","Long Sutton, Somerset, England, United Kingdom"
"LCY4-D79","51.51778","-2.13528","Stanton Saint Quintin, Wiltshire, England","51.51778","-2.13528","Stanton Saint Quintin, Wiltshire, England"
"LVGV-SJ5","51.39235","-2.04346","Stranton, Wiltshire, England, United Kingdom",NA,NA,NA
"LKFF-MTV","51.1846","-1.68819","Cholderton, Wiltshire, England","52.0156","6.1403","Doesburg, Gelderland, Netherlands"
"L711-Q7J","51.6251","-1.3283","Steventon, Berkshire, England","51.43208","-1.69049","Mildenhall, Wiltshire, England"
"LV8V-5WJ",NA,NA,NA,"52.1","5.9","Siege of Zutphen, Gelderland, Netherlands"
"MM61-R3X",NA,NA,NA,NA,NA,NA
"LHT7-8X8",NA,NA,NA,NA,NA,NA
"L5K9-J5Z",NA,NA,NA,NA,NA,NA
"29HB-DWP","52.2608","0.0644","Oakington, Cambridgeshire, England","52.2608","0.0644","Oakington, Cambridgeshire, England"
"29HB-DM2","52.4376","-0.7669","Rushton, Northamptonshire, England, United Kingdom","52.2611","0.0632","Oakington, Cambridgeshire, England, United Kingdom"
"L457-4H4","53.98333","-2.1","Gargrave, Yorkshire, England","52.2608","0.0644","Oakington, Cambridgeshire, England"
"LH7Z-T6J","52.2785","0.0475","Long Stanton, Cambridgeshire, England","52.4379","-1.6496","England"
"GGG7-4P6","52.2734","-0.29447","Midloe St Neots, Huntingdonshire, England",NA,NA,"Suffolk, England  --  or  --  St Giles Cripplegate, London, England  --  or  --  St Botolph Aldgate, London, England  --  or  --  Huningdonshire, England"
"GGGQ-T84","53.95878","-1.08248","Waterton, Yorkshire, England","51.51899","-0.09137","St Giles Cripplegate, London, England"
"LRYG-SJG","52.1871","0.4714","Kirtling, Cambridgeshire, England","52.1871","0.4714","Kirtling, Cambridgeshire, England"
"LRYL-Y9H","52.2046","0.1196","Cambridge, Cambridgeshire, England",NA,NA,NA
"G6DV-37V",NA,NA,NA,NA,NA,NA
"G6DV-6XN",NA,NA,NA,NA,NA,NA
"GVVD-DRP","51.96375","-0.45238","Sharpenhoe, Streatley with Sharpenhoe, Bedfordshire, England","51.96375","-0.45238","Sharpenhoe, Streatley with Sharpenhoe, Bedfordshire, England"
"LZS9-TZ5","51.96375","-0.45238","Sharpenhoe, Streatley with Sharpenhoe, Bedfordshire, England","52.0155","-0.2633","St Peter's Parish, Arlesey, Bedfordshire, England"
"M6H2-42P","51.872","-0.611","Northall, Dunstable, Buckinghamshire, England, United Kingdom","52.1749","-0.48447","Bedford, Bedford district, Bedfordshire, England, United Kingdom"
"M6H2-4RQ","51.9446","-0.4422","Sharpenhoe, Streatley, Central Bedfordshire district, Bedfordshire, England, United Kingdom",NA,NA,NA
"LZ2Z-7WB","52.93333","-0.88333","Aslockton, Nottinghamshire, England","52.93333","-0.88333","Aslockton, Nottinghamshire, England"
"LZJY-KZX",NA,NA,NA,"51.2808","1.079","Canterbury, , Kent, England"
"GGJ4-78G","52.4379","-1.6496","England","52.4379","-1.6496","England"
"LZN7-LZ6","52.7549","0.80999","Tittleshall, Norfolk, England","52.67827","0.97259","Norfolk, England"
"L78F-C8D","52.70649","0.81651","Beeston, Norfolk, England","52.90271","1.33152","Northrepps, Norfolk, England"
"GJ18-36T","52.7549","0.80999","Tittleshall, Norfolk, England","52.67827","0.97259","Norfolk, England"
"LJVR-LYZ","51.4589","-1.0426","Tilehurst, West Berkshire Unitary Authority, Berkshire, England","51.4589","-1.0426","Tilehurst, West Berkshire Unitary Authority, Berkshire, England"
"LR43-HTV","51.4589","-1.0426","Tilehurst, West Berkshire Unitary Authority, Berkshire, England","51.4589","-1.0426","Tilehurst, West Berkshire Unitary Authority, Berkshire, England"
"GCLH-YM5","51.38207","-0.98877","Berkshire, England",NA,NA,NA
"G87Q-VBK","52.0074","0.3141","Wimbish, Essex, England","51.9236","0.7552","Creeping Hall, Wakes Colne, Essex, England"
"GLDP-Y2Q","52.0958","-2.7633","Burghill, , Herefordshire, England","52.4379","-1.6496","England, United Kingdom"
"LZF4-F7C","52.0958","-2.7633","Burghill, Herefordshire, England","47.5","14","Austria, Hungary"
"LK58-892","46","2","France","51.0629","-0.3268","Horsham, Sussex, England, United Kingdom"
"LK58-89H","51.4623","-0.1357","Clapham, London, England, United Kingdom","52.4379","-1.6496","England"
"GDKS-91B","52.4379","-1.6496","England",NA,NA,NA
"GDKS-HF6","52.4379","-1.6496","England",NA,NA,NA
"GGGK-KLF",NA,NA,NA,NA,NA,NA
"GGGK-FCR",NA,NA,NA,NA,NA,NA
"GMDT-S86","51.83747","-0.18951","Hertfordshire, England","52.13436","-2.74917","Watford, Herefordshire, England"
"L1T7-V1D","52.118","-0.4967","Kempston, Bedfordshire, England","52.118","-0.4967","Kempston, Bedfordshire, England"
"G2Q9-VWC","52.4379","-1.6496","England","52.4379","-1.6496","England"
"GW9Y-PTC","53.33333","0.1","Little Carlton, Lincolnshire, England","52.4379","-1.6496","England"
"GHGC-VPK","52.2751","1.0653","Horsham, Suffolk, England","52.0964","0.6685","Glemsford, Suffolk, England"
"G8W9-943","52.2751","1.0653","Horsham, Suffolk, England","52.2751","1.0653","Horsham, Suffolk, England"
"GFPH-QVG","51.93842","-0.73373","Hollingdon, Buckinghamshire, England","52.4379","-1.6496","England"
"MKMD-VS4","52.1773","0.8467","Felsham, Suffolk, England","52.1773","0.8467","Felsham, Suffolk, England"
"MKMD-V2D","52.1773","0.8467","Felsham, Suffolk, England, United Kingdom","52.1775","0.8453","Felsham, Suffolk, England"
"GX2H-W9K","51.9256","-0.0147","Westmill, East Hertfordshire district, Hertfordshire, England, United Kingdom","51.9256","-0.0147","Westmill, East Hertfordshire district, Hertfordshire, England, United Kingdom"
"GL2K-HF6","52.4379","-1.6496","of England",NA,NA,NA
"LZX1-XGK","51.8844","0.0258","Standon, Hertfordshire, England","51.8364","-0.0328","Thundridge, Hertfordshire, England"
"GKK8-P4S",NA,NA,NA,NA,NA,"Stainforth, Nottinghamshire, England"
"GKKD-4TJ","52.0178","-0.0548","of Therfield,Hertfordshire,England",NA,NA,NA
"LRZV-KL2","52.18816","-0.36853","Barford, Kempston Parish, Bedfordshire, England","52.18816","-0.36853","Barford, Kempston Parish, Bedfordshire, England"
"G2FG-CSB","52.18816","-0.36853","Barford, Bedfordshire, England, United Kingdom","52.118","-0.4968","Kempston, Bedfordshire, England, United Kingdom"
"G6N5-7R6","51.0402","-4.2131","Northam, Devon, England, United Kingdom","54.6802","-1.4863","Bishop Middleham, Durham, England or Kerry Ireland, Kerry, Munster, Ireland"
"GXFC-NC3","52.8542","-2.576","Hodnet, Shropshire, UK","52.0628","1.15851","Ipswich, Suffolk, UK"
"LC73-DBC","51.35","1.33333","Isle of Thanet, Kent, England","51.3887","1.3858","Margate, Kent, England"
"LCCJ-662","52.0886","-1.6933","Ilmington, Warwickshire, England","51.3371","1.3143","Minster, Kent, England"
"LRC9-9LF","55.86609","-4.25308","Glasgow, Lanarkshire, Scotland","55.86609","-4.25308","Glasgow, Lanarkshire, Scotland"
"GQFM-HGS","55.66897","-3.78367","Lanarkshire, Scotland","55.66897","-3.78367","Lanarkshire, Scotland"
"GH76-S2R","55.83","-3.083","Midlothian, Scotland","55.83","-3.083","Midlothian, Scotland"
"GCMB-H7W","55.83","-3.083","Midlothian, Scotland","55.83","-3.083","Midlothian, Scotland"
"LK9P-D7Q","55.9535","-3.1892","Edinburgh, Midloathian, Scotland","55.9535","-3.1892","Edinburgh, Midloathian, Scotland"
"LK9P-DHK","56.81674","-4.18396","Scotland",NA,NA,NA
"G78C-MZL","56.16667","-3.75","Clackmannanshire, Scotland",NA,NA,NA
"9SB4-M35","57.148","-2.094","Aberdeen, Aberdeen City, Scotland","57.148","-2.094","Aberdeen, Aberdeenshire, Scotland"
"L4Q6-X7T","56.2","-3.4167","Kinross, Perth and Kinross, Scotland","56.2","-3.4167","Kinross, Perth and Kinross, Scotland"
"L4Q6-61M","56.25","-3.16667","Monace, Fife, SCOTLAND","56.25","-3.16667","Monace, Fife, SCOTLAND"
"GWBQ-3HB","56.81674","-4.18396","Scotland",NA,NA,"NN"
"GWBQ-473",NA,NA,"NN",NA,NA,"NN"
"GWSF-7Z9","53.95878","-1.08248","West Yorkshire","53.95878","-1.08248","Yorkshire, England"
"G8TJ-158","52.4379","-1.6496","England",NA,NA,NA
"KK9B-MVZ",NA,NA,NA,NA,NA,NA
"GLVH-HZG",NA,NA,NA,NA,NA,NA
"LD5M-GRL","53.37749","-0.18525","Girsby, Lincolnshire, England","53.37749","-0.18525","Girsby, Lincolnshire, England"
"LDTM-J4T","53.37749","-0.18525","Girsby, Lincolnshire, England","53.15812","-0.23925","Lincolnshire, England"
"9SVT-V2X","53.23333","-2.3","Withington, Cheshire, England","53.23333","-2.3","Withington, Cheshire, England"
"LDB2-BB4",NA,NA,NA,"52.77951","-1.91711","Staffordshire, England"
"MH4T-RN5","52.4379","-1.6496","England",NA,NA,NA
"GGNJ-V4K",NA,NA,NA,"53.50917","-2.00075","Mottram in Longdendale, Cheshire, England"
"LXSM-KSB","51.2144","0.596","Sutton Valence, Kent, England","51.21326","0.5891","Sutton Valence, Kent, England"
"G27H-9LG","51.1965","1.3427","Sutton, Kent, England, United Kingdom","51.2144","0.596","Sutton Valence, Kent, England, United Kingdom"
"GH3L-P3Y","52.3478","1.3187","Fressingfield, Suffolk, England","52.3478","1.3187","St Peter and St Paul Churchyard, Fressingfield, Suffolk, England"
"GH3L-YXV","52.3484","1.3182","Fressingfield, Suffolk, England","52.3478","1.3187","Fressingfield, Suffolk, England"
"2Z3J-1PB","52.3484","1.3182","Fressingfield, Suffolk, England","52.3184","1.2726","Stradbroke, Suffolk, England, United Kingdom"
"GWMF-WJF","52.318","1.2721","Stradbroke, Suffolk, England","52.3484","1.3182","Fressingfield, Suffolk, England"
"KLVC-KFG","50.95051","-2.71874","Montacute, Somerset, England","50.9508","-2.7136","Montacute, Somerset, England"
"GXVQ-3CV","50.95051","-2.71874","Montacute, Somerset, England","50.95051","-2.71874","Montacute, Somerset, England"
"GMX1-J91","52.4379","-1.6496","England","50.766","-2.14508","Chetnall, Dorset, England"
"G6HW-87M","50.8726","-2.5674","Chetnole, Dorset, England","50.8726","-2.5674","Chetnole, Dorset, England"
"9QG6-4H7","50.9638","-0.53646","Stopham, Sussex, England","50.981","-0.3385","Sussex, England"
"9QG6-4DJ","51.8402","-1.4033","Combe, Oxfordshire, England","50.76333","-0.83381","Earnley, Sussex, England"
"MJ2F-63C","50.6917","-2.4398","Winterbourne, Came, Dorsetshire, England","50.766","-2.14508","Kayme, Dorset, England"
"LJLW-MRX","50.8737","-2.567","Chetnoll, Dorset, England","50.766","-2.14508","Muston, Dorset, England"
"GSWR-SL1","48.63745","9.78998","Geislingen, Geislingen, Württemberg, Germany",NA,NA,NA
"M53M-74H","48.6167","9.85","Geislingen, Württemberg, Germany",NA,NA,NA
"G72V-T75","48.6242","9.8376","Geislingen, Donau, Wrtt.",NA,NA,NA
"GXZ9-VV8","51.51","-0.12","St. Mary Woolnot, London, England","51.50442","-0.30574","St. Mary Woolnot, London, England"
"G6YL-SGQ","51.51","-0.12","London, Middlesex, England","42.02","-83.6133","London, London, England"
"GDJM-FLW","52.4379","-1.6496","England",NA,NA,NA
"LH58-BYF","51.85739","-1.29353","Dodington, Oxfordshire, England","52.0728","-1.3969","Wroxton, Oxfordshire, England"
"GJWG-GQ1","52.33781","-1.56089","Malestock, Warwickshire, , England","51.51131","-0.08199","St. Dionis Backchurch, London, England"
"K1GW-JPZ","51.74363","-1.02011","North Weston, Oxfordshire, England","51.85229","0.61466","Essex, England"
"27DV-K39","54.5871","-1.1385","King Crosse, Halifax Parish, West Riding, County Yorkshire, England","54.5871","-1.1385","Halifax Parish, West Riding, County Yorkshire, England"
"L4S1-CPD","53.8","-1.5514","Leeds, Yorkshire, England","53.7232","-1.8597","Halifax, Yorkshire, England"
"GGMC-3WN",NA,NA,NA,NA,NA,NA
"GVVH-FLB","52.2824","0.9954","Westhorpe, Suffolk, England","52.2848","1.0275","Finningham, Suffolk, England"
"LZ61-T3T","51.927","-0.7614","Stewkley, Buckinghamshire, England","51.7039","-0.7024","Great Missenden, Buckinghamshire, England"
"GQKN-3QH","53.418","-1.0775","Harworth, Nottinghamshire, England",NA,NA,NA
"LRL7-JNF","52.12604","-2.2796","Arle Court, Madresfield, Worcestershire, England","52.12604","-2.2796","Madresfield, Malvern Hills District, Worcestershire, England"
"L6TC-KQZ","51.4802","-2.3801","Dyrham, Gloucestershire, England","52.23342","-2.21245","Worcestershire, England"
"GW58-RX7","52.4379","-1.6496","Puklechurch, Gloucetser, England","51.4867","-2.4373","Pucklechurch, Gloucestershire, England"
"GHP8-DZH","51.8105","-2.2981","Hardwicke, Gloucestershire, England","51.4867","-2.4373","Pucklechurch, Gloucestershire, England"
"G87S-C53","52.4379","-1.6496","England",NA,NA,NA
"GKND-ZGT","52.4379","-1.6496","England",NA,NA,NA
"GM6W-B5K","52.4379","-1.6496"," England","52.4379","-1.6496"," England"
"GKX2-FNC","52.4379","-1.6496","England",NA,NA,NA
"GWCX-DSZ","51.8171","-0.8123","Aylesbury, Buckinghamshire, England",NA,NA,NA
"MSR4-W9F","51.81681","-0.81308","Aylesbury, Buckinghamshire, England","51.81681","-0.81308","Aylesbury, Buckinghamshire, England"
"LTKJ-355","51.8171","-0.8123","Aylesbury, Buckinghamshire, England","51.8171","-0.8123","Aylesbury, Buckinghamshire, England"
"G7CD-T8L","51.8171","-0.8123","Aylesbury, Buckinghamshire, England","52.4379","-1.6496","England"
"GZGF-4Q6","53.6743","-0.63446","West Halton Lincolnshire,England","51.73758","0.56508","Little Baddow Chilmsford Borough Essex England"
"GZGF-66Y","51.31566","-2.21076","Trowbridge, Wiltshire, England","51.31566","-2.21076","Trowbridge, Wiltshire, England"
"GZGF-CWY","50.7418","-2.4921","Stratton, West Dorse districtt, Dorset, England, United Kingdom","50.7418","-2.4921","Stratton, West Dorse districtt, Dorset, England, United Kingdom"
"GZGF-N21","51.07865","-1.31703","Hampshire, England, United Kingdom","50.7418","-2.4921","Stratton, West Dorse districtt, Dorset, England, United Kingdom"
