"fid","ascendancy"
"LVS7-7KG",54
"9WT6-2JF",108
"LH8V-RD8",109
"LDJT-L6F",216
"LDMN-RD8",217
"KPWD-SBW",218
"M73H-88T",219
"GHYT-BYQ",436
"MR43-7MB",437
"M73H-C5N",438
"L4MT-9SK",439
"9X1R-QJL",872
"MT29-M8X",873
"L4T6-WXC",874
"L78Z-VT8",875
"LV92-71L",876
"LWJV-TFQ",877
"LTT3-L3X",878
"LK3T-3RK",879
"LK53-1BF",1744
"LK5Q-MXT",1745
"2ZVG-C1Y",1746
"947Z-SP2",1747
"LZ4F-G53",1748
"LHGS-1KZ",1749
"MH47-CZR",1752
"G22S-WBN",1753
"GZ7X-D1L",1754
"M4P8-FPF",1755
"LZDB-H9Y",1756
"GJ1F-TMC",1757
"LK3T-SH8",1758
"LK3T-39D",1759
"2SH6-PM4",3488
"LVNN-6RY",3489
"KGYZ-N8J",3490
"KGYZ-NDY",3491
"G66S-SCH",3492
"G66S-3B4",3493
"L7BR-K58",3496
"L7BR-KBB",3497
"KP7J-B8B",3498
"KFL4-ZYS",3499
"GDJM-FKB",3508
"GDJM-NWS",3509
"LVJL-486",3510
"LVJL-4V9",3511
"LH3G-8GQ",3512
"LZWQ-4FR",3516
"L4L5-1LV",3517
"G9RF-Z93",3518
"LK38-KF5",3519
"2SH6-P6L",6976
"LZN8-4WK",6977
"KGW7-FQ4",6978
"273C-Q82",6979
"LC61-WTX",6980
"LCXH-D8X",6981
"273C-Q73",6982
"GXN6-B1C",6983
"LLW3-HF8",6992
"LHVQ-WBZ",6993
"LCMQ-7WL",6994
"LH3M-JMH",6995
"GMQG-D2C",6996
"KP7J-BHF",6997
"KFL4-Z1M",6998
"LR12-2DL",6999
"GDKS-8JS",7016
"GW24-LZL",7017
"MB23-ZZL",7018
"G4N2-LSN",7019
"GHHP-TBM",7020
"GWKC-QWJ",7021
"K8XQ-D6K",7024
"L1J4-JLH",7025
"K8CB-RH1",7032
"2MRR-XF1",7033
"LDM7-69D",7034
"LDM7-XFT",7035
"LTH9-3K5",7036
"G93D-2Z4",7037
"GLD9-RF6",7038
"GF14-8PR",7039
"L1H2-GPQ",13952
"LHLW-YKR",13953
"KGSH-BDP",13954
"LZKW-PN5",13955
"K2M8-J3G",13956
"K2M8-J8S",13957
"LZXJ-1LJ",13959
"LCJY-N2N",13960
"LCJY-NV8",13961
"L5PB-8HH",13962
"LZFS-XJH",13963
"LH84-SK2",13964
"LW9M-4CW",13965
"9VSB-B74",13966
"KL89-JZ1",13967
"GWHD-6ZX",13984
"GC84-K87",13985
"MLC2-DKC",13986
"MLC2-DRG",13987
"L6P5-G1X",13988
"L6P5-PMJ",13989
"L139-YZH",13992
"L7JB-17Q",13993
"KVV8-GD3",13994
"KVV8-GF1",13995
"9N4X-NWV",13996
"CWXS-ZML",13997
"LJLP-MGT",13998
"LD54-GJD",13999
"GXSL-TMD",14032
"K6HY-MDW",14033
"GXST-LC4",14034
"9DM1-3HT",14035
"LRSY-7SL",14036
"G4NL-31V",14037
"KP41-ZHF",14038
"L6CF-Y2T",14039
"GDLH-V89",14040
"G8TV-T6B",14041
"G9XD-M2H",14064
"LDMW-8HS",14068
"LDMW-XW2",14069
"GVWZ-RNH",14072
"LHJC-8G6",14073
"GVW8-MDP",14074
"GF14-XMP",14078
"273C-Q28",27908
"KGS4-XPJ",27909
"K679-RZP",27910
"KGSH-GYV",27911
"KJ5Q-ZF5",27912
"KJ5Q-ZFT",27913
"L5TJ-QPF",27924
"LRBK-187",27925
"KL89-JN8",27932
"KL89-JJ3",27933
"GNVW-8CS",27934
"GNVW-P1L",27935
"L84C-VXB",27968
"L84C-KQ6",27969
"KZBM-MV4",27972
"MQ65-FVP",27973
"G8T2-HZ6",27974
"G8T2-4HH",27975
"KZ5Z-JF1",27978
"M3VH-SVT",27979
"GFW3-TY2",27984
"GFW3-1V1",27985
"LRBF-85Y",27986
"LRBF-FK2",27987
"GNQ2-XVB",27988
"G47K-RH2",27989
"L139-YZH",27996
"L7JB-17Q",27997
"GF79-WVK",27998
"KCLV-JCN",28066
"9NQX-D7L",28067
"GNHX-2HX",28072
"LH3M-FM3",28076
"9JR7-CS1",28077
"GSJW-J2R",28078
"GLRM-S9N",28079
"LCVH-325",28080
"LH1H-5GZ",28081
"GK15-8FX",28082
"MTF6-WT4",28128
"MBF9-ZTK",28129
"KHBY-631",28144
"9KGM-TNC",28145
"MZVY-WGC",28146
"KVVM-STP",28147
"GF1C-J4M",28157
"273C-7ZT",55816
"9VH3-XVX",55817
"GH3L-781",55824
"GH3L-DN3",55825
"GH3L-86W",55848
"G9J4-DP2",55864
"9V36-SHK",55865
"G3JL-HSF",55936
"LZFM-68X",55937
"LHWL-S3Q",55938
"LHWL-956",55939
"9KFV-ZPT",55944
"G8T3-9TB",55946
"G8TS-P9Y",55947
"L5XX-D8D",55972
"LHTQ-SF1",55973
"G48N-P99",55974
"GCX7-1DC",55975
"GNQ2-PYN",55976
"GNQL-MG1",55978
"GFW3-TY2",55992
"GFW3-1V1",55993
"LRBF-85Y",55994
"LRBF-FK2",55995
"K23Z-MD3",56132
"KZBM-VHD",56133
"9NQX-D9P",56134
"9NQX-D95",56135
"KG65-QSH",56152
"GSNM-B3D",56153
"LH3M-XGX",56154
"G78D-BGP",56155
"G8TY-VX2",56160
"G8TV-V9P",56161
"LCVH-3F1",56162
"LCVH-3P7",56163
"G9X8-PQB",56256
"GK4J-Q5D",56257
"KC1K-GXR",56258
"MTLH-3ZR",56259
"9KGM-TFK",56288
"KCG2-ZFX",56289
"KCQJ-KW2",56290
"GVW8-N56",56291
"KZ1N-RF6",56292
"LVS8-1MF",56293
"L4S6-2VX",56294
"LWY2-TLB",56295
"GH3L-QR1",111648
"GH3L-49P",111649
"GH3L-QR1",111696
"GH3L-QT3",111697
"GD8F-6LP",111728
"G6QW-XHB",111729
"KNQ4-DYX",111730
"9V36-SC3",111731
"G3JL-Y5H",111872
"G3JL-9JW",111873
"G3JL-N84",111874
"L8RM-V6P",111875
"293R-LG1",111876
"M44K-RQN",111877
"GVLC-VJ4",111878
"GVYK-338",111879
"9KFV-Z5F",111888
"9KFV-Z5Y",111889
"LHTQ-3V4",111944
"LRZC-2NY",111945
"K8D4-6HQ",111946
"GGJ6-7CN",111947
"L5XX-D8D",111988
"LHTQ-SF1",111989
"G48N-P99",111990
"GCX7-1DC",111991
"G786-DJJ",112304
"G786-V39",112305
"LVT1-JC2",112320
"GNZ9-CRZ",112321
"GV8H-RQ1",112324
"MN7M-FDL",112326
"4X5W-KLF",112327
"G48J-CK5",112516
"G48J-7YL",112517
"K8CP-6FV",112518
"G9Q7-CC6",112576
"G9Q7-CTF",112577
"991K-CTM",112578
"H31Y-DJ1",112579
"L7JF-74Y",112580
"L7JF-7HJ",112581
"KZNG-RT1",112582
"K4JY-CD6",112583
"KHLM-9WC",112584
"K88S-7XW",112585
"GH3L-NCM",223296
"GH3L-NPT",223297
"GH3L-NCM",223392
"GH3L-NPT",223393
"GD8F-C85",223456
"L1Q5-R78",223744
"L1Q5-BVT",223745
"G3JY-YHJ",223749
