"fid","ascendancy"
"K8R2-H3H",52
"KZBV-4WN",104
"KC78-K8K",105
"KN49-QXH",208
"LH3F-1RB",209
"2XM9-V33",210
"LHT2-Q2L",211
"LK34-3DJ",416
"2WMN-81N",417
"LH3F-15C",418
"LH3F-1GB",419
"LH3F-15C",420
"LH3F-1GB",421
"KD1R-2KC",422
"KZYZ-WSY",423
"27P4-G81",832
"LDH1-W8D",834
"M2YV-FXY",835
"LV7M-1JL",836
"LH8B-9PS",837
"LZLK-8QR",838
"2WM7-P6G",839
"LV7M-1JL",840
"LH8B-9PS",841
"LZLK-8QR",842
"2WM7-P6G",843
"KLJJ-YVB",844
"KGB3-3SZ",845
"M95G-5ZY",1664
"WB7C-DK6",1665
"LVGM-FHR",1668
"LTZ3-X5Z",1669
"LLCP-ZWB",1672
"L41Y-NZW",1673
"LH3P-61W",1674
"K1WK-2H4",1675
"LZPX-VW5",1676
"K4D9-R3L",1677
"L134-LK5",1678
"L2W3-WQJ",1679
"LLCP-ZWB",1680
"L41Y-NZW",1681
"LH3P-61W",1682
"K1WK-2H4",1683
"LZPX-VW5",1684
"K4D9-R3L",1685
"L134-LK5",1686
"L2W3-WQJ",1687
"LV5Z-YQZ",1688
"LHZZ-Y1F",1689
"LZ8M-XGY",1690
"26KX-2QL",1691
"G2KQ-F7T",3328
"G2KQ-H3D",3329
"LVCW-PN5",3330
"LYYL-XK7",3331
"L2TF-JPF",3336
"L68Y-W73",3337
"KN6H-9WZ",3338
"2JYT-CQF",3339
"MM37-JYJ",3344
"LC8R-19D",3345
"MFGB-DXQ",3346
"L8QR-D4S",3347
"LY41-WWS",3348
"LC35-711",3349
"LKKM-4PT",3350
"M1H8-LPQ",3351
"9JVC-BJ5",3352
"LBKD-DLW",3353
"KNHZ-BKS",3354
"9Q99-1SS",3355
"LZP7-4MD",3356
"LTWN-55N",3357
"LHLW-GNY",3358
"29M1-YXQ",3359
"MM37-JYJ",3360
"LC8R-19D",3361
"MFGB-DXQ",3362
"L8QR-D4S",3363
"LY41-WWS",3364
"LC35-711",3365
"LKKM-4PT",3366
"M1H8-LPQ",3367
"9JVC-BJ5",3368
"LBKD-DLW",3369
"KNHZ-BKS",3370
"9Q99-1SS",3371
"LZP7-4MD",3372
"LTWN-55N",3373
"LHLW-GNY",3374
"29M1-YXQ",3375
"LV5Z-5JJ",3376
"MCQW-52D",3377
"MPY7-TFV",3378
"LZTX-TXS",3379
"LTLB-28N",3380
"L5JF-K6Y",3381
"LHJB-79B",3382
"LCT8-QNC",3383
"GQDR-58W",6656
"G6K2-TDK",6657
"L52J-3Q8",6660
"GH6W-GD4",6661
"LYV8-8JP",6662
"9MQ6-T6K",6663
"L4B7-QNN",6672
"G7MW-ZLW",6673
"LTGQ-WVZ",6674
"LTL7-15J",6675
"L4T9-F8C",6676
"GL9T-L6M",6677
"LZ84-61C",6678
"GDH2-HG8",6679
"KCC8-5KK",6688
