"fid","ascendancy"
"LHZQ-PTC",42
"LJK1-SS6",84
"LDQ1-3D9",85
"L68Z-527",168
"L2W7-Z69",169
"LVJK-Y44",170
"LC38-G4K",171
"LBYV-BRF",336
"LJGB-5PH",337
"LDKP-XSK",338
"L4TY-77X",339
"MYJQ-NKS",342
"GHVC-X3D",343
"LJYJ-2GM",672
"LCXS-2CJ",673
"L6JV-CNK",674
"GNW6-SRD",675
"GCZN-D6H",676
"9ZSS-XGH",677
"GMW2-92X",678
"LC8H-F4S",679
"GN29-QLP",684
"LZXR-ZQN",685
"L5BQ-TGL",686
"2MJ7-996",687
"LXQ2-YQN",1344
"LXQ2-YZV",1345
"LV3K-VTS",1346
"LH8V-NNV",1347
"LV3K-VTS",1348
"LH8V-NNV",1349
"LZK7-R6Z",1352
"LDZG-Z7V",1353
"L8QD-87T",1356
"273X-SBR",1357
"G6WC-DLQ",1358
"LX3R-GPG",1359
"LRP5-HJS",1368
"LRP5-SNN",1369
"LCXW-72B",1370
"LZXR-ZPD",1371
"G666-CGR",1372
"9VYQ-PLB",1373
"LHX5-X9B",1374
"K2J1-YBP",1375
"GKZT-Y3V",2692
"GKZT-B7J",2693
"G75H-SGB",2694
"G6FT-3K6",2695
"GKZT-Y3V",2696
"GKZT-B7J",2697
"G75H-SGB",2698
"G6FT-3K6",2699
"GWNP-GJ8",2704
"GH1Q-2BR",2705
"GSV3-LDS",2706
"GWSD-6JM",2707
"LZ2Y-G4M",2712
"9V4V-BZ2",2713
"GQMW-PWZ",2714
"GGFW-Q4J",2715
"KG96-W77",2716
"GNVZ-N82",2717
"LX3R-GDZ",2718
"LHR6-R2G",2719
"GQRD-GKW",2738
"GQSP-FPY",2739
"LC2W-BQ8",2740
"GQR6-9Z5",2741
"GQRD-B3J",2742
"LB68-H9X",2743
"KJ8X-NGY",2744
"LWX6-TXF",2745
"MNRR-2MB",2746
"LWFP-CP3",2747
"LZJF-LKW",2748
"M8FK-PFF",2749
"MNRT-8HQ",2750
"K2J1-B84",2751
"GKGF-XSV",5384
"G9SG-1S2",5385
"L4Y2-GGX",5388
"LVSZ-KDD",5389
"GQH9-KGX",5390
"GQH9-T5S",5391
"GKGF-XSV",5392
"G9SG-1S2",5393
"L4Y2-GGX",5396
"LVSZ-KDD",5397
"GQH9-KGX",5398
"GQH9-T5S",5399
"GSMP-W34",5410
"KHP7-532",5411
"KZ2G-MC7",5412
"MTCZ-GW1",5413
"LTPW-BJV",5414
"LZ6S-3DR",5415
"LZDS-SXX",5424
"LZD8-HP5",5425
"GHHB-76M",5426
"GCGM-X93",5427
"G9Z1-RFP",5432
"GJ7X-NVS",5433
"94KY-5WF",5434
"LX3R-GFG",5436
"27S1-515",5437
"GN2Q-9CK",5478
"GSQH-T1S",5480
"GSQH-RTB",5481
"LZXY-GZ6",5482
"LZXY-G7B",5483
"G2YM-2R7",5488
"FBSG-ZR8",5489
"M8F2-CKR",5491
"9V33-4M4",5492
"C891-9MH",5493
"L4M5-JX9",5494
"L4M5-J2Z",5495
"MHDN-3JD",10768
"KLGQ-BPQ",10769
"G3SN-R6H",10776
"LT9G-JNY",10777
"LHZR-F94",10778
"L1Q6-NK2",10779
"GL9V-CWL",10780
"LJ2W-FCH",10781
"MHDN-3JD",10784
"KLGQ-BPQ",10785
"G3SN-R6H",10792
"LT9G-JNY",10793
"LHZR-F94",10794
"L1Q6-NK2",10795
"GL9V-CWL",10796
"LJ2W-FCH",10797
"GSFQ-FBZ",10820
"GF4J-W5J",10821
"LYJJ-2LG",10822
"LK75-MS2",10823
"KD9V-76T",10824
"K8PQ-2MH",10825
"LCRX-JB4",10828
"LHQR-NDN",10829
"M27Z-C27",10830
"M27Z-C2L",10831
"LWKS-SWF",10848
"LC8L-QHD",10849
"MS8F-DL4",10850
"MS8F-DL5",10851
"GDWS-RJP",10854
"GDGK-MH1",10855
"KLGM-377",10864
"L4J3-T3G",10865
"GNVD-JMZ",10868
"GNVD-CB4",10869
"GL84-FS1",10872
"GGJP-T9D",10873
"LHKZ-DJG",10874
"LZD2-6HT",10875
"KNZL-2GH",10960
"KNZG-8WN",10961
"LB68-Q7P",10962
"LB68-332",10963
"9HJR-B9D",10964
"9HJR-BSY",10965
"LZXY-GQN",10966
"GSQH-B63",10967
"G92P-C53",10978
"G92Y-GB4",10982
"G92Y-2ZX",10983
"LWFL-7C6",10988
"LWFL-78Z",10989
"L24J-S21",10990
"L4HS-VDG",10991
"GDPP-GHQ",21536
"2C1M-KZX",21537
"M9YG-9N8",21538
"M9YG-9NP",21539
"L17Z-ZBC",21552
"LZ65-Y89",21553
"MMVC-161",21554
"LDRZ-D27",21555
"MBKX-2R9",21556
"GD5K-GYH",21557
"G6FT-32Q",21558
"LV5Q-KCB",21559
"LC3H-1RQ",21560
"GWZM-Z85",21561
"GH4Q-S9S",21562
"LR9J-47R",21563
"GDPP-GHQ",21568
"2C1M-KZX",21569
"M9YG-9N8",21570
"M9YG-9NP",21571
"L17Z-ZBC",21584
"LZ65-Y89",21585
"MMVC-161",21586
"LDRZ-D27",21587
"MBKX-2R9",21588
"GD5K-GYH",21589
"G6FT-32Q",21590
"LV5Q-KCB",21591
"LC3H-1RQ",21592
"GWZM-Z85",21593
"GH4Q-S9S",21594
"LR9J-47R",21595
"K2XM-XR7",21640
"K2XM-X1S",21641
"LYJJ-PFH",21644
"LYJJ-JKK",21645
"G3VZ-7JT",21648
"MMK1-9HX",21649
"G3VZ-82X",21650
"G3VC-VY6",21651
"2RYL-RR4",21656
"MZ2G-24B",21657
"G7FC-ZH1",21662
"G7FC-99L",21663
"GZ2R-1C3",21696
"L833-9NL",21697
"L89M-75T",21698
"LYVH-Y4Z",21699
"9M1N-FDK",21700
"LZJR-D6T",21701
"L6Z6-7GL",21702
"L8SH-G62",21703
"GKPQ-GHH",21708
"LH2H-QJF",21709
"LH19-N7K",21710
"MML5-QSG",21711
"KLGM-P16",21728
"29MQ-QT6",21729
"LJJR-BPX",21730
"G3BP-PYK",21731
"GGJ5-ZK4",21744
"GGJ5-H14",21745
"GG2T-11S",21746
"GG2Y-ZP2",21747
"LZV6-54G",21748
"LCT8-V8W",21749
"GL87-QFM",21750
"LZD2-6HB",21751
"L6Y7-BD1",21920
"G38J-6Z8",21921
"KJ45-6BT",21922
"L7MT-VCR",21923
"GSQH-53F",21924
"GSQH-5VK",21925
"L1W6-5WG",21926
"L1W6-T1T",21927
"GNXQ-CC8",21930
"MVJ6-5MT",21934
"K8JS-K9Z",21935
"L4M5-J5F",21979
"GDPP-4Q1",43072
"M9BC-RPN",43073
"LYTC-533",43104
"LCS1-X8K",43105
"GST8-RRQ",43106
"GDR2-YJ8",43107
"L4HK-WBL",43108
"LHXS-LRZ",43109
"LZVT-6FJ",43110
"LK7R-YQX",43111
"GKD2-LSG",43112
"G8BX-WF4",43113
"MVGL-QLG",43114
"L7TG-5M8",43115
"2ZCK-8L3",43116
"M74Y-RDB",43117
"L6M6-LH3",43118
"L69J-8YQ",43119
"LR8F-78R",43120
"GJNL-WZ8",43121
"GGCD-JDB",43124
"LVS8-J2F",43125
"GFWM-FN6",43126
"GKDC-B4D",43127
"GDPP-4Q1",43136
"M9BC-RPN",43137
"LYTC-533",43168
"LCS1-X8K",43169
"GST8-RRQ",43170
"GDR2-YJ8",43171
"L4HK-WBL",43172
"LHXS-LRZ",43173
"LZVT-6FJ",43174
"LK7R-YQX",43175
"GKD2-LSG",43176
"G8BX-WF4",43177
"MVGL-QLG",43178
"L7TG-5M8",43179
"2ZCK-8L3",43180
"M74Y-RDB",43181
"L6M6-LH3",43182
"L69J-8YQ",43183
"LR8F-78R",43184
"GJNL-WZ8",43185
"GGCD-JDB",43188
"LVS8-J2F",43189
"GFWM-FN6",43190
"GKDC-B4D",43191
"GXJ4-8K1",43280
"GXJH-8ZX",43281
"LYP3-517",43288
"LYP3-51R",43289
"GMC8-C9P",43290
"GQ8K-K36",43291
"G3VC-TW9",43296
"KLJJ-6TJ",43297
"LCVN-F6N",43300
"L4WP-JSB",43301
"LV96-MSR",43312
"KLJJ-6TJ",43313
"GLK1-G7K",43314
"GLYN-W1G",43315
"LC28-JJB",43324
"GDKG-M8V",43325
"GKDN-Y8Z",43392
"LZNC-BDW",43393
"LZK2-J2Y",43394
"LK33-V2Y",43395
"LJ1Z-J3X",43396
"29WW-Z3D",43397
"MVN1-SJ3",43398
"LC27-ZQW",43399
"LDYR-ZK8",43400
"94PP-RGV",43401
"LCY7-K1R",43402
"LCY7-K1Z",43403
"MQWQ-G8Y",43404
"MSSB-6XR",43405
"GDQZ-688",43406
"LZSW-ZJT",43407
"GKPQ-J8W",43416
"GKPQ-5X3",43417
"MBL5-4KS",43420
"LZFX-CNQ",43421
"LJGL-L96",43422
"9VT3-NQG",43423
"L8BD-KQK",43456
"LQRD-9Y1",43457
"29MW-S9R",43458
"29MW-SQQ",43459
"KLGM-5CQ",43460
"KLGM-5C7",43461
"GG2Y-V1D",43494
"GG2Y-JZT",43495
"94NM-C3W",43496
