"fid","ascendancy"
"KH11-RNX",55
"KFLD-LDY",110
"2WCM-3JJ",111
"93R2-HZ8",220
"93R2-H8S",221
"2W49-SNY",222
"2W49-S24",223
"93R2-H8R",440
"93R2-HDV",441
"29WT-FSD",444
"29WT-X1G",445
"KCGJ-3RV",446
"K63J-KZ5",447
"93R2-H66",880
"K4XB-ZGN",888
"K4RB-CV5",889
"LZFW-4Y5",890
"MTGN-Z6Y",891
"LT3F-935",892
"LT3X-BSC",893
"93R2-HXH",1760
"93R2-HF9",1761
"K8PJ-8HT",1776
"K8V7-GRH",1778
"K8QL-79Y",1779
"LB88-PJ4",1780
"LZBL-49J",1781
"LT3J-JQ7",1784
"LT3J-N9K",1785
"93R2-71L",1786
"93R2-WM7",1787
"KHMC-TD9",3552
"KZVS-M8L",3553
"G9TQ-2YP",3560
"LY26-P7P",3561
"LH56-JS6",3562
"L51C-7Y5",3563
"LT45-9RY",3568
"LT45-QNY",3569
"G7CB-PWB",3571
"LR9T-GCT",3572
"LR9T-K1H",3573
"LHX8-PZW",7120
"L11S-5GG",7121
"LH56-F8D",7124
"KNB6-1XT",7125
"LJRC-LBT",7136
"GQW1-BVS",7137
"LRSG-4G7",7138
"LX3Y-ZR4",7139
"L2NR-96K",7144
"GS3J-VXN",7145
"LYWZ-67C",7146
"LR34-7MK",7147
"GDZD-TWP",14248
"GDZD-5W5",14249
"LHNC-6PX",14272
"LHNC-X9W",14273
"G34Z-234",14274
"G34Z-FY8",14275
"GQSJ-L9L",14276
"GQLC-ZX1",14277
"GMXT-S37",14278
"GMXT-9ST",14279
"LR9T-GRV",14288
"LR9T-P8R",14289
"LR9G-LMH",14292
"LR9G-P7P",14293
"LYQ1-331",14294
"LYQ1-75X",14295
"LHNC-X5K",28544
"GXTL-22D",28545
"LZNN-R82",28546
"L6ZF-TN8",28547
"G7GT-L3H",28548
"G7GY-V6R",28549
"G7GT-X4L",28550
"LRS7-XP9",28551
"G259-TSB",28552
"GXYF-VDC",28554
"KV36-LQS",28555
"GQLC-6PX",28556
"GQLC-F4Y",28557
"GQLC-C6H",28558
"GQLC-DK5",28559
"G8KH-LGD",28576
"G8KH-8MD",28577
"G68D-CGD",28584
"G32Z-LHX",28585
"GQLC-6TZ",28586
"GQLC-NY3",28587
"G68D-274",28590
"G68D-JG6",28591
"GXTL-GZM",57090
"GXTL-VFH",57091
"G259-RFD",57108
"G25S-87F",57110
"GQLC-2GM",57114
"GQLC-FBG",57115
"G8DR-KQM",57116
"GHHT-WVY",57117
"GQLC-JFN",57118
"GQLC-VMQ",57119
"LR34-9JM",57152
"LR34-SVQ",57153
"G68D-HLT",57174
