"fid","ascendancy"
"GJC9-GNG",40423
"MMT4-5HY",40428
"MMT4-5CF",40429
"GLJB-S51",40440
"K8HG-Z84",40442
"LCZK-KF5",40443
"GSWR-SL1",79940
"M53M-74H",79942
"G72V-T75",79943
"GXZ9-VV8",80384
"G6YL-SGQ",80385
"GDJM-FLW",80388
"LH58-BYF",80389
"GJWG-GQ1",80390
"K1GW-JPZ",80391
"27DV-K39",80404
"L4S1-CPD",80405
"GGMC-3WN",80412
"GVVH-FLB",80413
"LZ61-T3T",80414
"GQKN-3QH",80415
"LRL7-JNF",80432
"L6TC-KQZ",80433
"GW58-RX7",80434
"GHP8-DZH",80435
"G87S-C53",80436
"GKND-ZGT",80437
"GM6W-B5K",80438
"GKX2-FNC",80439
"GWCX-DSZ",80444
"MSR4-W9F",80445
"LTKJ-355",80446
"G7CD-T8L",80447
"GZGF-4Q6",80456
"GZGF-66Y",80457
"GZGF-CWY",80458
"GZGF-N21",80459
"GZGF-4Q6",80464
"GZGF-66Y",80465
"GZGF-CWY",80466
"GZGF-N21",80467
"LV4R-PQG",80472
"9SWZ-QL8",80473
"GCMM-1HT",80474
"GGXK-KS4",80475
"GL95-FQG",80476
"GL95-3NB",80477
"LVYC-2BT",80478
"LC8D-5Y2",80479
"LV4R-PQG",80480
"9SWZ-QL8",80481
"GCMM-1HT",80482
"GGXK-KS4",80483
"GL95-FQG",80484
"GL95-3NB",80485
"LVYC-2BT",80486
"LC8D-5Y2",80487
"2DX5-6P9",80492
"GNZ7-GZM",80493
"GNZ7-HDV",80494
"GNZQ-RYK",80495
"LVQT-MM4",80512
"G9ZY-V88",80513
"GLXB-CNM",80514
"GLXY-LS4",80515
"G3LP-HNF",80608
"L6YM-7MR",80609
"LZF7-CCW",80610
"938B-LJV",80611
"G946-VKB",80612
"G946-1LT",80613
"G946-L11",80614
"LZJB-9GN",80704
"L8W9-4D2",80705
"GSJ5-M22",80706
"WBW3-G48",80707
"9VGQ-52M",80708
"9VGQ-529",80709
"GQKN-QRX",80710
"9KXT-72F",80711
"GLVZ-HQD",80712
"GLVZ-X73",80714
"GLVF-NPM",80715
"GKHH-R5M",80716
"GKHH-CT2",80717
"GGDP-LT6",80721
"MLLD-QYM",80732
"GFQV-LSW",80733
"KN37-C3B",80736
"MS4V-1LY",80737
"LL3Y-QD5",80738
"LZNW-JX8",80739
"L1DW-NJS",80740
"LB8V-8BR",80741
"LCVT-N97",80742
"LZL1-KP8",80743
"G7C1-QQ9",80752
"LL41-98J",80753
"LVZD-LD9",80832
"GVRN-K83",80833
"KZFD-W7X",80834
"L1HR-T6D",80835
"K6QH-DX8",80840
"LYNC-T5F",80841
"G8TY-1Q9",80856
"93Y5-JNZ",80884
"L444-4NZ",80885
"G72G-82W",159884
"LRT9-ZX2",160768
"G2ZF-L1Q",160769
"GKZC-T5G",160776
"GKZZ-ZKF",160777
"MC46-32Y",160778
"LZ99-79W",160779
"L415-1S9",160782
"K2VK-NDR",160783
"G6FK-9MP",160808
"L8BF-2GK",160809
"2736-D16",160810
"L1VQ-8WH",160811
"L415-1S9",160824
"G9XL-MWT",160828
"G3WF-86T",160829
"LCXG-F7Z",160864
"LY98-7QN",160865
"KNWQ-77P",160866
"LTPW-TGT",160867
"M5WY-ZSQ",160870
"LCX2-MC1",160871
"GKND-29D",160872
"GKND-8TD",160873
"G3TJ-2K3",160876
"9ZWK-BDB",160890
"LTV2-FV5",160892
"LTKJ-CH6",160893
"GCZ5-SGS",160894
"GZGF-CW1",160912
"GZGF-CP9",160913
"G2B7-SN3",160916
"G2B7-CFP",160917
"GZGN-VHM",160918
"G2BQ-N91",160919
"GZGF-CW1",160928
"GZGF-CP9",160929
"G2B7-SN3",160932
"G2B7-CFP",160933
"GZGN-VHM",160934
"G2BQ-N91",160935
"G2F7-CHM",160944
"G2MS-D81",160945
"G2ZF-RMP",160946
"G2Z5-WN8",160947
"GZGF-PQ6",160948
"GZ3X-YVN",160949
"LDP8-WRP",160956
"LRDT-SW4",160957
"LZVJ-W8B",160958
"2YR3-XK4",160959
"G2F7-CHM",160960
"G2MS-D81",160961
"G2ZF-RMP",160962
"G2Z5-WN8",160963
"GZGF-PQ6",160964
"GZ3X-YVN",160965
"LDP8-WRP",160972
"LRDT-SW4",160973
"LZVJ-W8B",160974
"2YR3-XK4",160975
"L5Y6-FPT",160984
"LZJ3-F4W",160985
"M8QG-HX3",160986
"M8QG-HXN",160987
"L6JG-YQF",161024
"LK39-WDC",161025
"LKM1-MDT",161026
"GDJC-L82",161027
"G3LG-YG1",161216
"L397-YBS",161218
"LKQY-3RP",161219
"LJG4-X8J",161408
"L8W9-4FH",161409
"MN3Z-SCH",161410
"KZZ1-7SC",161411
"LHRD-B97",161412
"KLY2-VT8",161413
"MLTW-GXL",161414
"LYSG-PTM",161415
"9VQK-J73",161416
"9VQK-J7Q",161417
"GLVZ-X3K",161420
"GLVN-HBM",161428
"GKHH-XR7",161432
"GLQD-MVL",161472
"LTHH-G96",161473
"G2BL-51K",161474
"GVF5-M3W",161475
"MQLD-XK6",161476
"KZGQ-RS3",161477
"LRNV-Q28",161478
"LRNV-3QH",161479
"LDD5-B82",161480
"LK7B-LKN",161481
"MT7N-9RM",161482
"MSJ1-HJM",161483
"L44S-883",161484
"LZPQ-Y91",161485
"LBNZ-J84",161486
"9SMG-NHF",161487
"K4YF-4RD",161504
"GMWZ-8T8",161505
"GGJN-J96",161506
"KHXB-N5N",161664
"L5NL-44G",161665
"G28V-FH8",161666
"GJK6-Y8M",161667
"LKH3-L9V",161668
"LC2F-634",161669
"G3RK-FD8",161670
"GNNL-9N2",161671
"LZNN-6RF",161680
"KZSW-NHK",161681
"LWFP-TGZ",161682
"K2FB-XRP",161683
"L8TM-T2D",161768
"LYB1-HV7",161769
"GFYX-75G",161770
"G4SD-L1Z",161771
"LVJG-J7S",321536
"G61C-YBW",321537
"GF1H-TF2",321552
"G252-74P",321554
"GKZZ-DCB",321555
"G826-FP6",321556
"GS9K-72K",321557
"GFF6-M15",321558
"GCWZ-QLX",321559
"L14R-1VT",321564
