"fid","ascendancy"
"KLX1-TT9",37
"LJYC-2GH",74
"94L2-7QN",75
"LVG7-5VC",148
"GF3F-HSP",149
"G9VX-9JF",150
"L6CV-QTZ",151
"L6C1-MB7",300
"L6C1-QMY",301
"K2QL-87C",600
"LV67-FMJ",601
"LTR4-NNY",602
"LT3L-N8F",1200
"LT3L-TDX",1201
"LDSG-K2K",1202
"M77S-R8C",1203
"L2ZW-HF1",2400
"GFDQ-FK8",2401
"M38T-XFK",2402
"M5FC-HF4",2403
"L2ZW-CDV",4800
"MGQ3-VBH",4801
"GFDQ-XML",4802
"GFD3-1C9",4803
"L2J3-D1V",4804
"LZV8-ZMW",4805
"GFDQ-MY9",4806
"G26C-QYK",4807
"G9SV-3KD",9600
"LVDS-JVG",9601
"GFDQ-CQF",9602
"GFDQ-ZG6",9603
"GFDQ-ZGZ",9604
"GFDQ-6XY",9605
"L2X4-366",9608
"LCXS-RKK",9609
"GMFX-29D",9610
"K8TP-4P5",9611
"LVDW-ZCQ",19200
"G9SV-G8L",19201
"LVFP-KT5",19202
"GFDQ-7PK",19203
"LYJ1-6Q8",19208
"LYJ1-F4T",19209
"LWV5-XFF",19216
"L41N-1D1",19217
"ML1F-B8K",19218
"ML1F-B8B",19219
"GXXL-THL",19220
"GKKD-KN7",19221
"LJ24-FHS",19222
"LWJR-W1X",19223
"GFDQ-SJM",38400
"LY7S-75Y",38401
"LVFP-279",38404
"GXM6-3B8",38432
"GKK3-QPR",38433
"LZZK-844",38436
"G65L-1GB",38437
"GK7D-YVM",38438
"GGNN-SKL",38440
"GXXL-BXP",38441
"GWMF-WJZ",38442
"GXXL-LX5",38443
"GJZ1-Q1L",38444
"GKNF-H2F",38445
"LVZN-FBJ",38446
"LVZN-N4J",38447
"GWSF-7Z9",76800
"G8TJ-158",76801
"KK9B-MVZ",76802
"GLVH-HZG",76803
"LD5M-GRL",76864
"LDTM-J4T",76865
"9SVT-V2X",76872
"LDB2-BB4",76873
"MH4T-RN5",76874
"GGNJ-V4K",76880
"GGNJ-BQG",76881
"LXSM-KSB",76882
"G27H-9LG",76883
"GH3L-P3Y",76884
"GH3L-YXV",76885
"2Z3J-1PB",76886
"GWMF-WJF",76887
"KLVC-KFG",76888
"GXVQ-3CV",76889
"GMX1-J91",76890
"G6HW-87M",76891
"9QG6-4H7",76892
"9QG6-4DJ",76893
"MJ2F-63C",76894
"LJLW-MRX",76895
"G71S-TKV",153728
"93B2-DJ4",153729
"LZ5N-2C9",153730
"LZ5N-2CY",153731
"G7F2-F9D",153744
"GDC5-TH1",153745
"GJY5-P1B",153764
"GLX7-7FP",153765
"GWMF-W9K",153768
"G6MZ-H7R",153769
"K83X-N7P",153770
"MZSH-VHP",153771
"LCVX-7LH",153772
"LCVX-7RV",153773
"GH3L-P3Y",153774
"GH3L-YXV",153775
"LCRQ-NVZ",153776
"GGFN-HN5",153777
"GSSV-VS3",153778
"GQPW-37L",153779
"L657-WM8",153786
"KNHW-N48",153787
"GKX6-6SQ",153788
"LHW9-89K",153789
"G2NC-5WG",153790
"LTDL-2BP",153791
"GQRD-BK2",307456
"G713-7SZ",307457
"GSGY-H1Q",307458
"M727-TJJ",307459
"LRTY-35D",307460
"LTRS-383",307461
"GSGT-T6N",307462
"GSGT-YNV",307463
"GJM1-DML",307536
"GJM1-Y4S",307537
"G9Q6-151",307538
"GDPH-Q6T",307539
"LY8L-9VC",307540
"LY8L-6WX",307541
"94JV-DDC",307542
"2ZSH-SHD",307543
"GGK4-G57",307544
"GGK4-QP3",307545
"KCBV-TXG",307546
"GHQS-Z21",307547
"GWMF-W9K",307548
"G6MZ-H7R",307549
"K83X-N7P",307550
"MZSH-VHP",307551
"GNZS-S95",307552
"G8KJ-TBK",307553
"GGFN-N4G",307554
"GGFN-MFK",307555
"GSSK-3MB",307556
"GQP8-TLT",307557
"GVVH-2Q2",307558
"GVVH-K9K",307559
"KNHS-XPT",307572
"GMSD-L53",307573
"LKQF-L28",307574
"LQR3-3DJ",307576
