"fid","ascendancy"
"LV7Y-7ZR",63
"MXSD-538",126
"LH3X-GLB",127
"KZVR-5R6",252
"K8GB-96Q",253
"K2JM-WDM",254
"LH3X-P3L",255
"L6RT-7RF",508
"LVL6-1Y5",509
"LVKG-XM9",1016
"LZ4V-6P4",1017
"LZPF-PVT",1018
"G8WM-RCT",1019
"KNSQ-S2Y",2032
"LXS3-FP7",2033
"9CGX-RJ1",2034
"9CGX-YKZ",2035
"LV14-PSP",2036
"L5GR-532",2037
"M2XF-2S7",2038
"L5YT-5B9",2039
"LVP9-BT7",4066
"LZKD-8Q1",4067
"G6R2-1WH",4068
"LCPP-SSN",4069
"9XB1-8XY",4070
"CM5F-GC5",4071
"MVB8-TK8",4072
"LR8R-S2P",4073
"M3TL-K9N",4074
"LZ4Z-H4H",4075
"LZ6X-TXC",4076
"LR99-J8V",4077
"9NSH-J3W",8132
"L4JV-TC1",8133
"MMLC-FWQ",8134
"LTLL-9ZF",8136
"G7FR-89L",8137
"LZFT-26P",8138
"L16V-2JK",8139
"LJP2-VHC",8148
"LTCT-TYY",8149
"GGWK-6WH",8150
"LV58-1DS",8151
"L1DN-SVG",8152
"MRHD-KV1",8153
"LHGL-PNM",8154
"9CXJ-RQ8",8155
"LV3S-12M",16264
"LHTP-J6D",16265
"L4JJ-1RW",16266
"L51G-S32",16267
"KF5L-FM5",16268
"GD7V-L9L",16269
"LZP2-WVT",16272
"G9XC-YH1",16273
"LZ15-NBC",16274
"LD32-187",16275
"MPKB-GGY",16276
"MPKB-G57",16277
"KN3Y-1M8",16278
"L16V-5GJ",16279
"LHZB-265",16296
"LCJ2-HW4",16297
"2Q1M-QDK",16298
"K4BX-CDR",16299
"MHXG-4XS",16302
"9JFG-NQ2",16303
"KFRB-39Y",16306
"LH5H-V8S",16307
"LCZJ-874",32528
"G6DD-8BX",32529
"L5GV-QVF",32530
"M9BJ-PFR",32531
"KHNG-4ST",32532
"GJTW-JR8",32533
"L8T1-C5S",32544
"KG8J-Y4R",32545
"GK23-7X8",32546
"GLD5-7Z6",32547
"L232-PFM",32548
"L823-BZL",32549
"GGGK-XZR",32550
"GGGK-JSC",32551
"M1HB-7DK",32556
"GQDX-PFB",32557
"M8KY-ZLT",32558
"4CWS-Y51",32559
"GCXD-6GB",32592
"GFMW-4ZL",32593
"94NP-8L8",32594
"MGCP-L4P",32595
"G7VQ-32J",32596
"MNT1-C1X",32597
"MM8B-H33",32598
"MM8B-H3D",32599
"KHY7-KNZ",32604
"LC78-CFY",32605
"2MJW-7K7",32612
"L5TZ-8T5",32613
"94RF-7QG",32614
"L24K-YSL",32615
"GVVD-DRP",65056
"LZS9-TZ5",65057
"M6H2-42P",65058
"M6H2-4RQ",65059
"LZ2Z-7WB",65060
"LZJY-KZX",65061
"GGJ4-78G",65062
"LZN7-LZ6",65065
"L78F-C8D",65066
"GJ18-36T",65067
"LJVR-LYZ",65088
"LR43-HTV",65089
"GCLH-YM5",65090
"G87Q-VBK",65091
"GLDP-Y2Q",65094
"LZF4-F7C",65095
"LK58-892",65096
"LK58-89H",65097
"GDKS-91B",65098
"GDKS-HF6",65099
"GGGK-KLF",65100
"GGGK-FCR",65101
"GMDT-S86",65112
"L1T7-V1D",65113
"G2Q9-VWC",65114
"GW9Y-PTC",65115
"GHGC-VPK",65116
"G8W9-943",65117
"GFPH-QVG",65118
"MKMD-VS4",65184
"MKMD-V2D",65185
"GX2H-W9K",65188
"GL2K-HF6",65189
"L8RH-566",65224
"LZX1-XGK",65225
"GKK8-P4S",65226
"GKKD-4TJ",65227
"LRZV-KL2",65228
"G2FG-CSB",65229
"LWG6-954",130112
"LC6L-X51",130113
"GW9P-JQW",130114
"GZ1Q-DSK",130115
"M6H2-41V",130116
"GKCC-L5M",130117
"GK5B-QVM",130120
"MYPZ-4MG",130121
"LZNR-TNZ",130122
"GMN5-J1K",130123
"LZW7-PTK",130130
"K2J6-ZHZ",130131
"GV1P-JTS",130132
"GV1P-ZDS",130134
"L5T2-K82",130176
"GQDR-D5M",130177
"L193-TX7",130190
"G84C-3XG",130191
"GGGK-FTR",130200
"GGGK-LCQ",130202
"GGGK-N1J",130203
"GXZM-SCR",130224
"GLJY-815",130225
"GK39-MF8",130226
"GK3M-GQX",130227
"MBFM-GXN",130228
"MBFM-GXY",130229
"GFMW-MCT",130368
"GFMW-QKR",130369
"G6JS-552",130376
"MPN3-XVT",130377
"G265-SMG",130448
"GW1B-R25",130450
"94XP-P9B",130451
"GK5B-HZ2",130456
"L1YP-TWH",130457
"LKD6-8R1",260224
"LKD6-81Q",260225
"LX3V-81G",260226
"LX3V-DSP",260227
"G8LB-B18",260228
"GVWQ-BLQ",260229
"GV49-563",260230
"M9WD-8Q1",260231
"GK5Y-RT8",260240
"GK5Y-55Q",260241
"GMN5-7GN",260242
"GKJ1-Y2Q",260243
"L62H-B3W",260244
"G8SX-BSJ",260245
"GK9N-HKT",260246
"GKJ1-Y2Q",260247
"LHBL-DHZ",260260
"LT1H-QH9",260261
"9KGQ-Z24",260352
"L2NM-XYT",260353
"LYJR-B8Y",260380
"LB79-M18",260381
"LB8R-KQG",260382
"LVZP-19S",260383
"GGGK-L4F",260400
"GGGK-RWZ",260404
"GMSS-R25",260405
"G6M1-4DM",260448
"G6MW-277",260449
"GJFT-Y7C",260450
"GJFT-51K",260451
"G27P-DHK",260452
"G2HW-G4Y",260453
"K2MC-F24",260456
"K2MC-FGQ",260457
"GCXD-NXF",260736
"GV7J-T9K",260737
"G6JQ-HSY",260752
"G6JS-9ZV",260753
"G747-DNH",260754
"GL2K-9YX",260755
"G21R-ZLG",260896
"GKKP-9CG",260897
"G3BY-B14",260902
"GMDJ-ZBY",260903
"LCZP-CPM",260912
"MZP9-LWD",260913
"G79J-J6F",520448
"LK62-5HT",520449
"MFC3-BGN",520450
"G8LN-CWJ",520451
"LWG6-Y7S",520452
"93RT-RKG",520453
"M7K5-Z8P",520454
"GM21-WYY",520455
"GV1V-9MX",520456
"GJTY-46N",520457
"GV1N-RXP",520458
"LY4M-JG3",520459
"GX56-4LD",520460
"GGH5-TJM",520461
"GJ95-TZ5",520462
"GJ95-P38",520463
"LDP1-MLW",520480
