"fid","ascendancy"
"KN4F-TVZ",58
"KH3D-4X3",116
"KNXW-KQB",117
"LC7P-GNN",232
"9V8P-8PJ",233
"KCMJ-FMF",234
"LVGW-PJR",235
"L4BK-YP3",464
"LC7P-L18",465
"LZLK-QR5",466
"LHNS-XK3",467
"LCTG-JQ2",468
"LCMF-R4D",469
"9HZB-X72",470
"L6ZX-D4Y",471
"9JWH-DSM",928
"9JWH-DSS",929
"LHX9-H8K",931
"LZLK-Q24",932
"LC52-JSL",933
"LHW8-LSS",934
"LH6B-TLS",935
"L8WL-YH1",936
"MDFX-RBD",937
"L6B5-4MJ",938
"LK6K-D15",939
"LX7M-129",940
"KVLP-XVS",941
"L6B5-4MJ",942
"LK6K-D15",943
"LRT4-NCT",1864
"LC8Q-Y4K",1865
"LH6B-T45",1866
"LYGX-8SK",1867
"LH2J-K3M",1868
"L8HV-1V4",1869
"LH6B-TJG",1870
"LZXG-2LB",1871
"LRBT-195",1872
"LVDL-6ZL",1873
"975Y-VNS",1874
"LR1L-ZR4",1875
"KL43-Z4G",1876
"L6B5-W31",1877
"L2YW-H7C",1878
"LYBS-GZY",1879
"L6QQ-R5B",1880
"LDQV-BFV",1881
"LZG8-341",1882
"LZG8-3CX",1883
"KL43-Z4G",1884
"L6B5-W31",1885
"L2YW-H7C",1886
"LYBS-GZY",1887
"LV12-SYM",3728
"LKN9-H4D",3729
"LHTM-W9G",3730
"9MC5-XJB",3731
"LHYH-P65",3732
"LH38-X9B",3733
"KZ4G-TZG",3734
"LTCX-J3D",3735
"LZL3-28X",3736
"K2Y1-YHS",3737
"K244-VCB",3738
"LLCM-V5L",3739
"LZCT-RFR",3742
"LZG4-W67",3743
"KHG4-B2G",3744
"KP7K-SQ6",3745
"LVP9-HZX",3746
"LDJL-DSG",3747
"LR24-1R6",3748
"LR24-119",3749
"LH77-1T1",3750
"MRFR-PJW",3751
"LDTX-F6G",3752
"LZJP-T5K",3753
"M9YQ-FY6",3754
"LKN9-TH4",3755
"LYB8-8WW",3756
"MKZZ-DJN",3757
"LDZN-KJN",3758
"LRQS-TPB",3759
"LWX5-LLN",3760
"L2J4-VN4",3761
"LZF3-XZR",3762
"97FH-CGG",3763
"GMHV-K3W",3764
"MKCV-YF1",3765
"LCY4-H51",3766
"L5NW-P4F",3767
"LDTX-F6G",3768
"LZJP-T5K",3769
"M9YQ-FY6",3770
"LKN9-TH4",3771
"LYB8-8WW",3772
"MKZZ-DJN",3773
"LDZN-KJN",3774
"LRQS-TPB",3775
"GQKS-ZQN",7456
"GG26-MNK",7458
"MVSH-1H7",7459
"LK89-7CM",7460
"GZD2-3L7",7461
"278V-D5D",7464
"KNS6-8YW",7465
"LTFH-N5K",7468
"GVCH-8FT",7469
