"fid","ascendancy"
"KF3N-R3R",50
"935N-8ZS",100
"935N-8ZG",101
"MB11-MC7",200
"MB15-SBW",201
"G8N8-NCK",202
"G8N8-DVH",203
"LZTK-CY2",400
"M1QX-XHD",401
"9KQV-4VG",402
"9KQV-ZQW",403
"LHJW-1GF",800
"L27H-ZMR",801
"MB79-GY6",804
"MB79-GYR",805
"G2VN-J59",806
"GLJB-MQQ",1602
"L7N5-C9Z",1603
"LKP3-3DM",3204
"LKP3-3X1",3205
"KZWW-9TW",3206
"GLJB-W7S",3207
"GWS8-995",6412
"GWS8-HLT",6413
"ML7M-ZPS",6414
"GLJB-X6N",6415
"G47B-1G6",12828
"LQRD-LWC",12830
"LQRD-L33",12831
"94YW-PDV",25660
"GLJY-PMP",25661
"94Y4-K6S",25662
"LH7Y-5BR",25663
"GFY9-RS9",51320
"GFY9-ZTJ",51321
"GFY9-GB1",51322
"GFY9-G67",51323
"LDHS-YD8",51324
"LDHS-Y6F",51325
"GVXJ-7J4",51326
"GFYM-1ZD",102640
"GFY9-4SL",102644
