"fid","ascendancy"
"L6LQ-3CG",49
"L9PW-DY7",98
"L9PW-8GL",99
"KJ8F-X6P",196
"MNN8-YG3",197
"L25V-72W",198
"KFB8-FTV",392
"LC65-WB3",393
"KGCB-6W3",394
"9HCD-B98",395
"LZC5-LTD",784
"K2T4-MQC",785
"K8QW-GD2",786
"LZKN-N5H",787
"LHF8-Y64",788
"LLCC-G2L",789
"KL4K-QDG",1568
"LDBG-3QK",1569
"LC66-SRY",1570
"27CW-6PJ",1571
"L5YG-XYT",1572
"K8D9-Y5J",1573
"KLWS-WF4",1574
"LCVV-VJB",1575
"M15R-GKM",1576
"LCDQ-TXD",1577
"LLCC-G2V",1578
"LZ66-K4N",1579
"L6KF-F5M",3136
"LB1M-QH4",3137
"LVWW-M3G",3138
"LTHR-BF4",3139
"2W9V-H9Z",3140
"2P4M-8ZS",3141
"LTJP-R2B",3142
"KN45-N43",3143
"GM1G-XC9",3144
"L5YG-FFJ",3145
"LCDW-TTJ",3146
"LCJJ-LWC",3147
"KL75-PPK",3148
"L5GN-GDX",3149
"LTMW-K1B",3150
"9CWM-WLB",3151
"9KD9-F9T",3152
"LCVH-3YC",3153
"KCCX-WK8",3154
"LV95-Z4C",3155
"LTQC-LHQ",3156
"LTQC-V2H",3157
"L4KV-1FR",3158
"MF8T-9KF",3159
"LR2N-YFF",6272
"LZKH-3KN",6273
"LBMB-FQ9",6274
"KNFN-VCN",6275
"L29Q-1PV",6276
"L519-F2H",6277
"LVMH-KGL",6278
"L1MH-MWK",6279
"LT21-8QW",6280
"2ZSC-VWX",6281
"L6TM-HGV",6282
"LRP3-33H",6283
"LT14-3VP",6284
"KN84-ZRC",6285
"LVQS-24M",6286
"LJRN-L8N",6287
"GQX7-RYL",6292
"KDBG-6GW",6293
"LZL4-YBB",6294
"LB54-7H1",6295
"L1QM-C2W",6296
"KNDZ-KP2",6297
"LHW9-JQK",6298
"2MJ4-ZXD",6299
"LCVV-VP6",6300
"LTR2-47J",6301
"MLY9-W94",6302
"L7JH-BF1",6303
"L5G6-J2S",6304
"MM7X-FB5",6305
"G613-WR6",6306
"MHY8-SW1",6307
"KNSK-631",6308
"M146-QSZ",6309
"M19P-7W6",6310
"MFMF-B67",6311
"LLCC-G2X",6312
"GC4Z-DYZ",6313
"KN8N-VGK",6314
"L5F5-YMW",6315
"LTFL-C9R",6316
"MX4R-4BP",6317
"M1LN-Z8Z",6318
"LZLX-21W",6319
"G2QQ-7B3",12544
"G2QQ-5P7",12545
"G8SM-SWL",12546
"GXFH-HYY",12547
"LZF1-Y1K",12548
"LR7D-P75",12549
"LYQD-P2V",12550
"LYJW-DHW",12551
"LT26-S8F",12552
"L5B2-TCK",12553
"9ZWS-PRD",12554
"M2T7-KFZ",12555
"GGQ3-XY5",12556
"GGQ3-XY6",12557
"LKCL-HKK",12558
"LBBC-2CV",12559
"MSFS-RBX",12560
"LY7C-XMX",12561
"L519-8KC",12562
"9MQD-9FV",12563
"K6FS-BMC",12564
"LYZC-MX8",12565
"LYC9-H21",12566
"GNQH-CVK",12567
"LT26-S8F",12568
"L5B2-TCK",12569
"MDWF-RMQ",12574
"LH1G-18W",12575
"GMZP-7CS",12584
"G6HM-6DN",12585
"M37Q-QM3",12586
"W1Y3-ZHX",12587
"MJT3-4R9",12588
"LVQS-M6N",12589
"LCVD-S77",12590
"MYBH-NBT",12591
"LZXD-QT6",12592
"LD2S-7JF",12593
"MYT6-KWR",12594
"G8J7-26Y",12595
"GGCJ-VX7",12596
"24RL-5Q2",12597
"GGCJ-7H9",12598
"L1D3-XP5",12600
"MNMT-36M",12601
"KNCL-Y45",12602
"LYDY-LLM",12603
"LTR2-RPT",12604
"LTR2-ZXP",12605
"MP3L-1JJ",12606
"M5QM-15N",12608
"LKKM-HJT",12609
"LKKM-HJ7",12610
"LZ3J-9SN",12611
"MNQ2-M7J",12612
"MNQ2-MWC",12613
"LCFK-X4R",12614
"LCFK-CMR",12615
"LYDH-J6P",12616
"LYDH-XRG",12617
"9V4K-YPY",12618
"LZ21-84K",12619
"LDP6-6Y8",12620
"9SSX-7D1",12621
"K6H9-WNH",12622
"M6TC-85P",12623
"KPSY-WR1",12624
"L6S9-5RP",12625
"GXWK-2L1",12626
"GC46-VB1",12627
"M9XK-ZTW",12628
"GJTC-6MR",12629
"LHTY-X7L",12630
"LBZZ-JNQ",12631
"GV5Y-SSZ",12632
"MRPL-42M",12634
"4YZ5-NW5",12635
"LKLX-62Q",12638
"GKRM-WL5",12639
"GCHG-Z4B",25088
"MN3J-P5N",25089
"L2Y4-4Y9",25090
"G27P-95J",25091
"GSDY-NBR",25092
"GDM7-R6G",25093
"GJGH-1YT",25094
"GJGC-5FC",25095
"KN64-L5T",25100
"LBT8-FJB",25101
"LCJ2-X3M",25104
"LCJ2-FNT",25105
"LYZC-77Y",25106
"GXMM-MMV",25107
"GL8T-5C1",25108
"LZZ4-6XM",25109
"LHKL-16G",25110
"LCJR-ZRQ",25111
"LWX6-24P",25120
"LVLP-THH",25121
"GGKX-9XN",25122
"LT26-S8F",25124
"L5B2-TCK",25125
"GVY6-5LY",25128
"GXWN-PD8",25129
"LC8K-8VD",25132
"L4SJ-GD6",25133
"LCJ2-X3M",25136
"LCJ2-FNT",25137
"LYZC-77Y",25138
"GXMM-MMV",25139
"K8GB-8HS",25148
"4ZH3-KW1",25149
"G2C3-46R",25150
"L177-G4L",25151
"GXSJ-KS2",25168
"GSBR-D6N",25169
"GLT8-SQN",25176
"GLT6-H68",25177
"9K64-94P",25178
"MBZB-QVL",25179
"LYNH-FQG",25182
"LBCN-FGS",25183
"G77Z-Z46",25184
"LV63-8N9",25185
"L2MB-YK5",25186
"LDLM-W5R",25187
"M12J-X2M",25188
"L5J5-17Z",25189
"LVG8-SR7",25190
"GKGW-JM5",25191
"L6DG-BL3",25192
"24RL-5Q2",25193
"M438-Y8R",25194
