"fid","ascendancy"
"LHSQ-X2Y",40
"LH36-XL7",80
"LH36-X2L",81
"MC3F-D8B",160
"L4QP-K67",161
"LSSS-PQ8",162
"LCVG-84Z",163
"2759-854",320
"2759-XPY",321
"9CJQ-HB2",322
"L1DD-7FW",323
"L8MB-C2W",324
"L8MB-C2K",325
"KJ8F-83C",326
"L7XB-2CB",327
"KHXT-DWP",640
"LRDF-9WJ",641
"M9VB-ZZP",642
"G3JS-LB5",643
"LZ23-6ZM",648
"M2Z7-CJ3",649
"LDF6-ZR9",650
"L1R4-RH6",651
"L5RT-PMJ",652
"G4X2-PMC",653
"L8MB-C2W",654
"L8MB-C2K",655
"G6HS-Q8X",1280
"96XL-MYQ",1281
"GLRP-LL2",1283
"LXQ5-F2V",1284
"GCS7-DSP",1285
"L16T-5BV",1286
"KJWC-9JR",1287
"GQ58-LX8",1296
"GQ58-2YH",1297
"M1NQ-6H6",1300
"L611-BBK",1301
"MBW6-L4N",1302
"G8N8-136",1303
"GHF1-7P7",1304
"G3DP-QFK",1305
"LZ23-6ZM",1308
"M2Z7-CJ3",1309
"LDF6-ZR9",1310
"L1R4-RH6",1311
"G7VG-31P",2560
"GGMY-KG4",2568
"M4QW-XF8",2569
"LCRS-Q5T",2570
"93F2-MRS",2571
"G3P4-CSP",2572
"G95P-D76",2573
"LJLW-YFB",2574
"LR5W-Y48",2575
"GZ78-RN1",2600
"GZ3S-N5N",2601
"MZ5Z-485",2602
"L58F-8TH",2603
"MBW6-L45",2604
"MBQW-CDH",2605
"GQ58-LX8",2616
"GQ58-2YH",2617
"M1NQ-6H6",2620
"L611-BBK",2621
"MBW6-L4N",2622
"G8N8-136",2623
"LCJW-76F",5120
"M4QW-XFQ",5138
"LT52-7C2",5140
"KCJY-7V8",5142
"9ZZW-JJ9",5143
"LVN4-L1P",5144
"LH3G-3R8",5145
"LH51-TR2",5146
"LLHB-4LG",5147
"LJ26-M8D",5148
"9V72-SF1",5149
"GDL4-3PV",5150
"GDQ2-SWY",5151
"LZ2R-46Z",5200
"GQKP-F47",5201
"GQLK-FQM",5204
"GK3M-8FB",5205
"GQLK-J8L",5206
"G3YY-8G1",5208
"MXHL-3CF",5209
"GZ78-RN1",5240
"GZ3S-N5N",5241
"MZ5Z-485",5242
"L58F-8TH",5243
"MBW6-L45",5244
"MBQW-CDH",5245
"LCJW-75T",10240
"LB59-WVN",10241
"GHZF-RRD",10286
"GHZF-642",10287
"G99B-GTX",10288
"LVKG-XG8",10289
"21JK-QC9",10290
"LH3G-3RY",10291
"9C4G-MKY",10292
"LBJF-DFY",10293
"969F-PCX",10294
"LVF8-QZT",10295
"LHLT-TX5",10296
"MZWB-RL6",10297
"L8P5-9D7",10298
"GQ33-5FX",10299
"LHLY-BQ1",10300
"MBGH-S8P",10301
"G4XN-HWP",10400
"G4XN-2GC",10401
"GS29-D2R",10402
"K8X3-LLT",10403
"MPYC-V2Z",10416
"MPYC-V2R",10417
"MXHL-3ZM",10418
"G64V-VDD",10419
"LZ2R-46Z",10480
"GQKP-F47",10481
"GQLK-FQM",10484
"GK3M-8FB",10485
"GQLK-J8L",10486
"G3YY-8G1",10488
"MXHL-3CF",10489
"K2Y6-N7H",20576
"LHF4-VVZ",20577
"LZGH-VRS",20584
"LT18-JRB",20585
"LTTK-FL6",20586
"9CN6-LLF",20587
"GV4M-S51",20588
"LVFB-JZ6",20592
"MDK6-F5M",20593
"943R-GHD",20596
"943R-GMS",20597
"GZGD-YXK",20598
"GCM9-6FM",20599
"G2P8-F79",20600
"G9FS-56F",20601
"G2GG-82W",20602
"G2GG-H8X",20603
"KZKL-XPW",20800
"GK4L-KBC",20801
"LHP9-5BH",20802
"KGJK-XW4",20803
"G24Y-ZS1",20804
"G24Y-QNY",20805
"LHCZ-91G",20806
"LRK1-S6S",20807
"MVR1-H9R",20832
"MVR1-HS4",20833
"K8NQ-3JT",20834
"KZWY-Q9T",20835
"G4XN-HWP",20960
"G4XN-2GC",20961
"GS29-D2R",20962
"K8X3-LLT",20963
"MPYC-V2Z",20976
"MPYC-V2R",20977
"MXHL-3ZM",20978
"G64V-VDD",20979
"K8L3-C4L",41152
"KC62-8LS",41153
"LHF1-Y71",41168
"GJZ4-PPB",41169
"LTQX-5C6",41170
"LTQF-3Y1",41171
"LTQX-5C6",41172
"LTQF-3Y1",41173
"9H52-SFT",41174
"LYJR-66X",41175
"GVW1-QY2",41176
"G6ZV-QV3",41177
"KLVV-WJH",41186
"LTMK-QH9",41187
"GGLC-K75",41192
"GZGD-TV4",41196
"GZGD-BNJ",41197
"LRG9-RTK",41198
"LYFC-BSW",41199
"GXX6-DGL",41200
"GQ3D-JXG",41201
"MQ5Q-F73",41202
"MQ5Q-F6Q",41203
"GMLP-GB8",41204
"G9HX-WXJ",41205
"LKGX-G3B",41600
"4R34-732",41601
"GWQ9-5FD",41604
"GS3H-D27",41605
"GLYR-N6Y",41608
"GLYR-XG4",41609
"GGLV-NS9",41610
"LY28-WB7",41612
"LYBZ-FND",41613
"LR71-PPB",41614
"GM1V-CR3",41615
"G3YY-2Q1",41664
"MDS4-HR8",41665
"KZKL-XPW",41920
"GK4L-KBC",41921
"LHP9-5BH",41922
"KGJK-XW4",41923
"G24Y-ZS1",41924
"G24Y-QNY",41925
"LHCZ-91G",41926
"LRK1-S6S",41927
"MVR1-H9R",41952
"MVR1-HS4",41953
"K8NQ-3JT",41954
"KZWY-Q9T",41955
"LRKB-BCZ",82304
"LRK1-7VZ",82305
"LQ5P-T4N",82336
"M2KK-H91",82337
"G6XT-8X4",82338
"G6XT-L4C",82339
"L6QS-YNF",82340
"M6XW-S9J",82341
"L6L4-CVJ",82342
"L6QS-YNF",82344
"M6XW-S9J",82345
"L6L4-CVJ",82346
"LT54-ZBQ",82350
"LTVF-PYX",82351
"LKXM-154",82372
"GVBT-FJC",82373
"LHYM-252",82374
"LCWK-4XH",82375
"K4P8-FCV",82392
"KZW1-XVZ",82393
"GQ65-C72",82396
"G66J-G9P",82397
"GG6P-BGX",82398
"GGCR-PSP",82399
"G6GM-JD3",82400
"GCWN-MJX",82401
"KCXG-G8S",82408
"9QXC-QSG",82409
"MS8S-D8J",83200
"WBTF-9YW",83201
"GJCB-39D",83202
"LBGK-B7N",83203
"GQ2Z-238",83208
"G67J-45T",83209
"LR68-6JK",83210
"LB2Z-2LV",83211
"GLYT-S55",83216
"GLYR-P9X",83217
"LBRD-MGY",83224
"4B4L-N6H",83225
"L5BY-TWQ",83226
"MGHX-RFC",83227
"LV2N-V72",83228
"K8V1-RPV",83229
"G219-BN9",83230
"GZ6X-TD3",83231
"MT3R-QQ2",83328
"MT3R-Q73",83329
"MDS4-CFQ",83330
"LKGX-G3B",83840
"4R34-732",83841
"GWQ9-5FD",83844
"GS3H-D27",83845
"GLYR-N6Y",83848
"GLYR-XG4",83849
"GGLV-NS9",83850
"LY28-WB7",83852
"LYBZ-FND",83853
"LR71-PPB",83854
"GM1V-CR3",83855
"G3YY-2Q1",83904
"MDS4-HR8",83905
"G98X-7CP",164608
"LZG8-V7J",164609
"G3TP-ZZ6",164610
"G3TP-HTF",164611
"KZBT-F9R",164672
"G3L3-TPG",164673
"GZDK-Z85",164674
"GZDK-X3B",164675
"G2RS-G57",164676
"G2RS-56J",164677
"G2CY-C6G",164678
"GKXL-2C3",164679
"GX63-SWK",164680
"GXP5-8NK",164681
"KNQZ-39M",164682
"MQFT-NVK",164683
"GX63-SWK",164688
"GXP5-8NK",164689
"KNQZ-39M",164690
"MQFT-NVK",164691
"9C4Z-GJR",164744
"9C4Z-GJY",164745
"GDPW-47L",164746
"LH3F-P6D",164747
"9W66-HRG",164748
"GNCH-3Y5",164749
"LZR8-428",164750
"K8RK-YP3",164751
"K6SL-VZ6",164784
"LZ12-HCD",164785
"K4FZ-JNR",164786
"HFG9-D5M",164787
"LX7H-77M",164792
"LVDC-254",164793
"GMZV-1SD",164794
"GQXM-7ZB",164795
"GGCR-1L6",164796
"GGCR-PLN",164797
"9QXC-QM7",164816
"LCTN-ZZ9",164817
"GJ4R-K7N",166400
"GJC9-37W",166401
"LH1X-PPV",166402
"LR2R-NNB",166403
"LBRD-MGY",166404
"LCPT-8XC",166405
"GQGD-JZ7",166406
"4B4L-N6H",166407
"GV43-JV8",166416
"4V8C-W72",166417
"97GX-797",166420
"LVXM-6WG",166421
"LDLD-SDW",166422
"GQGB-4XF",166423
"L1CV-VWY",166448
"LTLQ-V37",166449
"LVFZ-6NP",166450
"LD2L-DR1",166451
"G8T9-YHT",166452
"GG52-C3R",166453
"L1HN-PRR",166454
"LCPT-8XC",166455
"L5LG-6HB",166456
"L5LG-K6T",166457
"LRYR-KXH",166458
"LRYR-2J7",166459
"G21S-MPC",166460
"LDJZ-TZN",166462
"G8ZT-GBT",166463
"MS8S-D8J",167680
"WBTF-9YW",167681
"GJCB-39D",167682
"LBGK-B7N",167683
"GQ2Z-238",167688
"G67J-45T",167689
"LR68-6JK",167690
"LB2Z-2LV",167691
"GLYT-S55",167696
"GLYR-P9X",167697
"LBRD-MGY",167704
"4B4L-N6H",167705
"L5BY-TWQ",167706
"MGHX-RFC",167707
"LV2N-V72",167708
"K8V1-RPV",167709
"G219-BN9",167710
"GZ6X-TD3",167711
"MT3R-QQ2",167808
"MT3R-Q73",167809
"MDS4-CFQ",167810
"G2XC-JMJ",329216
"LZXD-HFD",329218
"GL15-46Q",329219
"G7TG-QBG",329220
"LZFS-5FG",329222
"2537-NT1",329223
"GQZL-C4R",329344
"G74W-GX5",329345
"GQDN-G7N",329346
"GQDN-584",329347
"G2CY-D44",329356
"GGTZ-NZ8",329360
"GK6T-2PD",329361
"GGTC-113",329362
"GGTZ-ZGW",329363
"L2XM-3S4",329364
"LZTY-Q2G",329365
"LB7G-19Z",329366
"KJL3-XLV",329367
"GGTZ-NZ8",329376
"GK6T-2PD",329377
"GGTC-113",329378
"GGTZ-ZGW",329379
"L2XM-3S4",329380
"LZTY-Q2G",329381
"LB7G-19Z",329382
"KJL3-XLV",329383
"KJM8-4RJ",329488
"LCX8-P1M",329489
"LVDJ-SKJ",329490
"LVDJ-SL1",329491
"L7YK-W2Q",329492
"KZCK-N71",329493
"LZTV-BLB",329494
"L2KT-9ZW",329495
"K8KV-6WJ",329496
"KZ44-VFN",329497
"LH3F-LD5",329498
"LH3F-LFN",329499
"GNHW-MFP",329500
"GWWW-RNJ",329501
"KZ3H-7SJ",329502
"MX79-CDZ",329503
"K2FJ-6WY",329568
"HFG9-DC2",329569
"LZ12-HC6",329570
"LZ12-HCF",329571
"GM52-23H",329572
"GM52-6JW",329573
"LR6F-84D",329574
"LYY8-DQ7",329575
"GQX3-SBL",329584
"L1JY-8JD",329585
"GM2G-424",329586
"GM2L-BCY",329587
"GZHV-LYY",329588
"GZHV-NJH",329589
"GM2G-DXG",329590
"GX8R-1J2",329591
"GM2G-DF7",329592
"GM2G-9JL",329593
"LBRZ-H4N",329594
"LBRZ-8YT",329595
"GQ3D-PDM",329632
"GQ3D-XRB",329633
"GHQQ-N3T",332804
"GHQQ-N31",332805
"GCGL-228",332806
"GSQW-7T1",332807
"L1CV-VWY",332808
"LTLQ-V37",332809
"GW2G-MBL",332810
"GG8N-RYS",332811
"GLK5-5M6",332812
"G3NR-XDP",332813
"LVFZ-6NP",332814
"LD2L-DR1",332815
"G24H-H1X",332832
"GZ81-7V3",332833
"LJJ3-GFV",332834
"LB84-3RV",332835
"L25C-6GD",332840
"G8VK-KQ5",332841
"LJL7-1ZJ",332842
"G7YL-XNJ",332843
"MBX8-SQK",332844
"9Z7T-J22",332845
"GNVY-F45",332846
"L66C-T4B",332847
"LTY1-9QL",332896
"L6FH-RWC",332897
"GXPM-CNR",332898
"L5KF-JS1",332899
"LB97-25Z",332900
"LT82-R87",332901
"GLDS-P1S",332902
"GV3Y-ZKQ",332904
"LYTN-CJW",332905
"KP42-W21",332908
"MX3M-7HC",332909
"GW2G-MBL",332910
"GG8N-RYS",332911
"L7BD-BZ9",332912
"LR8X-YQZ",332913
"MFCX-2C9",332914
"L6LY-YZR",332915
"LZDC-8PB",332916
"LKM6-DPD",332917
"9WJH-RHY",332918
"LBL3-QV9",332919
"L1CP-BFQ",332924
"LYNV-2S3",332925
"LCSB-GL3",332926
"GDRM-LCL",332927
"GJ4R-K7N",335360
"GJC9-37W",335361
"LH1X-PPV",335362
"LR2R-NNB",335363
"LBRD-MGY",335364
"LCPT-8XC",335365
"GQGD-JZ7",335366
"4B4L-N6H",335367
"GV43-JV8",335376
"4V8C-W72",335377
"97GX-797",335380
"LVXM-6WG",335381
"LDLD-SDW",335382
"GQGB-4XF",335383
"L1CV-VWY",335408
"LTLQ-V37",335409
"LVFZ-6NP",335410
"LD2L-DR1",335411
"G8T9-YHT",335412
"GG52-C3R",335413
"L1HN-PRR",335414
"LCPT-8XC",335415
"L5LG-6HB",335416
"L5LG-K6T",335417
"LRYR-KXH",335418
"LRYR-2J7",335419
"G21S-MPC",335420
"LDJZ-TZN",335422
"G8ZT-GBT",335423
"9H86-NF9",658436
"LYVH-S73",658437
"K6QG-NV6",658438
"MNPY-FMQ",658439
"97KW-SYD",658444
"L7G5-51W",658445
"LKRV-2NB",658446
"LB2F-KM3",658447
"L14R-1VT",658692
"L2MP-G2G",658693
"L6L7-1WL",658712
"GKY7-GTH",658728
"GKY7-VSD",658729
"LRNP-ZKW",658730
"GMNG-FQ1",658731
"9CJS-5ZS",658732
"GMZ9-SLS",658733
"LZLB-TMP",658734
"LC3Q-GTN",658735
"GKY7-GTH",658760
"GKY7-VSD",658761
"LRNP-ZKW",658762
"GMNG-FQ1",658763
"9CJS-5ZS",658764
"GMZ9-SLS",658765
"LZLB-TMP",658766
"LC3Q-GTN",658767
"MJN8-7QL",658976
"G767-LX7",658977
"LCVM-HHC",658978
"LD5Z-Q79",658979
"KLMC-BJF",658980
"NKCW-Z37",658981
"KZ3H-7SJ",658982
"M1YF-L5S",658983
"GVVT-S5C",658984
"LZ6V-PT3",658986
"GDD1-26X",658987
"GDD1-5HQ",658988
"GDD1-211",658989
"GVVR-V9C",658990
"GWW4-8QZ",658991
"K4JQ-93R",658992
"MJCS-5YW",658993
"G8CB-89D",658994
"LH3F-L2M",658996
"LH3F-LG3",658997
"G98Y-1ZR",658998
"G98B-MP1",658999
"GZ6B-LHG",659004
"MN6Y-HHY",659005
"K8KF-PYP",659006
"2CTB-Z8D",659007
"LZ12-H7Z",659136
"LZ12-H7K",659137
"LZ12-HCN",659140
"LZ12-HCJ",659141
"G9VB-R9B",659144
"LR6F-HP5",659148
"LR6F-H57",659149
"GLJY-MK9",659170
"G7R1-Q7V",659171
"GGMC-7BH",659172
"GGZW-J1N",659176
"GGZW-6KB",659177
"MFVN-H21",659178
"9F14-JTZ",659179
"GQPD-NW6",659180
"GQP8-YTL",659181
"KG97-KK2",659182
"L15J-W7B",659183
"GS6T-T1R",659184
"LB9P-34D",659185
"L15J-7Y7",659186
"G9BQ-884",659187
"LKBH-GFT",659188
"GL2L-STY",659189
"L15J-7Y7",659190
"G9BQ-884",659191
"GSPY-LXK",665608
"GSPY-TP6",665609
"GHFZ-HNL",665610
"G8WR-G6S",665611
"LTXQ-2H1",665612
"LZLB-PDC",665613
"GWWS-FRL",665614
"G4LF-7LQ",665615
"LTY1-9QL",665616
"L6FH-RWC",665617
"GXPM-CNR",665618
"L5KF-JS1",665619
"GFZK-9RR",665620
"M81Z-9LC",665621
"G6YS-2QJ",665622
"GFJ8-7KD",665623
"GW7K-S2S",665624
"G92B-NKJ",665625
"LB97-25Z",665628
"LT82-R87",665629
"GLDS-P1S",665630
"LT24-D8X",665664
"GVNL-X7Y",665665
"L25C-6GD",665666
"G8VK-KQ5",665667
"K8D2-SNM",665668
"LZY7-1V8",665669
"L25C-6GD",665670
"G8VK-KQ5",665671
"LVC7-R1J",665680
"LBD8-CL4",665681
"LVWM-3S7",665682
"LZ81-GHG",665683
"GCGL-228",665684
"GSQW-7T1",665685
"LJL7-1JM",665686
"LZT4-2V8",665687
"LC8L-BXZ",665688
"2Q1V-W6G",665689
"LB97-LD1",665690
"LH23-2N7",665691
"GVMY-S47",665692
"GVMY-9LF",665693
"L587-VBH",665694
"LRM3-DLB",665695
"LZLJ-KL7",665792
"L6CZ-PXR",665793
"LB9C-CRW",665794
"LY2Q-8ZM",665795
