"fid","ascendancy"
"GMGN-855",56
"KPSM-9XH",112
"KPSM-9FX",113
"KJZH-Y1L",224
"KJZH-YBY",225
"9CSY-9C2",226
"LZPT-WQM",227
"MCD7-4W7",448
"LZDX-C2B",449
"LK3B-L1B",450
"LK3B-G4Y",451
"LHTV-TZV",452
"LHTV-TC7",453
"L7NL-98X",454
"LKR2-GT7",455
"M2WP-LQ5",896
"KZCP-V4Q",897
"LZXB-GRQ",898
"LDST-SFN",899
"LK3T-ND9",900
"LK3T-NC5",901
"LTNR-6ZK",904
"LZZW-8BK",905
"LBF9-CYZ",906
"LZF3-9LY",907
"LHF2-FSZ",908
"LCXR-97D",909
"LZG9-8P2",910
"LCY5-PZ1",911
"G8JB-4JR",1792
"LZPD-TZ6",1796
"LHV9-JKY",1797
"KH2X-8DZ",1798
"KH38-KWH",1799
"LKKM-HKP",1800
"MQKV-94Y",1801
"LK3T-Q5W",1802
"LK3T-7QY",1803
"KNMT-233",1808
"LTQF-F8P",1809
"LRGQ-GZB",1810
"LR4P-4QK",1811
"99VR-N9X",1812
"LV5S-6Q4",1813
"LBHW-WLL",1814
"MVTH-QBV",1815
"LZJP-C6Q",1816
"LZJP-CV9",1817
"LYGY-XPR",1820
"LH5L-JHP",1821
"M936-S4F",1822
"2YR3-9WH",1823
"LH6K-4SR",3592
"K8K2-3VG",3593
"L2SF-C53",3594
"LY4H-TSJ",3595
"LDMP-3GZ",3596
"LDMP-3YG",3597
"LKKM-HV9",3600
"G481-DZK",3601
"LTVD-9KZ",3604
"LC8L-517",3605
"L8YT-5DH",3606
"L8YT-58F",3607
"LH4H-TZ2",3616
"GV46-YZ3",3617
"KNQJ-749",3618
"KN77-YKF",3619
"LHVN-SMK",3620
"LZ21-81H",3621
"LVX9-THW",3622
"MG35-3MM",3623
"LJKW-RPX",3624
"L6CH-WM6",3625
"9WYW-R62",3626
"LV52-SXP",3627
"LDL9-RNQ",3628
"MFDQ-RHW",3629
"DZB4-KFV",3632
"LKF5-N3C",3633
"LZGR-5LC",3634
"L5YV-GS5",3635
"LHW9-JQK",3640
"2MJ4-ZXD",3641
"LCT4-RKR",3642
"MG1W-N1H",3643
"LCYQ-M7Q",3644
"LZ25-2N3",3645
"LZKW-MTM",3646
"9C3R-L5W",3647
"GV7Q-5NC",7188
"GV7Q-VNJ",7189
"9FDP-FP8",7190
"MWMR-TZB",7191
"LT6N-YQP",7192
"LDMP-5DJ",7193
"GS5Y-5BR",7194
"GXNK-782",7195
"GL8P-ZTL",7200
"GN2S-S4Q",7201
"GLQ9-HBM",7202
"GLQ9-N24",7203
"LK45-S6S",7208
"LDBH-XWF",7209
"KPDP-HPW",7210
"GDS9-PKQ",7211
"LJP3-BFG",7212
"LHN9-DP6",7214
"LZXT-DMX",7215
"27CC-7NW",7236
"99H5-6S1",7237
"99WH-WYF",7238
"93WJ-W32",7239
"L4SD-9P9",7240
"LCRN-HG7",7241
"LC58-5BW",7242
"LVF1-FQC",7243
"LZF3-YSF",7244
"G3FH-Z7Y",7245
"LRYF-MJN",7246
"LTSD-YTG",7247
"MTDG-2WT",7248
"LH1D-GQT",7249
"K6S9-WRQ",7252
"K8CY-ZVR",7253
"KHG3-6LY",7254
"GLFF-83H",7255
"LZN7-DXZ",7256
"9M6R-HDZ",7257
"G786-2KJ",7258
"G2MB-7KH",7259
"GGPQ-9MV",7264
"L5K1-TS4",7265
"MJZN-F5S",7266
"9HLS-K82",7267
"LCY7-618",7268
"L1C6-VBZ",7269
"M9DB-TRM",7270
"FYFQ-6H2",7271
"GGCJ-VX7",7280
"24RL-5Q2",7281
"GGCJ-7H9",7282
"LCJ5-6PN",7284
"LHKG-3ZH",7285
"LBCZ-J6B",7286
"933D-4PJ",7287
"LK39-14C",7288
"L45Q-PJK",7289
"MBBB-BKL",7290
"MM91-C2D",7291
"LTB1-VV8",7292
"KNSK-V13",7293
"L8M2-Z6D",7294
"GM1J-YXT",7295
"MK41-ZMM",14376
"GKHT-R5P",14377
"GKB4-9BF",14378
