"fid","ascendancy"
"LHQM-9CQ",41
"MKG3-58R",82
"2Z3B-HWV",83
"LK5G-Q35",164
"GFG4-JBF",165
"LX3L-72S",166
"GGH7-626",167
"L29Z-B1X",328
"L29Z-1SM",329
"L24Y-BMB",332
"L62C-Z8Z",656
"9Q1F-B91",657
"GD4Q-44Q",658
"GQCG-C8G",664
"GQCP-Q3R",665
"L62C-C9V",1312
"L2ZG-CST",1313
"LDQR-ZKG",1314
"LZ6Z-6QL",1315
"L6YN-FNW",2626
"L62C-CX4",2627
"LD1B-6X8",2628
"LTTP-7BN",2629
"LHRY-PJ9",5252
"LH8K-83N",5253
"LCMF-6XW",5254
"LHR8-KRX",5255
"G4VF-F23",5256
"G31V-Z7J",5257
"LB88-3W7",5258
"GJ96-SKH",5259
"LZLD-383",10504
"L6PY-85Y",10505
"L587-4GT",10506
"LH8K-D3Z",10507
"G6W8-6JS",10508
"G4WW-JPV",10509
"KHQC-584",10510
"LZPL-VDX",10511
"LYTP-924",10512
"9788-PXV",10513
"G21B-XWP",10514
"G21B-8M1",10515
"MLHP-G2D",10516
"K69Z-VQ7",10517
"LBJZ-R2L",10518
"LBJZ-RL8",10519
"L8J9-5KQ",21008
"LH8K-DDW",21009
"LYXT-GQN",21010
"LYXY-S9W",21011
"MZZ4-FP7",21016
"4428-BP7",21017
"278K-2RN",21018
"LDF9-7PK",21020
"LDF9-75S",21021
"G6TQ-4B9",21024
"G6TQ-D4G",21025
"G2FM-78Q",21026
"GHTW-HTL",21027
"G4QM-9H4",21028
"GKT4-7BM",21029
"LB4P-YWP",21032
"LZF2-PXT",21033
"GGKY-VKJ",21034
"GGKY-GT8",21035
"MP5H-4RH",21036
"MM1R-H2N",21037
"GJ9X-YKJ",21038
"9SZ6-6V7",21039
"LZPH-11R",42016
"M7WV-H7B",42017
"LHTF-364",42018
"G9YB-H8F",42019
"LC7J-JC6",42020
"LTW8-N6Q",42021
"M2Y7-1T1",42022
"LZ4L-QKD",42023
"L5RN-65S",42032
"L41N-6T1",42036
"LYD4-SHW",42037
"GLKD-BYY",42048
"GK6R-4TX",42049
"LTT2-3HL",42057
"LB4P-YP8",42064
"LB45-SWG",42065
"LRT1-9JW",42066
"GMHC-117",42067
"M484-5FZ",42072
"GGKW-17D",42073
"GGKJ-Q3W",42074
"GGKN-1ZG",42075
"GJ3W-3WP",42076
"GJ3W-HZB",42077
"9SZ6-6VV",42078
"LH3W-3SL",42079
"KGCN-R8K",84032
"K8GX-DY7",84033
"MLPG-Z89",84040
"LXQ7-95F",84041
"L7LP-K1N",84042
"LTW8-KQ1",84043
"LTZ3-BZG",84044
"LDJW-P47",84045
"LZPG-MXN",84046
"9HQC-BLZ",84047
"LR8F-94W",84064
"LR8X-Y63",84065
"L2TK-9W2",84072
"LYD4-3FD",84073
"G3J5-MVL",84074
"G3JP-1JM",84075
"G99K-RRS",84114
"LVNL-J43",84115
"GKKP-389",84128
"LB4P-YP6",84129
"L6MQ-WD7",84130
"LDJG-F46",84131
"LZZM-MBB",84132
"G6LF-ZV2",84133
"GST9-2FR",84134
"GM4T-Q92",84135
"GG5X-6LX",84148
"K67V-SCD",84149
"GWS8-RY5",84154
"GWSD-SFD",84155
"LCQD-CH8",84158
"LCQD-CXP",84159
"KLFC-RW8",168064
"L4TW-CWY",168065
"LTMN-NGS",168080
"M2LC-LZ6",168081
"MMVK-H4L",168082
"GF6D-XQ3",168083
"L6VS-7KQ",168084
"LYQW-CXT",168085
