"fid","ascendancy"
"L6LQ-3HW",48
"L8BM-R6T",96
"L6R8-SNV",97
"LCX4-VXL",192
"L8DZ-3Q8",193
"LZPL-844",384
"L65X-NZV",385
"LYTC-KG6",386
"LKRN-CPF",387
"MLHB-YRP",768
"GS4K-LHH",769
"LHGD-KNS",772
"LZBP-SWM",773
"GCWG-92Z",1536
"GZY5-R5X",1537
"G67D-TCY",1538
"G67D-P9V",1539
"LR1M-6CR",1544
"L7NT-VP4",1545
"MDS6-T4R",1546
"LZVZ-SXC",1547
"LVZ8-W44",3072
"GFT8-D7Q",3073
"GW1M-RG9",3074
"GW19-DFG",3075
"LCMQ-16C",3088
"KHHB-HB4",3089
"LHXD-XP1",3090
"KNDX-F29",3091
"LV7K-8HZ",3092
"L8BJ-2MB",3093
"LZNP-9KM",3094
"LJLF-Z6N",3095
"GJMK-GQK",6144
"L8QW-5P6",6145
"MNHX-RM5",6146
"LDQ3-T5T",6147
"LZW3-JW7",6176
"LYQH-5P4",6177
"GDLN-HFY",6178
"LJLN-CFB",6179
"LHX2-R7G",6180
"LZ2B-7G7",6181
"KN42-D5P",6182
"K2SV-SNK",6183
"L5K2-X13",6184
"LCQ2-S5D",6185
"LHT2-PSL",6186
"M1LL-DSX",6187
"LYM4-XWP",6188
"KN3C-8G7",6189
"LBTN-2R9",6190
"L55H-2TH",6191
"L5YQ-1P5",12288
"9S1F-SK9",12289
"L89W-NH7",12290
"9HFS-4X2",12291
"2XM9-NX7",12292
"MM42-1YW",12293
"MMJS-45N",12294
"KLZR-NGW",12352
"G6VN-Q2B",12353
"LBWW-959",12354
"GJT3-QJL",12355
"LC3K-BZL",12360
"LK89-JZF",12361
"MF1L-RL1",12364
"MBVL-XV3",12365
"LZK8-B63",12366
"K4YD-7GV",12367
"LHSH-ZN5",12368
"LH8F-89Q",12369
"L1W1-4TP",12370
"L1W1-WYR",12371
"GZBH-4FT",12372
"LYY8-M5S",12373
"LCTW-J29",12374
"LDZC-7RP",12375
"LC53-547",12376
"4KZQ-J1Y",12377
"LTQS-MKG",12378
"L61P-SLG",12379
"GCQJ-WGD",12380
"MRP1-NL8",12381
"LBQQ-XJR",12382
"KH1M-G5L",12383
"KDSD-S5M",24576
"GSMH-DL8",24577
"LZ8H-9R1",24578
"LHLB-4Q6",24579
"LZL5-RYK",24580
"GDJM-HH3",24582
"GDJM-4LS",24583
"LZLW-GNT",24588
"L1WR-XW5",24589
"KHLW-YBP",24704
