"ascendency","id","gender","gen"
9280,"LT26-GVL","Male",14
9281,"4221-9Y1","Female",14
9292,"G2HZ-FNQ","Male",14
9293,"GK2B-SZX","Female",14
9308,"G2HZ-FNQ","Male",14
9309,"GK2B-SZX","Female",14
9356,"G9C7-Z7H","Male",14
9357,"KZT6-ZH2","Female",14
9376,"MPKT-ZV1","Male",14
9377,"4561-JZS","Female",14
9378,"MLW3-9L8","Male",14
9388,"LCTD-DD5","Male",14
9389,"LCTD-D89","Female",14
9600,"G9SV-3KD","Male",14
9601,"LVDS-JVG","Female",14
9602,"GFDQ-CQF","Male",14
9603,"GFDQ-ZG6","Female",14
9604,"GFDQ-ZGZ","Male",14
9605,"GFDQ-6XY","Female",14
9608,"L2X4-366","Male",14
9609,"LCXS-RKK","Female",14
9610,"GMFX-29D","Male",14
9611,"K8TP-4P5","Female",14
9728,"G8VC-312","Male",14
9729,"LZF2-CVH","Female",14
9730,"GFWM-K36","Male",14
9731,"GFWM-DMC","Female",14
9992,"LT61-JWC","Male",14
9994,"GFJB-3NH","Male",14
9995,"GFJB-P3Z","Female",14
10048,"LRLJ-Y4Q","Male",14
10049,"GXRX-BRZ","Female",14
10050,"26LN-WN5","Male",14
10051,"LZZC-W4G","Female",14
10054,"GGV7-6R2","Male",14
10055,"LTN4-31L","Female",14
10056,"GZ7K-YYN","Male",14
10057,"GZB2-CQ8","Female",14
10058,"GDDM-F1Q","Male",14
10059,"LHGV-9M2","Female",14
10060,"L5YF-XW9","Male",14
10061,"GKK1-YTJ","Female",14
10062,"GJ7T-FV7","Male",14
10063,"GJ7T-H12","Female",14
10064,"GQKY-HM4","Male",14
10065,"GVZR-TN4","Female",14
10068,"KCMK-F8D","Male",14
10069,"KCS3-DMC","Female",14
10070,"LRKS-DTM","Male",14
10071,"LRKS-4SN","Female",14
10076,"M3TT-NCD","Male",14
10077,"M3TT-NZ9","Female",14
10078,"GLZW-DKT","Male",14
10088,"LC3L-QTJ","Male",14
10089,"L8W9-QXF","Female",14
10090,"MQ23-8QW","Male",14
10091,"9N83-41R","Female",14
10092,"LBZZ-846","Male",14
10093,"GLV3-815","Female",14
10094,"L8WD-WC7","Male",14
10095,"L8WD-WX3","Female",14
10104,"GHJV-NBV","Male",14
10105,"GHJV-X6H","Female",14
10106,"L6VF-Q1R","Male",14
10107,"G4PP-GHZ","Female",14
10108,"G25R-1L2","Male",14
10109,"G983-SS6","Female",14
10110,"GLJY-1NP","Male",14
10111,"GLJB-ZJN","Female",14
10240,"LCJW-75T","Male",14
10241,"LB59-WVN","Female",14
10286,"GHZF-RRD","Male",14
10287,"GHZF-642","Female",14
10288,"G99B-GTX","Male",14
10289,"LVKG-XG8","Female",14
10290,"21JK-QC9","Male",14
10291,"LH3G-3RY","Female",14
10292,"9C4G-MKY","Male",14
10293,"LBJF-DFY","Female",14
10294,"969F-PCX","Male",14
10295,"LVF8-QZT","Female",14
10296,"LHLT-TX5","Male",14
10297,"MZWB-RL6","Female",14
10298,"L8P5-9D7","Male",14
10299,"GQ33-5FX","Female",14
10300,"LHLY-BQ1","Male",14
10301,"MBGH-S8P","Female",14
10400,"G4XN-HWP","Male",14
10401,"G4XN-2GC","Female",14
10402,"GS29-D2R","Male",14
10403,"K8X3-LLT","Female",14
10416,"MPYC-V2Z","Male",14
10417,"MPYC-V2R","Female",14
10418,"MXHL-3ZM","Male",14
10419,"G64V-VDD","Female",14
10480,"LZ2R-46Z","Male",14
10481,"GQKP-F47","Female",14
10484,"GQLK-FQM","Male",14
10485,"GK3M-8FB","Female",14
10486,"GQLK-J8L","Male",14
10488,"G3YY-8G1","Male",14
10489,"MXHL-3CF","Female",14
10504,"LZLD-383","Male",14
10505,"L6PY-85Y","Female",14
10506,"L587-4GT","Male",14
10507,"LH8K-D3Z","Female",14
10508,"G6W8-6JS","Male",14
10509,"G4WW-JPV","Female",14
10510,"KHQC-584","Male",14
10511,"LZPL-VDX","Female",14
10512,"LYTP-924","Male",14
10513,"9788-PXV","Female",14
10514,"G21B-XWP","Male",14
10515,"G21B-8M1","Female",14
10516,"MLHP-G2D","Male",14
10517,"K69Z-VQ7","Female",14
