"ascendency","id","gender","gen"
296968,"L81B-7HC","Male",19
296969,"K41W-JJN","Female",19
299392,"GQX1-1MG","Male",19
299393,"LKQJ-S75","Female",19
299398,"G4Q5-6P4","Male",19
299399,"G4Q5-NFV","Female",19
299408,"L5LG-6HB","Male",19
299409,"L5LG-K6T","Female",19
299410,"LRYR-KXH","Male",19
299411,"LRYR-2J7","Female",19
299414,"G4JN-33M","Male",19
299415,"G4JF-LD8","Female",19
299416,"GK1N-L59","Male",19
299418,"G2KT-8GR","Male",19
299419,"GLGT-4KX","Female",19
299424,"KNF8-X22","Male",19
299425,"LTXR-MWJ","Female",19
299426,"MX5C-SVQ","Male",19
299427,"MX5C-SV6","Female",19
299428,"GH3V-BK4","Male",19
307456,"GQRD-BK2","Male",19
307457,"G713-7SZ","Female",19
307458,"GSGY-H1Q","Male",19
307459,"M727-TJJ","Female",19
307460,"LRTY-35D","Male",19
307461,"LTRS-383","Female",19
307462,"GSGT-T6N","Male",19
307463,"GSGT-YNV","Female",19
307536,"GJM1-DML","Male",19
307537,"GJM1-Y4S","Female",19
307538,"G9Q6-151","Male",19
307539,"GDPH-Q6T","Female",19
307540,"LY8L-9VC","Male",19
307541,"LY8L-6WX","Female",19
307542,"94JV-DDC","Male",19
307543,"2ZSH-SHD","Female",19
307544,"GGK4-G57","Male",19
307545,"GGK4-QP3","Female",19
307546,"KCBV-TXG","Male",19
307547,"GHQS-Z21","Female",19
307548,"GWMF-W9K","Male",19
307549,"G6MZ-H7R","Female",19
307550,"K83X-N7P","Male",19
307551,"MZSH-VHP","Female",19
307552,"GNZS-S95","Male",19
307553,"G8KJ-TBK","Female",19
307554,"GGFN-N4G","Male",19
307555,"GGFN-MFK","Female",19
307556,"GSSK-3MB","Male",19
307557,"GQP8-TLT","Female",19
307558,"GVVH-2Q2","Male",19
307559,"GVVH-K9K","Female",19
307572,"KNHS-XPT","Male",19
307573,"GMSD-L53","Female",19
307574,"LKQF-L28","Male",19
307576,"LQR3-3DJ","Male",19
307577,"KJDL-KJ4","Female",19
307578,"LZC1-Y7N","Male",19
307579,"9VPQ-9JG","Female",19
307580,"LCMX-XJR","Male",19
307581,"LCRX-KB4","Female",19
307582,"G7ZK-T5K","Male",19
307583,"L1NR-Z4H","Female",19
321536,"LVJG-J7S","Male",19
321537,"G61C-YBW","Female",19
321552,"GF1H-TF2","Male",19
321554,"G252-74P","Male",19
321555,"GKZZ-DCB","Female",19
321558,"GFF6-M15","Male",19
321559,"GCWZ-QLX","Female",19
321556,"G826-FP6","Male",19
321557,"GS9K-72K","Female",19
321564,"L14R-1VT","Male",19
321565,"L2MP-G2G","Female",19
321567,"GJ6L-HZ2","Female",19
321616,"G6W1-GLQ","Male",19
321617,"G6W1-N9J","Female",19
321620,"GL71-GJ8","Male",19
321621,"K2XK-78P","Female",19
321622,"GQC4-VKQ","Male",19
321648,"L14R-1VT","Male",19
321649,"L2MP-G2G","Female",19
321656,"L632-MRQ","Male",19
321657,"L632-MBT","Female",19
321658,"L4JH-TBT","Male",19
321659,"MS12-W5H","Female",19
321728,"G7V3-K77","Male",19
321729,"LR52-R2H","Female",19
321730,"MBVL-3FL","Male",19
321731,"L8PF-PDC","Female",19
321732,"LVDG-WJP","Male",19
321733,"GKTQ-SD4","Female",19
321734,"KZPJ-VC3","Male",19
321735,"LT63-CSK","Female",19
321740,"GDPZ-HDP","Male",19
321741,"LH6L-6HW","Female",19
321742,"GSXY-W3Y","Male",19
321743,"G8ZP-RD3","Female",19
321752,"GJWG-LJT","Male",19
321753,"GJHJ-XL2","Female",19
321780,"9ZWK-B6M","Male",19
321781,"9ZWK-B69","Female",19
321784,"G64X-33N","Male",19
321785,"G64X-WCY","Female",19
321786,"LKBF-TXS","Male",19
321787,"G8H3-XZM","Female",19
321788,"GK18-NTC","Male",19
321824,"LYD8-L5P","Male",19
321825,"MDBQ-NXG","Female",19
321826,"KZPS-QPL","Male",19
321827,"KNS8-S6F","Female",19
321836,"G2BQ-RCP","Male",19
321837,"GFNW-5KQ","Female",19
321856,"LYD8-L5P","Male",19
321857,"MDBQ-NXG","Female",19
321858,"KZPS-QPL","Male",19
321859,"KNS8-S6F","Female",19
321868,"G2BQ-RCP","Male",19
321869,"GFNW-5KQ","Female",19
321892,"GML2-PGN","Male",19
321893,"GML2-PWF","Female",19
321894,"G2ZN-38V","Male",19
321895,"G2Z5-SLL","Female",19
321898,"GKDK-1ZY","Male",19
321899,"GKD2-YBQ","Female",19
321912,"G8FR-M71","Male",19
321913,"G8F5-1Q3","Female",19
321914,"G8FR-795","Male",19
321915,"G8FR-QMF","Female",19
321916,"L2LW-YXW","Male",19
321917,"MMPB-WW2","Female",19
321918,"K8BK-ZHD","Male",19
321919,"KHHR-S1K","Female",19
321924,"GML2-PGN","Male",19
321925,"GML2-PWF","Female",19
321926,"G2ZN-38V","Male",19
321927,"G2Z5-SLL","Female",19
321930,"GKDK-1ZY","Male",19
321931,"GKD2-YBQ","Female",19
321944,"G8FR-M71","Male",19
321945,"G8F5-1Q3","Female",19
321946,"G8FR-795","Male",19
321947,"G8FR-QMF","Female",19
321948,"L2LW-YXW","Male",19
321949,"MMPB-WW2","Female",19
321950,"K8BK-ZHD","Male",19
321951,"KHHR-S1K","Female",19
321968,"2DX2-FP6","Male",19
321969,"2D6G-XSD","Female",19
322048,"LBP8-8N7","Male",19
322049,"933P-WTC","Female",19
322050,"LL92-YM6","Male",19
322051,"GSFT-88P","Female",19
322052,"MTYX-C36","Male",19
322053,"M6YF-58V","Female",19
322432,"GZHR-HDW","Male",19
322433,"GZHR-MB8","Female",19
322436,"GJRY-F5F","Male",19
322437,"LKN4-3ZN","Female",19
322438,"L1WZ-CL6","Male",19
322439,"LZV1-DKH","Female",19
322816,"GWYV-7H6","Male",19
322817,"GWYV-ZL2","Female",19
322818,"GWYV-KXL","Male",19
322819,"GWYV-6FW","Female",19
322820,"KFP2-8K5","Male",19
322821,"KZC6-KBG","Female",19
322822,"KHX8-TMR","Male",19
322823,"MF5K-GVJ","Female",19
322826,"GLVZ-2JV","Male",19
322828,"LRB9-1M3","Male",19
322829,"G6V3-WFD","Female",19
322830,"L1J8-KH1","Male",19
322831,"L1J8-CZ7","Female",19
322946,"LJ5B-HNV","Male",19
322947,"L5DW-2PW","Female",19
322948,"9CM3-HFJ","Male",19
322949,"L14G-BQW","Female",19
322950,"GSW8-RS5","Male",19
322951,"GSW8-Y5X","Female",19
322952,"GSJP-X6W","Male",19
322953,"GS2K-WFB","Female",19
322954,"937C-6ZZ","Male",19
322955,"GSZJ-YBM","Female",19
322956,"G8S6-K1N","Male",19
322957,"L2X2-6WR","Female",19
322958,"L11Q-717","Male",19
322959,"GLXM-93N","Female",19
322960,"LBZQ-4Q8","Male",19
322961,"GLVL-XFH","Female",19
322962,"G3BK-WKB","Male",19
322963,"LBZQ-5XH","Female",19
322964,"9W1B-J6S","Male",19
322965,"LZX5-V2T","Female",19
322966,"KXP3-VTS","Male",19
322967,"G299-GBL","Female",19
322968,"LH16-VGD","Male",19
322969,"LVL7-NHM","Female",19
322970,"MXN3-5GJ","Male",19
322971,"LRQW-K89","Female",19
322972,"LBNZ-GBF","Male",19
322973,"LBNZ-YZ1","Female",19
322974,"LBM4-9GT","Male",19
322975,"L5BC-D1G","Female",19
323008,"G93Q-9D8","Male",19
323009,"G93Q-JQH","Female",19
323328,"GSN1-DYB","Male",19
323329,"GQCW-88G","Female",19
323330,"GX63-CJB","Male",19
323331,"LZFB-3YV","Female",19
323334,"L2TT-G51","Male",19
323335,"L2TT-G14","Female",19
323336,"G2XW-QWD","Male",19
323338,"GF1J-5T8","Male",19
323339,"GSTQ-S4B","Female",19
323340,"G4HR-QMN","Male",19
323341,"GHJ6-RV3","Female",19
323360,"GKWG-S38","Male",19
323361,"G88L-GXN","Female",19
323364,"KC1G-TL5","Male",19
323365,"GGVZ-PSZ","Female",19
323536,"LV42-QKH","Male",19
323537,"GXDG-97M","Female",19
323538,"GFF1-KPN","Male",19
323539,"LYB1-GPY","Female",19
329216,"G2XC-JMJ","Male",19
329218,"LZXD-HFD","Male",19
329219,"GL15-46Q","Female",19
329220,"G7TG-QBG","Male",19
329222,"LZFS-5FG","Male",19
329223,"2537-NT1","Female",19
329344,"GQZL-C4R","Male",19
329345,"G74W-GX5","Female",19
329346,"GQDN-G7N","Male",19
329347,"GQDN-584","Female",19
329356,"G2CY-D44","Male",19
329360,"GGTZ-NZ8","Male",19
329361,"GK6T-2PD","Female",19
329362,"GGTC-113","Male",19
329363,"GGTZ-ZGW","Female",19
329364,"L2XM-3S4","Male",19
329365,"LZTY-Q2G","Female",19
329366,"LB7G-19Z","Male",19
329367,"KJL3-XLV","Female",19
329376,"GGTZ-NZ8","Male",19
329377,"GK6T-2PD","Female",19
329378,"GGTC-113","Male",19
329379,"GGTZ-ZGW","Female",19
329380,"L2XM-3S4","Male",19
329381,"LZTY-Q2G","Female",19
329382,"LB7G-19Z","Male",19
329383,"KJL3-XLV","Female",19
329488,"KJM8-4RJ","Male",19
329489,"LCX8-P1M","Female",19
329490,"LVDJ-SKJ","Male",19
329491,"LVDJ-SL1","Female",19
329492,"L7YK-W2Q","Male",19
329493,"KZCK-N71","Female",19
329494,"LZTV-BLB","Male",19
329495,"L2KT-9ZW","Female",19
329496,"K8KV-6WJ","Male",19
329497,"KZ44-VFN","Female",19
329498,"LH3F-LD5","Male",19
329499,"LH3F-LFN","Female",19
329500,"GNHW-MFP","Male",19
329501,"GWWW-RNJ","Female",19
329502,"KZ3H-7SJ","Male",19
329503,"MX79-CDZ","Female",19
329568,"K2FJ-6WY","Male",19
329569,"HFG9-DC2","Female",19
329570,"LZ12-HC6","Male",19
329571,"LZ12-HCF","Female",19
329572,"GM52-23H","Male",19
329573,"GM52-6JW","Female",19
329574,"LR6F-84D","Male",19
329575,"LYY8-DQ7","Female",19
329584,"GQX3-SBL","Male",19
329585,"L1JY-8JD","Female",19
329586,"GM2G-424","Male",19
329587,"GM2L-BCY","Female",19
329588,"GZHV-LYY","Male",19
329589,"GZHV-NJH","Female",19
329590,"GM2G-DXG","Male",19
329591,"GX8R-1J2","Female",19
329592,"GM2G-DF7","Male",19
329593,"GM2G-9JL","Female",19
329594,"LBRZ-H4N","Male",19
329595,"LBRZ-8YT","Female",19
329632,"GQ3D-PDM","Male",19
329633,"GQ3D-XRB","Female",19
332804,"GHQQ-N3T","Male",19
332805,"GHQQ-N31","Female",19
332806,"GCGL-228","Male",19
332807,"GSQW-7T1","Female",19
332808,"L1CV-VWY","Male",19
332809,"LTLQ-V37","Female",19
332810,"GW2G-MBL","Male",19
332811,"GG8N-RYS","Female",19
332812,"GLK5-5M6","Male",19
332813,"G3NR-XDP","Female",19
332814,"LVFZ-6NP","Male",19
332815,"LD2L-DR1","Female",19
332832,"G24H-H1X","Male",19
332833,"GZ81-7V3","Female",19
332834,"LJJ3-GFV","Male",19
332835,"LB84-3RV","Female",19
332840,"L25C-6GD","Male",19
332841,"G8VK-KQ5","Female",19
332842,"LJL7-1ZJ","Male",19
332843,"G7YL-XNJ","Female",19
332844,"MBX8-SQK","Male",19
332845,"9Z7T-J22","Female",19
332846,"GNVY-F45","Male",19
332847,"L66C-T4B","Female",19
332896,"LTY1-9QL","Male",19
332897,"L6FH-RWC","Female",19
332898,"GXPM-CNR","Male",19
332899,"L5KF-JS1","Female",19
332900,"LB97-25Z","Male",19
332901,"LT82-R87","Female",19
332902,"GLDS-P1S","Male",19
332904,"LJG6-FQJ","Male",19
332905,"LYTN-CJW","Female",19
332908,"KP42-W21","Male",19
332909,"MX3M-7HC","Female",19
332910,"GW2G-MBL","Male",19
332911,"GG8N-RYS","Female",19
332912,"L7BD-BZ9","Male",19
332913,"LR8X-YQZ","Female",19
332914,"MFCX-2C9","Male",19
332915,"L6LY-YZR","Female",19
332916,"LZDC-8PB","Male",19
332917,"LKM6-DPD","Female",19
332918,"9WJH-RHY","Male",19
332919,"LBL3-QV9","Female",19
332924,"L1CP-BFQ","Male",19
332925,"LYNV-2S3","Female",19
332926,"LCSB-GL3","Male",19
332927,"GDRM-LCL","Female",19
335360,"GJ4R-K7N","Male",19
335361,"GJC9-37W","Female",19
335362,"LH1X-PPV","Male",19
335363,"LR2R-NNB","Female",19
335364,"LBRD-MGY","Male",19
335365,"LCPT-8XC","Female",19
335366,"GQGD-JZ7","Male",19
335367,"4B4L-N6H","Female",19
335376,"GV43-JV8","Male",19
335377,"4V8C-W72","Female",19
335380,"97GX-797","Male",19
335381,"LVXM-6WG","Female",19
335382,"LDLD-SDW","Male",19
335383,"GQGB-4XF","Female",19
335408,"L1CV-VWY","Male",19
335409,"LTLQ-V37","Female",19
335410,"LVFZ-6NP","Male",19
335411,"LD2L-DR1","Female",19
335412,"G8T9-YHT","Male",19
335413,"GG52-C3R","Female",19
335414,"L1HN-PRR","Male",19
335415,"LCPT-8XC","Female",19
335416,"L5LG-6HB","Male",19
335417,"L5LG-K6T","Female",19
335418,"LRYR-KXH","Male",19
335419,"LRYR-2J7","Female",19
335420,"G21S-MPC","Male",19
335422,"LDJZ-TZN","Male",19
335423,"G8ZT-GBT","Female",19
336128,"M4NY-WB4","Male",19
336129,"M4NY-WYR","Female",19
336130,"LZRB-GL1","Male",19
336160,"G6GF-VYG","Male",19
336161,"G6GF-F7P","Female",19
336162,"L6VS-VMP","Male",19
336163,"MZMR-N9R","Female",19
336164,"LDW1-MCL","Male",19
336165,"GMRS-BY4","Female",19
336166,"GQVC-BF4","Male",19
336167,"GG7Y-7Y8","Female",19
336168,"L659-BDP","Male",19
336169,"G3L8-4SL","Female",19
336170,"LCVR-TD1","Male",19
336171,"LVZ3-K3S","Female",19
