"ascendency","id","gender","gen"
148484,"LDB7-8YR","Male",18
148485,"GQ1W-T73","Female",18
148486,"MMNC-9LS","Male",18
148487,"WTXR-81J","Female",18
149696,"GVBY-YC2","Male",18
149697,"GCMB-9SG","Female",18
149698,"G4Q5-ND8","Male",18
149699,"G4Q5-H3V","Female",18
149700,"GCMB-CHQ","Male",18
149701,"GZDD-3DH","Female",18
149704,"LV2N-V72","Male",18
149705,"K8V1-RPV","Female",18
149706,"GNQV-8RG","Male",18
149707,"GH6X-12L","Female",18
149708,"G2KT-C3X","Male",18
149709,"G2KT-75D","Female",18
149710,"GZF8-NR5","Male",18
149712,"KNF8-X23","Male",18
149713,"KNF8-XRM","Female",18
149714,"G43F-XY5","Male",18
149715,"G43F-1WB","Female",18
153728,"G71S-TKV","Male",18
153729,"93B2-DJ4","Female",18
153730,"LZ5N-2C9","Male",18
153731,"LZ5N-2CY","Female",18
153744,"G7F2-F9D","Male",18
153745,"GDC5-TH1","Female",18
153764,"GJY5-P1B","Male",18
153765,"GLX7-7FP","Female",18
153768,"GWMF-W9K","Male",18
153769,"G6MZ-H7R","Female",18
153770,"K83X-N7P","Male",18
153771,"MZSH-VHP","Female",18
153772,"LCVX-7LH","Male",18
153773,"LCVX-7RV","Female",18
153774,"GH3L-P3Y","Male",18
153775,"GH3L-YXV","Female",18
153776,"LCRQ-NVZ","Male",18
153777,"GGFN-HN5","Female",18
153778,"GSSV-VS3","Male",18
153779,"GQPW-37L","Female",18
153786,"L657-WM8","Male",18
153787,"KNHW-N48","Female",18
153788,"GKX6-6SQ","Male",18
153789,"LHW9-89K","Female",18
153790,"G2NC-5WG","Male",18
153791,"LTDL-2BP","Female",18
159884,"G72G-82W","Male",18
160768,"LRT9-ZX2","Male",18
160769,"G2ZF-L1Q","Female",18
160776,"GKZC-T5G","Male",18
160777,"GKZZ-ZKF","Female",18
160779,"LZ99-79W","Female",18
160778,"MC46-32Y","Male",18
160782,"L415-1S9","Male",18
160783,"K2VK-NDR","Female",18
160808,"G6FK-9MP","Male",18
160809,"L8BF-2GK","Female",18
160810,"2736-D16","Male",18
160811,"L1VQ-8WH","Female",18
160824,"L415-1S9","Male",18
160828,"G9XL-MWT","Male",18
160829,"G3WF-86T","Female",18
160864,"LCXG-F7Z","Male",18
160865,"LY98-7QN","Female",18
160866,"KNWQ-77P","Male",18
160867,"LTPW-TGT","Female",18
160870,"M5WY-ZSQ","Male",18
160871,"LCX2-MC1","Female",18
160872,"GKND-29D","Male",18
160873,"GKND-8TD","Female",18
160876,"G3TJ-2K3","Male",18
160890,"9ZWK-BDB","Male",18
160892,"LTV2-FV5","Male",18
160893,"LTKJ-CH6","Female",18
160894,"GCZ5-SGS","Male",18
160912,"GZGF-CW1","Male",18
160913,"GZGF-CP9","Female",18
160916,"G2B7-SN3","Male",18
160917,"G2B7-CFP","Female",18
160918,"GZGN-VHM","Male",18
160919,"G2BQ-N91","Female",18
160928,"GZGF-CW1","Male",18
160929,"GZGF-CP9","Female",18
160932,"G2B7-SN3","Male",18
160933,"G2B7-CFP","Female",18
160934,"GZGN-VHM","Male",18
160935,"G2BQ-N91","Female",18
