"ascendency","id","gender","gen"
5643,"G3PV-HZ3","Female",13
5644,"LKBN-NBT","Male",13
5645,"LHKC-826","Female",13
5646,"2ZS4-MJP","Male",13
5647,"GW3K-3J5","Female",13
5648,"LKPM-9TJ","Male",13
5649,"LR4M-VF8","Female",13
5650,"LZ6K-7NP","Male",13
5651,"L6QR-T3D","Female",13
5652,"GD5D-8DX","Male",13
5653,"LHDS-JYD","Female",13
5654,"GJL9-5V5","Male",13
5655,"GLSF-9N6","Female",13
5656,"LWXR-5VQ","Male",13
5657,"LC6Y-16S","Female",13
5658,"G6T4-K8G","Male",13
5659,"G6TH-95P","Female",13
5680,"GM5T-M83","Male",13
5681,"2J7F-BLM","Female",13
6144,"GJMK-GQK","Male",13
6145,"L8QW-5P6","Female",13
6146,"MNHX-RM5","Male",13
6147,"LDQ3-T5T","Female",13
6176,"LZW3-JW7","Male",13
6177,"LYQH-5P4","Female",13
6178,"GDLN-HFY","Male",13
6179,"LJLN-CFB","Female",13
6180,"LHX2-R7G","Male",13
6181,"LZ2B-7G7","Female",13
6182,"KN42-D5P","Male",13
6183,"K2SV-SNK","Female",13
6184,"L5K2-X13","Male",13
6185,"LCQ2-S5D","Female",13
6186,"LHT2-PSL","Male",13
6187,"M1LL-DSX","Female",13
6188,"LYM4-XWP","Male",13
6189,"KN3C-8G7","Female",13
6190,"LBTN-2R9","Male",13
6191,"L55H-2TH","Female",13
6272,"LR2N-YFF","Male",13
6273,"LZKH-3KN","Female",13
6274,"LBMB-FQ9","Male",13
6275,"KNFN-VCN","Female",13
6276,"L29Q-1PV","Male",13
6277,"L519-F2H","Female",13
6278,"LVMH-KGL","Male",13
6279,"L1MH-MWK","Female",13
6280,"LT21-8QW","Male",13
6281,"2ZSC-VWX","Female",13
6282,"L6TM-HGV","Male",13
6283,"LRP3-33H","Female",13
6284,"LT14-3VP","Male",13
6285,"KN84-ZRC","Female",13
6286,"LVQS-24M","Male",13
6287,"LJRN-L8N","Female",13
6292,"GQX7-RYL","Male",13
6293,"KDBG-6GW","Female",13
6294,"LZL4-YBB","Male",13
6295,"LB54-7H1","Female",13
6296,"L1QM-C2W","Male",13
6297,"KNDZ-KP2","Female",13
6298,"LHW9-JQK","Male",13
6299,"2MJ4-ZXD","Female",13
6300,"LCVV-VP6","Male",13
6301,"LTR2-47J","Female",13
6302,"MLY9-W94","Male",13
6303,"L7JH-BF1","Female",13
6304,"L5G6-J2S","Male",13
6305,"MM7X-FB5","Female",13
6306,"G613-WR6","Male",13
6307,"MHY8-SW1","Female",13
6308,"KNSK-631","Male",13
6309,"M146-QSZ","Female",13
6310,"M19P-7W6","Male",13
6311,"MFMF-B67","Female",13
6312,"LLCC-G2X","Male",13
6313,"GC4Z-DYZ","Female",13
6314,"KN8N-VGK","Male",13
6315,"L5F5-YMW","Female",13
6316,"LTFL-C9R","Male",13
6317,"MX4R-4BP","Female",13
6318,"M1LN-Z8Z","Male",13
6319,"LZLX-21W","Female",13
6412,"GWS8-995","Male",13
6413,"GWS8-HLT","Female",13
6414,"ML7M-ZPS","Male",13
6415,"GLJB-X6N","Female",13
6656,"GQDR-58W","Male",13
6657,"G6K2-TDK","Female",13
6660,"L52J-3Q8","Male",13
6661,"GH6W-GD4","Female",13
6662,"LYV8-8JP","Male",13
6663,"9MQ6-T6K","Female",13
6672,"L4B7-QNN","Male",13
6673,"G7MW-ZLW","Female",13
6674,"LTGQ-WVZ","Male",13
6675,"LTL7-15J","Female",13
6676,"L4T9-F8C","Male",13
6677,"GL9T-L6M","Female",13
6678,"LZ84-61C","Male",13
6679,"GDH2-HG8","Female",13
6688,"KCC8-5KK","Male",13
6689,"G9RJ-LBS","Female",13
6690,"GW3V-BQ5","Male",13
6691,"LCWK-QNC","Female",13
6692,"MXDW-2VC","Male",13
6693,"MYFL-KY6","Female",13
6694,"9QZY-X43","Male",13
6695,"LYKH-PVT","Female",13
6698,"KNQH-T15","Male",13
6699,"GK2M-STV","Female",13
6700,"LZV6-7D9","Male",13
6701,"M7X2-6TY","Female",13
6702,"KXHZ-18X","Male",13
6703,"LTN1-TBP","Female",13
6704,"LZBX-QCJ","Male",13
6705,"LCMZ-99B","Female",13
6706,"LR8H-184","Male",13
6707,"KNQT-X23","Female",13
6708,"LK4J-L6C","Male",13
6709,"LY41-KZF","Female",13
6710,"L4GB-MWD","Male",13
6711,"LHLH-DVW","Female",13
6712,"LZG6-CH7","Male",13
6713,"L89S-6X7","Female",13
6714,"LCPZ-6LC","Male",13
6715,"LC2J-LNT","Female",13
6716,"M1PZ-RZF","Male",13
6717,"LZ65-HLN","Female",13
6718,"KCYP-6MD","Male",13
6719,"KL3T-S8L","Female",13
6720,"KCC8-5KK","Male",13
6721,"G9RJ-LBS","Female",13
6722,"GW3V-BQ5","Male",13
6723,"LCWK-QNC","Female",13
6724,"MXDW-2VC","Male",13
6725,"MYFL-KY6","Female",13
6726,"9QZY-X43","Male",13
6727,"LYKH-PVT","Female",13
6730,"KNQH-T15","Male",13
6731,"GK2M-STV","Female",13
6732,"LZV6-7D9","Male",13
6733,"M7X2-6TY","Female",13
6734,"KXHZ-18X","Male",13
6735,"LTN1-TBP","Female",13
6736,"LZBX-QCJ","Male",13
6737,"LCMZ-99B","Female",13
6738,"LR8H-184","Male",13
6739,"KNQT-X23","Female",13
6740,"LK4J-L6C","Male",13
6741,"LY41-KZF","Female",13
6742,"L4GB-MWD","Male",13
6743,"LHLH-DVW","Female",13
6744,"LZG6-CH7","Male",13
6745,"L89S-6X7","Female",13
6746,"LCPZ-6LC","Male",13
6747,"LC2J-LNT","Female",13
6748,"M1PZ-RZF","Male",13
6749,"LZ65-HLN","Female",13
6750,"KCYP-6MD","Male",13
6751,"KL3T-S8L","Female",13
6752,"94KW-5BX","Male",13
6753,"GG9D-21Y","Female",13
6756,"9Q79-D4W","Male",13
6757,"K8JB-8HJ","Female",13
6758,"MN6V-LHB","Male",13
6759,"MD2P-4C4","Female",13
6760,"LZ52-RZG","Male",13
6761,"LHCM-Y72","Female",13
6762,"KNQ2-G7R","Male",13
6763,"LTZG-LLZ","Female",13
6764,"LVHS-MMT","Male",13
6765,"GQ5B-PB6","Female",13
6766,"GXWW-BBM","Male",13
6767,"LKFB-L5X","Female",13
6784,"LTFV-PRT","Male",13
6785,"LDSY-R1V","Female",13
6786,"MJQ5-7SH","Male",13
6788,"LZ9S-3KP","Male",13
6789,"LZFT-D24","Female",13
6790,"K6WV-NKD","Male",13
6791,"9CJF-L66","Female",13
6792,"LZP6-W38","Male",13
6793,"LVS9-BJ8","Female",13
6796,"L6TT-WBN","Male",13
6797,"MPPB-LWF","Female",13
6798,"KN3G-PSQ","Male",13
6799,"GZLG-8GW","Female",13
6800,"MKWG-J2F","Male",13
6801,"LBQW-XXK","Female",13
6802,"MZLW-B6H","Male",13
6803,"LYM9-4DT","Female",13
6804,"G9QC-F47","Male",13
6805,"LZ89-W28","Female",13
6806,"LH5N-BRF","Male",13
6807,"KL75-5CP","Female",13
6808,"8B91-NBN","Male",13
6809,"LZDT-N1G","Female",13
6812,"LTCR-BY2","Male",13
6813,"LZ8Z-GYN","Female",13
6814,"LBS5-2CC","Male",13
6815,"LYHY-3GT","Female",13
6816,"LCZT-48G","Male",13
6817,"LZVT-QKT","Female",13
6818,"LHN6-VQW","Male",13
6819,"971N-SXM","Female",13
6820,"KN6H-9WZ","Male",13
6821,"2JYT-CQF","Female",13
6822,"L5TM-1N5","Male",13
6823,"9C7P-8NG","Female",13
6824,"9SQ5-XQ1","Male",13
6825,"KN7W-Y15","Female",13
6826,"M5S3-Y2Z","Male",13
6827,"9HWJ-D1G","Female",13
6828,"M4DW-72G","Male",13
6829,"M4DW-SSC","Female",13
6830,"M2G2-MGP","Male",13
6831,"LBHH-QFJ","Female",13
6832,"LCXM-SS5","Male",13
6833,"LQRJ-TB2","Female",13
6834,"LTGL-7MW","Male",13
6835,"99KF-WR6","Female",13
6836,"9C3Q-FTP","Male",13
6837,"9VW1-RM4","Female",13
6838,"LZDQ-5BJ","Male",13
6839,"LV6C-KW9","Female",13
6840,"LJRY-LG7","Male",13
6841,"9SWX-LGC","Female",13
6842,"9CSG-XNJ","Male",13
6843,"9CSG-DS7","Female",13
6976,"2SH6-P6L","Male",13
6977,"LZN8-4WK","Female",13
6978,"KGW7-FQ4","Male",13
6979,"273C-Q82","Female",13
6980,"LC61-WTX","Male",13
6981,"LCXH-D8X","Female",13
6982,"273C-Q73","Male",13
6983,"GXN6-B1C","Female",13
6992,"LLW3-HF8","Male",13
6993,"LHVQ-WBZ","Female",13
6994,"LCMQ-7WL","Male",13
6995,"LH3M-JMH","Female",13
6996,"GMQG-D2C","Male",13
6997,"KP7J-BHF","Female",13
6998,"KFL4-Z1M","Male",13
6999,"LR12-2DL","Female",13
7016,"GDKS-8JS","Male",13
7017,"GW24-LZL","Female",13
7018,"MB23-ZZL","Male",13
7019,"G4N2-LSN","Female",13
7020,"GHHP-TBM","Male",13
7021,"GWKC-QWJ","Female",13
7024,"K8XQ-D6K","Male",13
7025,"L1J4-JLH","Female",13
7032,"K8CB-RH1","Male",13
7033,"2MRR-XF1","Female",13
7034,"LDM7-69D","Male",13
7035,"LDM7-XFT","Female",13
