"ascendency","id","gender","gen"
1187872,"G7C6-SCF","Male",21
1187873,"GJZJ-617","Female",21
1197568,"LV46-RG4","Male",21
1197632,"G342-ZRL","Male",21
1197633,"G2NF-WX2","Female",21
1197634,"LBJQ-CSS","Male",21
1197635,"GH11-WP8","Female",21
1197636,"GLT2-Z1R","Male",21
1197637,"LC35-LPD","Female",21
1197638,"LJG6-FQJ","Male",21
1197639,"LYTN-CJW","Female",21
1197640,"LB9W-M9D","Male",21
1197641,"LB97-J2L","Female",21
1197642,"L2CB-94Y","Male",21
1197643,"L6FB-RC8","Female",21
1197644,"LBJP-PQF","Male",21
1197645,"LBNP-WBR","Female",21
1197646,"L1Z5-PRR","Male",21
1197647,"GGRL-2Q5","Female",21
1197664,"G2S7-JYJ","Male",21
1197665,"G2S7-CD6","Female",21
1197696,"LF42-3CJ","Male",21
1197697,"9C8Q-B7G","Female",21
1197704,"947T-WNS","Male",21
1229824,"LD5M-BXW","Male",21
1229825,"GXSX-19W","Female",21
1229826,"G2LC-KP8","Male",21
1230144,"GS8F-W3V","Male",21
1230145,"GMNF-66M","Female",21
1230146,"GVNK-HS2","Male",21
1230147,"GVNK-SGQ","Female",21
1230148,"GVNK-68N","Male",21
1230149,"GVNK-FJN","Female",21
1230150,"L6KR-71P","Male",21
1230151,"G614-N6Q","Female",21
1230152,"G9Q6-BH2","Male",21
1230153,"GF1L-Z9K","Female",21
1230160,"G2TS-75J","Male",21
1230161,"G9L4-TXX","Female",21
1230162,"L71S-XK9","Male",21
1230163,"GGK9-Y3X","Female",21
1230164,"LDCW-L76","Male",21
1230165,"G8KN-LZ8","Female",21
1230166,"L1XS-4JR","Male",21
1230167,"GZH9-8LQ","Female",21
1230168,"GX4Q-296","Male",21
1230169,"LK6S-3PF","Female",21
1230170,"MS25-7QQ","Male",21
1230171,"G22V-R6F","Female",21
1230172,"K2S7-CRH","Male",21
1230173,"MQJ9-W14","Female",21
1230184,"9HC8-YHJ","Male",21
1230185,"9HC8-YC9","Female",21
1230192,"L8DC-YXV","Male",21
1230193,"GS8X-6C2","Female",21
1230194,"GVNK-HMR","Male",21
1230195,"GQP9-N4G","Female",21
1230196,"G9Q6-1C6","Male",21
1230197,"GDP4-BBT","Female",21
1230200,"GQFP-L29","Male",21
1230201,"LZL1-CK5","Female",21
1230202,"GZH9-H8Q","Male",21
1230203,"GZH9-S3L","Female",21
1230204,"G228-2ZZ","Male",21
1230205,"LJR3-SVY","Female",21
1230206,"GQ17-CPJ","Male",21
1230207,"GG2T-2L9","Female",21
1230208,"GLKY-9T5","Male",21
1230209,"GLKT-L9R","Female",21
1230210,"LHJZ-P69","Male",21
1230211,"L89S-XL3","Female",21
1230212,"GH3J-D6M","Male",21
1230214,"GH3K-GXC","Male",21
1230215,"G3LW-B7H","Female",21
1230288,"LZJG-3RY","Male",21
1230289,"LZJG-WP1","Female",21
1230290,"LTHN-LR9","Male",21
1230291,"LTHN-THM","Female",21
1230292,"MX8Y-57M","Male",21
1230293,"MQZB-4MN","Female",21
1230296,"LVFX-CYH","Male",21
1230297,"9HY9-JJP","Female",21
1230298,"LVFS-CXW","Male",21
1230299,"G8P1-SDS","Female",21
1230312,"LCXX-Y9C","Male",21
1230313,"26LW-M45","Female",21
1230320,"L6RF-3KG","Male",21
1230321,"LJ2D-8G2","Female",21
1230324,"GXGW-R5J","Male",21
1230325,"L4WG-FTF","Female",21
1230328,"G3CP-MZL","Male",21
1230329,"G3CP-9T1","Female",21
1230330,"GW7J-MMF","Male",21
1230331,"GW7N-1X2","Female",21
1286144,"LVN1-XB3","Male",21
1286145,"GMZD-YML","Female",21
1286146,"GN8Y-7XC","Male",21
1286147,"KHYN-55B","Female",21
1286148,"GCTV-VZJ","Male",21
1286149,"G9FB-KVQ","Female",21
1286150,"GZV8-H1H","Male",21
1286232,"GHBV-B2Z","Male",21
1286233,"GZ5Z-GWR","Female",21
1286234,"G6X7-G8J","Male",21
1286235,"LRJ1-4YW","Female",21
1286236,"GZH7-39C","Male",21
1286237,"GZNK-7RC","Female",21
1286238,"GG45-YGH","Male",21
1286239,"L6VD-BJD","Female",21
1286224,"G3YQ-YBN","Male",21
1286225,"G91M-NWB","Female",21
1286226,"G3WH-VQF","Male",21
1286227,"LK1D-LPZ","Female",21
1286228,"GQCS-FG2","Male",21
1286229,"GQCS-D6X","Female",21
1286230,"G4BD-B51","Male",21
1286256,"GXNJ-288","Male",21
1286257,"LDBP-5MC","Female",21
1286258,"L1S2-Q46","Male",21
1286259,"GD5W-T8B","Female",21
