"ascendency","id","gender","gen"
4751488,"G2RD-2SP","Male",23
4751489,"G2RD-LQW","Female",23
4751490,"LZGB-L3L","Male",23
4751491,"M9L2-DY1","Female",23
4751492,"GQD4-HM2","Male",23
4751493,"L6HH-PRC","Female",23
4751494,"GH77-VPY","Male",23
4790272,"LV46-TH3","Male",23
4790273,"LV4R-WHP","Female",23
4790528,"GFG9-C1X","Male",23
4790529,"LD33-RSW","Female",23
4790530,"9CD8-FMT","Male",23
4790531,"LCCP-BCX","Female",23
4790532,"29WW-33D","Male",23
4790533,"LD5T-4QR","Female",23
4790534,"GKVM-H8R","Male",23
4790535,"GG8P-BW2","Female",23
4790536,"LZGM-2K2","Male",23
4790537,"L5ZH-9GC","Female",23
4790538,"G9M6-J1D","Male",23
4790539,"LHDH-7CT","Female",23
4790540,"LZV7-4KR","Male",23
4790541,"LZZ6-6RM","Female",23
4790542,"GSLZ-BNP","Male",23
4790543,"LBBH-XMW","Female",23
4790544,"LZ68-72D","Male",23
4790545,"G9Q7-F55","Female",23
4790546,"L69G-DK8","Male",23
4790547,"GDXD-816","Female",23
4790548,"GNQF-6ZN","Male",23
4790549,"GVSC-ZX2","Female",23
4790550,"GVBX-NB6","Male",23
4790551,"GVBD-C5Y","Female",23
4790552,"LTXM-KMP","Male",23
4790553,"GX9R-68B","Female",23
4790554,"MBTC-K18","Male",23
4790555,"GV68-JCT","Female",23
4790556,"LZ86-T6V","Male",23
4790557,"LZPK-KKT","Female",23
4790558,"9HTZ-YQ8","Male",23
4790559,"LD79-5VT","Female",23
4790560,"LKM6-G1C","Male",23
4790561,"LVFQ-7PH","Female",23
4790562,"LTHY-83T","Male",23
4790563,"GWSH-R96","Female",23
4790566,"KLG6-5F2","Male",23
4790567,"LYCG-WFN","Female",23
4790568,"GV37-7X9","Male",23
4790569,"G6D5-RK2","Female",23
4790570,"GJ44-MXX","Male",23
4790571,"GNJ3-32Q","Female",23
4790572,"LJ2J-G74","Male",23
4790573,"LBD7-Q9P","Female",23
4790574,"L1QW-K4L","Male",23
4790575,"LYL9-G4F","Female",23
4790576,"9HCQ-CZM","Male",23
4790577,"LBH8-8GP","Female",23
4790578,"GJCD-DWX","Male",23
4790579,"GLK5-8YK","Female",23
4790580,"LBGS-DXH","Male",23
4790581,"GDNL-TNW","Female",23
4790582,"G7H6-79Q","Male",23
4790583,"LVJ5-WC4","Female",23
4790584,"LCFS-P6D","Male",23
4790585,"G3HS-6X6","Female",23
