"maxasc","fid","QID","article","name","lifespan","birth_country"
871148,"KCQP-DTS","Q6468424","https://en.wikipedia.org/wiki/Lachlan_Cattanach_Maclean,_11th_Chief","Lachlan Cattanach MacLean 11th. Chief of Clan MacLean","1470 - 1523",NA
920676,"LYZJ-32W","Q7359192","https://en.wikipedia.org/wiki/Roger_Clifford,_5th_Baron_Clifford","Roger Clifford 2nd Baron Clifford","1333 - 1389","UK:Great Britain"
962306,"LRJ3-LMZ","Q18880250","https://en.wikipedia.org/wiki/Roger_Pilkington_(MP)","Roger de Pilkington III","1325 - 1407","UK:Great Britain"
962356,"KT7Q-1T4","Q7329662","https://en.wikipedia.org/wiki/Richard_Vernon_(speaker)","Sir Richard de Vernon, III, Knight","1383 - 1451","UK:Great Britain"
978604,"LZV6-N1D","Q6851550","https://en.wikipedia.org/wiki/Miles_Stapleton_of_Bedale","Sir Miles Stapleton II","1316 - 1364","UK:Great Britain"
985234,"GXMD-MJ3","Q6257160","https://en.wikipedia.org/wiki/John_Scudamore_(landowner)","Sir John de Scudamore, Knight","1375 - 1434","UK:Great Britain"
1230290,"LTHN-LR9","Q5542841","https://en.wikipedia.org/wiki/George_Nevill,_4th_Baron_Bergavenny","Sir George Neville 5th and de jure 3rd Baron Bergavenny","1440 - 1492","UK:Great Britain"
1291814,"LTGM-QS1","Q3990738","https://en.wikipedia.org/wiki/Thomas_West,_8th_Baron_De_La_Warr","Thomas West 8th Baron de La Warre","1457 - 1525","UK:Great Britain"
1379363,"LYCZ-561","Q448289","https://en.wikipedia.org/wiki/Jacquetta_of_Luxembourg","Jacquetta of Luxembourg, Duchess of Bedford and Countess Rivers","1415 - 1472","France"
1379384,"LBD3-X58","Q361128","https://en.wikipedia.org/wiki/Owen_Tudor","Sir Owain Tudor Knight","1400 - 1461","UK:Wales:Anglesey"
1379385,"LDM2-5MY","Q229192","https://en.wikipedia.org/wiki/Catherine_of_Valois","Catherine of Valois, Queen Consort of England, Princess of France","1401 - 1437","France"
1379844,"LHW6-FV7","Q312592","https://en.wikipedia.org/wiki/Robert_II_of_Scotland","Robert II Stewart King of Scotland","1316 - 1390","UK:Great Britain"
1379845,"L89H-F4Y","Q1987004","https://en.wikipedia.org/wiki/Elizabeth_Mure","Elizabeth Mure of Rowallan","1320 - 1354","UK:Great Britain"
1412096,"LB31-RMJ","Q6265670","https://en.wikipedia.org/wiki/John_Welles,_5th_Baron_Welles","John Welles 5th Baron Welles","1352 - 1421","UK:Great Britain"
1413598,"LYF4-BB9","Q8020765","https://en.wikipedia.org/wiki/William_de_Botreaux,_3rd_Baron_Botreaux","William Botreaux 3rd Baron Botreaux","1389 - 1462","UK:Great Britain"
1442138,"GWZX-F4D","Q193752","https://en.wikipedia.org/wiki/John_of_Gaunt","John of Gaunt","1340 - 1399","Belgium"
1572960,"G2P9-18L","Q16200495","https://en.wikipedia.org/wiki/Maurice_FitzGerald,_4th_Earl_of_Kildare","Sir Maurice FitzThomas FitzGerald 4th Earl of Kildare, Justiciar of Ireland","1318 - 1390","Ireland"
1573632,"L78R-RNM","Q7789610","https://en.wikipedia.org/wiki/Thomas_FitzGerald,_2nd_Baron_Desmond","Thomas Fitzmaurice FitzGerald 2nd Baron Desmond","1261 - 1298","Ireland"
1573636,"LYS3-485","Q6130586","https://en.wikipedia.org/wiki/James_Butler,_1st_Earl_of_Ormond","James Butler 1st Earl of Ormond","1304 - 1338","Ireland"
1573644,"L1W9-YZ5","Q923162","https://en.wikipedia.org/wiki/Thomas_Beauchamp,_11th_Earl_of_Warwick","Sir Thomas de Beauchamp 11th Earl of Warwick","1313 - 1369","UK:Great Britain"
1573645,"LBSJ-C5W","Q3813372","https://en.wikipedia.org/wiki/Katherine_Mortimer,_Countess_of_Warwick","Katherine Mortimer","1313 - 1369","UK:Great Britain"
1584211,"LZZ2-H1W","Q6760059","https://en.wikipedia.org/wiki/Margaret_de_Stafford","Margaret Stafford Countess of Westmoreland","1364 - 1396","UK:Great Britain"
1708194,"LHP9-JJ1","Q471421","https://en.wikipedia.org/wiki/Henry_Percy_(Hotspur)","Sir Henry Percy","1364 - 1403","UK:Great Britain"
1708195,"L5PZ-F6P","Q5363245","https://en.wikipedia.org/wiki/Elizabeth_Mortimer","Elizabeth Mortimer Baroness Camoys","1371 - 1417","UK:Great Britain"
1736776,"LTLV-52V","Q7790902","https://en.wikipedia.org/wiki/Thomas_Hungerford_(speaker)","Sir Thomas de Hungerford","1330 - 1398","UK:Great Britain"
1841352,"LTF3-8T1","Q7351393","https://en.wikipedia.org/wiki/Robert_Clifford,_3rd_Baron_Clifford","Robert de Clifford","1305 - 1344","UK:Great Britain"
1867162,"L8BC-9N3","Q7287487","https://en.wikipedia.org/wiki/Ralph_Fitzherbert","John Wakelin","1554 - 1614",NA
1957492,"MN7Q-K5Q","Q2893387","https://en.wikipedia.org/wiki/Thomas_Camoys,_1st_Baron_Camoys","Thomas de Camoys 1st Baron Camoys KG","1351 - 1421",NA
2087220,"9CCV-52G","Q592380","https://en.wikipedia.org/wiki/Archibald_Douglas,_3rd_Earl_of_Douglas","Archibald Douglas 3rd Earl of Douglas Earl of Wigtown Lord of Galloway and Bothwell","1325 - 1400","UK:Great Britain"
2573274,"GWZL-XD8","Q432771","https://en.wikipedia.org/wiki/Thomas_of_Woodstock,_Duke_of_Gloucester","Thomas of Woodstock","1355 - 1397","UK:Great Britain"
2663304,"LZGM-2K2","Q1265364","https://en.wikipedia.org/wiki/Duncan_Campbell,_1st_Lord_Campbell","Sir Duncan Campbell 1st Lord of Lochow","1370 - 1453","UK:Great Britain"
2663310,"GSLZ-BNP","Q3036052","https://en.wikipedia.org/wiki/Donald_of_Islay,_Lord_of_the_Isles","Donald MacDonald 8th Lord of the Isles","1360 - 1423","UK:Great Britain"
2663311,"LBBH-XMW","Q4259454","https://en.wikipedia.org/wiki/Mariota,_Countess_of_Ross","Mariota Leslie","1363 - 1429","UK:Great Britain"
2663320,"LTXM-KMP","Q6132751","https://en.wikipedia.org/wiki/James_Douglas,_1st_Lord_Dalkeith","Sir James Douglas 1st Lord of Dalkeith","1370 - 1440","UK:Great Britain"
2759688,"L8MB-CP1","Q1100898","https://en.wikipedia.org/wiki/Walter_Stewart,_6th_High_Steward_of_Scotland","Walter Stewart 6th High Steward of Scotland","1296 - 1327","UK:Great Britain"
2759732,"LR72-4QX","Q593666","https://en.wikipedia.org/wiki/Aonghus_%C3%93g_of_Islay","Aonghus Og MacDohmnaill of the Isles","1272 - 1330",NA
2760045,"K6QG-MLS","Q6779128","https://en.wikipedia.org/wiki/Mary_Bruce","Mary de Brus","1279 - 1323","UK:Great Britain"
2760166,"LY3P-P2L","Q27958390","https://en.wikipedia.org/wiki/Archibald_Campbell_of_Lochawe","Sir Archibald Mor Campbell 12th. Laird of Lochow","1310 - 1372","UK:Great Britain"
2760175,"K6S2-5L7","Q271445","https://en.wikipedia.org/wiki/Euphemia_de_Ross","Queen Euphemia Ross of Scotland","1329 - 1386","UK:Great Britain"
2883692,"LYK6-VQ2","Q348932","https://en.wikipedia.org/wiki/Richard_Fitzalan,_4th_Earl_of_Arundel","Sir Richard FitzAlan 10th Earl of Arundel","1306 - 1376","UK:Great Britain"
2883693,"LB1S-5V6","Q1325750","https://en.wikipedia.org/wiki/Eleanor_of_Lancaster","Eleanor of Lancaster","1318 - 1372","UK:Great Britain"
2884270,"LY8C-LSL","Q2004845","https://en.wikipedia.org/wiki/Edmund_Fitzalan,_2nd_Earl_of_Arundel","Edmund FitzAlan 9th Earl of Arundel","1285 - 1326","UK:Great Britain"
2884276,"93RN-C7J","Q129247","https://en.wikipedia.org/wiki/Edward_III_of_England","Edward III King of England","1312 - 1377","UK:Great Britain"
2884277,"9Z8W-FY1","Q229279","https://en.wikipedia.org/wiki/Philippa_of_Hainault","Philippa de Hainault Queen of England","1313 - 1369","France"
2884284,"M9WP-FX4","Q1031944","https://en.wikipedia.org/wiki/Thomas_Holland,_1st_Earl_of_Kent","Sir Thomas Holand","1314 - 1360","UK:Great Britain"
2884302,"G69L-QVB","Q4573248","https://en.wikipedia.org/wiki/Bartholomew_Burghersh_the_elder","Bartholomew de Burghersh 1st Baron Burghersh","1287 - 1355","UK:Great Britain"
3147266,"L7PC-D5P","Q7795451","https://en.wikipedia.org/wiki/Thomas_de_Berkeley,_1st_Baron_Berkeley","Thomas de Berkeley 1st Baron Berkeley","1245 - 1321","UK:Great Britain"
3147288,"LB3W-PR2","Q3122244","https://en.wikipedia.org/wiki/Guy_de_Beauchamp,_10th_Earl_of_Warwick","Guy de Beauchamp 10th Earl of Warwick","1272 - 1315","UK:Great Britain"
3147289,"KZZH-H9Z","Q3611715","https://en.wikipedia.org/wiki/Alice_de_Toeni,_Countess_of_Warwick","Alice de Tosny","1284 - 1324","UK:Great Britain"
3147290,"LY16-VK3","Q312990","https://en.wikipedia.org/wiki/Roger_Mortimer,_1st_Earl_of_March","Roger Mortimer 1st Earl of March","1287 - 1330","UK:Great Britain"
3234580,"LB3F-1WH","Q6265481","https://en.wikipedia.org/wiki/John_Beauchamp,_2nd_Baron_Beauchamp_of_Somerset","Sir John Beauchamp 2nd Baron Beauchamp of Somerset","1304 - 1343","UK:Great Britain"
3474474,"LBJ1-7RM","Q7964324","https://en.wikipedia.org/wiki/Walter_Blount_(soldier)","Walter Blount","1350 - 1403","UK:Great Britain"
3474814,"L6NJ-P7F","Q2581176","https://en.wikipedia.org/wiki/William_de_la_Pole_(Chief_Baron_of_the_Exchequer)","Sir William de la Pole","1302 - 1366","UK:Great Britain"
3682705,"93M8-21Q","Q20171448","https://en.wikipedia.org/wiki/Maud_de_Clare","Maud de Clare Baroness de Welles","1276 - 1327","UK:Great Britain"
3824494,"KHTM-VDZ","Q6260178","https://en.wikipedia.org/wiki/John_Talbot,_1st_Viscount_Lisle","John Talbot III 1st Viscount Lisle","1426 - 1453","UK:Great Britain"
3848882,"LB5T-GL5","Q679266","https://en.wikipedia.org/wiki/Roger_Mortimer,_2nd_Earl_of_March","Roger Mortimer 2nd Earl of March","1328 - 1360","UK:Great Britain"
4174440,"L6KK-BW5","Q648516","https://en.wikipedia.org/wiki/James_Douglas,_Lord_of_Douglas","Sir James The Black Douglas Lord of Hermiston","1286 - 1330","UK:Great Britain"
5147746,"9CQ1-X4J","Q2685455","https://en.wikipedia.org/wiki/Hugh_Despenser_the_Elder","Sir Hugh le Despenser 1st Lord Despenser","1286 - 1326","UK:Great Britain"
5167584,"L2SJ-5JR","Q18750973","https://en.wikipedia.org/wiki/Robert_Cary_(died_c._1431)","Sir Robert Cary of Cockington","1377 - 1431","UK:Great Britain"
5513224,"LZ2D-FMP","Q155167","https://en.wikipedia.org/wiki/John_of_Bohemia","Jean I de Luxembourg Roi de Bohême","1296 - 1346","Czech Republic"
5519378,"LDQR-3KB","Q187312","https://en.wikipedia.org/wiki/Robert_the_Bruce","Robert I the Bruce, King of Scots","1274 - 1329",NA
5519416,"9S7W-9LY","Q1123011","https://en.wikipedia.org/wiki/William_the_Hardy,_Lord_of_Douglas","Lord William ""Le Hardi"" Douglas 5th Laird of Douglas","1243 - 1298","UK:Great Britain"
5520090,"L8MB-67G","Q1772833","https://en.wikipedia.org/wiki/Robert_de_Brus,_6th_Lord_of_Annandale","Robert de Brus 6th Lord of Annandale","1243 - 1304","UK:Great Britain"
5520091,"L8MB-67P","Q273307","https://en.wikipedia.org/wiki/Marjorie,_Countess_of_Carrick","Lady Marjorie de Carrick 3rd Countess of Carrick","1254 - 1292","UK:Great Britain"
5520260,"LZTC-GX5","Q385362","https://en.wikipedia.org/wiki/Edward_Bruce","Sir Edward Bruce Earl of Carrick, High King of Ireland, Lord of Galloway","1280 - 1318","UK:Great Britain"
5520298,"LVM6-FBZ","Q3133191","https://en.wikipedia.org/wiki/Henry_de_Hastings_(died_1268)","Henry de Hastings 1st Baron Hastings","1235 - 1269","UK:Great Britain"
5555994,"LBK6-4Z2","Q4441326","https://en.wikipedia.org/wiki/Edmund_Stafford,_1st_Baron_Stafford","Edmund Stafford 1st Baron Stafford","1272 - 1308","UK:Great Britain"
5654114,"9SR5-K28","Q310963","https://en.wikipedia.org/wiki/Peter_of_Castile","Pedro Alfonsez I King of Castile and Leon","1334 - 1369","Spain"
5767390,"LD9R-WJ3","Q4865294","https://en.wikipedia.org/wiki/Bartholomew_Badlesmere,_1st_Baron_Badlesmere","Sir Bartholomew Badlesmere","1275 - 1322","UK:Great Britain"
5767391,"LD91-Q2Q","Q3846899","https://en.wikipedia.org/wiki/Margaret_de_Clare,_Baroness_Badlesmere","Margaret de Clare","1287 - 1333",NA
5768470,"LZ1V-JW1","Q1360375","https://en.wikipedia.org/wiki/Gilbert_de_Clare,_7th_Earl_of_Gloucester","Gilbert de Clare 7th Earl of Gloucester","1243 - 1295","UK:Great Britain"
5768471,"GDW4-666","Q257968","https://en.wikipedia.org/wiki/Joan_of_Acre","Countess Joan of Acre","1272 - 1307","Israel"
5768540,"9HVV-643","Q2034626","https://en.wikipedia.org/wiki/Richard_Fitzalan,_1st_Earl_of_Arundel","Richard FitzAlan 8th Earl of Arundel","1267 - 1302","UK:Great Britain"
5768546,"9CQN-28Q","Q23890898","https://en.wikipedia.org/wiki/Hugh_de_Audley,_1st_Baron_Audley_of_Stratton_Audley","Sir Hugh Audley of Sratton Audley","1267 - 1326","UK:Great Britain"
5768548,"L5R2-HFJ","Q3785021","https://en.wikipedia.org/wiki/Henry_Percy,_1st_Baron_Percy","Sir Henry de Percy","1273 - 1314","UK:Great Britain"
5768552,"L19M-VCD","Q5236","https://en.wikipedia.org/wiki/Edward_II_of_England","Edward II King of England","1284 - 1327","UK:Great Britain"
5768553,"LDQK-6JM","Q228642","https://en.wikipedia.org/wiki/Isabella_of_France","Isabella of France Queen of England","1292 - 1358","France"
5768570,"L8MJ-ZLQ","Q956563","https://en.wikipedia.org/wiki/Edmund_of_Woodstock,_1st_Earl_of_Kent","Edmund of Woodstock 1st Earl of Kent","1301 - 1330","UK:Great Britain"
6294528,"LZL4-C4H","Q6233267","https://en.wikipedia.org/wiki/John_FitzThomas,_1st_Baron_Desmond","John FitzThomas FitzGerald 1st Baron Desmond","1195 - 1268","Ireland"
6294532,"L1BT-6L6","Q6793553","https://en.wikipedia.org/wiki/Maurice_de_Berkeley","Sir Maurice de Berkeley 5th feudal baron of Berkeley","1218 - 1281","UK:Great Britain"
6294534,"L8PJ-FJ6","Q3405585","https://en.wikipedia.org/wiki/William_de_Ferrers,_5th_Earl_of_Derby","Sir William de Ferrers 5th Earl of Derby","1193 - 1254","UK:Great Britain"
6294540,"LT84-J6L","Q29389103","https://en.wikipedia.org/wiki/Toirdhealbhach_M%C3%B3r_%C3%93_Briain","Toirdhealbhach Mór Ó Briain, King of Thomond","1245 - 1306","Ireland"
6294550,"LYWX-CBR","Q57798","https://en.wikipedia.org/wiki/Edward_I_of_England","Edward I King of England","1239 - 1307","UK:Great Britain"
6294551,"9CQX-DXX","Q59604","https://en.wikipedia.org/wiki/Eleanor_of_Castile","Eleanor of Castile Queen of England","1240 - 1290","Spain"
6294556,"GSWF-F4N","Q3565928","https://en.wikipedia.org/wiki/Walter_de_Burgh,_1st_Earl_of_Ulster","Walter de Burgh 1st Earl of Ulster","1230 - 1271","Ireland"
6340338,"L2K4-YXB","Q6259734","https://en.wikipedia.org/wiki/John_Sutton_II","John Sutton II","1308 - 1359","UK:Great Britain"
6455366,"94L5-FXD","Q2618807","https://en.wikipedia.org/wiki/Owain_Gwynedd","Owain Gwynedd King of all Wales","1087 - 1170","UK:Wales:Anglesey"
6459028,"LRV7-FNB","Q11802623","https://en.wikipedia.org/wiki/Henry_Percy,_3rd_Baron_Percy","Henry Percy 3rd Baron Percy","1320 - 1368","UK:Great Britain"
6878278,"9WGJ-5WT","Q16240140","https://en.wikipedia.org/wiki/John_Sutton_III","Sir John Sutton III","1329 - 1369","UK:Great Britain"
6948938,"L5DP-J2M","Q169992","https://en.wikipedia.org/wiki/John_II_of_France","Jean II ""Le Bon"" de France Roi de France","1319 - 1364","France"
7365410,"L5GN-Q5Q","Q2428399","https://en.wikipedia.org/wiki/Thomas_de_Clare,_Lord_of_Thomond","Sir Thomas de Clare 1st Lord of Thomond","1245 - 1287","UK:Great Britain"
7365411,"LYZR-2Q4","Q3811097","https://en.wikipedia.org/wiki/Juliana_FitzGerald,_Lady_of_Thomond","Lady Juliane FitzMaurice","1263 - 1300","Ireland"
7828838,"LYGV-NLN","Q323643","https://en.wikipedia.org/wiki/John_I_de_Balliol","John de Balliol","Unknown - 1268","UK:Great Britain"
7828846,"LYQP-GSF","Q8012779","https://en.wikipedia.org/wiki/William_de_Cantilupe_(died_1254)","William de Cantilupe 3rd Baron Abergavenny","1221 - 1254","UK:Great Britain"
8348886,"LVFB-T4D","Q12858658","https://en.wikipedia.org/wiki/John_de_Menteith","Sir John Menteith -Lord of Arran","1271 - 1323","UK:Great Britain"
10295493,"LB6W-M1K","Q3802304","https://en.wikipedia.org/wiki/Isabella_de_Beauchamp","Lady Isabella de Beauchamp","1249 - 1306","UK:Great Britain"
10757608,"LD97-5H9","Q934504","https://en.wikipedia.org/wiki/Roger_Mortimer,_1st_Baron_Mortimer_of_Wigmore","Sir Roger de Mortimer II, First Baron of Wigmore","1231 - 1282","UK:Great Britain"
11026448,"GM3N-5RY","Q152717","https://en.wikipedia.org/wiki/Henry_VII,_Holy_Roman_Emperor","Henri von Luxembourg Vii","1274 - 1313","France"
11038832,"LY7K-8TV","Q4170066","https://en.wikipedia.org/wiki/William_Longleg,_Lord_of_Douglas","William ""Longlegs"" Douglas 3rd Lord of Douglas","1220 - 1274","UK:Great Britain"
11039046,"9HFS-PKH","Q467685","https://en.wikipedia.org/wiki/Llywelyn_ab_Iorwerth","Llywelyn ab Iorwerth","1174 - 1240","UK:Wales:Anglesey"
11040036,"LY35-7MC","Q16202302","https://en.wikipedia.org/wiki/Niall_mac_Cailein","Sir Neil Campbell of Lochow","1258 - 1315","UK:Great Britain"
11091216,"KN6Z-1FV","Q314331","https://en.wikipedia.org/wiki/Charles_II_of_Naples","Charles d'Anjou II, Roi de Naples","1254 - 1309","Italy"
11305878,"LCZT-JZV","Q7026476","https://en.wikipedia.org/wiki/Nicholas_Segrave,_1st_Baron_Segrave","Nicholas Segrave 1st Baron Segrave","1238 - 1295","UK:Great Britain"
11308228,"M6FB-J43","Q298808","https://en.wikipedia.org/wiki/Alfonso_XI_of_Castile","Alfonso XI de Castilla Rey de Castilla","1311 - 1350","Spain"
11534772,"L7TR-TVZ","Q447802","https://en.wikipedia.org/wiki/Edmund_Crouchback","Edmund 1st Earl of Lancaster","1245 - 1296","UK:Great Britain"
11537141,"9HB6-J38","Q235480","https://en.wikipedia.org/wiki/Margaret_of_France,_Queen_of_England","Marguerite Capet de France Queen of England","1279 - 1318","France"
11537262,"L2PC-C3Z","Q6233297","https://en.wikipedia.org/wiki/John_Fitzgeoffrey","John FitzGeoffrey Lord of Shere and Justiciar of Ireland","1208 - 1258","UK:Great Britain"
12589100,"9SS7-5BT","Q160311","https://en.wikipedia.org/wiki/Henry_III_of_England","Henry III King of England","1207 - 1272","UK:Great Britain"
12589101,"9HD3-MC1","Q228885","https://en.wikipedia.org/wiki/Eleanor_of_Provence","Eleanor Berenger of Provence Queen of England","1221 - 1291","France"
12589102,"9CZS-WBG","Q243122","https://en.wikipedia.org/wiki/Ferdinand_III_of_Castile","Fernando III Rey de Castilla y de León","1201 - 1252","Spain"
