"maxasc","fid","QID","article","name","lifespan","birth_country"
12589103,"LZD4-722","Q603883","https://en.wikipedia.org/wiki/Joan,_Countess_of_Ponthieu","Queen Consort Jeanne ""Juana"" De Danmartin Reina Consorte de Castilla","1220 - 1279","France"
12663116,"LYD7-TB9","Q102140","https://en.wikipedia.org/wiki/Henry_II_of_England","Henry II King of England","1133 - 1189","France"
12663117,"LYD7-YY1","Q4529990","https://en.wikipedia.org/wiki/Ida_de_Tosny","Ida de Tosny Countess of Norfolk","1160 - 1204","UK:Great Britain"
14730822,"93HW-J56","Q3852421","https://en.wikipedia.org/wiki/Maurice_FitzGerald,_3rd_Lord_of_Offaly","Maurice FitzMaurice 3rd Lord of Offaly","1218 - 1277","Ireland"
14927652,"L5XT-ZHK","Q75382589","https://en.wikipedia.org/wiki/Hugh_Bardolf,_1st_Baron_Bardolf","Sir Hugh Bardolf 1st Baron Bardolph","1259 - 1304","UK:Great Britain"
19682718,"9HY5-3Z3","Q6238201","https://en.wikipedia.org/wiki/John_Hastings,_1st_Baron_Hastings","John Hastings 1st Baron Hastings","1262 - 1313","UK:Great Britain"
21305363,"LYQL-PPF","Q17124676","https://en.wikipedia.org/wiki/Marjory,_Countess_of_Buchan","Countess Margaret Buchan","1184 - 1244","UK:Great Britain"
21305394,"MD4T-7QG","Q6233288","https://en.wikipedia.org/wiki/John_FitzRobert","John Fitzrobert de Stokes 3d Baron Warkworth, Surety of the Magna Carta","1192 - 1240","UK:Great Britain"
22077856,"MVMZ-N3Y","Q3417500","https://en.wikipedia.org/wiki/Ragnall_mac_Somairle","Ragnall Mac Somairle Lord of the Isles","1148 - 1207",NA
22077860,"LTBC-QTH","Q5562002","https://en.wikipedia.org/wiki/Gilleasbaig_of_Menstrie","Sir Gillespic Campbell 1st Lord Of Menstrie 9th Knight Of Lochow","1199 - 1280","UK:Great Britain"
22080276,"GN7C-QXL","Q1216304","https://en.wikipedia.org/wiki/Donnchadh_of_Argyll","Donnchadh Macdubhghaill King of the Isles, Second Lord of Dunollie and of Lorn","1177 - 1245","UK:Great Britain"
22081192,"LZNJ-1K6","Q23967084","https://en.wikipedia.org/wiki/William_de_Hastings","William de Hastings","1165 - 1226","UK:Great Britain"
22182432,"LWF2-V9P","Q203829","https://en.wikipedia.org/wiki/Charles_I_of_Anjou","Charles I d'Anjou Roi de Naples et de Sicile","1227 - 1285","France"
22223980,"LBK6-46F","Q7287220","https://en.wikipedia.org/wiki/Ralph_Basset_(died_1265)","Ralph de Bassett 4th Lord of Drayton and Colston","1215 - 1265","UK:Great Britain"
22616457,"L8TT-XFX","Q2081231","https://en.wikipedia.org/wiki/Constance_of_Portugal","Constança de Portugal, Rainha de Castela","1335 - Unknown","Spain"
23072842,"9H8D-NKZ","Q2581181","https://en.wikipedia.org/wiki/William_d%27Aubigny,_3rd_Earl_of_Arundel","William V 'the Crusader' d'Aubigny","1173 - 1221","UK:Great Britain"
23073712,"LCYS-L2D","Q2745179","https://en.wikipedia.org/wiki/Ednyfed_Fychan","Ednyfed Fychan ap Cynwrig of Dules","1150 - 1246","UK:Wales:Anglesey"
23074171,"MF7F-HQF","Q231788","https://en.wikipedia.org/wiki/Isabella_of_Angoul%C3%AAme","Isabelle d'Angoulême Queen of England","1187 - 1246","France"
23074184,"LYSV-ZS3","Q17270022","https://en.wikipedia.org/wiki/Henry_Audley","Henry De Audley","1175 - 1246","UK:Great Britain"
23074223,"LDWK-FM9","Q614258","https://en.wikipedia.org/wiki/Mary_of_Hungary,_Queen_of_Naples","Árpád-házi Mária Reine de Naples","1257 - 1323","Hungary"
25178112,"MJFP-PY2","Q4302750","https://en.wikipedia.org/wiki/Maurice_FitzGerald,_Lord_of_Llanstephan","Lord of Lanstephan Maurice FitzGerald De Whyte XVIIII","1105 - 1177","UK:Great Britain"
25178130,"2M5Y-3XL","Q28445424","https://en.wikipedia.org/wiki/Ralph_de_Somery_I","Ralph de Somery","1151 - 1211","UK:Great Britain"
25178132,"LBYQ-Z26","Q129308","https://en.wikipedia.org/wiki/John,_King_of_England","John King of England","1166 - 1216","UK:Great Britain"
25178138,"9HGQ-P4L","Q1634625","https://en.wikipedia.org/wiki/Hugh_of_Cyfeiliog,_5th_Earl_of_Chester","Hugh of Cyfeiliog 5th Earl of Chester","1147 - 1181","UK:Great Britain"
25178146,"G78V-GDQ","Q6810095","https://en.wikipedia.org/wiki/Meiler_Fitzhenry","Meiler FitzHenry Justiciar of Ireland","1128 - 1220","UK:Great Britain"
25178204,"L8W6-C4W","Q316115","https://en.wikipedia.org/wiki/Alfonso_IX_of_Le%C3%B3n","Alfonso De León IX","1171 - 1230","Spain"
25178205,"9CZS-WBY","Q232323","https://en.wikipedia.org/wiki/Berengaria_of_Castile","Berenguela de Castilla Reina de Castilla si reina consorte de León","1180 - 1246","Spain"
25178333,"L8WB-7J3","Q2262964","https://en.wikipedia.org/wiki/Yolande_of_Brittany","Yolande of Brittany","1218 - 1272","France"
25297843,"G3PZ-3XJ","Q5546843","https://en.wikipedia.org/wiki/Euphemia_of_Kuyavia","Princess Eufemia of Kujavia","1267 - 1308","Poland"
25326233,"9CW3-3SK","Q150872","https://en.wikipedia.org/wiki/Empress_Matilda","Matilda of England Holy Roman Empress","1102 - 1167","UK:Great Britain"
25709718,"M9QT-TX4","Q28648770","https://en.wikipedia.org/wiki/Roger_de_Somery_II","Sir Roger IV de Somery Baron of Dudley","1194 - 1273","UK:Great Britain"
25821464,"9CS6-TP3","Q3008718","https://en.wikipedia.org/wiki/Cynan_ab_Iago","King Cynan ab Iago of Gwynedd","1014 - 1075","UK:Wales:Anglesey"
27844632,"M4P4-DSW","Q7347363","https://en.wikipedia.org/wiki/Robert_Marmion,_3rd_Baron_Marmion_of_Tamworth","Robert Marmion 3rd","1153 - 1218","UK:Great Britain"
29675964,"MHCC-ZNJ","Q7528167","https://en.wikipedia.org/wiki/Sir_John_de_Grey","John De Grey Sheriff of Nottingham and Derby","1205 - 1266","UK:Great Britain"
31315377,"LBHH-4MZ","Q2594715","https://en.wikipedia.org/wiki/Hawise,_Duchess_of_Brittany","Hawise de Rennes Duchess of Brittany","1100 - 1190","France"
31315390,"LBGV-7WG","Q348911","https://en.wikipedia.org/wiki/William_Marshal,_1st_Earl_of_Pembroke","William Marshal Earl of Pembroke","1146 - 1219","UK:Great Britain"
31315391,"K451-575","Q783126","https://en.wikipedia.org/wiki/Isabel_de_Clare,_4th_Countess_of_Pembroke","Isabel de Clare Countess of Pembroke","1172 - 1220","UK:Great Britain"
31527534,"LZFP-F9Q","Q369651","https://en.wikipedia.org/wiki/Llywelyn_ap_Gruffudd","Llywelyn ap Gruffydd Prince of North Wales","1223 - 1282","UK:Great Britain"
44105800,"LHWP-6YX","Q346","https://en.wikipedia.org/wiki/Louis_IX_of_France","St. Louis IX roi de France","1214 - 1270","France"
44155712,"LDM5-F3S","Q1781786","https://en.wikipedia.org/wiki/Somerled","Somerled MacGillebride King of the Northern Isles","1113 - 1164",NA
44155713,"L8YY-CVK","Q61314346","https://en.wikipedia.org/wiki/Ragnhildis_Olafsdottir","Ragnhilda (Olafsdatter) Olafsdottir","1117 - 1200","Isle of Man"
44156186,"KZJK-YSV","Q2670614","https://en.wikipedia.org/wiki/Madog_ap_Maredudd","King Madog of Powys","1091 - 1160","UK:Great Britain"
44160552,"LVDJ-KSK","Q3041014","https://en.wikipedia.org/wiki/Dubgall_mac_Somairle","Dubgall Mac Somairle King of the Isles","1143 - 1207",NA
44162386,"KHH7-5JH","Q3438704","https://en.wikipedia.org/wiki/Roger_Bigod,_2nd_Earl_of_Norfolk","Roger Bigod 3rd Earl of Norfolk and Suffolk","1144 - 1220","UK:Great Britain"
44162389,"LZ84-SKX","Q2536999","https://en.wikipedia.org/wiki/Ada_de_Warenne","Ada de Warenne","1120 - 1178","UK:Great Britain"
44365018,"L8YY-5PB","Q312594","https://en.wikipedia.org/wiki/William_the_Lion","William 'The Lion' King of Scotland","1143 - 1214","UK:Great Britain"
45232915,"LZKG-6VS","Q235857","https://en.wikipedia.org/wiki/Elizabeth_of_Portugal","Santa Isabel de Aragão","1271 - 1336","Spain"
45232918,"LD7M-FNW","Q312110","https://en.wikipedia.org/wiki/Sancho_IV_of_Castile","Sancho IV el Bravo, rey de Castilla y León El valiente, El Feroz","1258 - 1295","Spain"
46145684,"L8MB-PR8","Q1311712","https://en.wikipedia.org/wiki/William_d%27Aubigny,_2nd_Earl_of_Arundel","William d'Aubigny 2nd Earl of Arundel","1138 - 1193","UK:Great Britain"
46145987,"LDMG-1WC","Q450826","https://en.wikipedia.org/wiki/Gwenllian_ferch_Gruffydd","Gwenllian ferch Gruffydd","1100 - 1136","UK:Great Britain"
46147356,"9CS2-22H","Q462997","https://en.wikipedia.org/wiki/Robert,_1st_Earl_of_Gloucester","Robert FitzRoy Earl of Gloucester","1090 - 1147","France"
46147426,"LBHH-2Q5","Q741855","https://en.wikipedia.org/wiki/Rhys_ap_Gruffydd","Rhys ap Gruffydd Prince of South Wales","1123 - 1197","UK:Great Britain"
46148337,"9HNL-VTQ","Q516503","https://en.wikipedia.org/wiki/Isabel_de_Warenne,_Countess_of_Surrey","Isabella de Warenne Countess of Surrey","1260 - 1295","UK:Great Britain"
46148342,"MRMP-3HL","Q277612","https://en.wikipedia.org/wiki/Aymer,_Count_of_Angoul%C3%AAme","Aymer Taillefer Count of Angoulême","1160 - 1202","France"
46148426,"9QQS-VJV","Q212052","https://en.wikipedia.org/wiki/James_I_of_Aragon","King Jacme de Aragón I","1208 - 1276","France"
46148427,"LBNJ-CWP","Q51779","https://en.wikipedia.org/wiki/Violant_of_Hungary","Reina de Aragón Árpád-házi Jolán","1213 - 1251","Hungary"
46148433,"LBYY-GYZ","Q467014","https://en.wikipedia.org/wiki/Margaret_II,_Countess_of_Flanders","Marguerite de Constantinopel-Flandre","1202 - 1280","France"
46148822,"9CXX-R3M","Q237889","https://en.wikipedia.org/wiki/Alexander_II_of_Scotland","Alexander II, King of Scots","1198 - 1249","UK:Great Britain"
46533004,"LKF5-3N5","Q2066259","https://en.wikipedia.org/wiki/William_II_of_Dampierre","Guillaume de Dampierre II","1196 - 1231","France"
50356225,"L66G-XS3","Q449000","https://en.wikipedia.org/wiki/Nest_ferch_Rhys","Nesta ferch Rhys","1085 - 1136","UK:Great Britain"
50356265,"9C8T-V1R","Q178525","https://en.wikipedia.org/wiki/Eleanor_of_Aquitaine","Aliénor d'Aquitaine Reine de France puis Reine d'Angleterre","1122 - 1204","France"
50356405,"LZ1V-VWM","Q2375130","https://en.wikipedia.org/wiki/Garsenda,_Countess_of_Forcalquier","Garsende de Sabran comtesse de Forcalquier","1180 - 1242","France"
50356407,"LBP9-Y7L","Q2359709","https://en.wikipedia.org/wiki/Margaret_of_Geneva","Marguerite de Genève","1180 - 1257","Switzerland"
50356408,"KNZL-TD2","Q316768","https://en.wikipedia.org/wiki/Ferdinand_II_of_Le%C3%B3n","Ferdinand II De León","1137 - 1188","Spain"
50356410,"LZ1V-VZ8","Q295268","https://en.wikipedia.org/wiki/Alfonso_VIII_of_Castile","Rey Alfonso VIII de Castilla","1155 - 1214","Spain"
50356411,"LZ1V-V82","Q232144","https://en.wikipedia.org/wiki/Eleanor_of_England,_Queen_of_Castile","Eleanor of England Queen of Castile","1160 - 1214","France"
50356452,"LVPJ-ZDR","Q1634638","https://en.wikipedia.org/wiki/Hugh_de_Lacy,_Lord_of_Meath","Hugh de Lacy Lord of Meath","Unknown - 1186","UK:Great Britain"
50356454,"9HTG-9V9","Q3779058","https://en.wikipedia.org/wiki/William_de_Braose,_4th_Lord_of_Bramber","William de Braose","1153 - 1211","UK:Great Britain"
50356455,"99KP-CPN","Q942269","https://en.wikipedia.org/wiki/Maud_de_Braose","Maud de St Valéry Lady of Bramber","1155 - 1210","France"
50595474,"LD7M-NZ3","Q130221","https://en.wikipedia.org/wiki/Frederick_II,_Holy_Roman_Emperor","Frederick II Holy Roman Emperor","1194 - 1250","Italy"
50595498,"LZZ9-V1D","Q164889","https://en.wikipedia.org/wiki/Manfred,_King_of_Sicily","Re di Sicilia Manfredo von Hohenstaufen","1232 - 1266","Italy:Sicily"
50595556,"L879-K4S","Q150320","https://en.wikipedia.org/wiki/Ottokar_II_of_Bohemia","Przemysl Otakar II King Of Bohmen","1232 - 1278","Czech Republic"
50652464,"LBBZ-8DB","Q312904","https://en.wikipedia.org/wiki/Fulk,_King_of_Jerusalem","Foulques V d'Anjou Roi de Jérusalem","1089 - 1143","France"
50652466,"9CS3-646","Q101384","https://en.wikipedia.org/wiki/Henry_I_of_England","Henry I King of England","1068 - 1135","UK:Great Britain"
50652467,"LY6J-G8R","Q232761","https://en.wikipedia.org/wiki/Matilda_of_Scotland","Edith of Scotland Queen Matilda of England","1079 - 1118","UK:Great Britain"
50652474,"KP3V-8XM","Q1394358","https://en.wikipedia.org/wiki/William_III,_Count_of_Ponthieu","Guillaume III Talvas","1088 - 1171","France"
51642928,"LD3L-3N3","Q32735","https://en.wikipedia.org/wiki/Iago_ab_Idwal_ap_Meurig","Iago ab Idwal ap Meurig of Gwynedd King of the Britons","0975 - 1039","UK:Wales:Anglesey"
51642930,"LHRM-ST7","Q3008316","https://en.wikipedia.org/wiki/%C3%93l%C3%A1fr_Gu%C3%B0r%C3%B8%C3%B0arson_(died_1153)","King Of Man And The Isles Óláfr Guðrøðarson The Dwarf, Bitling ,The Red","1080 - 1153","Isle of Man"
55577690,"LZK9-SK6","Q82457","https://en.wikipedia.org/wiki/William_Wallace","Sir William Wallace Guardian of Scotland","1270 - 1305","UK:Great Britain"
55632798,"GS12-9H5","Q11710251","https://en.wikipedia.org/wiki/Hugh_Bigod_(Justiciar)","Hugh Bigod Chief Justice of England","1212 - Unknown","UK:Great Britain"
61587498,"LHGS-WCF","Q2053636","https://en.wikipedia.org/wiki/Ranulf_de_Glanvill","Ranulph de Glanville Chief Justiciar of England","1120 - 1191","UK:Great Britain"
62630754,"L2QK-S7H","Q453613","https://en.wikipedia.org/wiki/Alan_IV,_Duke_of_Brittany","Alain IV de Bretagne Duc de Bretagne","1063 - 1119","France"
78730241,"LD91-PX3","Q3182333","https://en.wikipedia.org/wiki/Margaret_of_Huntingdon,_Duchess_of_Brittany","Margaret of Huntingdon Countess of Hereford","1145 - 1201","UK:Great Britain"
85222608,"LBKB-H6F","Q593455","https://en.wikipedia.org/wiki/Walter_fitz_Alan","Walter Fitz Alan 1st High Steward of Scotland","1106 - 1177","UK:Great Britain"
88321150,"LB35-9QD","Q7308926","https://en.wikipedia.org/wiki/Reginald_de_Warenne","Reginald de Warenne","1113 - 1179","France"
88321456,"KCBT-5QY","Q711649","https://en.wikipedia.org/wiki/Fergus_of_Galloway","Fergus of Galloway","1080 - 1161","UK:Great Britain"
88324776,"L8WY-WD4","Q216787","https://en.wikipedia.org/wiki/David_I_of_Scotland","David I King of Scots","1080 - 1153","UK:Great Britain"
88324778,"L8MB-C1W","Q1939105","https://en.wikipedia.org/wiki/William_de_Warenne,_2nd_Earl_of_Surrey","William de Warenne II","1081 - 1138","UK:Great Britain"
88324779,"MXWH-HJ8","Q204351","https://en.wikipedia.org/wiki/Elizabeth_of_Vermandois,_Countess_of_Leicester","Elizabeth Isabelle Capet Comtesse of Vermandois","1081 - 1131","France"
88729728,"9MXD-4XQ","Q34428","https://en.wikipedia.org/wiki/Philip_II_of_France","Philippe Auguste II,  roi de France","1165 - 1223","France"
90465836,"93MZ-1FQ","Q47595","https://en.wikipedia.org/wiki/Alfonso_X_of_Castile","Rey Alfonso X de Castilla y León","1221 - 1284","Spain"
92278190,"LZD6-P9H","Q121130","https://en.wikipedia.org/wiki/Philip_of_Swabia","Philipp von Schwaben römisch-deutscher König","1178 - 1208","Italy"
92291368,"L8MB-PBW","Q717276","https://en.wikipedia.org/wiki/William_d%27Aubigny,_1st_Earl_of_Arundel","William d'Aubigny 1st Earl of Arundel","1099 - 1176","France"
92291369,"L8MB-PBB","Q236994","https://en.wikipedia.org/wiki/Adeliza_of_Louvain","Adeliza de Louvain","1103 - 1151","Belgium"
92296854,"KNQB-K22","Q271104","https://en.wikipedia.org/wiki/Andrew_II_of_Hungary","Árpád-házi András II Magyar király","1176 - 1235","Slovakia"
92296867,"L81M-75Y","Q466283","https://en.wikipedia.org/wiki/Marie_of_Champagne","Marie de Champagne Queen of Constantinople","1174 - 1204","France"
92296892,"LD39-RTT","Q152370","https://en.wikipedia.org/wiki/B%C3%A9la_IV_of_Hungary","Árpád-házi IV. Béla Magyar Király","1206 - 1270","Hungary"
92297645,"GKCN-JYS","Q2569718","https://en.wikipedia.org/wiki/Ermengarde_de_Beaumont","Ermengarde de Beaumont Queen of Scotland","1170 - 1233","France"
100712548,"9HVG-3HS","Q998314","https://en.wikipedia.org/wiki/Philip_de_Braose","Philip de Braose","1073 - 1134","UK:Great Britain"
100712550,"9CX7-S59","Q3314094","https://en.wikipedia.org/wiki/Miles_of_Gloucester,_1st_Earl_of_Hereford","Miles Fitzwalter Of Gloucester 1st Earl Of Hereford","1082 - 1143","UK:Great Britain"
100712809,"KFLP-MFB","Q296003","https://en.wikipedia.org/wiki/Sancha_of_Castile,_Queen_of_Aragon","Sancha De Castilla y Leon Queen of Aragón","1154 - 1208","Spain"
100712812,"99K2-81M","Q664561","https://en.wikipedia.org/wiki/Humbert_III,_Count_of_Savoy","Humbert III de Savoie","1136 - 1189","Italy"
100712816,"LDSM-QML","Q312767","https://en.wikipedia.org/wiki/Alfonso_VII_of_Le%C3%B3n_and_Castile","Alfonso Raimundez VII Rey de Castilla y León","1105 - 1157","Spain"
100712820,"M1JV-6Z9","Q315076","https://en.wikipedia.org/wiki/Sancho_III_of_Castile","Rey Sancho III de Castilla","1134 - 1158","Spain"
100712821,"LZ1V-V5P","Q220444","https://en.wikipedia.org/wiki/Blanca_of_Navarre,_Queen_of_Castile","Blanca de Navarra","1133 - 1156","Spain"
100712948,"MBMH-FJ9","Q165883","https://en.wikipedia.org/wiki/Louis_VI_of_France","Louis VI 'le Gros' roi des Francs","1081 - 1137","France"
100713341,"9C4Q-K8M","Q6078295","https://en.wikipedia.org/wiki/Isabelle_de_Meulan","Isabelle de Meulan Dame de Mayenne","1140 - 1220","France"
101304929,"LDSM-QN8","Q242601","https://en.wikipedia.org/wiki/Bertrade_of_Montfort","Berthe de Montfort","1070 - 1117","France"
101304932,"9H17-VTZ","Q37594","https://en.wikipedia.org/wiki/William_the_Conqueror","William I 'the Conqueror' King of England","1028 - 1087","France"
101304933,"LY57-55F","Q391944","https://en.wikipedia.org/wiki/Matilda_of_Flanders","Mathilde of Flanders Queen Consort of England","1031 - 1083","France"
101304934,"KN4J-P1M","Q68508","https://en.wikipedia.org/wiki/Malcolm_III_of_Scotland","Malcolm III King of Scotland","1031 - 1093","UK:Great Britain"
101304935,"L8M6-YW7","Q230507","https://en.wikipedia.org/wiki/Saint_Margaret_of_Scotland","St Margaret of Wessex, Queen of Scotland","1045 - 1093","Hungary"
103285082,"L134-D1P","Q422205","https://en.wikipedia.org/wiki/Hywel_Dda","Hywel Dda ap Cadell King of the Britons","0880 - 0950","UK:Great Britain"
103285860,"LBXP-QNT","Q2718796","https://en.wikipedia.org/wiki/Godred_Crovan","Godred ""Crovan"" Haraldsson  King of the Isle of Man and of Dublin","1040 - 1095","UK:Great Britain"
109974282,"M1YP-2MC","Q1363727","https://en.wikipedia.org/wiki/Reginald_de_Dunstanville,_Earl_of_Cornwall","Reginald de Dunstanville Earl of Cornwall","1099 - 1175","France"
123174964,"L1RC-7P1","Q5645929","https://en.wikipedia.org/wiki/Hamon_de_Massey","Hamon I de Massey 1st Baron of Dunham","1056 - 1118","France"
170442904,"9H8X-35Q","Q5142052","https://en.wikipedia.org/wiki/Colb%C3%A1n,_Earl_of_Buchan","Colban Mormaer of Buchan","1120 - 1180","UK:Great Britain"
172118656,"GFKT-2DQ","Q5576822","https://en.wikipedia.org/wiki/Godric_the_Sheriff","Godric The Saxon","1035 - 1066","UK:Great Britain"
176642832,"G96M-2XD","Q7191067","https://en.wikipedia.org/wiki/Picot_of_Cambridge","Picot de Lascelles, I, High Sheriff of Cambridgeshire","1022 - 1092","France"
176649554,"LDSS-ZMW","Q940404","https://en.wikipedia.org/wiki/Waltheof,_Earl_of_Northumbria","Waltheof II Earl of Northumbria","1046 - 1076","UK:Great Britain"
176649556,"LDSS-ZCS","Q1687299","https://en.wikipedia.org/wiki/William_de_Warenne,_1st_Earl_of_Surrey","William de Warenne 1st Earl of Surrey","1035 - 1088","France"
177791840,"9CMV-1BV","Q7324003","https://en.wikipedia.org/wiki/Richard_Basset","Richard Basset Chief Justice of England","1091 - Unknown","UK:Great Britain"
180931656,"LD7M-N3W","Q296463","https://en.wikipedia.org/wiki/Afonso_II_of_Portugal","Afonso II 'O Gordo' Sanches 3rd King of Portugal","1185 - 1223","Portugal"
181088590,"L8WY-WYP","Q79789","https://en.wikipedia.org/wiki/Frederick_Barbarossa","Friedrich I. 'Barbarossa' römisch-deutscher Kaiser","1122 - 1190","France"
184556381,"LCXX-8VZ","Q234219","https://en.wikipedia.org/wiki/Beatrice_I,_Countess_of_Burgundy","Béatrice Ire de Bourgogne","1143 - 1184","France"
184593708,"KN7K-Y5L","Q86978","https://en.wikipedia.org/wiki/B%C3%A9la_III_of_Hungary","Árpád-házi Béla III. Magyar király","1148 - 1196","Hungary"
184596160,"LW1M-5VG","Q8020751","https://en.wikipedia.org/wiki/William_de_Beauchamp_(of_Elmley)","Lord William De Beauchamp 1st Baron Beauchamp","1105 - 1170","UK:Great Britain"
201425088,"LTWR-DQ6","Q3132264","https://en.wikipedia.org/wiki/Henry_de_Ferrers","Henry de Ferrières Sire de Ferrieres and Chambrais - Domesday","1036 - 1088","France"
201425102,"K4LT-K4X","Q2394860","https://en.wikipedia.org/wiki/Bernard_de_Neufmarch%C3%A9","Bernard of Neufmarché","1050 - 1125","France"
201425624,"KFLJ-TW7","Q451940","https://en.wikipedia.org/wiki/Amadeus_III,_Count_of_Savoy","Amédée de Savoie III","1095 - 1148","France"
201425632,"LDSM-WYF","Q562630","https://en.wikipedia.org/wiki/Raymond_of_Burgundy","Raymond De Bourgogne Count of Galicia","1070 - 1107","France"
201425642,"L8T2-WFV","Q431172","https://en.wikipedia.org/wiki/Garc%C3%ADa_Ram%C3%ADrez_of_Navarre","García Ramírez King of Navarre","1099 - 1150","Spain"
201425896,"L8WB-MRH","Q58907","https://en.wikipedia.org/wiki/Philip_I_of_France","Philippe Ier roi des Francs","1052 - 1108","France"
202381402,"L7LP-X5X","Q1058544","https://en.wikipedia.org/wiki/Sancho_I_of_Portugal","Sancho I de Portugal 2nd Rei de Portugal","1154 - 1212","Portugal"
202381776,"K2T2-K2Q","Q319990","https://en.wikipedia.org/wiki/Ratislaus_the_Wise","Ratislaus ""the Wise"" King of the Rügen","1105 - 1141","Germany:Rugen"
202382086,"L13J-RCK","Q82686","https://en.wikipedia.org/wiki/B%C3%A9la_II_of_Hungary","Bela II King of Hungary","1108 - 1141","Hungary"
202382087,"LBNJ-3C7","Q267849","https://en.wikipedia.org/wiki/Helena_of_Serbia,_Queen_of_Hungary","Queen Jelena Vukanović Magyar királyné of Hungary","1115 - 1146","Serbia"
202609685,"2CNB-WKW","Q237886","https://en.wikipedia.org/wiki/Adela_of_Normandy","Adele de Normandie Comtesse de Blois","1062 - 1137","France"
202609857,"LZVR-GMG","Q263343","https://en.wikipedia.org/wiki/Ermengarde_of_Anjou,_Duchess_of_Burgundy","Ermengarde dite Blanche d'Anjou","1018 - 1076","France"
202609864,"LZGQ-LJX","Q41380","https://en.wikipedia.org/wiki/Robert_I,_Duke_of_Normandy","Robert Ier 'le Magnifique' duc de Normandie","1000 - 1035","France"
202609867,"LDHQ-P5F","Q353829","https://en.wikipedia.org/wiki/Adela_of_France","Adèle de France","1009 - 1079","France"
202609868,"K8D7-F5D","Q26326","https://en.wikipedia.org/wiki/Duncan_I_of_Scotland","Duncan I King of Scotland","1001 - 1040","UK:Great Britain"
202609870,"LDZ2-8G7","Q117647","https://en.wikipedia.org/wiki/Edward_the_Exile","Edward Ætheling the Exile","1016 - 1057","UK:Great Britain"
202609872,"LJB5-Z4Y","Q3419192","https://en.wikipedia.org/wiki/Raoul_III_of_Tosny","Raoul III de Tosny seigneur de Conches-en-Ouche","1027 - 1102","France"
202609906,"9H16-YMP","Q724235","https://en.wikipedia.org/wiki/Robert,_Count_of_Mortain","Robert de Conteville Count of Mortain","1031 - 1095","France"
206571722,"LVZ5-9LT","Q203647","https://en.wikipedia.org/wiki/Harald_Hardrada","Harald ""Hardråde"" Sigurdsson","1015 - 1066","Norway"
222387656,"LZND-WC8","Q979583","https://en.wikipedia.org/wiki/Richard_de_Redvers","Richard de Vernon Seigneur de Reviers","1066 - 1107","France"
250522720,"9MCW-H9P","Q1858519","https://en.wikipedia.org/wiki/Robert_de_Brus,_1st_Lord_of_Annandale","Sir Robert De Bruce 1st Lord of Annandale 1st Lord Skelton","1062 - 1141","France"
266649626,"LRZY-DS4","Q335457","https://en.wikipedia.org/wiki/Thomas_Howard,_1st_Earl_of_Suffolk","Thomas Howard Earl of Suffolk","1561 - 1626","UK:Great Britain"
314835025,"L83J-7KR","Q3356544","https://en.wikipedia.org/wiki/Tora_Torbergsdatter","Queen Thora Torbergsdotter (Amung) of Giske","1026 - 1066","Norway"
337410055,"LYF2-L38","Q3112191","https://en.wikipedia.org/wiki/Helena_(wife_of_Inge_the_Elder)","Helena, Queen of Sweden","1065 - 1140","Sweden"
340791554,"KH5Y-4QF","Q2535512","https://en.wikipedia.org/wiki/Robert_de_Brus,_2nd_Lord_of_Annandale","Sir Robert De Bruce 2nd Lord of Annandale","1096 - 1143","UK:Great Britain"
340889246,"LBVH-D6P","Q60849","https://en.wikipedia.org/wiki/Stephen,_King_of_England","Étienne de Blois roi d'Angleterre","1095 - 1154","France"
344239172,"LB23-61T","Q7351436","https://en.wikipedia.org/wiki/Robert_de_Stafford","Robert de Tosny de Stafford","1030 - 1088","UK:Great Britain"
344358914,"99SW-LH6","Q7966533","https://en.wikipedia.org/wiki/Walter_of_Gloucester","Walter FitzRoger","1065 - 1129","UK:Great Britain"
353161744,"9WCC-6W1","Q2810983","https://en.wikipedia.org/wiki/Robert_fitz_Martin","Robert fitz Martin","1080 - 1159",NA
353249616,"LVKC-K29","Q60843","https://en.wikipedia.org/wiki/Alexander_I_of_Scotland","King Alexander I King Of Scotland The Fierce Caenmore","1077 - 1124","UK:Great Britain"
353284354,"9SZ7-ST1","Q117633","https://en.wikipedia.org/wiki/Lulach","Lulach of Scotland “The Fool” MacRory 1st King of Scotland, Prince of Moray","Unknown - 1058","UK:Great Britain"
353299116,"LDW5-66P","Q178908","https://en.wikipedia.org/wiki/Henry_I_of_France","Henri Ier roi des Francs","1008 - 1060","France"
353299117,"LDW5-623","Q230073","https://en.wikipedia.org/wiki/Anne_of_Kiev","Anna Iaroslavna of Kiev Reine de France","1024 - 1094","Ukraine"
353299118,"KCXK-S69","Q288034","https://en.wikipedia.org/wiki/Herbert_IV,_Count_of_Vermandois","Herbert IV de Vermandois","1032 - 1080","France"
369178862,"L1R3-QH7","Q1379052","https://en.wikipedia.org/wiki/William_I_Talvas","Guillaume II Talvas","0995 - 1050","France"
369187418,"KNHF-4F4","Q316831","https://en.wikipedia.org/wiki/Raynald_of_Ch%C3%A2tillon","Renaud I de Châtillon Prince d’Antioche","1125 - 1187","France"
369187576,"G4FX-YRJ","Q2995122","https://en.wikipedia.org/wiki/K%C3%B6ten","Kotian Khan of the Kumans","1155 - 1240","Russia"
