"fid","batch"
"LC7P-L18",1
"LZLK-QR5",1
"LHNS-XK3",1
"LCTG-JQ2",1
"LCMF-R4D",1
"9HZB-X72",1
"L6ZX-D4Y",1
"LCZM-2BH",1
"MR1L-1CV",1
"L623-3HW",1
"H97F-YDS",1
"LHW2-XDM",1
"LYG8-BMH",1
"LHY9-6FP",1
"L6M4-Z1K",1
"LVVH-QKS",1
"LZYR-HQ1",1
"L6RT-7RF",1
"LVL6-1Y5",1
"LZLK-S2W",1
"LZLK-338",1
"LKMD-4XZ",1
"KVBG-CVS",1
"MVMR-8PM",1
"L4BT-1XB",1
"K2QL-87C",1
"LV67-FMJ",1
"LTR4-NNY",1
"LZV6-5K2",1
"GL61-WLZ",1
"GX9D-MPX",1
"9J8C-TPW",1
"GDW4-NCQ",1
"LYYR-MVK",1
"LZKF-2YT",1
"LLSC-98W",1
"LC1B-1GV",1
"9CKZ-WZ2",1
"KHXT-DWP",1
"LRDF-9WJ",1
"M9VB-ZZP",1
"G3JS-LB5",1
"LZ23-6ZM",1
"M2Z7-CJ3",1
"LDF6-ZR9",1
"L1R4-RH6",1
"L5RT-PMJ",1
"G4X2-PMC",1
"L62C-Z8Z",1
"9Q1F-B91",1
"GD4Q-44Q",1
"GQCG-C8G",1
"GQCP-Q3R",1
"LJYJ-2GM",1
"LCXS-2CJ",1
"L6JV-CNK",1
"GNW6-SRD",1
"GCZN-D6H",1
"9ZSS-XGH",1
"GMW2-92X",1
"LC8H-F4S",1
"GN29-QLP",1
"LZXR-ZQN",1
"L5BQ-TGL",1
"2MJ7-996",1
"LV2Y-844",1
"GKYJ-4LD",1
"LB7J-9BY",1
"G8B4-44T",1
"LRM2-PL9",1
"M9B1-JKC",1
"LCPL-WPW",1
"LDMW-9JN",1
"9JDW-SG6",1
"GGX8-C8D",1
"MLHB-YRP",1
"GS4K-LHH",1
"LHGD-KNS",1
"LZBP-SWM",1
"LZC5-LTD",1
"K2T4-MQC",1
"K8QW-GD2",1
"LZKN-N5H",1
"LHF8-Y64",1
"LLCC-G2L",1
"LHJW-1GF",1
"L27H-ZMR",1
"MB79-GY6",1
"MB79-GYR",1
"G2VN-J59",1
"27P4-G81",1
"LDH1-W8D",1
"M2YV-FXY",1
"LV7M-1JL",1
"LH8B-9PS",1
"LZLK-8QR",1
"2WM7-P6G",1
"KLJJ-YVB",1
"KGB3-3SZ",1
"L691-VC5",1
"LRVV-YSJ",1
"LZ4N-XH1",1
"2D65-99H",1
"M1ST-3Z8",1
"LCPX-XTG",1
"KLB8-1QB",1
"MGKW-ZP3",1
"9X1R-QJL",1
"MT29-M8X",1
"L4T6-WXC",1
"L78Z-VT8",1
"LV92-71L",1
"LWJV-TFQ",1
"LTT3-L3X",1
"LK3T-3RK",1
"93R2-H66",1
"K4XB-ZGN",1
"K4RB-CV5",1
"LZFW-4Y5",1
"MTGN-Z6Y",1
"LT3F-935",1
"LT3X-BSC",1
"M2WP-LQ5",1
"KZCP-V4Q",1
"LZXB-GRQ",1
"LDST-SFN",1
"LK3T-ND9",1
"LK3T-NC5",1
"LTNR-6ZK",1
"LZZW-8BK",1
"LBF9-CYZ",1
"LZF3-9LY",1
"LHF2-FSZ",1
"LCXR-97D",1
"LZG9-8P2",1
"LCY5-PZ1",1
"9JWH-DSM",1
"9JWH-DSS",1
"LHX9-H8K",1
"LZLK-Q24",1
"LC52-JSL",1
"LHW8-LSS",1
"LH6B-TLS",1
"L8WL-YH1",1
"MDFX-RBD",1
"L6B5-4MJ",1
"LK6K-D15",1
"LX7M-129",1
"KVLP-XVS",1
"L14M-9P3",1
"LCP5-MQM",1
"G8DD-VGR",1
"LHKK-RWT",1
"K2VZ-9VX",1
"LHKK-GKQ",1
"LZL7-22L",1
"LHKT-LPM",1
"LV76-5CW",1
"L4FK-Y7D",1
"LM1Z-DNF",1
"L4HK-L9K",1
"L4CZ-3QD",1
"LCJX-S96",1
"2Z35-X55",1
"LVKG-XM9",1
"LZ4V-6P4",1
"LZPF-PVT",1
"G8WM-RCT",1
"LVN4-W6L",1
"LZLV-FC3",1
"LZN6-9LT",1
"G9DN-BSQ",1
"LDLF-8GN",1
"LDLF-8R9",1
"LDLF-8TN",1
"GH2D-CFB",1
"GH1X-GCC",1
"LT3L-N8F",1
"LT3L-TDX",1
"LDSG-K2K",1
"M77S-R8C",1
"LZKX-HGR",1
"MSJZ-8M9",1
"MYX1-TTH",1
"GX98-R19",1
"G6CW-VFD",1
"GHH5-ZC4",1
"MYLX-GCL",1
"LCTP-BCG",1
"9K8F-NLV",1
"LVKH-WTY",1
"LBY2-XS3",1
"LB6K-6VK",1
"LRVF-TCN",1
"LRNX-2Z8",1
"278F-RNV",1
"G6HS-Q8X",1
"96XL-MYQ",1
"GLRP-LL2",1
"LXQ5-F2V",1
"GCS7-DSP",1
"L16T-5BV",1
"KJWC-9JR",1
"GQ58-LX8",1
"GQ58-2YH",1
"M1NQ-6H6",1
"L611-BBK",1
"MBW6-L4N",1
"G8N8-136",1
"GHF1-7P7",1
"G3DP-QFK",1
"L62C-C9V",1
"L2ZG-CST",1
"LDQR-ZKG",1
"LZ6Z-6QL",1
"LXQ2-YQN",1
"LXQ2-YZV",1
"LV3K-VTS",1
"LH8V-NNV",1
"LZK7-R6Z",1
"LDZG-Z7V",1
"L8QD-87T",1
"273X-SBR",1
"G6WC-DLQ",1
"LX3R-GPG",1
"LRP5-HJS",1
"LRP5-SNN",1
"LCXW-72B",1
"LZXR-ZPD",1
"G666-CGR",1
"9VYQ-PLB",1
"LHX5-X9B",1
"K2J1-YBP",1
"GLNV-WF9",1
"KNJD-KXV",1
"LZK8-W6R",1
"K2QZ-3YB",1
"L7Y2-MMY",1
"LZZW-WDR",1
"LCFM-NFX",1
"K631-GKK",1
"LRQH-PFV",1
"GQJK-Y24",1
"LBQ3-96B",1
"L5BF-QWZ",1
"MW4Y-WNW",1
"LBSJ-7PY",1
"LB4K-Z2W",1
"49D5-G9D",1
"G42S-HZ6",1
"GNPB-2R8",1
"GCWG-92Z",1
"GZY5-R5X",1
"G67D-TCY",1
"G67D-P9V",1
"LR1M-6CR",1
"L7NT-VP4",1
"MDS6-T4R",1
"LZVZ-SXC",1
"KL4K-QDG",1
"LDBG-3QK",1
"LC66-SRY",1
"27CW-6PJ",1
"L5YG-XYT",1
"K8D9-Y5J",1
"KLWS-WF4",1
"LCVV-VJB",1
"M15R-GKM",1
"LCDQ-TXD",1
"LLCC-G2V",1
"LZ66-K4N",1
"GLJB-MQQ",1
"L7N5-C9Z",1
"M95G-5ZY",1
"WB7C-DK6",1
"LVGM-FHR",1
"LTZ3-X5Z",1
"LLCP-ZWB",1
"L41Y-NZW",1
"LH3P-61W",1
"K1WK-2H4",1
"LZPX-VW5",1
"K4D9-R3L",1
"L134-LK5",1
"L2W3-WQJ",1
"LV5Z-YQZ",1
"LHZZ-Y1F",1
"LZ8M-XGY",1
"26KX-2QL",1
"LCZS-VPZ",1
"LHSQ-5YH",1
"LHZN-5LF",1
"L8SK-J7R",1
"LTTF-QR5",1
"LHFR-W3F",1
"LZ2S-DJL",1
"LCZ3-41V",1
"LB79-2BV",1
"LC8T-966",1
"MC3Z-1ZY",1
"KH29-DBZ",1
"GQF1-7LZ",1
"KPDR-TZ3",1
"LZVW-576",1
"G8GT-P55",1
"LK53-1BF",1
"LK5Q-MXT",1
"2ZVG-C1Y",1
"947Z-SP2",1
"LZ4F-G53",1
"LHGS-1KZ",1
"MH47-CZR",1
"G22S-WBN",1
"GZ7X-D1L",1
"M4P8-FPF",1
"LZDB-H9Y",1
"GJ1F-TMC",1
"LK3T-SH8",1
"LK3T-39D",1
"93R2-HXH",1
"93R2-HF9",1
