"fid","ascendancy","parent","gender"
"GKZ8-PM1",103110961264,"K6WN-292","Male"
"GKZ8-PM1",103110961265,"2NBQ-VZ5","Female"
"GMXZ-2CC",103110961266,"G231-B8V","Male"
"GMXZ-2CC",103110961267,"LY6V-924","Female"
"G8K3-VQ8",103110961268,"99Y7-Y7P","Male"
"G8K3-VQ8",103110961269,"L8YR-PKK","Female"
"G9TH-6YX",103110961270,"GZRF-9R1","Male"
"G9TH-6YX",103110961271,"G8WY-DDP","Female"
"LY5W-N6P",103110961272,"LBKG-X1C","Male"
"LY5W-N6P",103110961273,"LD9Y-GRR","Female"
"LHWS-BFW",103110961274,"94JG-Z57","Male"
"LHWS-BFW",103110961275,"L6PS-XJK","Female"
"GDB8-4V9",103110961276,"9CNQ-DB2","Male"
"GDB8-4V9",103110961277,"GG95-H9P","Female"
"GVZM-RKC",103110961278,"G6N5-9YG","Male"
"GVZM-RKC",103110961279,"9CFL-GCC","Female"
"L7N5-6KK",103110961376,"GGPW-WF1","Male"
"L7N5-6KK",103110961377,"G8S8-XCR","Female"
"L87C-W52",103110961378,"GGY5-1SY","Male"
"L87C-W52",103110961379,"GGYR-7QZ","Female"
"LZXX-FT2",103110961380,"G3TC-Q79","Male"
"LZXX-FT2",103110961381,"L8TJ-56P","Female"
"GNN8-QJH",103110961382,"GPMS-QSZ","Male"
"GNN8-QJH",103110961383,"GLBY-NYX","Female"
"KGSQ-35V",103110961392,"L1H5-9N6","Male"
"KGSQ-35V",103110961393,"G2LB-R53","Female"
"9ZHZ-89Q",103110961396,"9C3G-QBG","Male"
"9ZHZ-89Q",103110961397,"GKZQ-BG1","Female"
"G8L4-56J",103110961398,"L7T5-PSJ","Male"
"G8L4-56J",103110961399,"LHQP-B81","Female"
"MW4S-HPZ",103110961680,"LVST-L96","Male"
"MW4S-HPZ",103110961681,"KN8K-7G6","Female"
"L1DW-Q5N",103110961688,"LY5W-N6P","Male"
"L1DW-Q5N",103110961689,"LHWS-BFW","Female"
"2781-6PP",103110961690,"GDB8-4V9","Male"
"2781-6PP",103110961691,"GVZM-RKC","Female"
"G36D-72Y",103110961692,"LBBB-4XS","Male"
"G36D-72Y",103110961693,"LDHS-6S3","Female"
"L18F-8KW",103110961694,"LM1T-ZQX","Male"
"L18F-8KW",103110961695,"273M-74Y","Female"
"L7N5-6KK",103110961696,"GGPW-WF1","Male"
"L7N5-6KK",103110961697,"G8S8-XCR","Female"
"L87C-W52",103110961698,"GGY5-1SY","Male"
"L87C-W52",103110961699,"GGYR-7QZ","Female"
"LZXX-FT2",103110961700,"G3TC-Q79","Male"
"LZXX-FT2",103110961701,"L8TJ-56P","Female"
"GNN8-QJH",103110961702,"GPMS-QSZ","Male"
"GNN8-QJH",103110961703,"GLBY-NYX","Female"
"KGSQ-35V",103110961712,"L1H5-9N6","Male"
"KGSQ-35V",103110961713,"G2LB-R53","Female"
"9ZHZ-89Q",103110961716,"9C3G-QBG","Male"
"9ZHZ-89Q",103110961717,"GKZQ-BG1","Female"
"G8L4-56J",103110961718,"L7T5-PSJ","Male"
"G8L4-56J",103110961719,"LHQP-B81","Female"
"LZ1T-YG5",103110961728,"LDHS-DWJ","Male"
"LZZF-5Z1",103110961730,"LBBB-4XS","Male"
"LZZF-5Z1",103110961731,"LDHS-6S3","Female"
"99PY-ZDF",103110961732,"GSXG-5MK","Male"
"99PY-ZDF",103110961733,"GH7C-CVR","Female"
"LYCT-Y9Q",103110961736,"GSKF-F7X","Male"
"LYCT-Y9Q",103110961737,"GF1S-331","Female"
"L142-WBW",103110961738,"9W1F-TP6","Male"
"L142-WBW",103110961739,"K4BW-2FF","Female"
"K6WN-292",103110961740,"LD9Y-G1J","Male"
"K6WN-292",103110961741,"LYZB-L4Y","Female"
"2NBQ-VZ5",103110961742,"9H4X-GTQ","Male"
"2NBQ-VZ5",103110961743,"GG28-2WH","Female"
"LZPK-P7H",103110961744,"G84G-L58","Male"
"GN4S-LXY",103110961747,"LHTH-XJT","Female"
"L8YY-PH5",103110961748,"L8YG-8PB","Male"
"L8YY-PH5",103110961749,"G7B5-SX2","Female"
"KFX1-BZD",103110961750,"9C72-WGJ","Male"
"KFX1-BZD",103110961751,"9CZV-2KJ","Female"
"GX7F-1V3",103110961752,"G295-8J1","Male"
"GX7F-1V3",103110961753,"GLXM-M9K","Female"
"L179-W5T",103110961754,"KT4G-S84","Male"
"L179-W5T",103110961755,"GLMZ-NCG","Female"
"LZPK-K9R",103110961756,"G8JC-LL8","Male"
"LZPK-K9R",103110961757,"GZJN-PZF","Female"
"GMNF-CHM",103110961758,"GF6B-6SS","Male"
"GMNF-CHM",103110961759,"GF6Y-2KY","Female"
"9H6Q-VVW",103110961760,"L4SB-2FB","Male"
"9H6Q-VVW",103110961761,"LDHS-6CV","Female"
"9HPT-832",103110961762,"KT4G-S84","Male"
"9HPT-832",103110961763,"GLMZ-NCG","Female"
"9C72-WGJ",103110961764,"L4HF-2RY","Male"
"9C72-WGJ",103110961765,"L8TG-1DR","Female"
"9CZV-2KJ",103110961766,"LB2S-FHY","Male"
"9CZV-2KJ",103110961767,"G88G-V6W","Female"
"9SJP-9TN",103110961768,"9HP6-RVT","Male"
"9SJP-9TN",103110961769,"GG16-DL7","Female"
"GKZ8-PM1",103110961776,"K6WN-292","Male"
"GKZ8-PM1",103110961777,"2NBQ-VZ5","Female"
"GMXZ-2CC",103110961778,"G231-B8V","Male"
"GMXZ-2CC",103110961779,"LY6V-924","Female"
"G8K3-VQ8",103110961780,"99Y7-Y7P","Male"
"G8K3-VQ8",103110961781,"L8YR-PKK","Female"
"G9TH-6YX",103110961782,"GZRF-9R1","Male"
"G9TH-6YX",103110961783,"G8WY-DDP","Female"
"LY5W-N6P",103110961784,"LBKG-X1C","Male"
"LY5W-N6P",103110961785,"LD9Y-GRR","Female"
"LHWS-BFW",103110961786,"94JG-Z57","Male"
"LHWS-BFW",103110961787,"L6PS-XJK","Female"
"GDB8-4V9",103110961788,"9CNQ-DB2","Male"
"GDB8-4V9",103110961789,"GG95-H9P","Female"
"GVZM-RKC",103110961790,"G6N5-9YG","Male"
"GVZM-RKC",103110961791,"9CFL-GCC","Female"
"L1GP-TM6",103110962048,"G3Y4-FLK","Male"
"L1GP-TM6",103110962049,"GGYW-V8J","Female"
"G3TC-Q79",103110962072,"L2RQ-6PC","Male"
"G3TC-Q79",103110962073,"9CZM-R52","Female"
"L8TJ-56P",103110962074,"LDHS-886","Male"
"L8TJ-56P",103110962075,"LDHS-86Y","Female"
"L7N5-6KK",103110962076,"GGPW-WF1","Male"
"L7N5-6KK",103110962077,"G8S8-XCR","Female"
"L87C-W52",103110962078,"GGY5-1SY","Male"
"L87C-W52",103110962079,"GGYR-7QZ","Female"
"GF59-F78",103110962120,"GS35-LG3","Male"
"GF59-F78",103110962121,"GD5L-FFK","Female"
"GLFD-4JJ",103110962122,"G6RN-N7D","Male"
"GLFD-4JJ",103110962123,"GVBV-B6W","Female"
"L62H-Z9T",103110962124,"LDHS-DWJ","Male"
"GVSP-PVV",103110962126,"G2H3-QFZ","Male"
"GVSP-PVV",103110962127,"G2H3-MGK","Female"
"L87F-P2T",103110962176,"L453-RZL","Male"
"L87F-P2T",103110962177,"94NN-ZG7","Female"
"GNWG-WJ8",103110962178,"KH28-TN6","Male"
"GNWG-WJ8",103110962179,"GNCH-JRB","Female"
"GSDB-V2T",103110962184,"L234-H37","Male"
"GSDB-V2T",103110962185,"G84N-XY1","Female"
"LZXK-6XH",103110962186,"G6T5-F1Z","Male"
"LZXK-6XH",103110962187,"GLPM-MDJ","Female"
"L87F-RDY",103110962188,"LZ2X-TJV","Male"
"L87F-RDY",103110962189,"LDHS-6CV","Female"
"GGDQ-Q1F",103110962190,"GZTL-C85","Male"
"GGDQ-Q1F",103110962191,"G4J7-86P","Female"
"LDHS-DF1",103110962192,"9CNY-VTS","Male"
"LDHS-DF1",103110962193,"GN7R-9Q6","Female"
"LD98-69W",103110962194,"LD9Y-23P","Male"
"LD98-69W",103110962195,"LQ5H-F6D","Female"
"GCQ5-GNH",103110962196,"G6XC-RVM","Male"
"GCQ5-GNH",103110962197,"GJ2J-HW2","Female"
"GVVW-M29",103110962198,"GF1J-6GZ","Male"
"GVVW-M29",103110962199,"G6HP-C97","Female"
"LDHS-DF1",103110962200,"9CNY-VTS","Male"
