"fid","ascendancy","parent","gender"
"94T6-749",120634143496,"GKZ8-PM1","Male"
"94T6-749",120634143497,"GMXZ-2CC","Female"
"GLLC-968",120634143498,"G8K3-VQ8","Male"
"GLLC-968",120634143499,"G9TH-6YX","Female"
"L1DW-Q5N",120634143500,"LY5W-N6P","Male"
"L1DW-Q5N",120634143501,"LHWS-BFW","Female"
"2781-6PP",120634143502,"GDB8-4V9","Male"
"2781-6PP",120634143503,"GVZM-RKC","Female"
"L8YY-PP2",120634143504,"LCN5-99B","Male"
"L8YY-PP2",120634143505,"LYNX-745","Female"
"LT5Z-556",120634143506,"GS83-FSL","Male"
"LT5Z-556",120634143507,"GL79-7R2","Female"
"LBGF-H83",120634143508,"LRQD-FS2","Male"
"LBGF-H83",120634143509,"L5VF-6MD","Female"
"LZ56-WY6",120634143510,"GJSD-GLT","Male"
"LZ56-WY6",120634143511,"GVMD-TBD","Female"
"9CXC-B7Y",120634143512,"L1WS-BMM","Male"
"9CXC-B7Y",120634143513,"9Z8D-P68","Female"
"LZBY-TS8",120634143514,"LDMN-PWB","Male"
"LZBY-TS8",120634143515,"2NBQ-FP2","Female"
"GK9Q-S8F",120634143516,"L81Y-9GD","Male"
"GK9Q-S8F",120634143517,"LB2S-PWM","Female"
"99PT-NTZ",120634143520,"L1PB-VYC","Male"
"99PT-NTZ",120634143521,"GWQL-BY7","Female"
"G98Z-6RZ",120634143522,"LZ1T-YG5","Male"
"G98Z-6RZ",120634143523,"LZZF-5Z1","Female"
"LZ9M-HWG",120634143524,"LZPK-P7H","Male"
"LZ9M-HWG",120634143525,"GN4S-LXY","Female"
"9M85-YGM",120634143526,"L8YY-PH5","Male"
"9M85-YGM",120634143527,"KFX1-BZD","Female"
"9SBM-4NB",120634143528,"GN7R-NMC","Male"
"9SBM-4NB",120634143529,"GN7R-VGM","Female"
"GN7R-TH8",120634143530,"GVB1-XCC","Male"
"GN7R-TH8",120634143531,"G3WN-BKZ","Female"
"L8BY-3VJ",120634143532,"L8YY-PP2","Male"
"L8BY-3VJ",120634143533,"LT5Z-556","Female"
"GDKP-2XC",120634143534,"LDSH-9W5","Male"
"GDKP-2XC",120634143535,"GGH1-7CV","Female"
"99PY-ZDF",120634143536,"GSXG-5MK","Male"
"99PY-ZDF",120634143537,"GH7C-CVR","Female"
