"fid","ascendancy","parent","gender"
"9HNL-1HB",52717982548,"G2S2-PGN","Male"
"9HNL-1HB",52717982549,"GFXP-NMG","Female"
"L1TH-HRK",52717982551,"G2C6-3C9","Female"
"GLB9-C37",52717982552,"LDSQ-XRK","Male"
"GLB9-C37",52717982553,"LCFL-9DP","Female"
"G2YH-9WG",52717982554,"KDQW-JTJ","Male"
"G2YH-9WG",52717982555,"LDS9-GGV","Female"
"GLW3-1SY",52717982556,"9MWR-GHW","Male"
"GLW3-1SY",52717982557,"LZ1V-KT6","Female"
"998F-RBL",52717982558,"9WL8-7LY","Male"
"998F-RBL",52717982559,"LBJR-K79","Female"
"G396-RXQ",52717982578,"GJB7-LYF","Male"
"KFK5-ZL5",52717982584,"9HTX-2CD","Male"
"KFK5-ZL5",52717982585,"L83J-4S6","Female"
"LBCC-DW3",52717982586,"G9P6-CHT","Male"
"LBCC-DW3",52717982587,"LVC7-ZZX","Female"
"9HLK-V6W",52717982592,"GZPW-9T8","Male"
"9HLK-V6W",52717982593,"G27G-J45","Female"
"GGVB-2MK",52717982594,"949J-G8K","Male"
"GGVB-2MK",52717982595,"GGRJ-B45","Female"
"9H16-YMP",52717982596,"L18B-R3G","Male"
"9H16-YMP",52717982597,"KDQH-DJG","Female"
"L82R-5HJ",52717982598,"LD9R-5G3","Male"
"L82R-5HJ",52717982599,"M897-QTS","Female"
"GD1R-7W3",52717982600,"G62C-9KF","Male"
"GD1R-7W3",52717982601,"G4JV-213","Female"
"GKHX-C9X",52717982602,"GVQC-42R","Male"
"GKHX-C9X",52717982603,"GVQH-LST","Female"
"9H27-6Y3",52717982604,"G6LZ-TWJ","Male"
"MWBC-XS5",52717982606,"9ZHQ-5GQ","Male"
"MWBC-XS5",52717982607,"G6R2-BDM","Female"
"LH8G-2RH",52717982608,"LCVR-TFD","Male"
"LH8G-2RH",52717982609,"9Z4P-BQB","Female"
"LDW2-7JJ",52717982610,"LDW2-41W","Male"
"LDW2-7JJ",52717982611,"G4NJ-GVF","Female"
"KHQ6-TFB",52717982612,"LD97-CH9","Male"
"KHQ6-TFB",52717982613,"KH4Q-2SB","Female"
"LDSM-H39",52717982614,"94YF-JDG","Male"
"LDSM-H39",52717982615,"G8WY-6L8","Female"
"LDW2-TDB",52717982616,"MBGG-7NP","Male"
"LDW2-TDB",52717982617,"LD9R-SHL","Female"
"LTG4-3S1",52717982618,"9SVD-TVV","Male"
"LTG4-3S1",52717982619,"GGKB-KCP","Female"
"LDW2-QX1",52717982620,"LH7S-18K","Male"
"LDW2-QX1",52717982621,"LDSV-5Q1","Female"
"G3WJ-W2J",52717982632,"KCCG-J4T","Male"
