"fid","ascendancy","parent","gender"
"9CS3-646",23824749524,"9H17-VTZ","Male"
"9CS3-646",23824749525,"LY57-55F","Female"
"LCP1-19Y",23824749528,"L51Z-XMG","Male"
"LCP1-19Y",23824749529,"KZTY-WSH","Female"
"2CNB-WKW",23824749530,"9H17-VTZ","Male"
"2CNB-WKW",23824749531,"LY57-55F","Female"
"LZ8K-BBS",23824749532,"KF51-BG4","Male"
"LZ8K-BBS",23824749533,"LBWR-LCB","Female"
"L83J-BYF",23824749534,"9HFS-58G","Male"
"L83J-BYF",23824749535,"L62Z-DDQ","Female"
"L8WB-MRH",23824749536,"LDW5-66P","Male"
"L8WB-MRH",23824749537,"LDW5-623","Female"
"GGKR-Y4B",23824749538,"LYYN-GWQ","Male"
"GGKR-Y4B",23824749539,"LDSM-4M1","Female"
"93QC-WRW",23824749540,"LYX7-C8M","Male"
"93QC-WRW",23824749541,"L5NV-7ZQ","Female"
"LVD6-PLK",23824749542,"998F-RYD","Male"
"LVD6-PLK",23824749543,"9WYV-M96","Female"
"9WF7-DMT",23824749544,"L8B9-VWR","Male"
"9WF7-DMT",23824749545,"9S8J-R9Z","Female"
"9WP5-WRF",23824749546,"LBLQ-5TN","Male"
"9WP5-WRF",23824749547,"G3KW-NLD","Female"
"G293-KYY",23824749548,"9CS3-646","Male"
"G293-KYY",23824749549,"LH1T-486","Female"
"9CHV-DHK",23824749550,"LBXC-4KY","Male"
"9CHV-DHK",23824749551,"M49C-X4T","Female"
"9CZC-GSR",23824749552,"GMNM-FXX","Male"
"9CZC-GSR",23824749553,"LZ2B-MCB","Female"
"GJBZ-QGS",23824749554,"LD9R-RB7","Male"
"GJBZ-QGS",23824749555,"LDSS-6H5","Female"
"GX3V-PL3",23824749556,"LZ8K-BBS","Male"
"GX3V-PL3",23824749557,"L83J-BYF","Female"
"LKCP-T4S",23824749584,"LV39-3RB","Male"
"LCVR-TFD",23824749600,"GVNC-TFT","Male"
"LCVR-TFD",23824749601,"GNFT-19B","Female"
"9Z4P-BQB",23824749602,"LZLQ-664","Male"
"9Z4P-BQB",23824749603,"GK2Y-MJB","Female"
"LDW2-41W",23824749604,"94HZ-CG3","Male"
"LDW2-41W",23824749605,"LDSS-BYY","Female"
"G4NJ-GVF",23824749606,"L8RR-S6X","Male"
"G4NJ-GVF",23824749607,"L8RR-S6J","Female"
"LD97-CH9",23824749608,"99PY-ZDF","Male"
"LD97-CH9",23824749609,"LD97-C7T","Female"
"KH4Q-2SB",23824749610,"LL43-FM6","Male"
"KH4Q-2SB",23824749611,"9CMJ-R5M","Female"
"94YF-JDG",23824749612,"L15Q-4BH","Male"
"94YF-JDG",23824749613,"LT36-BWL","Female"
"G8WY-6L8",23824749614,"21JJ-KNR","Male"
"G8WY-6L8",23824749615,"GZL8-6WN","Female"
"GV8C-DT5",23824749616,"GVM9-C8M","Male"
"GV8C-DT5",23824749617,"G2XQ-3DT","Female"
"GKZZ-H5B",23824749618,"LDW2-RVK","Male"
"GKZZ-H5B",23824749619,"LDW2-RVB","Female"
"9HHG-W26",23824749620,"MBGG-7NP","Male"
"9HHG-W26",23824749621,"LD9R-SHL","Female"
"G9TZ-T8G",23824749622,"M1VS-25N","Male"
"G9TZ-T8G",23824749623,"LDSS-KHY","Female"
"GJBS-S26",23824749624,"LBH8-WL8","Male"
