"fid","ascendancy","parent","gender"
"LY9D-2F8",94716479296,"LCJD-VX6","Male"
"LY9D-2F8",94716479297,"LD9R-RKH","Female"
"L28D-TJH",94716479298,"9WMP-NNQ","Male"
"L28D-TJH",94716479299,"945D-J9Y","Female"
"GJTS-3TP",94716479300,"GZ8X-GV2","Male"
"GJTS-3TP",94716479301,"G6ZP-B73","Female"
"G9M5-FF1",94716479304,"LY9D-2F8","Male"
"G9M5-FF1",94716479305,"L28D-TJH","Female"
"GN9F-M6Q",94716479306,"GJTS-3TP","Male"
"GN9F-M6Q",94716479307,"GN15-LRT","Female"
"LZGQ-LJX",94716479308,"KDQW-JTJ","Male"
"LZGQ-LJX",94716479309,"LDS9-GGV","Female"
"GC4C-Q98",94716479312,"G7SP-356","Male"
"GC4C-Q98",94716479313,"GDF1-N4H","Female"
"GNQC-Q81",94716479314,"GQKQ-GJH","Male"
"GNQC-Q81",94716479315,"GVZ5-GT8","Female"
"GHXC-CMM",94716479316,"GC4C-CPV","Male"
"GHXC-CMM",94716479317,"G7NN-V9W","Female"
"LK9R-5F8",94716479318,"G9M5-FF1","Male"
"LK9R-5F8",94716479319,"GN9F-M6Q","Female"
"GLTB-NF2",94716479320,"GX4W-KFC","Male"
"GLTB-NF2",94716479321,"LRHH-679","Female"
"L2Y4-PXC",94716479324,"L2TT-ZDM","Male"
"L2Y4-PXC",94716479325,"L2TT-Z55","Female"
"L2Y4-PR9",94716479326,"GX6Z-6DY","Male"
"L2Y4-PR9",94716479327,"GVZP-CXM","Female"
"GJ8K-PWG",94716479328,"LDSK-NZJ","Male"
"GJ8K-PWG",94716479329,"LDSH-S2T","Female"
"LJYH-M8G",94716479330,"GW69-B2J","Male"
"LJYH-M8G",94716479331,"GXQD-1QL","Female"
"LJ4D-ZCK",94716479333,"GVHV-7WD","Female"
"LJ4D-ZCK",94716479332,"G9G8-ZCS","Male"
"9S1L-ZP2",94716479334,"G6Z5-SS2","Male"
"9S1L-ZP2",94716479335,"GX7W-7JP","Female"
"LZGQ-LJX",94716479336,"KDQW-JTJ","Male"
"LZGQ-LJX",94716479337,"LDS9-GGV","Female"
"KDQH-DJG",94716479338,"L1DD-JMP","Male"
"KDQH-DJG",94716479339,"9WY9-HRJ","Female"
"GL9R-YL9",94716479340,"LD95-VV6","Male"
"GL9R-YL9",94716479341,"9H2F-HV5","Female"
"LDHQ-P5F",94716479342,"LD9R-RB7","Male"
"LDHQ-P5F",94716479343,"LDSS-6H5","Female"
"M1VS-25N",94716479344,"LDSS-KJ6","Male"
"M1VS-25N",94716479345,"L28D-TJH","Female"
"LDSS-KHY",94716479346,"LYCY-PN6","Male"
"LDSS-KHY",94716479347,"LDSS-KKV","Female"
"LYKM-HPT",94716479348,"LDW2-41W","Male"
"LYKM-HPT",94716479349,"G4NJ-GVF","Female"
"GJK2-FPZ",94716479350,"G28R-HGR","Male"
"K8D7-F5D",94716479352,"LZS9-ZC2","Male"
"K8D7-F5D",94716479353,"LZ61-F76","Female"
"LDZ2-8G7",94716479356,"KNXX-WBQ","Male"
"LDZ2-8G7",94716479357,"LDZ2-8LP","Female"
"LY6V-8G3",94716479358,"LDMT-HMZ","Male"
"LY6V-8G3",94716479359,"LD91-ST3","Female"
"LD9R-RYR",94716479360,"LCRR-KM2","Male"
"LD9R-RYR",94716479361,"LDW5-JN2","Female"
"M15L-V4Q",94716479362,"LD9Y-C7T","Male"
"M15L-V4Q",94716479363,"LD9Y-CW9","Female"
"L133-HLP",94716479364,"94T6-749","Male"
"L133-HLP",94716479365,"GLLC-968","Female"
"KH8N-T92",94716479366,"L1DW-Q5N","Male"
"KH8N-T92",94716479367,"2781-6PP","Female"
"L8BY-3VJ",94716479368,"L8YY-PP2","Male"
"L8BY-3VJ",94716479369,"LT5Z-556","Female"
"94BP-X4Z",94716479370,"LBGF-H83","Male"
"94BP-X4Z",94716479371,"LZ56-WY6","Female"
"L8YY-5HK",94716479372,"9CXC-B7Y","Male"
"L8YY-5HK",94716479373,"LZBY-TS8","Female"
"L8WB-D2Z",94716479374,"GK9Q-S8F","Male"
"L8WB-D2Z",94716479375,"GK85-LHZ","Female"
"9WMP-NNQ",94716479376,"99PT-NTZ","Male"
"9WMP-NNQ",94716479377,"G98Z-6RZ","Female"
"945D-J9Y",94716479378,"LZ9M-HWG","Male"
"945D-J9Y",94716479379,"9M85-YGM","Female"
"LJB3-5XL",94716479380,"9SBM-4NB","Male"
"LJB3-5XL",94716479381,"GN7R-TH8","Female"
"GNWS-GB4",94716479382,"L8BY-3VJ","Male"
"GNWS-GB4",94716479383,"GDKP-2XC","Female"
"LD97-CH9",94716479384,"99PY-ZDF","Male"
"LD97-CH9",94716479385,"LD97-C7T","Female"
"KH4Q-2SB",94716479386,"LL43-FM6","Male"
"KH4Q-2SB",94716479387,"9CMJ-R5M","Female"
"94YF-JDG",94716479388,"L15Q-4BH","Male"
"94YF-JDG",94716479389,"LT36-BWL","Female"
"G8WY-6L8",94716479390,"21JJ-KNR","Male"
"G8WY-6L8",94716479391,"GZL8-6WN","Female"
"LZ48-4FD",94716479392,"LDZR-77D","Male"
"LZ48-4FD",94716479393,"GVF3-NY7","Female"
"9HMZ-FQH",94716479394,"GWH7-Y5B","Male"
"9HMZ-FQH",94716479395,"GWH7-YR9","Female"
"2Z98-QKN",94716479396,"GGD3-D92","Male"
"2Z98-QKN",94716479397,"GX56-KLT","Female"
"GDCF-ZCT",94716479398,"G94Q-8SY","Male"
"GDCF-ZCT",94716479399,"G6RT-9MK","Female"
"G2S2-PGN",94716479400,"G2SL-H2T","Male"
"G2S2-PGN",94716479401,"G2S2-Y92","Female"
"LDSQ-XRK",94716479408,"LDSK-V77","Male"
"LDSQ-XRK",94716479409,"LDSQ-F68","Female"
"LCFL-9DP",94716479410,"LB27-YWT","Male"
"LCFL-9DP",94716479411,"GWZB-NNM","Female"
"KDQW-JTJ",94716479412,"9HTX-2CD","Male"
"KDQW-JTJ",94716479413,"G39Q-HBK","Female"
"LDS9-GGV",94716479414,"LZGK-GZB","Male"
"LDS9-GGV",94716479415,"MXKR-J9R","Female"
"9MWR-GHW",94716479416,"K8M3-FZQ","Male"
"9MWR-GHW",94716479417,"LVDF-9DW","Female"
"LZ1V-KT6",94716479418,"MBPN-4DK","Male"
"LZ1V-KT6",94716479419,"9H9K-FVG","Female"
"9WL8-7LY",94716479420,"L8RK-RPS","Male"
"9WL8-7LY",94716479421,"LJG8-9LJ","Female"
"LBJR-K79",94716479422,"LYNF-SFN","Male"
"LBJR-K79",94716479423,"GJQD-6SP","Female"
"LDSQ-XRK",94716479424,"LDSK-V77","Male"
"LDSQ-XRK",94716479425,"LDSQ-F68","Female"
"LCFL-9DP",94716479426,"LB27-YWT","Male"
"LCFL-9DP",94716479427,"GWZB-NNM","Female"
"KDQW-JTJ",94716479428,"9HTX-2CD","Male"
"KDQW-JTJ",94716479429,"G39Q-HBK","Female"
"LDS9-GGV",94716479430,"LZGK-GZB","Male"
"LDS9-GGV",94716479431,"MXKR-J9R","Female"
"9MWR-GHW",94716479432,"K8M3-FZQ","Male"
"9MWR-GHW",94716479433,"LVDF-9DW","Female"
"LZ1V-KT6",94716479434,"MBPN-4DK","Male"
"LZ1V-KT6",94716479435,"9H9K-FVG","Female"
"9WL8-7LY",94716479436,"L8RK-RPS","Male"
"9WL8-7LY",94716479437,"LJG8-9LJ","Female"
"LBJR-K79",94716479438,"LYNF-SFN","Male"
"LBJR-K79",94716479439,"GJQD-6SP","Female"
"9ZC6-52H",94716479440,"LDH1-MVP","Male"
"9ZC6-52H",94716479441,"GLBW-SDB","Female"
"LDZ2-825",94716479442,"LD9Y-6D1","Male"
"LDZ2-825",94716479443,"L1Y1-VBB","Female"
"L1MN-K1H",94716479444,"LBQG-D74","Male"
"L1MN-K1H",94716479445,"GGLF-WXK","Female"
"KZF2-HJC",94716479446,"LV4Y-YSJ","Male"
"KZF2-HJC",94716479447,"GVMX-HXT","Female"
"LD9R-RB7",94716479448,"LD9R-RYR","Male"
"LD9R-RB7",94716479449,"M15L-V4Q","Female"
"LDSS-6H5",94716479450,"L133-HLP","Male"
"LDSS-6H5",94716479451,"KH8N-T92","Female"
"9H19-J7X",94716479452,"9Z8P-WSC","Male"
"9H19-J7X",94716479453,"G6BP-Z3N","Female"
