"fid","ascendancy","parent","gender"
"L175-WPC",22714376760,"M74H-989","Male"
"L175-WPC",22714376761,"GFCN-2Y6","Female"
"2W31-DFT",22714376762,"93QT-3QP","Male"
"2W31-DFT",22714376763,"L71C-CSZ","Female"
"KNQM-4PN",22714376764,"KF56-979","Male"
"KNQM-4PN",22714376765,"GNTT-GQC","Female"
"GW68-4MY",22714376768,"GM8W-XLR","Male"
"LY6L-7XG",22714376772,"G8WB-3VQ","Male"
"LD3L-3K6",22714376800,"LD3L-3L1","Male"
"LD3L-3K6",22714376801,"GVFZ-53C","Female"
"LY6L-7XG",22714376804,"G8WB-3VQ","Male"
"LBXP-QNT",22714376808,"G2VL-4QK","Male"
"LBXP-QNT",22714376809,"G2VL-5VQ","Female"
"LVDZ-CCV",22714376810,"LVZ5-9LT","Male"
"LVDZ-CCV",22714376811,"LTFJ-P8P","Female"
"L1V3-YK5",22714376812,"GZGY-PHB","Male"
"L1V3-YK5",22714376813,"GW2T-W8K","Female"
"GGYW-H1W",22714376815,"GK3M-651","Female"
"GGYW-H1W",22714376814,"G72Y-4GB","Male"
"GMVS-LNN",22714376818,"GJT8-5BS","Male"
"GMVS-LNN",22714376819,"GKPS-37W","Female"
"LH74-HV9",22714376820,"LTQP-NP6","Male"
"LH74-HV9",22714376821,"LD3L-QYY","Female"
"GMVS-K8B",22714376824,"G2F3-2MP","Male"
"99GQ-8S8",22714376826,"937W-Z8H","Male"
"99GQ-8S8",22714376827,"GJPK-4J5","Female"
"G64K-KD8",22714376828,"LB8M-L15","Male"
"G64K-KD8",22714376829,"LDB4-489","Female"
"KDQW-JTJ",22714376832,"9HTX-2CD","Male"
"KDQW-JTJ",22714376833,"G39Q-HBK","Female"
"LDS9-GGV",22714376834,"LZGK-GZB","Male"
"LDS9-GGV",22714376835,"MXKR-J9R","Female"
"L1DD-JMP",22714376836,"GG5W-TJ1","Male"
"L1DD-JMP",22714376837,"GG54-SDF","Female"
"9WY9-HRJ",22714376838,"LZ19-924","Male"
"LD95-VV6",22714376840,"LD95-VVH","Male"
"LD95-VV6",22714376841,"99SD-Z4Q","Female"
"9H2F-HV5",22714376842,"MBGG-7NP","Male"
"9H2F-HV5",22714376843,"LD9R-SHL","Female"
"LD9R-RB7",22714376844,"LD9R-RYR","Male"
"LD9R-RB7",22714376845,"M15L-V4Q","Female"
"LDSS-6H5",22714376846,"L133-HLP","Male"
"LDSS-6H5",22714376847,"KH8N-T92","Female"
"GGT6-NYC",22714376880,"GW2T-YH6","Male"
"GGT6-NYC",22714376881,"GX5P-L6M","Female"
"GGTD-5CG",22714376882,"GGTX-XJX","Male"
"GGTD-5CG",22714376883,"GGT6-1Q1","Female"
"LH3J-XVF",22714376884,"GGYS-TR5","Male"
"LH3J-XVF",22714376885,"GGYS-R4S","Female"
"LD9R-5PH",22714376888,"L187-NYR","Male"
"LD9R-5PH",22714376889,"9WQY-MZT","Female"
"GGFR-Y9F",22714377224,"GGFT-HN5","Male"
"GCJQ-W56",22714377268,"LZBX-3F9","Male"
"GCJQ-W56",22714377269,"LB42-BBB","Female"
"GCJ3-182",22714377270,"LHNP-Y5X","Male"
"L175-WPC",22714377272,"M74H-989","Male"
"L175-WPC",22714377273,"GFCN-2Y6","Female"
"2W31-DFT",22714377274,"93QT-3QP","Male"
"2W31-DFT",22714377275,"L71C-CSZ","Female"
"KNQM-4PN",22714377276,"KF56-979","Male"
"KNQM-4PN",22714377277,"GNTT-GQC","Female"
"GW68-4MY",22714377280,"GM8W-XLR","Male"
"LY6L-7XG",22714377284,"G8WB-3VQ","Male"
"LD3L-3K6",22714377312,"LD3L-3L1","Male"
"LD3L-3K6",22714377313,"GVFZ-53C","Female"
"LY6L-7XG",22714377316,"G8WB-3VQ","Male"
"LBXP-QNT",22714377320,"G2VL-4QK","Male"
"LBXP-QNT",22714377321,"G2VL-5VQ","Female"
"LVDZ-CCV",22714377322,"LVZ5-9LT","Male"
"LVDZ-CCV",22714377323,"LTFJ-P8P","Female"
"L1V3-YK5",22714377324,"GZGY-PHB","Male"
"L1V3-YK5",22714377325,"GW2T-W8K","Female"
"GGYW-H1W",22714377327,"GK3M-651","Female"
"GGYW-H1W",22714377326,"G72Y-4GB","Male"
"GMVS-LNN",22714377330,"GJT8-5BS","Male"
"GMVS-LNN",22714377331,"GKPS-37W","Female"
"LH74-HV9",22714377332,"LTQP-NP6","Male"
"LH74-HV9",22714377333,"LD3L-QYY","Female"
"GMVS-K8B",22714377336,"G2F3-2MP","Male"
"99GQ-8S8",22714377338,"937W-Z8H","Male"
"99GQ-8S8",22714377339,"GJPK-4J5","Female"
"G64K-KD8",22714377340,"LB8M-L15","Male"
"G64K-KD8",22714377341,"LDB4-489","Female"
"KDQW-JTJ",22714377344,"9HTX-2CD","Male"
"KDQW-JTJ",22714377345,"G39Q-HBK","Female"
"LDS9-GGV",22714377346,"LZGK-GZB","Male"
"LDS9-GGV",22714377347,"MXKR-J9R","Female"
"L1DD-JMP",22714377348,"GG5W-TJ1","Male"
"L1DD-JMP",22714377349,"GG54-SDF","Female"
"9WY9-HRJ",22714377350,"LZ19-924","Male"
"LD95-VV6",22714377352,"LD95-VVH","Male"
"LD95-VV6",22714377353,"99SD-Z4Q","Female"
"9H2F-HV5",22714377354,"MBGG-7NP","Male"
"9H2F-HV5",22714377355,"LD9R-SHL","Female"
"LD9R-RB7",22714377356,"LD9R-RYR","Male"
"LD9R-RB7",22714377357,"M15L-V4Q","Female"
"LDSS-6H5",22714377358,"L133-HLP","Male"
