"fid","ascendancy","parent","gender"
"GMNX-JGH",21981473412,"G9WK-ZB3","Male"
"GMNX-JGH",21981473413,"GHS6-1TP","Female"
"L2SF-BXZ",21981473414,"L1Q3-L7Z","Male"
"L2SF-BXZ",21981473415,"2R66-L8T","Female"
"9376-JCH",21981473416,"KNW5-CM9","Male"
"9376-JCH",21981473417,"LCRM-5HJ","Female"
"9HVH-9GD",21981473418,"LHW9-VZ4","Male"
"9HVH-9GD",21981473419,"GKKW-24R","Female"
"GDLZ-FG2",21981473456,"GLBB-NNX","Male"
"GD65-2F2",21981473504,"G2RV-DFJ","Male"
"GD65-2F2",21981473505,"G2RJ-1WJ","Female"
"KNSN-3NT",21981473506,"KNQ6-9ZF","Male"
"LT8Q-95L",21981473508,"LDS9-GTK","Male"
"LT8Q-95L",21981473509,"GMN3-7TX","Female"
"LVVK-HVJ",21981473516,"LT83-QKS","Male"
"LVVK-HVJ",21981473517,"GDG2-NJC","Female"
"GX26-XRJ",21981473518,"G9M5-FF1","Male"
"GX26-XRJ",21981473519,"GN9F-M6Q","Female"
"GLB6-MQV",21981473536,"GLBD-RNZ","Male"
"GLB6-MQV",21981473537,"GLBX-KJJ","Female"
"GMNX-JGH",21981473540,"G9WK-ZB3","Male"
"GMNX-JGH",21981473541,"GHS6-1TP","Female"
"L2SF-BXZ",21981473542,"L1Q3-L7Z","Male"
"L2SF-BXZ",21981473543,"2R66-L8T","Female"
"9376-JCH",21981473544,"KNW5-CM9","Male"
"9376-JCH",21981473545,"LCRM-5HJ","Female"
"9HVH-9GD",21981473546,"LHW9-VZ4","Male"
"9HVH-9GD",21981473547,"GKKW-24R","Female"
"GDLZ-FG2",21981473584,"GLBB-NNX","Male"
"GD65-2F2",21981473632,"G2RV-DFJ","Male"
"GD65-2F2",21981473633,"G2RJ-1WJ","Female"
"KNSN-3NT",21981473634,"KNQ6-9ZF","Male"
"LT8Q-95L",21981473636,"LDS9-GTK","Male"
"LT8Q-95L",21981473637,"GMN3-7TX","Female"
"LVVK-HVJ",21981473644,"LT83-QKS","Male"
"LVVK-HVJ",21981473645,"GDG2-NJC","Female"
"GX26-XRJ",21981473646,"G9M5-FF1","Male"
"GX26-XRJ",21981473647,"GN9F-M6Q","Female"
"KJ5F-4ZR",21981473696,"LZS9-ZC2","Male"
"KJ5F-4ZR",21981473697,"LZ61-F76","Female"
"LDMG-1HD",21981473698,"KZPV-BQM","Male"
"LDMG-1HD",21981473699,"MP6J-D9N","Female"
"GJW6-BQP",21981473700,"GGT9-98G","Male"
"GJW6-BQP",21981473701,"GGTM-B2D","Female"
"G26B-199",21981473704,"GKJW-D8S","Male"
"G26B-199",21981473705,"GJY8-7WZ","Female"
"LZS9-ZC2",21981473728,"9HYQ-M4G","Male"
"LZS9-ZC2",21981473729,"GJGW-QM6","Female"
"LZ61-F76",21981473730,"LZ19-924","Male"
"LZ61-F76",21981473731,"GL5F-YH1","Female"
"KNXX-WBQ",21981473736,"LHPZ-9WQ","Male"
"KNXX-WBQ",21981473737,"LCT8-QVQ","Female"
"LDMT-HMZ",21981473740,"L8BY-3VJ","Male"
"LDMT-HMZ",21981473741,"94BP-X4Z","Female"
"LD91-ST3",21981473742,"L8YY-5HK","Male"
"LD91-ST3",21981473743,"L8WB-D2Z","Female"
"KZPV-BQM",21981473748,"L8RR-4KG","Male"
"KZPV-BQM",21981473749,"99QT-MCB","Female"
"M1VS-25N",21981473752,"LDSS-KJ6","Male"
"M1VS-25N",21981473753,"L28D-TJH","Female"
"LDSS-KHY",21981473754,"LYCY-PN6","Male"
"LDSS-KHY",21981473755,"LDSS-KKV","Female"
"LZGQ-LJX",21981473756,"KDQW-JTJ","Male"
"LZGQ-LJX",21981473757,"LDS9-GGV","Female"
"LDSS-8LB",21981473760,"LVMF-2JP","Male"
"LDSS-8LB",21981473761,"GW2T-LDK","Female"
"G2RP-CG1",21981473762,"LDSS-D1D","Male"
"G2RP-CG1",21981473763,"GKZ8-SNZ","Female"
"LD9R-RB7",21981473776,"LD9R-RYR","Male"
"LD9R-RB7",21981473777,"M15L-V4Q","Female"
"LDSS-6H5",21981473778,"L133-HLP","Male"
"LDSS-6H5",21981473779,"KH8N-T92","Female"
"LDMT-HMZ",21981473780,"L8BY-3VJ","Male"
"LDMT-HMZ",21981473781,"94BP-X4Z","Female"
"LD91-ST3",21981473782,"L8YY-5HK","Male"
"LD91-ST3",21981473783,"L8WB-D2Z","Female"
"L8MB-ZMK",21981473784,"L8YY-PD5","Male"
"L8MB-ZMK",21981473785,"MBV2-T1M","Female"
"MB1Q-ZWW",21981473786,"GKZZ-K49","Male"
"MB1Q-ZWW",21981473787,"GL6R-9XP","Female"
"LDMT-W6R",21981473788,"KJP2-TBR","Male"
"LDMT-W6R",21981473789,"GFN3-DQ5","Female"
"LT83-H6M",21981473790,"GQ59-8LX","Male"
"LT83-H6M",21981473791,"GSCJ-Z9D","Female"
"GG6S-2BY",21981476864,"GG63-CZC","Male"
"GG6S-2BY",21981476865,"GG63-F22","Female"
"GG63-4MD",21981476866,"GG63-3R7","Male"
"LZS9-ZC2",21981476992,"9HYQ-M4G","Male"
"LZS9-ZC2",21981476993,"GJGW-QM6","Female"
"LZ61-F76",21981476994,"LZ19-924","Male"
"LZ61-F76",21981476995,"GL5F-YH1","Female"
"KNXX-WBQ",21981477000,"LHPZ-9WQ","Male"
"KNXX-WBQ",21981477001,"LCT8-QVQ","Female"
"LDMT-HMZ",21981477004,"L8BY-3VJ","Male"
"LDMT-HMZ",21981477005,"94BP-X4Z","Female"
"LD91-ST3",21981477006,"L8YY-5HK","Male"
"LD91-ST3",21981477007,"L8WB-D2Z","Female"
"KZPV-BQM",21981477012,"L8RR-4KG","Male"
"KZPV-BQM",21981477013,"99QT-MCB","Female"
"M1VS-25N",21981477016,"LDSS-KJ6","Male"
"M1VS-25N",21981477017,"L28D-TJH","Female"
"LDSS-KHY",21981477018,"LYCY-PN6","Male"
"LDSS-KHY",21981477019,"LDSS-KKV","Female"
"LZGQ-LJX",21981477020,"KDQW-JTJ","Male"
"LZGQ-LJX",21981477021,"LDS9-GGV","Female"
"LDSS-8LB",21981477024,"LVMF-2JP","Male"
"LDSS-8LB",21981477025,"GW2T-LDK","Female"
"G2RP-CG1",21981477026,"LDSS-D1D","Male"
"G2RP-CG1",21981477027,"GKZ8-SNZ","Female"
"LD9R-RB7",21981477040,"LD9R-RYR","Male"
"LD9R-RB7",21981477041,"M15L-V4Q","Female"
"LDSS-6H5",21981477042,"L133-HLP","Male"
"LDSS-6H5",21981477043,"KH8N-T92","Female"
"LDMT-HMZ",21981477044,"L8BY-3VJ","Male"
"LDMT-HMZ",21981477045,"94BP-X4Z","Female"
"LD91-ST3",21981477046,"L8YY-5HK","Male"
"LD91-ST3",21981477047,"L8WB-D2Z","Female"
"L8MB-ZMK",21981477048,"L8YY-PD5","Male"
"L8MB-ZMK",21981477049,"MBV2-T1M","Female"
"MB1Q-ZWW",21981477050,"GKZZ-K49","Male"
"MB1Q-ZWW",21981477051,"GL6R-9XP","Female"
"LDMT-W6R",21981477052,"KJP2-TBR","Male"
"LDMT-W6R",21981477053,"GFN3-DQ5","Female"
"LT83-H6M",21981477054,"GQ59-8LX","Male"
"LT83-H6M",21981477055,"GSCJ-Z9D","Female"
"KNDD-84D",21981477056,"L1WT-FRN","Male"
"KNDD-84D",21981477057,"L1WY-QMZ","Female"
"GQQX-89B",21981477058,"LB5R-TH8","Male"
"GQQX-89B",21981477059,"LDHQ-P5F","Female"
"LR6N-PQP",21981477060,"LBJ9-GZ4","Male"
"LR6N-PQP",21981477061,"KZPP-B68","Female"
"LDSS-RGB",21981477062,"L18B-R3G","Male"
"LDSS-RGB",21981477063,"KDQH-DJG","Female"
"LBLP-PPD",21981477070,"G23Z-T5F","Male"
"LBLP-PPD",21981477071,"GFJR-GNC","Female"
"9H17-VTZ",21981477072,"LZGQ-LJX","Male"
"9H17-VTZ",21981477073,"KDQH-DJG","Female"
"LY57-55F",21981477074,"GL9R-YL9","Male"
"LY57-55F",21981477075,"LDHQ-P5F","Female"
"LD9R-5G3",21981477084,"LD9R-RCZ","Male"
"LD9R-5G3",21981477085,"MBWQ-SF3","Female"
"M897-QTS",21981477086,"L1R3-QH7","Male"
"M897-QTS",21981477087,"M33Z-FHV","Female"
"L1HZ-WR2",21981477088,"LVTD-MDD","Male"
"L1HZ-WR2",21981477089,"GKYX-DNQ","Female"
"KFLG-12B",21981477092,"28YJ-Z4N","Male"
"KFLG-12B",21981477093,"GGGT-9MX","Female"
"GF4P-DDQ",21981477096,"GV4Z-NPS","Male"
"GF4P-DDQ",21981477097,"GZKP-3KR","Female"
"GVW6-VCK",21981477098,"G2JY-4D2","Male"
"GVW6-VCK",21981477099,"G2JT-PGL","Female"
"LJG8-98D",21981477100,"9H27-6Y3","Male"
"LJG8-98D",21981477101,"MWBC-XS5","Female"
"LBS6-SSC",21981477102,"99PY-VJ6","Male"
"LBS6-SSC",21981477103,"G6DL-8L7","Female"
"L1Z8-522",21981477104,"99Y7-MCD","Male"
"L1Z8-522",21981477105,"LBKM-9MP","Female"
"L1S4-4N9",21981477106,"L1QG-G8M","Male"
